time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,CESM1-CAM5,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2043.0,38452527000.0,56765116000.0,73324940000.0,61317874000.0,59508640000.0,57568510000.0,62564196000.0,59548504000.0,68855760000.0,68281900000.0,66453443000.0
2044.0,36914800000.0,55673864000.0,72557806000.0,59769754000.0,58668753000.0,55951745000.0,61587358000.0,57846706000.0,67960947000.0,67359730000.0,65399900000.0
2045.0,35397497000.0,53498430000.0,71099400000.0,58454962000.0,58062533000.0,54497270000.0,59191980000.0,56456480000.0,66873254000.0,66101486000.0,63907060000.0
2046.0,33097593000.0,52373725000.0,69838430000.0,56998060000.0,56588910000.0,51953783000.0,57088786000.0,54746020000.0,65856127000.0,65417073000.0,62104056000.0
2047.0,30608753000.0,50411504000.0,68870750000.0,55740674000.0,55428110000.0,50333420000.0,55578380000.0,53130770000.0,64567100000.0,65198363000.0,60628447000.0
2048.0,28936434000.0,48573112000.0,68078334000.0,54552093000.0,54384534000.0,48602354000.0,54395314000.0,51596870000.0,63346670000.0,64125133000.0,59073307000.0
2049.0,27439034000.0,46974636000.0,66134712000.0,53533630000.0,53309407000.0,47074190000.0,53034058000.0,50249220000.0,62463713000.0,63998476000.0,58332840000.0
2050.0,26382645000.0,45624586000.0,65628610000.0,52314640000.0,52428620000.0,45216313000.0,51081867000.0,48807750000.0,61814088000.0,62224155000.0,57505178000.0
2051.0,24934056000.0,44220314000.0,64572617000.0,50787500000.0,51046978000.0,43226600000.0,50254010000.0,47591730000.0,60767880000.0,62241790000.0,55644350000.0
2052.0,24018844000.0,42957690000.0,63031990000.0,49787440000.0,49480960000.0,41826234000.0,49141330000.0,46277095000.0,60728144000.0,61319490000.0,53605212000.0
2053.0,23212237000.0,42215793000.0,62070723000.0,48588333000.0,48559464000.0,40493070000.0,47358878000.0,45642290000.0,61399618000.0,60415308000.0,52091142000.0
