time,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2026.0,96999160000.0,90702810000.0,87273366000.0,93904420000.0,89317605000.0,95061520000.0,95145840000.0,92851030000.0,97066025000.0,99181480000.0
2027.0,94174770000.0,86387590000.0,84838860000.0,92619375000.0,86209680000.0,93591020000.0,93998560000.0,89605325000.0,95503320000.0,97053470000.0
2028.0,92997770000.0,84767540000.0,82358550000.0,90415230000.0,84536490000.0,92996880000.0,91874640000.0,87176010000.0,93872090000.0,95412380000.0
2029.0,91318630000.0,81139400000.0,79352560000.0,87072645000.0,81351520000.0,91312550000.0,90482400000.0,85220336000.0,91229600000.0,92837390000.0
2030.0,89826620000.0,76954970000.0,76656810000.0,85044710000.0,79256550000.0,89321520000.0,89006070000.0,81322110000.0,88887720000.0,92218560000.0
2031.0,88624450000.0,74086410000.0,73480740000.0,81623540000.0,76388990000.0,86710840000.0,87369760000.0,78346300000.0,87322310000.0,91614840000.0
2032.0,88029274000.0,71186380000.0,70634750000.0,79503360000.0,73717540000.0,85244610000.0,87097430000.0,75811180000.0,84917830000.0,89362735000.0
2033.0,85623630000.0,68634850000.0,67987206000.0,77235585000.0,71088490000.0,83120990000.0,85595685000.0,72895740000.0,82558830000.0,88061500000.0
2034.0,82893800000.0,66334286000.0,65302778000.0,74601290000.0,68854690000.0,80350994000.0,83685970000.0,70508540000.0,80903990000.0,85934280000.0
2035.0,81200370000.0,63648040000.0,62293017000.0,72990000000.0,65790470000.0,78627316000.0,82219090000.0,68760855000.0,79566410000.0,85069840000.0
2036.0,80462350000.0,60787065000.0,59155740000.0,70383270000.0,62967010000.0,76701070000.0,80078830000.0,65739740000.0,78437060000.0,82995720000.0
2037.0,76983394000.0,58314780000.0,57307652000.0,68397277000.0,60478590000.0,75013080000.0,78529860000.0,64000815000.0,76800030000.0,81157920000.0
2038.0,75530090000.0,55800037000.0,54269470000.0,65835440000.0,58619298000.0,72134380000.0,76722840000.0,61347130000.0,75303820000.0,79412580000.0
2039.0,74119420000.0,54226797000.0,51450860000.0,64853647000.0,55934490000.0,69542306000.0,75469690000.0,59342238000.0,74017090000.0,76560376000.0
2040.0,72113775000.0,51671204000.0,48681464000.0,61587526000.0,54147580000.0,67377940000.0,73753740000.0,56984105000.0,71243520000.0,75327530000.0
2041.0,69903120000.0,49007755000.0,45970973000.0,59031392000.0,51317280000.0,65498305000.0,71491540000.0,54721278000.0,68281110000.0,72270700000.0
2042.0,68269277000.0,46666810000.0,43396910000.0,56237860000.0,49131176000.0,63729754000.0,70408585000.0,51869835000.0,66617086000.0,71237430000.0
2043.0,65769460000.0,44553482000.0,41140388000.0,54234575000.0,46939746000.0,62193920000.0,68221235000.0,49788236000.0,64604240000.0,69784265000.0
2044.0,63818770000.0,42619298000.0,38861730000.0,52931195000.0,44348870000.0,60207534000.0,66654800000.0,47386616000.0,63502143000.0,67555090000.0
2045.0,62707070000.0,40767290000.0,36435915000.0,50146710000.0,42063650000.0,58085794000.0,64372036000.0,44764664000.0,61118580000.0,66482872000.0
2046.0,61302407000.0,38144600000.0,34499190000.0,47989604000.0,39622623000.0,56532170000.0,61985124000.0,41930433000.0,58508927000.0,64462115000.0
2047.0,58527190000.0,36433105000.0,32339628000.0,45727298000.0,37070803000.0,54415995000.0,59508970000.0,40162640000.0,56660950000.0,62517977000.0
2048.0,56541020000.0,35168980000.0,30244720000.0,43600708000.0,34731670000.0,52972010000.0,57861366000.0,38831833000.0,54417457000.0,60160730000.0
2049.0,55332106000.0,33343773000.0,28163916000.0,42173010000.0,32520411000.0,50456535000.0,55759830000.0,36472893000.0,52108247000.0,57691427000.0
2050.0,53286990000.0,31879885000.0,26576849000.0,40586383000.0,30771167000.0,49048203000.0,53531697000.0,34589704000.0,51053260000.0,55862972000.0
2051.0,51288130000.0,30870768000.0,24709652000.0,38878482000.0,29385690000.0,47576520000.0,51783074000.0,32546454000.0,49584060000.0,54671303000.0
2052.0,50253115000.0,29666257000.0,22981380000.0,37307044000.0,27955823000.0,45714555000.0,49371652000.0,30887344000.0,48136487000.0,53744940000.0
2053.0,48398620000.0,28279350000.0,21503592000.0,35240680000.0,26561071000.0,42901697000.0,48368554000.0,29195262000.0,46700050000.0,51460500000.0
2054.0,45921358000.0,27549907000.0,20372662000.0,33985382000.0,25310884000.0,40819954000.0,45998494000.0,27541450000.0,45904003000.0,49916375000.0
2055.0,43993990000.0,26481707000.0,19042610000.0,32815930000.0,23887942000.0,38988780000.0,44460585000.0,26287931000.0,44245510000.0,48529723000.0
2056.0,42871464000.0,25324790000.0,17654993000.0,30843425000.0,22668030000.0,38110420000.0,42850243000.0,24704172000.0,42584257000.0,46537750000.0
2057.0,41463013000.0,24176030000.0,16524618000.0,29255230000.0,21816885000.0,36877877000.0,41008796000.0,23073726000.0,40347234000.0,45690098000.0
2058.0,39405285000.0,23414120000.0,15274419000.0,27836475000.0,20873790000.0,35705647000.0,40099045000.0,21856674000.0,39338484000.0,44776956000.0
2059.0,37732413000.0,22165774000.0,14426789000.0,26514020000.0,19591748000.0,33896184000.0,38708056000.0,20731998000.0,38270448000.0,43096736000.0
2060.0,36376940000.0,21308133000.0,13467279000.0,25370634000.0,18741672000.0,32783288000.0,37455348000.0,19641393000.0,37310603000.0,40555897000.0
2061.0,35138593000.0,20811910000.0,12513528000.0,23883233000.0,17824012000.0,31942030000.0,35654357000.0,18659010000.0,36145582000.0,39224850000.0
2062.0,34051336000.0,19754617000.0,11601417000.0,22728184000.0,16722949000.0,31097266000.0,34509894000.0,17746854000.0,34903080000.0,38198300000.0
2063.0,32834308000.0,18849702000.0,10889169000.0,21653754000.0,15936205000.0,29732837000.0,32329830000.0,16974892000.0,33590565000.0,36751077000.0
2064.0,31077577000.0,17785328000.0,10330552000.0,20563968000.0,15380625000.0,29251086000.0,30667872000.0,16412951000.0,32814094000.0,35879952000.0
2065.0,29874878000.0,16982245000.0,9800269000.0,19551963000.0,14334200000.0,28397795000.0,29503031000.0,15734596000.0,31748213000.0,34681364000.0
2066.0,28163727000.0,16231444000.0,9261354000.0,18430482000.0,13925578000.0,27207887000.0,27763393000.0,14961032000.0,30732628000.0,33584574000.0
2067.0,27065543000.0,15423590000.0,8878589000.0,17801910000.0,13566606000.0,26224835000.0,26168056000.0,14192773000.0,29336690000.0,32727777000.0
2068.0,25919785000.0,14836171000.0,8340833300.0,17060561000.0,12981045000.0,25599994000.0,24944703000.0,13629046000.0,28246485000.0,31736828000.0
2069.0,24627606000.0,14077049000.0,7970257400.0,16360966000.0,12537946000.0,25378804000.0,23891880000.0,13063539000.0,27261125000.0,30566480000.0
2070.0,23433748000.0,13562081000.0,7658805000.0,15826384000.0,12094946000.0,24703800000.0,22779402000.0,12349910000.0,25909205000.0,29894533000.0
2071.0,22648924000.0,12961912000.0,7418774000.0,14870124000.0,11649927000.0,23932013000.0,21451321000.0,11744368000.0,25020990000.0,28862564000.0
2072.0,21703199000.0,12410896000.0,7152967700.0,14218210000.0,11254285000.0,23575615000.0,20596566000.0,11246545000.0,24014422000.0,28183794000.0
2073.0,20872548000.0,11943563000.0,6901635000.0,13731442000.0,10987952000.0,22914068000.0,19844674000.0,10839537000.0,23064347000.0,27329346000.0
2074.0,19656634000.0,11392559000.0,6667885600.0,13179403000.0,10689442000.0,22158363000.0,18981343000.0,10233371000.0,22093154000.0,26449125000.0
2075.0,19083858000.0,10829877000.0,6460690000.0,12701109000.0,10318868000.0,21556690000.0,18044137000.0,9910413000.0,21543795000.0,25458760000.0
2076.0,18043052000.0,10469297000.0,6231914500.0,12212781000.0,10048724000.0,21291320000.0,17179927000.0,9503477000.0,20545145000.0,24573303000.0
2077.0,16835976000.0,10000634000.0,5991504000.0,11620486000.0,9713309000.0,20832630000.0,16183047000.0,9095855000.0,19924310000.0,23507208000.0
2078.0,16136519000.0,9695990000.0,5812888000.0,11148871000.0,9526812000.0,20275591000.0,15818117000.0,8624714000.0,19163994000.0,22489068000.0
2079.0,15242584000.0,9459898000.0,5587683000.0,10776573000.0,9294833000.0,19776100000.0,15183287000.0,8179481000.0,18496074000.0,21179759000.0
2080.0,14653412000.0,9117482000.0,5467725300.0,10403362000.0,8952503000.0,19533600000.0,14390400000.0,7885149000.0,17707831000.0,20119216000.0
2081.0,14145367000.0,8839970000.0,5260178400.0,10065482000.0,8630668000.0,18848310000.0,13606723000.0,7547650000.0,17003630000.0,19420991000.0
2082.0,13515865000.0,8563992000.0,5074640400.0,9741924000.0,8293537300.0,18523314000.0,12992657000.0,7201313000.0,16431858000.0,18789202000.0
2083.0,12940578000.0,8252084700.0,4870107000.0,9400966000.0,8134908400.0,18284982000.0,12583228000.0,6933010000.0,15754752000.0,18156087000.0
2084.0,12321852000.0,8137838000.0,4755053000.0,9145537000.0,7940755500.0,18010874000.0,11884985000.0,6626792000.0,15384846000.0,17330029000.0
2085.0,11934258000.0,7891730000.0,4522612000.0,8901671000.0,7641306000.0,17757508000.0,11278573000.0,6410063400.0,14843768000.0,16675694000.0
2086.0,11455267000.0,7718200000.0,4309929000.0,8635933000.0,7457082000.0,17437130000.0,10862023000.0,6174852000.0,14304848000.0,15790593000.0
2087.0,10977892000.0,7509075500.0,4150793000.0,8421713000.0,7227380000.0,17224737000.0,10503489000.0,5947281400.0,14087715000.0,15336150000.0
2088.0,10684014000.0,7306921500.0,4022924500.0,8195170300.0,6986509000.0,16823125000.0,10066043000.0,5722681300.0,13729929000.0,14538647000.0
2089.0,10330822000.0,7077651500.0,3866708500.0,7989409300.0,6849810000.0,16224877000.0,9933683000.0,5475794400.0,13022633000.0,13962718000.0
2090.0,9990225000.0,6807322600.0,3728958000.0,7714645500.0,6676291600.0,15750734000.0,9524390000.0,5278043000.0,12754065000.0,13375429000.0
2091.0,9637489000.0,6666147000.0,3662945800.0,7469348400.0,6443895300.0,15456187000.0,9106349000.0,5109003300.0,12233974000.0,12771558000.0
2092.0,9451237000.0,6393327600.0,3514331400.0,7226591700.0,6204909000.0,14947061000.0,8719241000.0,4937512400.0,11859035000.0,11897776000.0
2093.0,9192197000.0,6198650400.0,3383049700.0,7064737000.0,6036158500.0,14462498000.0,8384779000.0,4799953000.0,11389771000.0,11267016000.0
2094.0,8952619000.0,5983898600.0,3240118300.0,6847740000.0,5865774000.0,14166303000.0,8037880000.0,4606290400.0,10954591000.0,10952173000.0
2095.0,8654923000.0,5892288500.0,3116100900.0,6655204400.0,5741746000.0,13760216000.0,7793182000.0,4483050000.0,10731909000.0,10565906000.0
2096.0,8439410700.0,5733456400.0,3000915500.0,6594015700.0,5503035400.0,13486557000.0,7550338000.0,4329055000.0,10453688000.0,10023279000.0
2097.0,8322077700.0,5598740500.0,2884682200.0,6326477000.0,5305083400.0,13327508000.0,7296656400.0,4165560600.0,10113152000.0,9607464000.0
2098.0,8000228400.0,5411349000.0,2782950400.0,6119885000.0,5205546000.0,12939788000.0,7024859600.0,4057613600.0,9707356000.0,9257360000.0
2099.0,7815186400.0,5274582500.0,2636141600.0,5941378000.0,5002896400.0,12792373000.0,6752990700.0,3957634000.0,9456159000.0,8992900000.0
2100.0,7618495000.0,5181404700.0,2548079400.0,5683266600.0,4876212700.0,12336672000.0,6580450300.0,3854719700.0,9077363000.0,8819216000.0
