time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2000.0,155883043170000.0,155881901470000.0,155866146363000.0
2001.0,155779205191000.0,155778105191000.0,155762353550000.0
2002.0,155592127748000.0,155591052348000.0,155575328892000.0
2003.0,155262743320000.0,155261669120000.0,155245707210000.0
2004.0,154956107467000.0,154955008967000.0,154938595766000.0
2005.0,154710417164000.0,154709324204000.0,154692719474000.0
2006.0,154504724079000.0,154503616479000.0,154487066707000.0
2007.0,154215587104000.0,154214481104000.0,154198038507000.0
2008.0,153815662943000.0,153814566573000.0,153798266630000.0
2009.0,153551803537000.0,153550704337000.0,153534776627000.0
2010.0,153044885850000.0,153043792720000.0,153027751671000.0
2011.0,152686289981000.0,152685209731000.0,152669192819000.0
2012.0,152331033509000.0,152329968009000.0,152314108145000.0
2013.0,152009992826000.0,152008935176000.0,151993162416000.0
2014.0,151673157868000.0,151672102428000.0,151656316362000.0
2015.0,151502829550000.0,151501770910000.0,151485868690000.0
2016.0,151212590709000.0,151211499659000.0,151195516620000.0
2017.0,150794690001000.0,150793643341000.0,150777608080000.0
2018.0,150379787446000.0,150378744646000.0,150362737758000.0
2019.0,150123630180000.0,150122622880000.0,150106604024000.0
2020.0,149684129552000.0,149683109412000.0,149666958840000.0
2021.0,148996902949000.0,149144650291000.0,149259314215000.0
2022.0,148354436350000.0,148607197590000.0,148798696683000.0
2023.0,147787928817000.0,148054644864000.0,148360891947000.0
2024.0,147302432876000.0,147447465964000.0,147924477263000.0
2025.0,146650199467000.0,147083337484000.0,147567172040000.0
2026.0,145883161320000.0,146657144146000.0,147147737167000.0
2027.0,145127227240000.0,146206272658000.0,146678824964000.0
2028.0,144382599689000.0,145867408816000.0,146085000321000.0
2029.0,143740149751000.0,145162424768000.0,145391670872000.0
2030.0,143003207427000.0,144479839618000.0,144969271874000.0
2031.0,142285379312000.0,143839047430000.0,144524869219000.0
2032.0,141567163381000.0,143202026974000.0,143876301848000.0
2033.0,140627543420000.0,142436909772000.0,143308761231000.0
2034.0,139828059028000.0,141765192503000.0,142825662473000.0
2035.0,138977604615000.0,141147956972000.0,142292650568000.0
2036.0,138185774719000.0,140394569231000.0,141753500062000.0
2037.0,137525428011000.0,139790942904000.0,141342697774000.0
2038.0,136821509772000.0,139084381182000.0,140736812591000.0
2039.0,136027951905000.0,138403940387000.0,140083626907000.0
2040.0,135061680637000.0,137867617337000.0,139477721210000.0
2041.0,134215462058000.0,137413775735000.0,138924789212000.0
2042.0,133113201809000.0,136799185311000.0,138421185220000.0
2043.0,131944334498000.0,136035003093000.0,137947379806000.0
2044.0,131132170282000.0,135366098392000.0,137371384805000.0
2045.0,130391863702000.0,134729994616000.0,136581825429000.0
2046.0,129570108199000.0,134158759930000.0,135908989109000.0
2047.0,128813038712000.0,133656601441000.0,135298020802000.0
2048.0,128021163018000.0,132939121870000.0,134843075272000.0
2049.0,127042253700000.0,132401412168000.0,134357522909000.0
2050.0,126248850546000.0,131858454270000.0,133830221676000.0
2051.0,125570168800000.0,130981509101000.0,133524239898000.0
2052.0,124641604552000.0,130210492517000.0,132992319814000.0
2053.0,123691894511000.0,129631926009000.0,132476221486000.0
2054.0,122834958236000.0,128922515391000.0,132015038557000.0
2055.0,122018137243000.0,128251415693000.0,131461845573000.0
2056.0,121185935886000.0,127538957349000.0,131108069092000.0
2057.0,120312717993000.0,126870421435000.0,130777504900000.0
2058.0,119430847695000.0,126346927502000.0,130482443522000.0
2059.0,118456915708000.0,125684716225000.0,130233670267000.0
2060.0,117549459945000.0,125078628765000.0,129873537202000.0
2061.0,116464909903000.0,124513996176000.0,129312820787000.0
2062.0,115399801567000.0,123913031472000.0,128875390534000.0
2063.0,114327477390000.0,123359830479000.0,128468595513000.0
2064.0,113362218963000.0,122841851022000.0,128044041977000.0
2065.0,112374708609000.0,122339240146000.0,127674581951000.0
2066.0,111457972691000.0,121525058945000.0,127249096171000.0
2067.0,110594241861000.0,120904956707000.0,126966249879000.0
2068.0,109809493557000.0,120176767713000.0,126385379764000.0
2069.0,108971508695000.0,119632188447000.0,125970083603000.0
2070.0,108164762678000.0,119140007342000.0,125641405473000.0
2071.0,107270826983000.0,118579523550000.0,125296237038000.0
2072.0,106314507505000.0,118215131495000.0,124915712279000.0
2073.0,105494384656000.0,117659893782000.0,124576713846000.0
2074.0,104617264992000.0,117270473053000.0,124244030997000.0
2075.0,103872025876000.0,116945304749000.0,123777757482000.0
2076.0,103061264832000.0,116575548430000.0,123352881493000.0
2077.0,102373842266000.0,116147638991000.0,123047981343000.0
2078.0,101640962219000.0,115759786258000.0,122722932800000.0
2079.0,100791280213000.0,115296059699000.0,122509657308000.0
2080.0,99725770973000.0,114796821214000.0,122178187161000.0
2081.0,99017203495000.0,114272298735000.0,121803920532000.0
2082.0,98363931779000.0,113939708649000.0,121532189743000.0
2083.0,97756183870000.0,113412146459000.0,121291775493000.0
2084.0,97069632535000.0,112938539372000.0,120858011378000.0
2085.0,96431730524000.0,112481299200000.0,120660684809000.0
2086.0,95794694780000.0,111872727939000.0,120329698771000.0
2087.0,95210131256000.0,111375362650000.0,119979500734000.0
2088.0,94479605869000.0,111048626797000.0,119831215653000.0
2089.0,93832736155000.0,110630111178000.0,119746465558000.0
2090.0,93035437437000.0,110156155958000.0,119502829764000.0
2091.0,92255384160000.0,109536352946000.0,119243225890000.0
2092.0,91509311889000.0,109076667736000.0,119053740658000.0
2093.0,90680133180000.0,108595444908000.0,118835388464000.0
2094.0,89973994662000.0,108127649514000.0,118616824652000.0
2095.0,89332556897000.0,107700447937000.0,118302726968000.0
2096.0,88700839380000.0,107260328661000.0,118077741141000.0
2097.0,88024405641000.0,106843211584000.0,117737805417000.0
2098.0,87345125557000.0,106406246110000.0,117407776266000.0
2099.0,86572107683000.0,105953560809000.0,117151649038000.0
2100.0,85904134264000.0,105501223501000.0,116897144196000.0
2101.0,85285154443000.0,104960932135000.0,116537386857000.0
2102.0,84639434612000.0,104594759743000.0,116266717301000.0
2103.0,84000140359000.0,104084100742000.0,116123199999000.0
2104.0,83232795268000.0,103616027260000.0,115759851686000.0
2105.0,82635296349000.0,103188402968000.0,115403473818000.0
2106.0,82085040467000.0,102758978143000.0,115146073051000.0
2107.0,81505434649000.0,102338242640000.0,114872076795000.0
2108.0,80959809926000.0,101928051607000.0,114508797730000.0
2109.0,80341972335000.0,101376528311000.0,114238104584000.0
2110.0,79673117887000.0,100975867398000.0,113943271560000.0
2111.0,79002283997000.0,100537891861000.0,113663215910000.0
2112.0,78446501893000.0,100127455540000.0,113439051512000.0
2113.0,77877955404000.0,99669273600000.0,113270207875000.0
2114.0,77378786507000.0,99246591541000.0,113057593981000.0
2115.0,76907241628000.0,98786463500000.0,112887635085000.0
2116.0,76394904276000.0,98336030796000.0,112668206170000.0
2117.0,75742313347000.0,98033182493000.0,112458033263000.0
2118.0,75212313029000.0,97799920951000.0,112101339174000.0
2119.0,74728108696000.0,97390503883000.0,111833703042000.0
2120.0,74129130196000.0,97131092560000.0,111728157089000.0
2121.0,73618559759000.0,96767396575000.0,111621475018000.0
2122.0,73177891967000.0,96410376902000.0,111410719826000.0
2123.0,72668319740000.0,96073676497000.0,111271097497000.0
2124.0,72239768879000.0,95787368391000.0,111213477884000.0
2125.0,71747861571000.0,95424207784000.0,111016532065000.0
2126.0,71363250160000.0,95047985817000.0,110874342452000.0
2127.0,71082865217000.0,94828656286000.0,110657438579000.0
2128.0,70594083135000.0,94444094716000.0,110399688774000.0
2129.0,70234407642000.0,93972794764000.0,110166259703000.0
2130.0,69761160329000.0,93678282990000.0,110034235461000.0
2131.0,69331390469000.0,93402686764000.0,109819753316000.0
2132.0,68965936644000.0,93150060502000.0,109680785123000.0
2133.0,68431603968000.0,92949691237000.0,109408424886000.0
2134.0,68078966376000.0,92670522889000.0,109163122394000.0
2135.0,67645698761000.0,92471390869000.0,109038815702000.0
2136.0,67189631916000.0,92238147967000.0,108862454882000.0
2137.0,66748968222000.0,91741203814000.0,108681234321000.0
2138.0,66295932099000.0,91471537127000.0,108397184708000.0
2139.0,65851518021000.0,91119892111000.0,108324355638000.0
2140.0,65399168788000.0,90890734308000.0,108207108974000.0
2141.0,64957084192000.0,90582927960000.0,107977216611000.0
2142.0,64589948714000.0,90320162481000.0,107834669673000.0
2143.0,64036521184000.0,90027740291000.0,107689006424000.0
2144.0,63591352400000.0,89890665013000.0,107534875022000.0
