time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2000.0,155880787820000.0,155882969770000.0,155883043170000.0,155877516084000.0
2001.0,155776983891000.0,155779133191000.0,155779205191000.0,155773714179000.0
2002.0,155589941588000.0,155592057848000.0,155592127748000.0,155586666832000.0
2003.0,155260580670000.0,155262674020000.0,155262743320000.0,155257205328000.0
2004.0,154953925267000.0,154956040167000.0,154956107467000.0,154950399525000.0
2005.0,154708239294000.0,154710352284000.0,154710417164000.0,154704654172000.0
2006.0,154502527419000.0,154504661169000.0,154504724079000.0,154498978788000.0
2007.0,154213399104000.0,154215526504000.0,154215587104000.0,154209861780000.0
2008.0,153813498073000.0,153815604943000.0,153815662943000.0,153809998420000.0
2009.0,153549631437000.0,153551747897000.0,153551803537000.0,153546284072000.0
2010.0,153042735850000.0,153044833250000.0,153044885850000.0,153039330520000.0
2011.0,152684123531000.0,152686241631000.0,152686289981000.0,152680775924000.0
2012.0,152328862909000.0,152330987949000.0,152331033509000.0,152325586272000.0
2013.0,152007828246000.0,152009951146000.0,152009992826000.0,152004581546000.0
2014.0,151670996668000.0,151673116668000.0,151673157868000.0,151667741281000.0
2015.0,151500679360000.0,151502790510000.0,151502829550000.0,151497400110000.0
2016.0,151210398009000.0,151212553509000.0,151212590709000.0,151207152235000.0
2017.0,150792537931000.0,150794656001000.0,150794690001000.0,150789292845000.0
2018.0,150377652286000.0,150379755086000.0,150379787446000.0,150374427732000.0
2019.0,150121514850000.0,150123599620000.0,150123630180000.0,150118298724000.0
2020.0,149681997352000.0,149684100852000.0,149684129552000.0,149678776070000.0
2021.0,149223100486000.0,149086716024000.0,149279990390000.0,149267686834000.0
2022.0,148685126477000.0,148676382903000.0,148856488865000.0,148813058129000.0
2023.0,148198819907000.0,148182252346000.0,148268308165000.0,148246489885000.0
2024.0,147711165600000.0,147621411400000.0,147528241004000.0,147805967168000.0
2025.0,147309045107000.0,147091754517000.0,146828404932000.0,147362106023000.0
2026.0,146772658345000.0,146644084743000.0,146127883104000.0,146810157765000.0
2027.0,146268732788000.0,146115299232000.0,145374062635000.0,146307431100000.0
2028.0,145742774101000.0,145765006177000.0,144752226908000.0,145775414830000.0
2029.0,145243862545000.0,145246719191000.0,144114510570000.0,145099525302000.0
2030.0,144978346924000.0,144580606060000.0,143217438082000.0,144308236495000.0
2031.0,144500556890000.0,143911862010000.0,142347944192000.0,143837060572000.0
2032.0,144126698840000.0,143569044467000.0,141446032103000.0,143305626670000.0
2033.0,143551652464000.0,142973826717000.0,140500536780000.0,142622378761000.0
2034.0,142739341958000.0,142471311417000.0,139550030654000.0,142115406206000.0
2035.0,142136133395000.0,141807929288000.0,138664840081000.0,141589308945000.0
2036.0,141550970514000.0,141333674500000.0,137638797476000.0,141127622562000.0
2037.0,140961296649000.0,140630044783000.0,136576824851000.0,140545250905000.0
2038.0,140421099504000.0,139876986276000.0,135575261978000.0,139987245068000.0
2039.0,139898182470000.0,139170299482000.0,134479181935000.0,139401055186000.0
2040.0,139263872406000.0,138610910853000.0,133654231521000.0,138759800401000.0
2041.0,138761125689000.0,137833445892000.0,132620640943000.0,138211938016000.0
2042.0,137932476440000.0,137072421358000.0,131656845996000.0,137697752761000.0
2043.0,137443672125000.0,136092104719000.0,130680538556000.0,137185591595000.0
2044.0,136741575727000.0,135403811371000.0,129556079080000.0,136599700984000.0
2045.0,135981194831000.0,134598605045000.0,128226536737000.0,135963913842000.0
2046.0,135327146548000.0,133663715442000.0,127141786433000.0,135303533456000.0
2047.0,134551491631000.0,132881995829000.0,126111174324000.0,134751318011000.0
2048.0,133756314016000.0,132215416270000.0,124936188688000.0,134168305377000.0
