time,CESM1-CAM5,CCSM4
2000.0,155883043170000.0,155883042170000.0
2001.0,155779205191000.0,155779204191000.0
2002.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262742320000.0
2004.0,154956107467000.0,154956106467000.0
2005.0,154710417164000.0,154710416164000.0
2006.0,154504724079000.0,154504723079000.0
2007.0,154215587104000.0,154215586104000.0
2008.0,153815662943000.0,153815661943000.0
2009.0,153551803537000.0,153551802537000.0
2010.0,153044885850000.0,153044884850000.0
2011.0,152686289981000.0,152686288981000.0
2012.0,152331033509000.0,152331032509000.0
2013.0,152009992826000.0,152009991826000.0
2014.0,151673157868000.0,151673156868000.0
2015.0,151502829550000.0,151502828550000.0
2016.0,151212590709000.0,151212589709000.0
2017.0,150794690001000.0,150794689001000.0
2018.0,150379787446000.0,150379786446000.0
2019.0,150123630180000.0,150123628180000.0
2020.0,149684129552000.0,149684128552000.0
2021.0,149031659514000.0,149334798293000.0
2022.0,148495547394000.0,148990890733000.0
2023.0,147989226329000.0,148552287868000.0
2024.0,147371117429000.0,148145601350000.0
2025.0,146806531090000.0,147730354358000.0
2026.0,146230268031000.0,147186695927000.0
2027.0,145609059221000.0,146878542967000.0
2028.0,144899237797000.0,146517651841000.0
2029.0,144064313574000.0,146044198778000.0
2030.0,143291856519000.0,145453686605000.0
2031.0,142641573765000.0,145107195084000.0
2032.0,142004039886000.0,144746072065000.0
2033.0,141242714940000.0,144271987757000.0
2034.0,140580509112000.0,143741983860000.0
2035.0,139894446227000.0,143263229777000.0
2036.0,139276121096000.0,142929257440000.0
2037.0,138408484313000.0,142330729174000.0
2038.0,137586876680000.0,142026072463000.0
2039.0,136836326503000.0,141356450675000.0
2040.0,136022768165000.0,140795005204000.0
2041.0,135242060426000.0,140310223489000.0
2042.0,134383273056000.0,139579513840000.0
2043.0,133566527485000.0,139082090467000.0
2044.0,132924876361000.0,138486954039000.0
2045.0,132098097477000.0,137937437761000.0
2046.0,131306464455000.0,137337829233000.0
2047.0,130266228819000.0,136758390829000.0
2048.0,129441164919000.0,136179019432000.0
2049.0,128772601549000.0,135383062451000.0
2050.0,127693035379000.0,134714700174000.0
2051.0,126598330911000.0,134096777804000.0
2052.0,125600415722000.0,133429055672000.0
2053.0,124525776419000.0,132854741286000.0
2054.0,123799242351000.0,132081159227000.0
2055.0,122920263202000.0,131358934374000.0
2056.0,121976304857000.0,130647892804000.0
2057.0,120970620406000.0,129961803163000.0
2058.0,120130985969000.0,129313466100000.0
2059.0,118978011883000.0,128573888159000.0
2060.0,117529635077000.0,128001820875000.0
2061.0,116489161522000.0,127238015967000.0
2062.0,115436151834000.0,126360235609000.0
2063.0,114446472030000.0,125567216556000.0
2064.0,113269175211000.0,124821909521000.0
2065.0,112025610527000.0,124066343685000.0
2066.0,110636530547000.0,123401735452000.0
2067.0,109367415599000.0,122769697963000.0
2068.0,108229430266000.0,121987437877000.0
2069.0,106997469806000.0,121181285626000.0
2070.0,105794768925000.0,120326853809000.0
2071.0,104651513329000.0,119523886341000.0
2072.0,103390235914000.0,118757829586000.0
2073.0,102318056681000.0,117906507900000.0
2074.0,101206547985000.0,117041222490000.0
2075.0,99987281125000.0,116112745592000.0
2076.0,98732217190000.0,115177782489000.0
2077.0,97306460597000.0,114231648718000.0
2078.0,96144195528000.0,113346842515000.0
2079.0,94948000147000.0,112465125631000.0
2080.0,93621433351000.0,111734963380000.0
2081.0,92347828911000.0,111116955236000.0
2082.0,91096310731000.0,110111050842000.0
2083.0,89801507747000.0,109244255353000.0
2084.0,88363898822000.0,108266966513000.0
2085.0,87068836127000.0,107366966778000.0
2086.0,85789874342000.0,106639966372000.0
2087.0,84371951995000.0,105716068008000.0
2088.0,82907722170000.0,104750435077000.0
2089.0,81588019386300.0,103878588647000.0
2090.0,80500950613000.0,102963808372000.0
2091.0,79113396386600.0,101873764535000.0
2092.0,77873317663700.0,100874324924000.0
2093.0,76704061495000.0,99881899853000.0
2094.0,75545566721400.0,98828529622000.0
2095.0,74275058663600.0,97967332896000.0
