time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2109.0,61905682662980.0,76154588222470.0,58532559115050.0
2110.0,60610988824000.0,75162080691020.0,57405615843100.0
2111.0,59230402667560.0,74056337596260.0,56162166752460.0
2112.0,57727735332240.0,73061877791850.0,54988449378800.0
2113.0,56420499523174.0,71906915645160.0,54067301804700.0
2114.0,55059545192790.0,70946103235110.0,53045401559600.0
2115.0,53825220520060.0,70032785085000.0,51909973475400.0
2116.0,52671573497580.0,69127969766440.0,50927994499400.0
2117.0,51431750301830.0,68183591330340.0,49910880066800.0
2118.0,50411478471520.0,67253524843920.0,48870088400300.0
2119.0,49336598632090.0,66355709970120.0,47923792636700.0
2120.0,48382370731986.0,65377156239620.0,47064223995400.0
2121.0,47327707476110.0,64348219466700.0,46212151618400.0
2122.0,46306073190424.0,63423152793320.0,45322838759940.0
2123.0,45387681799386.0,62414989746610.0,44495259897810.0
2124.0,44442417827586.0,61470402577020.0,43804916186930.0
2125.0,43407299765060.0,60498696134640.0,43044427724600.0
2126.0,42432819563936.0,59571602412190.0,42184951346680.0
2127.0,41361513927960.0,58696019733110.0,41417006290800.0
2128.0,40502419873320.0,57680693716630.0,40527036358440.0
2129.0,39461883725516.0,56815708640170.0,39677229968360.0
2130.0,38482113359290.0,55869883805140.0,38975883397400.0
2131.0,37447281531386.0,54989623971370.0,38104157173560.0
2132.0,36597584364140.0,54126566336580.0,37358707143900.0
2133.0,35777534667724.0,53303859040180.0,36542449727000.0
2134.0,34966145059292.0,52390477412436.0,35847706899200.0
2135.0,34279738756644.0,51572617375670.0,35109325015900.0
2136.0,33478649716022.0,50823832792680.0,34222655315460.0
2137.0,32679006060828.0,50026714659030.0,33470332614960.0
2138.0,31860723023800.0,49300572638896.0,32678596359640.0
2139.0,31044682657372.0,48519243819170.0,31936328465760.0
2140.0,30290945443280.0,47708562186740.0,31265971217040.0
2141.0,29415577579080.0,46954325451246.0,30668258710540.0
2142.0,28693513292210.0,46280500965000.0,30068998375100.0
2143.0,27954525970476.0,45481846100456.0,29408072282590.0
2144.0,27249230241016.0,44688646127784.0,28777066972010.0
2145.0,26416172762716.0,43965293110168.0,28072208681420.0
2146.0,25667394026840.0,43245939363084.0,27407033944460.0
2147.0,25023962491352.0,42574269547682.0,26748674270070.0
2148.0,24221542377020.0,41846978572544.0,26158249413030.0
2149.0,23547670906758.0,41208337889964.0,25606484772410.0
2150.0,22797564405806.0,40652542842986.0,25126658434300.0
2151.0,22038336874748.0,40005866603750.0,24529415240210.0
2152.0,21297138004500.0,39303316724542.0,24020161356900.0
2153.0,20536846644954.0,38573910594526.0,23575422191390.0
2154.0,19854313348361.0,37967995641318.0,22966199580170.0
2155.0,19184654323191.0,37372358250970.0,22599037732430.0
2156.0,18627427007140.0,36872618984554.0,22096293671180.0
2157.0,18067896982499.0,36305714809898.0,21593753230320.0
2158.0,17510115422338.0,35765469417316.0,21116740796170.0
2159.0,16951104173608.0,35140314576196.0,20662466922900.0
2160.0,16326315509203.5,34642985782536.0,20213543272470.0
2161.0,15706054103978.0,34161764362604.0,19822160865250.0
2162.0,15068385819738.0,33669250954312.0,19407511931410.0
2163.0,14475104351127.5,33208338625740.0,19114532430050.0
2164.0,13852468081727.5,32748569444879.0,18781519601090.0
2165.0,13353480933494.5,32257744545802.0,18403715799310.0
2166.0,12737667692473.0,31762184048510.0,18060999642700.0
2167.0,12130970443719.0,31329327326408.0,17768643226710.0
2168.0,11651362022005.2,30880356785347.0,17345262628976.0
2169.0,11161686885539.5,30411938944483.0,16990898106040.0
2170.0,10634833657027.8,29976124348850.0,16635900815816.0
2171.0,10118162735844.0,29618935254086.0,16279194776910.0
2172.0,9678601766920.8,29285876792221.0,15912981960290.0
2173.0,9239728046494.2,28931522140041.5,15585256978590.0
2174.0,8770463944152.1,28603640115825.5,15254985003330.0
2175.0,8281387374062.2,28319408522071.5,14963275689840.0
2176.0,7871535520344.8,27968682510941.0,14727082580790.0
2177.0,7462357756083.9,27655032374650.0,14429624798220.0
2178.0,7076786849988.1,27330402103186.5,14180549637356.0
2179.0,6677973101276.5,26979948725458.8,13917991381630.0
2180.0,6297349220514.3,26663819704589.8,13623467182016.0
2181.0,5954302275097.84,26347615688074.2,13349802989140.0
2182.0,5557432884839.27,26055575527989.0,13065550773486.0
2183.0,5217894937329.471,25768805046808.5,12809070996960.0
2184.0,4915353902825.0,25497577836670.0,12532607271454.0
2185.0,4628066492096.0,25234964806755.2,12248414238928.0
2186.0,4288643631314.5,24966530441050.2,11996140875414.0
2187.0,3994634348003.5,24698816106928.5,11744157826548.0
2188.0,3754062838581.8,24424048113172.0,11515353275920.0
2189.0,3474184784429.0,24161289465905.8,11260166985642.0
2190.0,3226279617717.5,23889701760752.5,11018783695530.0
2191.0,2999966551778.8,23642574763235.1,10845895192222.0
2192.0,2756979663366.0,23422891365613.0,10593268457210.0
2193.0,2540903580169.9,23197865987305.5,10332969529170.0
2194.0,2355402844413.5,22964135001533.2,10098544801920.0
2195.0,2194279512580.03,22766212374164.0,9836639491268.0
2196.0,2047992194621.72,22547527500585.4,9619585894858.0
2197.0,1905967035607.97,22311772880571.5,9394685984648.0
2198.0,1785264073305.94,22167043743200.75,9206573717004.0
2199.0,1662232386559.96,21983755483727.7,9032647650214.0
