time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-CM3,CESM1-CAM5,CNRM-CM5,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CANESM2
2041.0,46532820000.0,43007950000.0,43966415000.0,46732575000.0,23240740000.0,42485140000.0,48879292000.0,43796677000.0,52833026000.0,61541822000.0,39214790000.0
2042.0,44716190000.0,41301643000.0,44276690000.0,45075358000.0,21690986000.0,41918804000.0,46717415000.0,41327997000.0,52403515000.0,61164740000.0,36129706000.0
2043.0,40875200000.0,39911113000.0,44295710000.0,44036497000.0,18904775000.0,41455276000.0,44595433000.0,40339137000.0,52478610000.0,57593954000.0,33617998000.0
2044.0,38137876000.0,38624890000.0,44129833000.0,42943226000.0,16818240000.0,39950954000.0,43120136000.0,39945343000.0,52784333000.0,55007162000.0,31036985000.0
2045.0,37711614000.0,36421108000.0,44102767000.0,40978220000.0,15692122000.0,38136770000.0,42495130000.0,37395157000.0,49916264000.0,53630000000.0,30420488000.0
2046.0,37856567000.0,35783530000.0,44169826000.0,39445246000.0,15331877000.0,38101717000.0,41468547000.0,36139995000.0,49955230000.0,52893585000.0,29297592000.0
2047.0,37321163000.0,33014493000.0,43088340000.0,37728387000.0,14744163000.0,34977006000.0,40196560000.0,34384007000.0,49182147000.0,51452710000.0,28096733000.0
2048.0,35815840000.0,30855922000.0,42302350000.0,36001820000.0,14261158000.0,33836726000.0,39042910000.0,32775993000.0,49185006000.0,50707120000.0,27349170000.0
2049.0,35144778000.0,28722625000.0,41615004000.0,35425395000.0,13728751000.0,31850557000.0,37479270000.0,31276507000.0,47140758000.0,48271440000.0,26320464000.0
2050.0,31885003000.0,28911933000.0,41303590000.0,34319682000.0,12034464000.0,29299634000.0,37434618000.0,30730893000.0,45690737000.0,46951720000.0,24503716000.0
2051.0,31868318000.0,27875308000.0,39383507000.0,32394400000.0,10854606000.0,28040864000.0,37269537000.0,30472888000.0,44549296000.0,43853623000.0,23293034000.0
2052.0,28798700000.0,26275172000.0,36283507000.0,32301068000.0,10647492000.0,28365808000.0,36383953000.0,28150039000.0,43899960000.0,43944235000.0,22937209000.0
2053.0,27605910000.0,24935180000.0,34186860000.0,31669002000.0,9386775000.0,27749288000.0,35783377000.0,27700404000.0,42830914000.0,45000438000.0,22044455000.0
2054.0,26594853000.0,23931116000.0,32146172000.0,29206909000.0,8722850000.0,26915738000.0,34934090000.0,26859327000.0,41386107000.0,46049276000.0,21349978000.0
2055.0,24330557000.0,22956425000.0,31373820000.0,28494748000.0,8478672000.0,26107589000.0,33624992000.0,25613324000.0,39461736000.0,45823530000.0,20164307000.0
2056.0,21849307000.0,23159972000.0,29844085000.0,26856348000.0,8134248400.0,25676362000.0,32171481000.0,23518984000.0,38324170000.0,43918828000.0,19979956000.0
2057.0,21182665000.0,22110837000.0,29007432000.0,26003556000.0,7611407000.0,24971667000.0,31999502000.0,23532160000.0,38616920000.0,44274704000.0,19043066000.0
2058.0,19974207000.0,20676864000.0,27789883000.0,24610697000.0,7246640000.0,23880993000.0,30540313000.0,22600632000.0,37469778000.0,42948784000.0,18719621000.0
2059.0,19708054000.0,20863527000.0,27630432000.0,21835674000.0,7093671000.0,23461790000.0,30655445000.0,21978597000.0,37833355000.0,41063776000.0,17909240000.0
2060.0,18839101000.0,19635120000.0,27629930000.0,21232382000.0,6621935600.0,21959076000.0,29316311000.0,20990216000.0,37152970000.0,40733917000.0,17314281000.0
2061.0,18091571000.0,18260265000.0,27148261000.0,20572369000.0,5615470000.0,21381224000.0,28209947000.0,21506488000.0,36812632000.0,39611458000.0,16654502000.0
2062.0,16839795000.0,18620627000.0,27229338000.0,20161837000.0,5420499000.0,20433005000.0,26833350000.0,20151638000.0,36723753000.0,38912668000.0,16605414000.0
2063.0,15243683000.0,17900060000.0,26937426000.0,20068670000.0,5032322000.0,19321678000.0,25891320000.0,19528565000.0,35860790000.0,36360077000.0,15981860000.0
2064.0,13941604000.0,16884652000.0,27307450000.0,19601789000.0,4763237400.0,19060710000.0,25087429000.0,19294065000.0,34700444000.0,35307490000.0,15360376000.0
2065.0,12459049000.0,16148604000.0,27204108000.0,18548756000.0,4563172400.0,18564354000.0,22812460000.0,19040620000.0,35742850000.0,35776790000.0,15187569000.0
2066.0,11524389000.0,15737302000.0,26685702000.0,18221402000.0,4724914000.0,18081390000.0,22218295000.0,17894197000.0,34433360000.0,34436915000.0,15114207000.0
2067.0,10862017000.0,15669754000.0,26267169000.0,17710545000.0,4527545300.0,17563810000.0,21529590000.0,17487897000.0,35342926000.0,36162925000.0,14291431000.0
2068.0,10466759000.0,15216988000.0,26716140000.0,18052653000.0,4457552000.0,16800356000.0,20548303000.0,16882230000.0,34739180000.0,34969880000.0,14449372000.0
2069.0,10320461000.0,15398179000.0,25835356000.0,16903995000.0,4149419300.0,15943095000.0,19709317000.0,16131132000.0,35201143000.0,35374887000.0,14182519000.0
2070.0,9571864000.0,14513477000.0,24615025000.0,16473825000.0,3388302300.0,14817407000.0,19754217000.0,15818477000.0,33414970000.0,34027528000.0,13987059000.0
2071.0,8546740700.0,14318168000.0,22852565000.0,15989893000.0,3342847500.0,14177929000.0,19704445000.0,15199222000.0,32575074000.0,34074960000.0,13539765000.0
2072.0,8218260000.0,13945130000.0,22138823000.0,15137463000.0,3001165000.0,13412860000.0,18800335000.0,15015006000.0,32298803000.0,32818727000.0,13270551000.0
2073.0,7860135400.0,13425982000.0,21801728000.0,14602892000.0,2787293000.0,13041362000.0,17889743000.0,14613163000.0,31846710000.0,32568738000.0,12915224000.0
2074.0,7172232000.0,12844818000.0,21236021000.0,14516055000.0,2668708600.0,12692116000.0,17561831000.0,14165866000.0,31593662000.0,32130755000.0,12126252000.0
2075.0,6964359700.0,12409822000.0,21057085000.0,14073522000.0,2652504600.0,11938846000.0,17450396000.0,14088396000.0,31112591000.0,30585150000.0,11889451000.0
2076.0,7132670500.0,11889330000.0,19961676000.0,13506432000.0,2545688000.0,11132348000.0,16733032000.0,13640843000.0,30910286000.0,30428617000.0,10919391000.0
2077.0,7178864000.0,11677326000.0,19548623000.0,13301803000.0,2603463000.0,11003219000.0,16498633000.0,13674031000.0,31361026000.0,30963198000.0,10767027000.0
2078.0,7224690000.0,11549269000.0,19294685000.0,13359484000.0,2498771500.0,10983350000.0,16578446000.0,13538844000.0,31441007000.0,30188923000.0,10732917000.0
2079.0,6677019600.0,11528421000.0,19906245000.0,13115242000.0,2344798700.0,10210135000.0,16867363000.0,13769955000.0,32314415000.0,29536995000.0,10577239000.0
2080.0,6736529000.0,11716196000.0,19653714000.0,12345756000.0,2231239200.0,10564319000.0,16523964000.0,13606014000.0,31721260000.0,30281724000.0,9806286000.0
2081.0,6477494000.0,11690272000.0,19122928000.0,12605079000.0,2170693600.0,10113915000.0,16591643000.0,13428744000.0,31713900000.0,29392271000.0,9713053000.0
2082.0,6156499500.0,11036795000.0,18338572000.0,12519865000.0,2096962200.0,10412275000.0,15866203000.0,13135767000.0,31706552000.0,28397005000.0,9308843000.0
2083.0,5877759500.0,10622392000.0,18411307000.0,12430411000.0,2190584300.0,10823857000.0,16197783000.0,13063343000.0,30975800000.0,28094929000.0,8791394000.0
2084.0,6039820300.0,10667802000.0,18433751000.0,12713371000.0,2158103600.0,10612737000.0,16263848000.0,13040952000.0,30773230000.0,27786408000.0,8335883300.0
2085.0,5851508000.0,10411943000.0,17787562000.0,12626696000.0,2180293600.0,10173702000.0,15992065000.0,12763799000.0,30984815000.0,27977431000.0,8373307400.0
2086.0,5457101300.0,10299832000.0,17584312000.0,12530623000.0,2183711200.0,10823721000.0,15992572000.0,12729161000.0,31408243000.0,27556225000.0,8068169700.0
