time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5
2041.0,49376432000.0,48917980000.0,36536540000.0,43074454000.0,52989915000.0,38008370000.0,60688806000.0,48681402000.0,50443630000.0,56964830000.0,46890570000.0
2042.0,47960740000.0,46679257000.0,34945077000.0,40538907000.0,51121380000.0,37390803000.0,58582300000.0,50528090000.0,49413910000.0,56980607000.0,46796670000.0
2043.0,46431750000.0,46215602000.0,33100853000.0,40823357000.0,48434127000.0,36992012000.0,57462650000.0,48997890000.0,48059945000.0,53988190000.0,45884707000.0
2044.0,45899444000.0,45921677000.0,31595741000.0,39232053000.0,46511174000.0,35959304000.0,57312117000.0,48338320000.0,45375787000.0,52578365000.0,43189543000.0
2045.0,44926755000.0,44853494000.0,30176830000.0,37405655000.0,43317637000.0,33706144000.0,56395006000.0,47027966000.0,42277330000.0,52601850000.0,40904390000.0
2046.0,44881293000.0,44119888000.0,29823736000.0,36802770000.0,41947558000.0,31906144000.0,55079140000.0,45228380000.0,41131840000.0,51124216000.0,40088810000.0
2047.0,44557670000.0,42630713000.0,28220880000.0,35908796000.0,39634317000.0,30551781000.0,53748335000.0,43848647000.0,41629274000.0,48638640000.0,38463340000.0
2048.0,43588297000.0,43123550000.0,27015000000.0,34951176000.0,37118697000.0,28938598000.0,53358436000.0,43830980000.0,39594996000.0,47807967000.0,37608645000.0
2049.0,40689635000.0,43450350000.0,26082220000.0,35674313000.0,36027363000.0,28463962000.0,50521907000.0,43450675000.0,39118350000.0,47157735000.0,36929266000.0
2050.0,40050668000.0,42713190000.0,24551820000.0,32767328000.0,35591586000.0,27613794000.0,48674120000.0,41658077000.0,37735776000.0,45517607000.0,36036970000.0
2051.0,38727893000.0,42144040000.0,22958940000.0,31184345000.0,34756887000.0,26806153000.0,47980690000.0,40782905000.0,37203460000.0,44602446000.0,34508480000.0
2052.0,38600307000.0,41760063000.0,21539135000.0,31424162000.0,34309378000.0,25941790000.0,48567730000.0,40700076000.0,38306533000.0,45463376000.0,34312432000.0
2053.0,38131847000.0,40875495000.0,20192080000.0,31198730000.0,33520407000.0,25751132000.0,50087092000.0,38588030000.0,37972267000.0,43705663000.0,33036562000.0
2054.0,37293440000.0,40605450000.0,19598508000.0,31215602000.0,33235298000.0,26144686000.0,48719733000.0,36657725000.0,36106105000.0,43494007000.0,32344257000.0
2055.0,36365603000.0,39947680000.0,19551330000.0,31208804000.0,32144585000.0,25101267000.0,45919465000.0,35953270000.0,36527464000.0,41069375000.0,31169862000.0
2056.0,35840123000.0,42235470000.0,19401677000.0,29692100000.0,31516793000.0,24161593000.0,45905146000.0,35199054000.0,34814380000.0,42117833000.0,30847461000.0
2057.0,35390780000.0,42061690000.0,18910724000.0,28687560000.0,30266530000.0,23793916000.0,46100710000.0,34526890000.0,34533880000.0,41234940000.0,29171403000.0
2058.0,34797860000.0,40814590000.0,18039892000.0,28257047000.0,29261435000.0,22723879000.0,46625513000.0,33940785000.0,33554967000.0,39770310000.0,27594800000.0
2059.0,34017188000.0,41276764000.0,17662433000.0,27010195000.0,29195626000.0,23481290000.0,46110180000.0,32623921000.0,32449176000.0,40035148000.0,27340425000.0
2060.0,33835936000.0,42041774000.0,17118992000.0,27027343000.0,29001750000.0,23173680000.0,46444820000.0,33524118000.0,32189473000.0,39427977000.0,26251550000.0
2061.0,32542773000.0,44168217000.0,16813839000.0,25629868000.0,28434842000.0,22290776000.0,46856030000.0,31784100000.0,33009158000.0,37912306000.0,25872513000.0
2062.0,32215000000.0,44461375000.0,16834727000.0,24773415000.0,28756074000.0,21660730000.0,45671920000.0,31344366000.0,32378399000.0,36668570000.0,25131140000.0
2063.0,31924430000.0,44262480000.0,16762013000.0,23152067000.0,29251557000.0,21225994000.0,46006088000.0,31768732000.0,32064035000.0,36698090000.0,24276689000.0
2064.0,31348042000.0,43479330000.0,15353412000.0,22934374000.0,28436437000.0,21470150000.0,45614526000.0,29499060000.0,31007613000.0,36639515000.0,22816162000.0
2065.0,30269848000.0,42941235000.0,14917256000.0,22899562000.0,27811852000.0,21598028000.0,45534920000.0,28686078000.0,30979502000.0,36622664000.0,22409100000.0
2066.0,28066520000.0,44010734000.0,13701848000.0,23422579000.0,27304104000.0,21724310000.0,46730224000.0,28441076000.0,31834060000.0,35517810000.0,22865627000.0
2067.0,28123738000.0,42583527000.0,13859226000.0,22874544000.0,27423371000.0,21926150000.0,47448780000.0,27046711000.0,32223177000.0,34515030000.0,23106353000.0
2068.0,27818504000.0,40717648000.0,13762697000.0,22535113000.0,28038214000.0,22208840000.0,48543720000.0,27756343000.0,31484365000.0,34532086000.0,21996069000.0
2069.0,26767686000.0,40885510000.0,13191594000.0,22762713000.0,28382837000.0,21580180000.0,47838097000.0,25915380000.0,30998580000.0,34155616000.0,21886304000.0
2070.0,25851130000.0,40876410000.0,12891515000.0,22885093000.0,28000883000.0,21344707000.0,49094877000.0,26002678000.0,30994987000.0,34186530000.0,21598845000.0
2071.0,25784582000.0,41413476000.0,12640429000.0,22337540000.0,27665684000.0,22177810000.0,47961680000.0,26865971000.0,30176176000.0,34915017000.0,21257863000.0
2072.0,26588582000.0,41890530000.0,12242616000.0,23074509000.0,27492078000.0,21933132000.0,47407330000.0,27872510000.0,29179390000.0,33676308000.0,21373297000.0
2073.0,25881756000.0,41246010000.0,11523666000.0,22616713000.0,27785093000.0,22146664000.0,48358000000.0,27862434000.0,28653455000.0,33535420000.0,21638158000.0
2074.0,25313698000.0,40903574000.0,11449171000.0,22805230000.0,27469505000.0,22723437000.0,48122614000.0,27343444000.0,28043598000.0,33638826000.0,22379140000.0
2075.0,25928303000.0,41249680000.0,10377600000.0,22959135000.0,27246731000.0,23002468000.0,48274727000.0,27258718000.0,27225106000.0,32871133000.0,22867590000.0
2076.0,25608634000.0,41762520000.0,9877746000.0,22296630000.0,27822502000.0,23741110000.0,49188160000.0,27054250000.0,26722552000.0,31436069000.0,22786392000.0
2077.0,25113768000.0,41851490000.0,9849068000.0,22125253000.0,25731897000.0,23785415000.0,47618080000.0,26505447000.0,25921903000.0,31837774000.0,22671665000.0
2078.0,25655431000.0,40569094000.0,10117751000.0,22207961000.0,25509250000.0,23245347000.0,47954747000.0,26692686000.0,26336674000.0,30135484000.0,22899976000.0
2079.0,25344477000.0,40441910000.0,9313373000.0,22205387000.0,24946807000.0,22874493000.0,47665090000.0,26317631000.0,26398945000.0,29773445000.0,23315225000.0
2080.0,25394997000.0,38764384000.0,9283708000.0,21937566000.0,23637301000.0,23094876000.0,46915113000.0,25648101000.0,26757757000.0,28541780000.0,22985456000.0
2081.0,25312790000.0,39638483000.0,9553654000.0,22084047000.0,22864052000.0,22960568000.0,47134163000.0,25982040000.0,26460640000.0,28577830000.0,22357678000.0
2082.0,25740511000.0,39825658000.0,9540506000.0,22224857000.0,23307995000.0,23027407000.0,47350190000.0,24638601000.0,26536743000.0,28597721000.0,21805933000.0
2083.0,26049804000.0,39662973000.0,9470831000.0,22465990000.0,22834495000.0,22998210000.0,49458864000.0,25708904000.0,27621315000.0,29536279000.0,21667557000.0
2084.0,25588103000.0,38761340000.0,9901877000.0,22846140000.0,22546772000.0,22873250000.0,48322343000.0,25774480000.0,28293716000.0,29225935000.0,22056810000.0
2085.0,25584148000.0,38531520000.0,10331913000.0,22979262000.0,21598087000.0,22663127000.0,48228990000.0,24775965000.0,28563230000.0,29837939000.0,21972775000.0
2086.0,27018025000.0,39046030000.0,10073287000.0,22673727000.0,21483373000.0,23556458000.0,47021203000.0,25253159000.0,28008235000.0,29839993000.0,21825475000.0
