time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2021.0,88928640000.0,87311540000.0,89085630000.0,88841470000.0,88549730000.0,86687980000.0,88375090000.0,88682940000.0
2022.0,86315835000.0,87906705000.0,83513640000.0,88400450000.0,89186484000.0,82536650000.0,88447800000.0,86731090000.0
2023.0,83588820000.0,86434360000.0,80834250000.0,86152090000.0,84353790000.0,81387420000.0,87652880000.0,82565170000.0
2024.0,79315900000.0,86876840000.0,76892390000.0,83068810000.0,83436550000.0,78868840000.0,86169460000.0,79203240000.0
2025.0,75758160000.0,85512620000.0,77832750000.0,80186720000.0,79360655000.0,74923220000.0,83656340000.0,76350050000.0
2026.0,73886150000.0,82574720000.0,76689730000.0,77095650000.0,79997460000.0,71434180000.0,82659920000.0,76262140000.0
2027.0,72128260000.0,81111070000.0,72614445000.0,69420200000.0,77135020000.0,70095210000.0,80745690000.0,76468430000.0
2028.0,71317100000.0,81549790000.0,69845810000.0,66146070000.0,76097995000.0,68173496000.0,77338930000.0,77333740000.0
2029.0,69748425000.0,79163090000.0,69570500000.0,63193235000.0,75921000000.0,66397550000.0,76722420000.0,79286820000.0
2030.0,66377360000.0,78792425000.0,67823428000.0,59700220000.0,75154490000.0,64751997000.0,75015774000.0,74852060000.0
2031.0,62783060000.0,78291700000.0,66609422000.0,56805010000.0,72067090000.0,61899694000.0,74292945000.0,71234810000.0
2032.0,61291414000.0,75150890000.0,65300177000.0,52504440000.0,69722740000.0,59120310000.0,72658305000.0,68637503000.0
2033.0,60926090000.0,73919740000.0,65967430000.0,52050326000.0,69349106000.0,57246155000.0,72256940000.0,67173315000.0
2034.0,57238370000.0,72267810000.0,66497710000.0,49019270000.0,67871617000.0,55096873000.0,69887700000.0,64885215000.0
2035.0,54578033000.0,71381000000.0,64661590000.0,46267273000.0,65330530000.0,55645557000.0,69944160000.0,64244027000.0
2036.0,53035696000.0,70813460000.0,64130245000.0,44844786000.0,63054852000.0,54265287000.0,68493410000.0,64802177000.0
2037.0,52876968000.0,69090460000.0,63793180000.0,44525593000.0,61358000000.0,52959842000.0,67273410000.0,62037720000.0
2038.0,50043064000.0,68752515000.0,62888340000.0,42284870000.0,59197090000.0,51913286000.0,63752500000.0,60493430000.0
2039.0,46739030000.0,65412694000.0,59978215000.0,39191425000.0,58096440000.0,49555075000.0,62152573000.0,57688550000.0
2040.0,47047078000.0,64872047000.0,57642070000.0,37460546000.0,55792804000.0,49056680000.0,61758935000.0,54542860000.0
2041.0,46122058000.0,63622115000.0,55558170000.0,34916330000.0,53724420000.0,47508840000.0,57909973000.0,52826730000.0
2042.0,43827827000.0,63144960000.0,54716520000.0,32114004000.0,51589296000.0,48461423000.0,57741144000.0,52124856000.0
2043.0,41035375000.0,62818930000.0,51361040000.0,29713443000.0,51952940000.0,49343705000.0,57449000000.0,51380750000.0
2044.0,39919735000.0,60104917000.0,48556420000.0,27466380000.0,47929016000.0,47986807000.0,55007790000.0,50521770000.0
2045.0,38818020000.0,58175177000.0,47794676000.0,26761636000.0,47140024000.0,46448790000.0,53464756000.0,48867580000.0
2046.0,38078260000.0,60027728000.0,47134360000.0,25205074000.0,46381420000.0,45854376000.0,52787585000.0,49408545000.0
2047.0,36816760000.0,58153730000.0,43547136000.0,24322302000.0,44697813000.0,44242160000.0,52518930000.0,47458720000.0
2048.0,33191830000.0,56296800000.0,41574040000.0,23130415000.0,42408018000.0,43752526000.0,50824460000.0,46603880000.0
2049.0,32325250000.0,54332236000.0,38681630000.0,21883812000.0,39964094000.0,43573140000.0,49816990000.0,45657805000.0
2050.0,30036812000.0,52773790000.0,38580232000.0,21481822000.0,37254566000.0,42669486000.0,49203474000.0,45711600000.0
2051.0,29133027000.0,52808320000.0,39399750000.0,21047250000.0,36258580000.0,41928245000.0,48019268000.0,44735295000.0
2052.0,27437005000.0,50658628000.0,37817210000.0,20277000000.0,34952397000.0,42081157000.0,47074836000.0,41980326000.0
2053.0,26072720000.0,49169580000.0,35379642000.0,20385008000.0,35236758000.0,42092806000.0,45470355000.0,42670387000.0
2054.0,23876536000.0,47809397000.0,34054367000.0,18542981000.0,35657175000.0,39961020000.0,43823480000.0,43043200000.0
2055.0,23312845000.0,46159598000.0,33853116000.0,17714477000.0,33997711000.0,39154410000.0,44391280000.0,41186447000.0
2056.0,21982271000.0,45395000000.0,32400964000.0,17213858000.0,32337641000.0,37494920000.0,42747036000.0,39280760000.0
2057.0,20782666000.0,44690070000.0,31021494000.0,16893154000.0,31173243000.0,35248456000.0,41218236000.0,38883295000.0
2058.0,20315480000.0,43402030000.0,29157212000.0,16095161000.0,29952526000.0,35007650000.0,40758340000.0,36595446000.0
2059.0,19195849000.0,41467548000.0,29092014000.0,15752506000.0,29090417000.0,34344067000.0,40727884000.0,38188827000.0
2060.0,18747160000.0,38330528000.0,28635038000.0,15310489000.0,28218954000.0,33895717000.0,39224394000.0,35467465000.0
2061.0,18439918000.0,36440322000.0,27820028000.0,14245415000.0,26511598000.0,33453933000.0,39956810000.0,33783304000.0
2062.0,18428340000.0,36297564000.0,26764143000.0,14411223000.0,26235435000.0,32912476000.0,39124200000.0,32962804000.0
2063.0,17704307000.0,35118140000.0,25631238000.0,13417269000.0,25652070000.0,32123550000.0,38827240000.0,33237713000.0
2064.0,17380934000.0,34609290000.0,25133996000.0,12647048000.0,26164599000.0,29131290000.0,39501600000.0,33268290000.0
2065.0,16637098000.0,34152653000.0,23197450000.0,12057575000.0,25526049000.0,28964755000.0,39367795000.0,32830507000.0
2066.0,16187979000.0,34749895000.0,22694627000.0,12252773000.0,24138465000.0,29569063000.0,37678637000.0,31019508000.0
2067.0,16026028000.0,33866494000.0,21549232000.0,11256110000.0,23328694000.0,29490348000.0,37267340000.0,29305090000.0
2068.0,15775486000.0,31999056000.0,20927472000.0,10348575000.0,23457495000.0,29905402000.0,36883620000.0,29477106000.0
2069.0,15371005000.0,30775314000.0,19369572000.0,9851596000.0,22755283000.0,29257400000.0,36398445000.0,28363147000.0
2070.0,14569421000.0,28930202000.0,18164052000.0,8839333000.0,21989122000.0,28182309000.0,35987837000.0,25960804000.0
2071.0,13990192000.0,26044207000.0,18108912000.0,7954797600.0,21771903000.0,28470016000.0,35093640000.0,26799364000.0
2072.0,13340915000.0,25272103000.0,16727511000.0,7704613400.0,21404580000.0,28838197000.0,34875060000.0,25016885000.0
2073.0,13159279000.0,24644630000.0,16759750000.0,6955679000.0,21071868000.0,28744464000.0,34005307000.0,23205153000.0
2074.0,12196338000.0,24562008000.0,16568698000.0,6515031600.0,20598002000.0,27892509000.0,33378770000.0,21677238000.0
2075.0,11155649000.0,23927446000.0,17283054000.0,5682124300.0,20367170000.0,27342465000.0,32753582000.0,20968075000.0
2076.0,10701220000.0,23813868000.0,16149945000.0,5399751700.0,19209157000.0,26760405000.0,30802850000.0,20372783000.0
2077.0,10400366000.0,22718892000.0,16438586000.0,5119409700.0,17692932000.0,26964900000.0,29962246000.0,20979847000.0
2078.0,10290665000.0,21788619000.0,15853173000.0,4935439000.0,17129219000.0,26016980000.0,29517666000.0,20018387000.0
2079.0,9778273000.0,20839094000.0,15813460000.0,4730252300.0,16152243000.0,25256638000.0,27675124000.0,18101410000.0
2080.0,9283192000.0,18899927000.0,15259867000.0,4487048700.0,15474042000.0,24761084000.0,25286132000.0,17366448000.0
2081.0,8164144600.0,18123704000.0,15306142000.0,3955060500.0,14556000000.0,22906840000.0,24123404000.0,16283786000.0
2082.0,7535058000.0,16721432000.0,14989856000.0,3607366400.0,14439155000.0,23091161000.0,22059260000.0,15828915000.0
2083.0,6850080300.0,15759274000.0,14831620000.0,3634001700.0,14254512000.0,23206924000.0,20591434000.0,15353789000.0
2084.0,6342766600.0,15047337000.0,14494711000.0,3095587800.0,13970672000.0,23011530000.0,20772377000.0,15601282000.0
2085.0,5775544300.0,13234349000.0,13512387000.0,2822702800.0,14350526000.0,23020884000.0,20086987000.0,14761505000.0
2086.0,4980158500.0,12545930000.0,13408513000.0,2754313000.0,13820766000.0,22956090000.0,18420826000.0,14538118000.0
2087.0,4573893000.0,12094778000.0,13442107000.0,2584630800.0,14055114000.0,21412520000.0,18169050000.0,13381138000.0
2088.0,4496419300.0,10843438000.0,13259408000.0,2431355400.0,13610538000.0,19778755000.0,16098885000.0,13114964000.0
2089.0,4364474400.0,10233362000.0,13704912000.0,2409981200.0,12399254000.0,19216260000.0,15788391000.0,12195820000.0
2090.0,4050310000.0,9956085000.0,12025717000.0,2415810000.0,11616783000.0,18540960000.0,14967130000.0,11582238000.0
2091.0,3657928200.0,8952471000.0,11298718000.0,2301102600.0,10748699000.0,18123817000.0,14624245000.0,10736828000.0
2092.0,3519186700.0,8138201000.0,10196788000.0,2127567200.0,10324679000.0,17833722000.0,14328052000.0,10277987000.0
2093.0,3458069500.0,7533308000.0,9754997000.0,2135075100.0,10293466000.0,16663853000.0,14386221000.0,9877659000.0
2094.0,3277227300.0,7300916700.0,9522320000.0,2082468200.0,10492382000.0,15961708000.0,14469964000.0,8988650000.0
2095.0,2998281700.0,7000572000.0,9495852000.0,1840561900.0,9960694000.0,15471148000.0,14396617000.0,8926947000.0
2096.0,2637637000.0,6434164000.0,9187792000.0,1620113700.0,9875428000.0,15336419000.0,14264017000.0,8766648000.0
2097.0,2433604600.0,6542615000.0,8417126000.0,1614679700.0,9496845000.0,15428413000.0,14555784000.0,8449524000.0
2098.0,2266301400.0,6330345000.0,8022846000.0,1657375900.0,9194193000.0,14636361000.0,14972043000.0,7598979600.0
2099.0,2113156100.0,6004648400.0,7503427000.0,1516076800.0,9153311000.0,14663105000.0,13669215000.0,7119418000.0
2100.0,1834043000.0,6297080000.0,7329566000.0,1458293500.0,8749455000.0,14686691000.0,13066621000.0,6603949000.0
