time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,73068020000.0,72388860000.0,71751025000.0,71541326000.0
2022.0,71303905000.0,70142290000.0,69498530000.0,69899930000.0
2023.0,67563508000.0,67783238000.0,69362140000.0,67552895000.0
2024.0,67449692000.0,66912570000.0,68382052000.0,65904423000.0
2025.0,67943383000.0,67000263000.0,66991653000.0,64863610000.0
2026.0,66638480000.0,65294060000.0,66644940000.0,66205008000.0
2027.0,64460020000.0,60793800000.0,65474867000.0,65049973000.0
2028.0,64090857000.0,57795770000.0,64081117000.0,62086517000.0
2029.0,62963294000.0,55878873000.0,61189136000.0,60119350000.0
2030.0,62485135000.0,53835020000.0,61098420000.0,58076463000.0
2031.0,61864632000.0,49660953000.0,59587695000.0,56046686000.0
2032.0,58371478000.0,48493285000.0,55587520000.0,55748022000.0
2033.0,57660543000.0,47117898000.0,55449207000.0,54801764000.0
2034.0,57911955000.0,44087240000.0,54897246000.0,56641140000.0
2035.0,58328960000.0,44161073000.0,51413516000.0,55533613000.0
2036.0,55427120000.0,43748475000.0,47782662000.0,52949262000.0
2037.0,52231600000.0,42310468000.0,47536034000.0,52638937000.0
2038.0,53218783000.0,39902850000.0,47022453000.0,50470785000.0
2039.0,52628255000.0,36932944000.0,44225618000.0,46820323000.0
2040.0,50341710000.0,37623220000.0,43727897000.0,46185296000.0
2041.0,49248780000.0,36870850000.0,42528907000.0,48544040000.0
2042.0,49468498000.0,33897760000.0,40163510000.0,48060494000.0
2043.0,48888500000.0,32679842000.0,39980900000.0,47162835000.0
2044.0,48570410000.0,34225795000.0,40109000000.0,48573160000.0
2045.0,48291357000.0,33437495000.0,39412040000.0,48518380000.0
2046.0,48121586000.0,31932054000.0,38162563000.0,46477607000.0
2047.0,47014590000.0,31629259000.0,36279530000.0,46472840000.0
2048.0,45230555000.0,32907810000.0,36533006000.0,47082303000.0
2049.0,46600710000.0,33557279000.0,35337070000.0,47141770000.0
2050.0,47482080000.0,32917189000.0,35140770000.0,44889930000.0
2051.0,47141458000.0,33358184000.0,35686396000.0,46433608000.0
2052.0,44888506000.0,34747660000.0,34695930000.0,45874590000.0
2053.0,44385694000.0,34907820000.0,32889563000.0,46163170000.0
2054.0,44432840000.0,32124645000.0,33327254000.0,44778480000.0
2055.0,44201402000.0,30539012000.0,33809244000.0,45009658000.0
2056.0,45054370000.0,31696263000.0,33638255000.0,46652137000.0
2057.0,46537495000.0,32620347000.0,33255380000.0,46843680000.0
2058.0,47752475000.0,33371156000.0,33146802000.0,46663135000.0
2059.0,47823245000.0,30913837000.0,32620675000.0,44733340000.0
2060.0,46640447000.0,32699420000.0,32279695000.0,47199306000.0
2061.0,47051145000.0,33517838000.0,33381704000.0,48389810000.0
2062.0,47615720000.0,32811860000.0,33868595000.0,48640557000.0
2063.0,46496244000.0,32238561000.0,33014272000.0,49866215000.0
2064.0,46415372000.0,32708622000.0,32847581000.0,49701974000.0
2065.0,47556936000.0,33038311000.0,32881353000.0,50719630000.0
2066.0,48402575000.0,32443253000.0,32687309000.0,47874460000.0
2067.0,49489277000.0,33166166000.0,32779067000.0,47680730000.0
2068.0,50886476000.0,33055510000.0,33839890000.0,47186850000.0
2069.0,50987990000.0,32014740000.0,33396263000.0,47688140000.0
