time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2109.0,9012224000000.0,5955230000000.0,8368753000000.0
2110.0,8984982000000.0,5884860700000.0,8338039000000.0
2111.0,8932602000000.0,5816504500000.0,8267798000000.0
2112.0,8907582000000.0,5750992000000.0,8223825300000.0
2113.0,8885534000000.0,5683862300000.0,8179147600000.0
2114.0,8845441000000.0,5606832300000.0,8147005600000.0
2115.0,8801409000000.0,5554405000000.0,8087529300000.0
2116.0,8742260000000.0,5519432500000.0,8005651000000.0
2117.0,8710439600000.0,5443324000000.0,7949072000000.0
2118.0,8653688500000.0,5386686000000.0,7933314000000.0
2119.0,8644022000000.0,5345089400000.0,7880034500000.0
2120.0,8607452000000.0,5297685000000.0,7839352400000.0
2121.0,8567693000000.0,5247301000000.0,7794114000000.0
2122.0,8503558700000.0,5184396000000.0,7748423500000.0
2123.0,8482355400000.0,5130518300000.0,7719857000000.0
2124.0,8472337000000.0,5077533700000.0,7703269700000.0
2125.0,8441399000000.0,5038216000000.0,7667822600000.0
2126.0,8419001000000.0,4993830600000.0,7655071400000.0
2127.0,8382642000000.0,4970010000000.0,7658739300000.0
2128.0,8355142000000.0,4915902000000.0,7627381000000.0
2129.0,8316274000000.0,4872879500000.0,7539205300000.0
2130.0,8280925500000.0,4824522000000.0,7522652000000.0
2131.0,8247197600000.0,4774597000000.0,7470044000000.0
2132.0,8237087000000.0,4724629700000.0,7421897500000.0
2133.0,8199662000000.0,4660807600000.0,7392217500000.0
2134.0,8162470000000.0,4626718400000.0,7380710500000.0
2135.0,8152169000000.0,4574156400000.0,7349398000000.0
2136.0,8136403000000.0,4541693600000.0,7324598000000.0
2137.0,8101519400000.0,4486639000000.0,7282506000000.0
2138.0,8047753000000.0,4423934000000.0,7246517400000.0
2139.0,8066112700000.0,4360399700000.0,7196799700000.0
2140.0,8047168000000.0,4306574500000.0,7174957000000.0
2141.0,8015140400000.0,4256753300000.0,7137665000000.0
2142.0,7990474000000.0,4220902700000.0,7106750000000.0
2143.0,7994939500000.0,4199745600000.0,7093966300000.0
2144.0,7961364700000.0,4156951000000.0,7075849600000.0
2145.0,7938923600000.0,4117873000000.0,7040582000000.0
2146.0,7908137000000.0,4091900000000.0,7013329300000.0
2147.0,7881366700000.0,4062129200000.0,7009235600000.0
2148.0,7859808500000.0,4042356200000.0,6941080000000.0
2149.0,7854327000000.0,4005621000000.0,6912957500000.0
2150.0,7847536500000.0,3965576300000.0,6873681500000.0
2151.0,7822645400000.0,3947353600000.0,6841028000000.0
2152.0,7794227400000.0,3924146800000.0,6802594300000.0
2153.0,7764645500000.0,3901968000000.0,6766572000000.0
2154.0,7741361000000.0,3867836000000.0,6728590600000.0
2155.0,7733529500000.0,3831313000000.0,6680466700000.0
2156.0,7703047000000.0,3794391300000.0,6637679500000.0
2157.0,7712021700000.0,3780388600000.0,6615550400000.0
2158.0,7702180000000.0,3740552400000.0,6594772300000.0
2159.0,7696757000000.0,3715635000000.0,6581705500000.0
2160.0,7685409300000.0,3685780800000.0,6546253700000.0
2161.0,7666145000000.0,3658969500000.0,6535011400000.0
2162.0,7667776500000.0,3632511600000.0,6505797500000.0
2163.0,7652345600000.0,3628528800000.0,6486921000000.0
2164.0,7642739000000.0,3612543800000.0,6465452000000.0
2165.0,7615170500000.0,3589698000000.0,6460623000000.0
2166.0,7582458600000.0,3568612100000.0,6423333000000.0
2167.0,7562196000000.0,3541663500000.0,6415283000000.0
2168.0,7544714000000.0,3520011700000.0,6375151000000.0
2169.0,7540696000000.0,3489835800000.0,6341618000000.0
2170.0,7523888300000.0,3461595800000.0,6312341500000.0
2171.0,7488295400000.0,3441952300000.0,6303292300000.0
2172.0,7463471400000.0,3433789000000.0,6273676300000.0
2173.0,7454657000000.0,3396704400000.0,6266025000000.0
2174.0,7428187400000.0,3381527600000.0,6259937400000.0
2175.0,7433386700000.0,3345893800000.0,6258925000000.0
2176.0,7430961000000.0,3306054000000.0,6254178600000.0
2177.0,7410000300000.0,3289329000000.0,6256709000000.0
2178.0,7390455000000.0,3272403000000.0,6221360000000.0
2179.0,7381367000000.0,3260481000000.0,6187694000000.0
2180.0,7359049500000.0,3227308300000.0,6173454000000.0
2181.0,7369417000000.0,3209642000000.0,6153606000000.0
2182.0,7373709600000.0,3178399800000.0,6116340000000.0
2183.0,7357093000000.0,3160996300000.0,6113187000000.0
2184.0,7346954700000.0,3142958000000.0,6095182000000.0
2185.0,7349591000000.0,3111014600000.0,6080879000000.0
2186.0,7332949400000.0,3086283700000.0,6054872000000.0
2187.0,7300634400000.0,3066789000000.0,6041966000000.0
2188.0,7289029300000.0,3057607800000.0,6018573000000.0
2189.0,7274983600000.0,3036181400000.0,5969780000000.0
2190.0,7273406500000.0,3015062600000.0,5990239000000.0
2191.0,7259168000000.0,2991926000000.0,5974248700000.0
2192.0,7248736000000.0,2955897200000.0,5952735500000.0
2193.0,7242701600000.0,2934615000000.0,5898253600000.0
2194.0,7223718000000.0,2908622200000.0,5885325000000.0
2195.0,7219386000000.0,2880123700000.0,5857765500000.0
2196.0,7199021600000.0,2859827000000.0,5847699000000.0
2197.0,7187366700000.0,2834139700000.0,5841805600000.0
2198.0,7194438300000.0,2806461200000.0,5847531400000.0
2199.0,7187846400000.0,2782949000000.0,5838550000000.0
2200.0,7197705600000.0,2747695400000.0,5828763000000.0
2201.0,7178611600000.0,2744911400000.0,5817204500000.0
2202.0,7180919000000.0,2724805700000.0,5825308400000.0
2203.0,7193731000000.0,2707587300000.0,5782575000000.0
2204.0,7196136400000.0,2696166800000.0,5772416600000.0
2205.0,7165139500000.0,2679190000000.0,5762788600000.0
2206.0,7145348000000.0,2661639800000.0,5737167700000.0
2207.0,7136212400000.0,2647460700000.0,5727611500000.0
2208.0,7133139000000.0,2626822900000.0,5729404000000.0
2209.0,7126141000000.0,2636600300000.0,5716118000000.0
2210.0,7125164600000.0,2641636000000.0,5698481600000.0
2211.0,7112159700000.0,2625463400000.0,5682759700000.0
2212.0,7114027700000.0,2618995800000.0,5678072000000.0
2213.0,7103940000000.0,2605835600000.0,5665797000000.0
2214.0,7120283500000.0,2612036400000.0,5677560400000.0
2215.0,7123373700000.0,2600170700000.0,5663400000000.0
2216.0,7139774400000.0,2597065600000.0,5666472700000.0
2217.0,7146285000000.0,2582554000000.0,5652140000000.0
2218.0,7139628000000.0,2576755000000.0,5620191700000.0
2219.0,7156598300000.0,2569974600000.0,5627890000000.0
2220.0,7159248000000.0,2562867000000.0,5632277600000.0
2221.0,7157263600000.0,2551539300000.0,5642179300000.0
2222.0,7153180500000.0,2541769700000.0,5651701000000.0
2223.0,7149518000000.0,2540146500000.0,5628784300000.0
2224.0,7134003000000.0,2531639700000.0,5619387500000.0
2225.0,7139166000000.0,2529571600000.0,5611152500000.0
2226.0,7129738500000.0,2530455300000.0,5614570300000.0
2227.0,7142050400000.0,2530715600000.0,5571429300000.0
2228.0,7137928000000.0,2517299400000.0,5569886300000.0
2229.0,7131669000000.0,2511410800000.0,5561780000000.0
