time,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5
2000.0,15366526000000.0,15366501000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334346000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304897000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238614000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135470000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089737000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048749000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033505000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993131000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941097000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858775000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780361000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745487000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719388000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706050000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670882000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681741000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647594000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631901000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667719000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583490000000.0,14583516000000.0,14583516000000.0
2021.0,14522937000000.0,14533344000000.0,14516840000000.0,14538154000000.0
2022.0,14465533000000.0,14494326000000.0,14479616000000.0,14487527000000.0
2023.0,14394746000000.0,14433944000000.0,14431283000000.0,14438806000000.0
2024.0,14341017000000.0,14416757000000.0,14338768000000.0,14367901000000.0
2025.0,14252975000000.0,14360380000000.0,14284033000000.0,14269556000000.0
2026.0,14211451000000.0,14277527000000.0,14229459000000.0,14174415000000.0
2027.0,14139438000000.0,14228254000000.0,14127993000000.0,14072261000000.0
2028.0,14064302000000.0,14200632000000.0,14102603000000.0,13993972000000.0
2029.0,14003620000000.0,14172670000000.0,14087169000000.0,13916821000000.0
2030.0,13905104000000.0,14188770000000.0,14006282000000.0,13738853000000.0
2031.0,13869307000000.0,14124145000000.0,13934704000000.0,13654404000000.0
2032.0,13795105000000.0,14113364000000.0,13889409000000.0,13563889000000.0
2033.0,13698017000000.0,14063422000000.0,13823815000000.0,13438475000000.0
2034.0,13620776000000.0,13973783000000.0,13795936000000.0,13320174000000.0
2035.0,13588984000000.0,13913180000000.0,13722196000000.0,13201027000000.0
2036.0,13527090000000.0,13866145000000.0,13657313000000.0,13071270000000.0
2037.0,13452478000000.0,13833304000000.0,13585861000000.0,12948828000000.0
2038.0,13369287000000.0,13799723000000.0,13459861000000.0,12818175000000.0
2039.0,13306567000000.0,13765899000000.0,13428541000000.0,12657180000000.0
2040.0,13218925000000.0,13711850000000.0,13365064000000.0,12566614000000.0
2041.0,13135114000000.0,13696103000000.0,13315522000000.0,12416904000000.0
2042.0,13052218000000.0,13623413000000.0,13241594000000.0,12281138000000.0
2043.0,12961866000000.0,13622487000000.0,13141069000000.0,12115565000000.0
2044.0,12897230000000.0,13588961000000.0,13027325000000.0,11966471000000.0
2045.0,12829322000000.0,13548871000000.0,12932652000000.0,11795022000000.0
2046.0,12743377000000.0,13520967000000.0,12817181000000.0,11640512000000.0
2047.0,12678949000000.0,13452017000000.0,12682787000000.0,11484572000000.0
2048.0,12572727000000.0,13329509000000.0,12604936000000.0,11332292000000.0
2049.0,12479698000000.0,13280304000000.0,12489355000000.0,11209823000000.0
2050.0,12396582000000.0,13294960000000.0,12365337000000.0,11100497000000.0
