time,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5
2051.0,12305636000000.0,13223455000000.0,12248732000000.0,10956775000000.0
2052.0,12180690000000.0,13193283000000.0,12188415000000.0,10831798000000.0
2053.0,12076495000000.0,13121869000000.0,12117538000000.0,10682658000000.0
2054.0,12000199000000.0,13058276000000.0,12003326000000.0,10530457000000.0
2055.0,11922899000000.0,12986995000000.0,11933992000000.0,10365195000000.0
2056.0,11805325000000.0,12893144000000.0,11859931000000.0,10185303000000.0
2057.0,11733045000000.0,12775847000000.0,11757485000000.0,10001888000000.0
2058.0,11631522000000.0,12748893000000.0,11643933000000.0,9896304000000.0
2059.0,11557447000000.0,12709892000000.0,11494033000000.0,9791247000000.0
2060.0,11462264000000.0,12679572000000.0,11432731000000.0,9649139000000.0
2061.0,11332980000000.0,12622245000000.0,11309017000000.0,9541194000000.0
2062.0,11226685000000.0,12579454000000.0,11173758000000.0,9419476000000.0
2063.0,11159062000000.0,12515627000000.0,11105484000000.0,9310933000000.0
2064.0,11065519000000.0,12464205000000.0,10970734000000.0,9128449000000.0
2065.0,10991228000000.0,12416853000000.0,10900230000000.0,8975494000000.0
2066.0,10922749000000.0,12318060000000.0,10798435000000.0,8817969000000.0
2067.0,10843617000000.0,12306299000000.0,10691338000000.0,8684159000000.0
2068.0,10730394000000.0,12251787000000.0,10603291000000.0,8549654000000.0
2069.0,10624437000000.0,12194935000000.0,10506306000000.0,8409714000000.0
2070.0,10556448000000.0,12154178000000.0,10367806000000.0,8289695000000.0
2071.0,10461884000000.0,12110093000000.0,10280196000000.0,8169725000000.0
2072.0,10384753000000.0,12069801000000.0,10216536000000.0,8045581000000.0
2073.0,10292113000000.0,12065601000000.0,10109856000000.0,7947404000000.0
2074.0,10187286000000.0,12033333000000.0,10003718000000.0,7831270000000.0
2075.0,10077260000000.0,11996155000000.0,9909303000000.0,7730246000000.0
2076.0,9991748000000.0,11901712000000.0,9824849000000.0,7611756300000.0
2077.0,9898469000000.0,11828573000000.0,9753113000000.0,7509804000000.0
2078.0,9795834000000.0,11743855000000.0,9671076000000.0,7382748400000.0
2079.0,9673769000000.0,11680396000000.0,9553999000000.0,7275467000000.0
2080.0,9575407000000.0,11609659000000.0,9486604000000.0,7124374500000.0
2081.0,9479558000000.0,11587340000000.0,9398192000000.0,6966884700000.0
2082.0,9424961000000.0,11554385000000.0,9291926000000.0,6838042500000.0
2083.0,9318804000000.0,11509751000000.0,9176947000000.0,6720935000000.0
2084.0,9209051000000.0,11432491000000.0,9076006000000.0,6613643600000.0
2085.0,9130684000000.0,11370761000000.0,8981192000000.0,6514120600000.0
2086.0,9045610000000.0,11321261000000.0,8908021000000.0,6441442000000.0
2087.0,9010003000000.0,11243242000000.0,8811439000000.0,6346980700000.0
2088.0,8925844000000.0,11173497000000.0,8729193000000.0,6233117400000.0
2089.0,8870440000000.0,11116863000000.0,8650338000000.0,6112471000000.0
2090.0,8798492000000.0,11061504000000.0,8553493400000.0,5995811000000.0
2091.0,8733483600000.0,11030814000000.0,8462032000000.0,5879666600000.0
2092.0,8642665400000.0,10964566000000.0,8361528000000.0,5776603000000.0
2093.0,8583712300000.0,10905430000000.0,8245739000000.0,5672951000000.0
2094.0,8508199700000.0,10825735000000.0,8195703000000.0,5567955000000.0
2095.0,8438715000000.0,10780594000000.0,8115957000000.0,5516468700000.0
2096.0,8375209000000.0,10728044000000.0,8019728000000.0,5429014300000.0
2097.0,8298960000000.0,10741760000000.0,7944805000000.0,5344327000000.0
2098.0,8223819600000.0,10735681000000.0,7870837400000.0,5248288600000.0
2099.0,8172325000000.0,10676027000000.0,7765537000000.0,5110434400000.0
2100.0,8113606000000.0,10636338000000.0,7737541400000.0,5019076000000.0
2101.0,8052571000000.0,10575745000000.0,7687393000000.0,4910468300000.0
2102.0,7979672000000.0,10505105000000.0,7613021400000.0,4845064400000.0
2103.0,7898964000000.0,10511478000000.0,7499289000000.0,4767722000000.0
2104.0,7844940000000.0,10467344000000.0,7408249000000.0,4677135000000.0
2105.0,7753093000000.0,10402878000000.0,7311044000000.0,4610664000000.0
2106.0,7698480000000.0,10357866000000.0,7253900000000.0,4528722700000.0
2107.0,7648607000000.0,10333744000000.0,7145578300000.0,4435190000000.0
2108.0,7591907000000.0,10337162000000.0,7051869700000.0,4332794700000.0
2109.0,7524952600000.0,10313562000000.0,6996718000000.0,4233460200000.0
2110.0,7449739000000.0,10281511000000.0,6933780600000.0,4137026000000.0
2111.0,7387640000000.0,10227794000000.0,6853084000000.0,4069912700000.0
2112.0,7316693300000.0,10187646000000.0,6756378300000.0,3997224700000.0
2113.0,7236308400000.0,10154920000000.0,6680606000000.0,3934568800000.0
2114.0,7168745500000.0,10102361000000.0,6581524000000.0,3850898500000.0
2115.0,7085972500000.0,10066991000000.0,6530722700000.0,3776210500000.0
2116.0,7025577700000.0,10016246000000.0,6496459000000.0,3686754200000.0
2117.0,6976450000000.0,9974401000000.0,6451983000000.0,3625762400000.0
2118.0,6922227400000.0,9924745000000.0,6358346000000.0,3567330800000.0
2119.0,6855388000000.0,9891813000000.0,6254944600000.0,3527806600000.0
2120.0,6816105000000.0,9859653000000.0,6179900600000.0,3479546600000.0
2121.0,6738685700000.0,9782616000000.0,6085425000000.0,3427367400000.0
2122.0,6659502000000.0,9773648000000.0,5999674500000.0,3365672800000.0
2123.0,6589642700000.0,9754093000000.0,5961311000000.0,3300474000000.0
2124.0,6523389000000.0,9723961000000.0,5907851000000.0,3226107400000.0
2125.0,6465819500000.0,9671013000000.0,5858776300000.0,3174770400000.0
2126.0,6426052300000.0,9617757000000.0,5771744500000.0,3102405000000.0
2127.0,6356996000000.0,9566373000000.0,5701846000000.0,3033456000000.0
2128.0,6298807600000.0,9543107000000.0,5640007700000.0,2976667400000.0
2129.0,6261822700000.0,9495664000000.0,5635455000000.0,2919826200000.0
2130.0,6217439600000.0,9460447000000.0,5577062000000.0,2869448400000.0
2131.0,6175677500000.0,9415188000000.0,5527938000000.0,2830015400000.0
2132.0,6121579300000.0,9356496000000.0,5447518500000.0,2776123800000.0
2133.0,6069368700000.0,9309244000000.0,5393218500000.0,2730068500000.0
2134.0,6011254000000.0,9249368000000.0,5346504000000.0,2696691800000.0
2135.0,5950519000000.0,9216152000000.0,5260994000000.0,2655231000000.0
2136.0,5901255700000.0,9151967000000.0,5223020000000.0,2607509000000.0
2137.0,5857027300000.0,9070125000000.0,5156111000000.0,2563280700000.0
2138.0,5796264000000.0,9048547000000.0,5094053000000.0,2514818700000.0
2139.0,5739442600000.0,8989352000000.0,5037821500000.0,2459861500000.0
2140.0,5704852700000.0,8957799000000.0,4974807000000.0,2414569000000.0
2141.0,5659991500000.0,8928098000000.0,4924268000000.0,2378581400000.0
2142.0,5614240500000.0,8865488000000.0,4851189000000.0,2324634300000.0
2143.0,5576818400000.0,8831763000000.0,4794483000000.0,2278336000000.0
2144.0,5545753000000.0,8806384000000.0,4737370000000.0,2231578000000.0
2145.0,5518131000000.0,8826112000000.0,4701419000000.0,2184647100000.0
2146.0,5460721700000.0,8822528000000.0,4658815000000.0,2145671000000.0
2147.0,5427855600000.0,8773541300000.0,4616047000000.0,2111361300000.0
2148.0,5386738300000.0,8742921000000.0,4574487000000.0,2068697700000.0
2149.0,5319537000000.0,8697861400000.0,4531142000000.0,2024905000000.0
2150.0,5289703600000.0,8662380000000.0,4478707700000.0,1982175900000.0
2151.0,5228127000000.0,8604178000000.0,4440882000000.0,1948182600000.0
2152.0,5182910400000.0,8558370400000.0,4409781600000.0,1911240000000.0
2153.0,5143163600000.0,8520685600000.0,4371348500000.0,1883403300000.0
2154.0,5096415400000.0,8516346600000.0,4336763500000.0,1847136600000.0
2155.0,5047081500000.0,8483596400000.0,4284403400000.0,1834324100000.0
2156.0,5004814000000.0,8437917000000.0,4239078700000.0,1801445000000.0
2157.0,4961061600000.0,8401132700000.0,4198172200000.0,1776010000000.0
2158.0,4907685400000.0,8349987400000.0,4161217000000.0,1751657300000.0
2159.0,4868923000000.0,8325535600000.0,4144803300000.0,1712963800000.0
2160.0,4828171300000.0,8308825500000.0,4101131000000.0,1692220800000.0
2161.0,4799036700000.0,8304694700000.0,4053590300000.0,1652125600000.0
2162.0,4761433000000.0,8260054000000.0,4007243000000.0,1628650100000.0
2163.0,4723340000000.0,8248234000000.0,3979074900000.0,1591549000000.0
2164.0,4702786000000.0,8236044400000.0,3942199900000.0,1565265600000.0
2165.0,4649076700000.0,8193583300000.0,3903462300000.0,1542017600000.0
2166.0,4612668000000.0,8180069000000.0,3867135700000.0,1520750600000.0
2167.0,4585693400000.0,8166220000000.0,3845183000000.0,1486540200000.0
2168.0,4545628300000.0,8167917400000.0,3816786800000.0,1456306000000.0
2169.0,4504971400000.0,8191058000000.0,3773763400000.0,1429880700000.0
2170.0,4469834000000.0,8134773000000.0,3730090000000.0,1400668800000.0
2171.0,4441939400000.0,8105344000000.0,3698533600000.0,1372318000000.0
2172.0,4411455000000.0,8078766400000.0,3660416300000.0,1359856700000.0
2173.0,4384818000000.0,8014500700000.0,3629576000000.0,1337511800000.0
2174.0,4349087400000.0,7976164000000.0,3584755200000.0,1315910500000.0
2175.0,4307990600000.0,7928249000000.0,3542940600000.0,1314094400000.0
2176.0,4271505000000.0,7907150000000.0,3518121000000.0,1297683800000.0
2177.0,4240668600000.0,7899229000000.0,3483972700000.0,1287470800000.0
2178.0,4193736500000.0,7867425400000.0,3441972500000.0,1264729200000.0
2179.0,4163721000000.0,7876334000000.0,3410540600000.0,1237563100000.0
2180.0,4141235800000.0,7884279600000.0,3371849700000.0,1213912200000.0
2181.0,4109463200000.0,7873831000000.0,3340079700000.0,1190897300000.0
2182.0,4076203400000.0,7860359500000.0,3316873000000.0,1171650600000.0
2183.0,4042668400000.0,7821172000000.0,3299938100000.0,1152893800000.0
2184.0,4013303800000.0,7792315300000.0,3276714300000.0,1136147600000.0
2185.0,3998711500000.0,7756515000000.0,3262659400000.0,1117991000000.0
2186.0,3987470800000.0,7752531000000.0,3243343000000.0,1108236600000.0
2187.0,3951504700000.0,7759852500000.0,3217639000000.0,1093121340000.0
2188.0,3911439600000.0,7768957000000.0,3188549500000.0,1072271460000.0
2189.0,3882350000000.0,7729185000000.0,3146329000000.0,1064331700000.0
2190.0,3865341900000.0,7667686000000.0,3110810200000.0,1050152700000.0
2191.0,3836513600000.0,7626935500000.0,3087115000000.0,1040694050000.0
2192.0,3812850100000.0,7591707500000.0,3074353800000.0,1030743200000.0
2193.0,3790423500000.0,7588915000000.0,3043031300000.0,1021969900000.0
2194.0,3761403300000.0,7546505000000.0,3013198200000.0,1006833400000.0
2195.0,3738575300000.0,7526649700000.0,2986457400000.0,995985500000.0
2196.0,3714530700000.0,7500442000000.0,2951794700000.0,977021300000.0
2197.0,3687886000000.0,7489739000000.0,2942577700000.0,961560500000.0
2198.0,3666430000000.0,7444297000000.0,2936688300000.0,947909170000.0
2199.0,3649318400000.0,7383154000000.0,2915995700000.0,940117460000.0
2200.0,3624682000000.0,7366238500000.0,2883915400000.0,922781800000.0
2201.0,3600499900000.0,7336921400000.0,2867345200000.0,906229300000.0
2202.0,3576081400000.0,7288362400000.0,2835923600000.0,897202700000.0
2203.0,3559543300000.0,7245861500000.0,2797439800000.0,885003500000.0
2204.0,3532786000000.0,7206028000000.0,2776743500000.0,873560300000.0
2205.0,3507417500000.0,7141127600000.0,2753821100000.0,856999100000.0
2206.0,3481553300000.0,7107328300000.0,2727774800000.0,837707760000.0
2207.0,3458546000000.0,7071024500000.0,2698933200000.0,824630400000.0
2208.0,3451876500000.0,7038436000000.0,2669584600000.0,806940500000.0
2209.0,3432207600000.0,6998409000000.0,2642021200000.0,806330600000.0
2210.0,3414289000000.0,6982174000000.0,2618826000000.0,789798260000.0
2211.0,3415787700000.0,6965916300000.0,2590335600000.0,779765300000.0
2212.0,3378432200000.0,6951053000000.0,2574652800000.0,769768000000.0
2213.0,3354581500000.0,6904743500000.0,2558610600000.0,761979500000.0
2214.0,3342902000000.0,6877294400000.0,2546946000000.0,751044200000.0
2215.0,3325133600000.0,6845360500000.0,2524807200000.0,740758600000.0
2216.0,3303879700000.0,6782307500000.0,2518981000000.0,728151400000.0
2217.0,3296775600000.0,6758107400000.0,2503830700000.0,721462360000.0
2218.0,3270392400000.0,6735782000000.0,2474118500000.0,714399900000.0
2219.0,3237645000000.0,6732332400000.0,2455219200000.0,700189970000.0
2220.0,3205593800000.0,6688663000000.0,2444708300000.0,686957300000.0
2221.0,3198500700000.0,6638740700000.0,2411049800000.0,682378000000.0
2222.0,3165899000000.0,6608000000000.0,2393055000000.0,669319700000.0
2223.0,3147401800000.0,6599129000000.0,2381354600000.0,657035500000.0
2224.0,3126714400000.0,6582730500000.0,2368602400000.0,646103800000.0
2225.0,3114869700000.0,6568174000000.0,2348832000000.0,642238900000.0
2226.0,3095454500000.0,6548596000000.0,2338193400000.0,632966000000.0
2227.0,3087088500000.0,6507963000000.0,2323555800000.0,622903950000.0
2228.0,3069769000000.0,6480490700000.0,2315097000000.0,609264000000.0
2229.0,3056248800000.0,6469078000000.0,2311227400000.0,602174850000.0
2230.0,3034853000000.0,6473499300000.0,2304522000000.0,592342100000.0
2231.0,3015652700000.0,6459180400000.0,2289256000000.0,582046650000.0
2232.0,3005119200000.0,6431959400000.0,2265798700000.0,574866000000.0
2233.0,2992395800000.0,6413570000000.0,2262174000000.0,561868100000.0
2234.0,2976923000000.0,6384244500000.0,2253776700000.0,552848500000.0
2235.0,2964010600000.0,6368816300000.0,2241892200000.0,549140300000.0
2236.0,2941696600000.0,6368985000000.0,2226558900000.0,538429460000.0
2237.0,2927854600000.0,6339568300000.0,2214904700000.0,523467130000.0
2238.0,2914761800000.0,6313919000000.0,2203004000000.0,513882880000.0
2239.0,2888501600000.0,6301680000000.0,2205609400000.0,505553620000.0
2240.0,2868767400000.0,6279666000000.0,2213678000000.0,494048970000.0
2241.0,2862974500000.0,6278200000000.0,2207202100000.0,486229700000.0
2242.0,2849335400000.0,6277598000000.0,2197188000000.0,482577740000.0
2243.0,2830082000000.0,6244246500000.0,2184313000000.0,473351880000.0
2244.0,2813256500000.0,6214079500000.0,2170282300000.0,464916220000.0
2245.0,2798705200000.0,6161776000000.0,2159043100000.0,461778520000.0
2246.0,2776936700000.0,6128520000000.0,2142410200000.0,455139980000.0
2247.0,2757069400000.0,6104489000000.0,2115677600000.0,453124160000.0
2248.0,2745413400000.0,6101637500000.0,2108557400000.0,443937850000.0
2249.0,2723658300000.0,6050012000000.0,2099644200000.0,441838700000.0
2250.0,2703753200000.0,6011844000000.0,2101824000000.0,434166630000.0
2251.0,2691157000000.0,5985451600000.0,2088365700000.0,425540000000.0
2252.0,2669560200000.0,5974619000000.0,2078007800000.0,413208580000.0
2253.0,2657877000000.0,5949398500000.0,2062003500000.0,403782040000.0
2254.0,2646370000000.0,5931018000000.0,2058378500000.0,401982800000.0
2255.0,2629762800000.0,5924209000000.0,2052888700000.0,394988780000.0
2256.0,2606718500000.0,5899582000000.0,2036931200000.0,388991300000.0
2257.0,2589553600000.0,5873104600000.0,2036010500000.0,382842200000.0
2258.0,2575875400000.0,5841288700000.0,2016600800000.0,379928670000.0
2259.0,2560962600000.0,5831013000000.0,1996142300000.0,373047130000.0
2260.0,2553676300000.0,5860483400000.0,1985612100000.0,365393280000.0
2261.0,2542698200000.0,5856909000000.0,1966094300000.0,357877870000.0
2262.0,2526682800000.0,5839205700000.0,1948903900000.0,352663860000.0
2263.0,2514031500000.0,5840029000000.0,1927305000000.0,349007020000.0
2264.0,2496439300000.0,5828270600000.0,1928755300000.0,340793720000.0
2265.0,2484533500000.0,5797606600000.0,1908764400000.0,336453830000.0
2266.0,2467309600000.0,5778557000000.0,1896027300000.0,332409540000.0
2267.0,2452637000000.0,5741813000000.0,1877217200000.0,322454700000.0
2268.0,2432655700000.0,5731008400000.0,1874502600000.0,316174430000.0
2269.0,2408557000000.0,5701896000000.0,1852224400000.0,310883160000.0
2270.0,2394582700000.0,5664024000000.0,1827821600000.0,306674270000.0
2271.0,2380831000000.0,5616257500000.0,1820309000000.0,303368830000.0
2272.0,2378550500000.0,5583582300000.0,1816858700000.0,300556160000.0
2273.0,2359638000000.0,5568905000000.0,1804073400000.0,294796560000.0
2274.0,2350044200000.0,5546741600000.0,1796769300000.0,291462000000.0
2275.0,2337613000000.0,5515421000000.0,1782008800000.0,287129370000.0
2276.0,2330093700000.0,5491630000000.0,1784652800000.0,282699630000.0
2277.0,2323876000000.0,5485620000000.0,1775768300000.0,278078720000.0
2278.0,2321958600000.0,5442776300000.0,1766703200000.0,271776650000.0
2279.0,2314745400000.0,5424314600000.0,1749110200000.0,268198250000.0
2280.0,2298012500000.0,5413910000000.0,1739699800000.0,265353200000.0
2281.0,2282785600000.0,5393670500000.0,1735714900000.0,259638480000.0
2282.0,2264423000000.0,5373682500000.0,1730994400000.0,257562310000.0
2283.0,2269490000000.0,5344899600000.0,1725725700000.0,251755460000.0
2284.0,2256025400000.0,5324046600000.0,1717248100000.0,249759330000.0
2285.0,2252724000000.0,5321579000000.0,1712560300000.0,245232660000.0
2286.0,2245159800000.0,5310421000000.0,1708513600000.0,241664410000.0
2287.0,2229832800000.0,5290459000000.0,1710367700000.0,238216860000.0
2288.0,2218208800000.0,5263343500000.0,1711685100000.0,239223700000.0
2289.0,2210373800000.0,5249261000000.0,1705799700000.0,234488050000.0
2290.0,2199940500000.0,5241265700000.0,1696492000000.0,228530550000.0
2291.0,2186922000000.0,5243354500000.0,1690173200000.0,226836220000.0
2292.0,2179700100000.0,5257432000000.0,1675897600000.0,222813110000.0
2293.0,2172845400000.0,5252215500000.0,1682880500000.0,220271360000.0
2294.0,2161803500000.0,5234433700000.0,1678210500000.0,218571820000.0
2295.0,2149169500000.0,5233709000000.0,1666781500000.0,213219410000.0
2296.0,2137559800000.0,5217718000000.0,1676340500000.0,211512800000.0
2297.0,2130453900000.0,5214551000000.0,1673851200000.0,210041570000.0
2298.0,2129144700000.0,5203021000000.0,1674841700000.0,206254440000.0
2299.0,2123183600000.0,5192058000000.0,1663372100000.0,204666370000.0
2300.0,2110654300000.0,5163034000000.0,1660744400000.0,203375820000.0
