time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2109.0,4829137000000.0,7185666400000.0,6322979300000.0
2110.0,4734537700000.0,7075985000000.0,6237820300000.0
2111.0,4652313600000.0,6973712500000.0,6132161600000.0
2112.0,4550099500000.0,6807587700000.0,6022905000000.0
2113.0,4453529000000.0,6686790000000.0,5945505000000.0
2114.0,4360684200000.0,6538022400000.0,5864332000000.0
2115.0,4287604700000.0,6424088000000.0,5767715400000.0
2116.0,4196782000000.0,6298159000000.0,5676216600000.0
2117.0,4107752200000.0,6193687300000.0,5571790000000.0
2118.0,4034945000000.0,6117824400000.0,5495929000000.0
2119.0,3950484400000.0,6000536000000.0,5429215000000.0
2120.0,3865766000000.0,5922194000000.0,5353928000000.0
2121.0,3796390600000.0,5825848400000.0,5277447400000.0
2122.0,3727411400000.0,5715306500000.0,5214621400000.0
2123.0,3650901500000.0,5641481500000.0,5135791600000.0
2124.0,3570035000000.0,5555684400000.0,5071239600000.0
2125.0,3496630600000.0,5456104000000.0,5021306000000.0
2126.0,3429620800000.0,5372563700000.0,4960452000000.0
2127.0,3364462800000.0,5267192000000.0,4885742400000.0
2128.0,3294356800000.0,5195905400000.0,4786943400000.0
2129.0,3232952500000.0,5073174300000.0,4705293400000.0
2130.0,3171205500000.0,4962547400000.0,4638338000000.0
2131.0,3111731000000.0,4846847000000.0,4558658000000.0
2132.0,3044955000000.0,4785574000000.0,4499664000000.0
2133.0,2978902200000.0,4707690000000.0,4390166700000.0
2134.0,2909559000000.0,4629419500000.0,4335617700000.0
2135.0,2845054900000.0,4582569700000.0,4255137700000.0
2136.0,2790904000000.0,4521391600000.0,4139996200000.0
2137.0,2733223200000.0,4420466600000.0,4041744000000.0
2138.0,2665227200000.0,4350177400000.0,3964970700000.0
2139.0,2611172300000.0,4280079600000.0,3891524000000.0
2140.0,2544011600000.0,4194417500000.0,3808476500000.0
2141.0,2475107300000.0,4073511500000.0,3730109000000.0
2142.0,2420113100000.0,3997009200000.0,3661984700000.0
2143.0,2356829700000.0,3915495000000.0,3582631000000.0
2144.0,2300981300000.0,3870179000000.0,3518325900000.0
2145.0,2244457800000.0,3781061200000.0,3421302400000.0
2146.0,2191072700000.0,3700633000000.0,3337012000000.0
2147.0,2132737100000.0,3636125200000.0,3257256000000.0
2148.0,2075811500000.0,3540739200000.0,3186489600000.0
2149.0,2024036500000.0,3481339700000.0,3124216200000.0
2150.0,1977250000000.0,3392680200000.0,3066655400000.0
2151.0,1929071600000.0,3287993000000.0,2987832600000.0
2152.0,1877883000000.0,3208969000000.0,2931397800000.0
2153.0,1821764000000.0,3137276200000.0,2872353800000.0
2154.0,1772352700000.0,3032090700000.0,2783677000000.0
2155.0,1719932400000.0,2942098000000.0,2732809000000.0
2156.0,1676126300000.0,2859653700000.0,2672146300000.0
2157.0,1631541800000.0,2765219700000.0,2587734000000.0
2158.0,1589300200000.0,2673887400000.0,2526116300000.0
2159.0,1542956500000.0,2578546200000.0,2463018800000.0
2160.0,1504159200000.0,2450639000000.0,2400324200000.0
2161.0,1468842000000.0,2319406900000.0,2349064000000.0
2162.0,1426747300000.0,2179872300000.0,2300934600000.0
2163.0,1388528400000.0,2048831000000.0,2260889000000.0
2164.0,1352808800000.0,1923836500000.0,2207416800000.0
2165.0,1320027200000.0,1811664100000.0,2142888500000.0
2166.0,1285077300000.0,1687169800000.0,2092213500000.0
2167.0,1253422900000.0,1562558200000.0,2051943800000.0
2168.0,1224048100000.0,1463830300000.0,1989383300000.0
2169.0,1188871400000.0,1360620400000.0,1932132700000.0
2170.0,1158935100000.0,1260882600000.0,1884460400000.0
2171.0,1131353900000.0,1166336500000.0,1828901000000.0
2172.0,1101366200000.0,1080734840000.0,1783128700000.0
2173.0,1070422560000.0,993279600000.0,1744484300000.0
