time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,ACCESS-ESM1-5
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2757721300000.0,2758887900000.0,2776942500000.0,2757155600000.0,2745419000000.0,2766880000000.0
2022.0,2747845800000.0,2776385500000.0,2753727300000.0,2759619200000.0,2730116500000.0,2757818600000.0
2023.0,2721735500000.0,2723157000000.0,2738182700000.0,2759129600000.0,2721103200000.0,2743817000000.0
2024.0,2694695400000.0,2702773600000.0,2718748000000.0,2734751000000.0,2696530600000.0,2717457300000.0
2025.0,2677459600000.0,2668529500000.0,2707220000000.0,2723048000000.0,2678930500000.0,2701085000000.0
2026.0,2666824700000.0,2650356300000.0,2705867000000.0,2698847700000.0,2653516500000.0,2677555300000.0
2027.0,2638997000000.0,2624704500000.0,2682090700000.0,2658947300000.0,2620890300000.0,2657078700000.0
2028.0,2604668000000.0,2606062400000.0,2659554000000.0,2633573900000.0,2595480700000.0,2637941200000.0
2029.0,2576000500000.0,2584307000000.0,2635634800000.0,2619421200000.0,2576534500000.0,2625987700000.0
2030.0,2562866000000.0,2553377000000.0,2618257000000.0,2599861400000.0,2565069900000.0,2613343000000.0
2031.0,2541981000000.0,2545453400000.0,2595740000000.0,2586528200000.0,2544580000000.0,2597550300000.0
2032.0,2518033400000.0,2548946400000.0,2571333800000.0,2554087900000.0,2525995700000.0,2571826400000.0
2033.0,2490002800000.0,2529962500000.0,2558638200000.0,2546809200000.0,2501406600000.0,2544855000000.0
2034.0,2476412500000.0,2516145100000.0,2542223500000.0,2523596800000.0,2464227800000.0,2521205000000.0
2035.0,2447975000000.0,2489462800000.0,2511689000000.0,2513824600000.0,2447189000000.0,2501616600000.0
2036.0,2411136500000.0,2457037400000.0,2478671700000.0,2496494300000.0,2428402100000.0,2483947300000.0
2037.0,2390159500000.0,2439834800000.0,2469370500000.0,2497506000000.0,2411883400000.0,2461519800000.0
2038.0,2361869500000.0,2389433000000.0,2447961800000.0,2474279200000.0,2390320200000.0,2437150700000.0
2039.0,2346889000000.0,2383427400000.0,2442432300000.0,2461872700000.0,2373442300000.0,2426796500000.0
2040.0,2308007300000.0,2345506700000.0,2412526000000.0,2439498200000.0,2350651000000.0,2409230000000.0
2041.0,2275380800000.0,2307195100000.0,2396807200000.0,2410073800000.0,2324608600000.0,2380844500000.0
2042.0,2251054000000.0,2272521400000.0,2389241000000.0,2399910000000.0,2301856000000.0,2364164800000.0
