time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2051.0,1909163800000.0,1718514900000.0,2097053700000.0,2011390400000.0,2035183000000.0,2084851400000.0
2052.0,1880146800000.0,1682329000000.0,2066536000000.0,1982756300000.0,1991745900000.0,2048987200000.0
2053.0,1830958500000.0,1644987400000.0,2031078100000.0,1951395900000.0,1946225700000.0,2033488000000.0
2054.0,1810006300000.0,1592325000000.0,1992176300000.0,1925251500000.0,1922879600000.0,2002959000000.0
2055.0,1768918600000.0,1548665000000.0,1956201600000.0,1899970200000.0,1888501400000.0,1967470400000.0
2056.0,1737429400000.0,1507094000000.0,1920109900000.0,1879973800000.0,1845833400000.0,1931678600000.0
2057.0,1712640500000.0,1471129800000.0,1889685900000.0,1847890300000.0,1836777000000.0,1908753400000.0
2058.0,1679876800000.0,1442528200000.0,1846954000000.0,1818668200000.0,1804465100000.0,1881781200000.0
2059.0,1647204600000.0,1407542600000.0,1802486200000.0,1779609600000.0,1764844900000.0,1851616400000.0
2060.0,1615998000000.0,1374949200000.0,1759079000000.0,1761915400000.0,1733293600000.0,1826072000000.0
2061.0,1584991000000.0,1345743000000.0,1734975600000.0,1728571500000.0,1700104200000.0,1794344400000.0
2062.0,1549194400000.0,1309228400000.0,1699950500000.0,1690696700000.0,1677313700000.0,1761224700000.0
2063.0,1515961500000.0,1287917100000.0,1667515700000.0,1664126800000.0,1656540400000.0,1728927900000.0
2064.0,1471190300000.0,1250459000000.0,1636886600000.0,1635432100000.0,1622192000000.0,1705908900000.0
2065.0,1449365300000.0,1218232500000.0,1601650700000.0,1605290600000.0,1593297200000.0,1668262400000.0
2066.0,1427653400000.0,1172441900000.0,1564241000000.0,1573164400000.0,1568324800000.0,1629922700000.0
2067.0,1399342600000.0,1144430500000.0,1537709800000.0,1529763300000.0,1538214200000.0,1600573000000.0
2068.0,1365931500000.0,1119358300000.0,1506464400000.0,1496779700000.0,1496067300000.0,1555924600000.0
