time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18049751000000.0,18066195000000.0,18093105000000.0
2022.0,17865248000000.0,17973251000000.0,18041900000000.0
2023.0,17861299000000.0,17787947000000.0,18001015000000.0
2024.0,17840320000000.0,17625890000000.0,17814550000000.0
2025.0,17746604000000.0,17480984000000.0,17745052000000.0
2026.0,17669162000000.0,17345202000000.0,17569856000000.0
2027.0,17606620000000.0,17127604000000.0,17427525000000.0
2028.0,17530801000000.0,16992790000000.0,17203795000000.0
2029.0,17470501000000.0,16886331000000.0,17050907000000.0
2030.0,17354648000000.0,16796488000000.0,16818914000000.0
2031.0,17374051000000.0,16761612000000.0,16637726000000.0
2032.0,17272680000000.0,16713184000000.0,16530136000000.0
2033.0,17233813000000.0,16527050000000.0,16338596000000.0
2034.0,17108515000000.0,16325838000000.0,16104091000000.0
2035.0,17017278000000.0,16260744000000.0,15932584000000.0
2036.0,16843502000000.0,16205579000000.0,15786743000000.0
2037.0,16677542000000.0,16135065000000.0,15588001000000.0
2038.0,16550013000000.0,16008586000000.0,15355640000000.0
2039.0,16502589000000.0,15926609000000.0,15157656000000.0
2040.0,16469483000000.0,15841564000000.0,14945178000000.0
2041.0,16305139000000.0,15830649000000.0,14778538000000.0
2042.0,16121857000000.0,15725538000000.0,14603914000000.0
2043.0,16045174000000.0,15583768000000.0,14414817000000.0
2044.0,15981904000000.0,15448346000000.0,14211227000000.0
2045.0,15748903000000.0,15330838000000.0,13999170000000.0
2046.0,15524974000000.0,15236916000000.0,13760258000000.0
2047.0,15253242000000.0,15110420000000.0,13597340000000.0
2048.0,15072179000000.0,14957366000000.0,13533006000000.0
2049.0,14944907000000.0,14830567000000.0,13323307000000.0
2050.0,14853192000000.0,14731655000000.0,13211147000000.0
2051.0,14669624000000.0,14524813000000.0,13047509000000.0
2052.0,14481640000000.0,14323298000000.0,12874749000000.0
2053.0,14267162000000.0,14167064000000.0,12592816000000.0
2054.0,14105381000000.0,13973833000000.0,12413272000000.0
2055.0,13942609000000.0,13817587000000.0,12286929000000.0
2056.0,13737563000000.0,13691319000000.0,12111091000000.0
2057.0,13598831000000.0,13614600000000.0,11930229000000.0
2058.0,13459853000000.0,13507385000000.0,11739391000000.0
2059.0,13341993000000.0,13362070000000.0,11565969000000.0
2060.0,13200219000000.0,13191666000000.0,11409549000000.0
2061.0,12985425000000.0,13088348000000.0,11277169000000.0
2062.0,12828156000000.0,12909112000000.0,11050172000000.0
2063.0,12712849000000.0,12786116000000.0,10746726000000.0
2064.0,12604331000000.0,12644621000000.0,10462174000000.0
2065.0,12411172000000.0,12575488000000.0,10213337000000.0
2066.0,12297468000000.0,12441810000000.0,10022402000000.0
2067.0,12079221000000.0,12274103000000.0,9901317000000.0
2068.0,11895494000000.0,12097349000000.0,9726043000000.0
2069.0,11754538000000.0,11898053000000.0,9571625000000.0
2070.0,11594217000000.0,11685461000000.0,9424573000000.0
2071.0,11451545000000.0,11522550000000.0,9237829000000.0
2072.0,11262395000000.0,11350859000000.0,9043760000000.0
2073.0,11028637000000.0,11234493000000.0,8875802000000.0
2074.0,10896556000000.0,11075047000000.0,8711045000000.0
2075.0,10663158000000.0,10924805000000.0,8529785700000.0
2076.0,10568594000000.0,10787423000000.0,8334671300000.0
2077.0,10444717000000.0,10563052000000.0,8145988000000.0
2078.0,10206613000000.0,10391474000000.0,7968508000000.0
2079.0,10052117000000.0,10104310000000.0,7756493400000.0
2080.0,9855395000000.0,9969753000000.0,7578147400000.0
2081.0,9668890000000.0,9875680000000.0,7450009000000.0
2082.0,9463604000000.0,9723719000000.0,7263952600000.0
2083.0,9332381000000.0,9627318000000.0,7060895300000.0
2084.0,9181496000000.0,9410515000000.0,6903707500000.0
2085.0,9005301000000.0,9234791000000.0,6736252500000.0
2086.0,8787245700000.0,9096529000000.0,6537866000000.0
2087.0,8646649400000.0,8962143000000.0,6367740400000.0
2088.0,8475555400000.0,8789188700000.0,6149105000000.0
2089.0,8312635500000.0,8545811600000.0,5963417400000.0
2090.0,8165955000000.0,8414479000000.0,5725961600000.0
2091.0,8035078000000.0,8271164000000.0,5530457000000.0
2092.0,7857930000000.0,8095271000000.0,5387016700000.0
2093.0,7690261000000.0,7949027000000.0,5266794300000.0
2094.0,7504682500000.0,7805158300000.0,5145294000000.0
2095.0,7329660000000.0,7636825700000.0,5028944300000.0
2096.0,7201479000000.0,7503141000000.0,4870890300000.0
2097.0,7015501000000.0,7371466000000.0,4734604000000.0
2098.0,6874803000000.0,7257606600000.0,4642324300000.0
2099.0,6761424000000.0,7133842000000.0,4519440700000.0
2100.0,6603028300000.0,7046623700000.0,4429718000000.0
2101.0,6452967000000.0,6931229000000.0,4321523800000.0
2102.0,6261996000000.0,6829490000000.0,4190738300000.0
2103.0,6082528300000.0,6724120500000.0,4098671500000.0
2104.0,5935699300000.0,6609676300000.0,3967116400000.0
2105.0,5781406000000.0,6498818700000.0,3840013000000.0
2106.0,5580444000000.0,6409488000000.0,3779189800000.0
2107.0,5387283000000.0,6237197000000.0,3679454500000.0
2108.0,5239599500000.0,6131088400000.0,3608197000000.0
2109.0,5070357000000.0,6053626400000.0,3528286000000.0
2110.0,4885839000000.0,5971503000000.0,3452756600000.0
2111.0,4740876000000.0,5881335000000.0,3366512800000.0
2112.0,4602339500000.0,5826005700000.0,3289553000000.0
2113.0,4486566000000.0,5712770500000.0,3193167000000.0
2114.0,4353327400000.0,5651824000000.0,3132373900000.0
2115.0,4195785400000.0,5586974400000.0,3076471700000.0
2116.0,4070734000000.0,5516455600000.0,3013178600000.0
2117.0,3932781500000.0,5459788000000.0,2925193300000.0
2118.0,3846264300000.0,5396541500000.0,2841028300000.0
2119.0,3740723800000.0,5333129400000.0,2782391000000.0
2120.0,3673217300000.0,5226041400000.0,2707513700000.0
2121.0,3597789600000.0,5152921000000.0,2658457000000.0
2122.0,3531079200000.0,5081416600000.0,2588504000000.0
2123.0,3439843300000.0,5032073000000.0,2519148500000.0
2124.0,3360296800000.0,4983555000000.0,2489798000000.0
