time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,UKESM1-0-LL
2078.0,163147970000.0,125175144000.0,9123074000.0,41589453000.0,1106068100.0
2079.0,154878660000.0,116506140000.0,7955779000.0,38953685000.0,1020959900.0
2080.0,149291450000.0,110337925000.0,6917766000.0,35837630000.0,940199000.0
2081.0,141217480000.0,103824990000.0,5757263400.0,32596371000.0,853196200.0
2082.0,136840810000.0,95342530000.0,4997987300.0,29920358000.0,777336640.0
2083.0,128010710000.0,86647570000.0,4493253600.0,28637512000.0,731446140.0
2084.0,122618400000.0,80757236000.0,4093250600.0,25030412000.0,671174400.0
2085.0,117283460000.0,73803014000.0,3543669800.0,23228730000.0,622296960.0
2086.0,110509650000.0,69623380000.0,3196422700.0,22041946000.0,575791000.0
2087.0,103137040000.0,65113310000.0,2681514800.0,21078753000.0,532303680.0
2088.0,97389510000.0,59289506000.0,2258542600.0,19226591000.0,479865180.0
2089.0,92850600000.0,53167260000.0,1944843600.0,17746987000.0,441424350.0
2090.0,86880470000.0,47092080000.0,1663863200.0,17085667000.0,413136000.0
2091.0,82486436000.0,42309980000.0,1455732900.0,16145945000.0,371255230.0
2092.0,77431050000.0,37448790000.0,1340696400.0,15526679000.0,350075000.0
2093.0,70675670000.0,32830538000.0,1253932800.0,14368163000.0,323074800.0
2094.0,67287024000.0,29343674000.0,1165804900.0,13120566000.0,309512540.0
2095.0,63814373000.0,26340635000.0,1067040450.0,11925233000.0,302349540.0
2096.0,59936145000.0,24435094000.0,949320300.0,11326880000.0,287564830.0
2097.0,57147597000.0,22121198000.0,868774340.0,10552676000.0,265801040.0
2098.0,55602586000.0,20118030000.0,802088500.0,9587447000.0,253900910.0
2099.0,52516320000.0,18566232000.0,762031940.0,9444877000.0,243107070.0
2100.0,48755327000.0,17213538000.0,718267500.0,8514772500.0,236296850.0
