time,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0
2041.0,139567026742000.0,127753357030000.0,140912135017000.0,136073464130000.0,135706065212000.0
2042.0,138871186032000.0,126265678549000.0,140453964524000.0,135190190446000.0,134753140809000.0
2043.0,138361891735000.0,124954368260000.0,139884007513000.0,134225296045000.0,133932706323000.0
2044.0,137747836354000.0,123533959348000.0,139429296666000.0,133311244184000.0,132757055295000.0
2045.0,137140011689000.0,122041855124000.0,138935092147000.0,132352895716000.0,131768527825000.0
2046.0,136432757837000.0,120655807631000.0,138399902970000.0,131260403312000.0,130657117459000.0
2047.0,135896667671000.0,119143662778000.0,137936230946000.0,130153769055000.0,129618800179000.0
2048.0,135338947236000.0,117394431716000.0,137284617538000.0,129127027366000.0,128417295184000.0
2049.0,134874536158000.0,115474686352000.0,136706554935000.0,127910981062000.0,127382979428000.0
2050.0,134220782291000.0,113835186357000.0,136166359574000.0,126708350963000.0,126235775740000.0
2051.0,133636421137000.0,112166909713500.0,135389628124000.0,125472045091000.0,124999945255000.0
2052.0,133029332233000.0,110515407150600.0,134820299177000.0,124340790362000.0,124205425887000.0
2053.0,132308465464000.0,108733305037600.0,134170003825000.0,123250158959000.0,123197663967000.0
2054.0,131638752272000.0,106931935179600.0,133564267134000.0,122074670785000.0,122074974150000.0
2055.0,130879955167000.0,105216776120600.0,132974018643000.0,120946295155000.0,120832575276000.0
2056.0,130164470199000.0,103634925348000.0,132271385825000.0,119694020798000.0,119766930985000.0
2057.0,129398526712000.0,102008964035300.0,131706070390000.0,118338460032000.0,118872229161000.0
2058.0,128836910736000.0,100192682761900.0,131134885014000.0,116999769513000.0,117871908552000.0
2059.0,128117809043000.0,98227677339000.0,130474897459000.0,115774361602700.0,116930146757000.0
2060.0,127466910887000.0,96486547358300.0,129880589497000.0,114474041497000.0,115828758774000.0
2061.0,126797388847000.0,94847485607300.0,129171226001000.0,113346952878000.0,114642356801000.0
2062.0,126054411743000.0,93162436698600.0,128528708333000.0,111886734807000.0,113485518416000.0
2063.0,125426229846000.0,91490558233000.0,127686212128000.0,110610564005100.0,112459594654000.0
2064.0,124877279290000.0,89640835037200.0,127008775716000.0,109100801500300.0,111192245295000.0
2065.0,124037134358000.0,88018275775700.0,126396207645000.0,107704848864000.0,110591583828000.0
2066.0,123133592882000.0,86415641199800.0,125810058436000.0,106325700992400.0,109467739548500.0
2067.0,122351207841300.0,84668985120600.0,125093516497000.0,104896494874500.0,108384736197000.0
2068.0,121545849852600.0,82995795101740.0,124354631032000.0,103387684273100.0,107167874756600.0
2069.0,120818944647600.0,81194326259100.0,123678061952000.0,102007757980400.0,106179602814700.0
2070.0,120117394280400.0,79530663562100.0,123134710601000.0,100551331683500.0,105209799849600.0
2071.0,119400960984800.0,77690886068640.0,122463393052000.0,98976705686200.0,104031267208600.0
2072.0,118664587760400.0,75947491970600.0,121792877804600.0,97392711512600.0,102888486504000.0
2073.0,118061276075000.0,74067277648500.0,121107130683700.0,95985938769000.0,101811071011500.0
2074.0,117355681552000.0,72332307088600.0,120328230897000.0,94500646206300.0,100622996245700.0
2075.0,116556094124600.0,70607267807810.0,119655334826400.0,92982483876300.0,99592844874700.0
2076.0,115795088855000.0,68930844854070.0,118868811681000.0,91644790288900.0,98506094648700.0
2077.0,115003497994000.0,67040885153870.0,118150078204300.0,90076117252100.0,97042467119000.0
2078.0,114301286575000.0,65256418814120.0,117378876025300.0,88496876415600.0,95965096267700.0
2079.0,113403551049100.0,63390469990450.0,116646230758000.0,87117031552700.0,94614861819900.0
2080.0,112650324111000.0,61695451484420.0,116026724607000.0,85703102951700.0,93376921709700.0
2081.0,111860011070700.0,59992720760260.0,115231414045000.0,83999077068750.0,92006944613500.0
2082.0,111126923145800.0,58302117898740.0,114446108138400.0,82330337238860.0,90831775322500.0
2083.0,110275304467600.0,56633948490320.0,113489193460000.0,80921573624840.0,89815805056100.0
2084.0,109375407841200.0,55036336761180.0,112639169524000.0,79379962355560.0,88660181896900.0
2085.0,108395656495100.0,53365364163960.0,111884231082500.0,77901481743130.0,87543045307100.0
2086.0,107452592187900.0,51738496015080.0,111106344003000.0,76451512194400.0,86321563213600.0
2087.0,106584075159100.0,50030224750200.0,110504354230700.0,74828187451300.0,85313181671300.0
2088.0,105618064693300.0,48452019938660.0,109566275491700.0,73305651311900.0,84147215751400.0
2089.0,104844688415200.0,46838944073010.0,108755999020300.0,71794331348430.0,83001149530600.0
2090.0,103758483490600.0,45144864608480.0,108069019171500.0,70195854224400.0,81718367950800.0
2091.0,102810041483200.0,43496511564630.0,107379356584800.0,68594060655300.0,80393753924200.0
2092.0,101937744746400.0,41923338860854.0,106549391953400.0,66832544781520.0,79056309307000.0
2093.0,100929224009700.0,40363200518130.0,105808317312400.0,65280188854160.0,77735629145700.0
2094.0,99983787376200.0,38914933972798.0,105045979579200.0,63876888446770.0,76455317348600.0
2095.0,99118267836400.0,37582455886048.0,104183682764900.0,62403548815420.0,75174367806000.0
2096.0,98298890644200.0,36167026545048.0,103379891750300.0,60950818650760.0,73918956550500.0
2097.0,97246255521800.0,34844392037882.0,102460194214300.0,59494760487680.0,72627730236100.0
2098.0,96243746643300.0,33528782167646.0,101691553055500.0,58064125593180.0,71254354756600.0
2099.0,95362783802800.0,32263304045762.0,100901159537500.0,56584734751460.0,70064159163300.0
2100.0,94325409583600.0,31065263890266.0,99877438786800.0,55111632983350.0,68969035289000.0
