time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2069.0,108517693201200.0,124499753374000.0,86770001662200.0,123679412105000.0,112242037314000.0
2070.0,107352966743500.0,123775149551000.0,85208161728400.0,122995698980000.0,111088437933000.0
2071.0,106265069292000.0,122970092607000.0,83468989279900.0,122275437994000.0,109797705691500.0
2072.0,105013596049300.0,122113859634000.0,81605691406900.0,121549139146000.0,108601045650300.0
2073.0,104017416077200.0,121416904339000.0,80067751289600.0,120844583408000.0,107706190453600.0
2074.0,102771098288500.0,120735677380000.0,78479651449600.0,119860295661400.0,106603788909000.0
2075.0,101600825646400.0,120082817041000.0,76915669350000.0,119005030695500.0,105534813842500.0
2076.0,100260330004300.0,119344090824000.0,75368782145100.0,118284593262700.0,104354727238000.0
2077.0,99022098568700.0,118635249206000.0,73800486022500.0,117384921141500.0,103283606124400.0
2078.0,97736926601000.0,117954030885000.0,72304218695570.0,116687058421300.0,102079347372700.0
2079.0,96691538389100.0,117073384245000.0,70891403220300.0,116054540790400.0,100978523267000.0
2080.0,95460064899400.0,116423433429600.0,69486876589040.0,115267458093100.0,99894052230800.0
2081.0,94073138447500.0,115869059917000.0,67996500955400.0,114477643776400.0,98780994120600.0
2082.0,92833505252700.0,115343949489500.0,66438143077000.0,113650716948000.0,97773480814400.0
2083.0,91592353006700.0,114704016708000.0,64893454000060.0,112932558155000.0,96630164793000.0
2084.0,90308402625400.0,114104950131000.0,63450708970400.0,112157675766400.0,95735619107600.0
2085.0,89137341104400.0,113519116153500.0,61929037892000.0,111349905064700.0,94655585321400.0
2086.0,87716445729000.0,112952981013700.0,60534073717900.0,110608448852900.0,93519376095900.0
2087.0,86392036425700.0,112178127898000.0,58996159873320.0,109765645377600.0,92416214866200.0
2088.0,85075173381700.0,111560871420900.0,57478834338540.0,108922294369400.0,91455501505000.0
2089.0,83761892274400.0,110821006733700.0,56102744704790.0,108214213319300.0,90582958502300.0
2090.0,82534422474800.0,110148904172700.0,54663201847760.0,107587291284200.0,89569116541400.0
2091.0,81258407333900.0,109591992048000.0,53334701451560.0,106840094547400.0,88634561115700.0
2092.0,80014274254200.0,108847586667600.0,51975226898030.0,106043106544400.0,87595130714400.0
2093.0,78726367673700.0,108101042418200.0,50704543311910.0,105223102220200.0,86170605677900.0
2094.0,77327401640600.0,107343874675400.0,49328977781490.0,104451902161200.0,85081773341500.0
2095.0,75849218728800.0,106690222796300.0,47810087877500.0,103502431790200.0,84113579096400.0
2096.0,74490142732300.0,105983105594100.0,46478711151010.0,102795344581900.0,83034556059200.0
2097.0,73220699590350.0,105308459688600.0,45224261340470.0,102085575590400.0,81997676008200.0
2098.0,71758947590900.0,104539046758400.0,43920678896906.0,101370628820800.0,81006465786400.0
2099.0,70441406618800.0,103788191852800.0,42561423735644.0,100581423750500.0,80242527116700.0
2100.0,69278615245200.0,102915776762500.0,41242654098530.0,99786202925900.0,79558976689500.0
