time,CESM2-WACCM,ACCESS-CM2,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5,IPSL-CM6A-LR
2183.0,12089318000000.0,16717718000000.0,22226609000000.0,16477365000000.0,19728693000000.0,16538032000000.0
2184.0,12054669000000.0,16680813000000.0,22253300000000.0,16438527000000.0,19691234000000.0,16496099000000.0
2185.0,11986449000000.0,16641565000000.0,22217670000000.0,16400561000000.0,19671942000000.0,16400585000000.0
2186.0,11931971000000.0,16590209000000.0,22247410000000.0,16302923000000.0,19581198000000.0,16383068000000.0
2187.0,11860554000000.0,16562510000000.0,22233020000000.0,16294625000000.0,19537185000000.0,16328220000000.0
2188.0,11879244000000.0,16558207000000.0,22233248000000.0,16301153000000.0,19511424000000.0,16276081000000.0
2189.0,11765424000000.0,16544024000000.0,22188506000000.0,16245695000000.0,19496109000000.0,16214018000000.0
2190.0,11698083000000.0,16534103000000.0,22199004000000.0,16201381000000.0,19518790000000.0,16183015000000.0
2191.0,11598773000000.0,16507340000000.0,22218315000000.0,16203859000000.0,19497606000000.0,16172688000000.0
2192.0,11608742000000.0,16439807000000.0,22245741000000.0,16245402000000.0,19462034000000.0,16146977000000.0
2193.0,11640872000000.0,16413030000000.0,22210127000000.0,16203121000000.0,19472450000000.0,16139981000000.0
2194.0,11582048000000.0,16394386000000.0,22199614000000.0,16174656000000.0,19480540000000.0,16113822000000.0
2195.0,11496751000000.0,16382126000000.0,22229550000000.0,16094516000000.0,19432108000000.0,16083152000000.0
2196.0,11410125000000.0,16351843000000.0,22235056000000.0,16085902000000.0,19420800000000.0,16020096000000.0
2197.0,11423842000000.0,16335833000000.0,22279826000000.0,16042874000000.0,19434048000000.0,15985046000000.0
2198.0,11349426000000.0,16266209000000.0,22291396000000.0,16005183000000.0,19423258000000.0,15955160000000.0
2199.0,11315015000000.0,16215568000000.0,22295815000000.0,15981883000000.0,19406594000000.0,15920434000000.0
2200.0,11320831000000.0,16188901000000.0,22265637000000.0,15915038000000.0,19403300000000.0,15894507000000.0
2201.0,11272809000000.0,16111058000000.0,22310474000000.0,15908886000000.0,19401326000000.0,15880828000000.0
2202.0,11208934000000.0,16084036000000.0,22316686000000.0,15915260000000.0,19348553000000.0,15844329000000.0
2203.0,11140262000000.0,16071017000000.0,22352006000000.0,15890683000000.0,19328825000000.0,15784722000000.0
2204.0,11012100000000.0,16030993000000.0,22373896000000.0,15850669000000.0,19294916000000.0,15746807000000.0
2205.0,11007153000000.0,15993683000000.0,22359602000000.0,15811767000000.0,19282522000000.0,15719167000000.0
2206.0,10940567000000.0,15990915000000.0,22357326000000.0,15749242000000.0,19219910000000.0,15673589000000.0
2207.0,10914124000000.0,15978574000000.0,22366590000000.0,15700323000000.0,19244490000000.0,15621937000000.0
2208.0,10909909000000.0,15922309000000.0,22380252000000.0,15666535000000.0,19175567000000.0,15595892000000.0
2209.0,10911439000000.0,15869217000000.0,22437390000000.0,15659540000000.0,19118483000000.0,15571772000000.0
2210.0,10899981000000.0,15816375000000.0,22455716000000.0,15638078000000.0,19100848000000.0,15528063000000.0
2211.0,10859148000000.0,15781279000000.0,22438746000000.0,15592130000000.0,19063688000000.0,15511391000000.0
2212.0,10804043000000.0,15759135000000.0,22445908000000.0,15559697000000.0,19011463000000.0,15453053000000.0
2213.0,10705893000000.0,15710516000000.0,22448440000000.0,15481888000000.0,18985001000000.0,15472048000000.0
2214.0,10624285000000.0,15634194000000.0,22448892000000.0,15400893000000.0,18940621000000.0,15408186000000.0
2215.0,10540506000000.0,15607445000000.0,22408040000000.0,15402392000000.0,18952600000000.0,15358579000000.0
2216.0,10581089000000.0,15581936000000.0,22411926000000.0,15369947000000.0,18929836000000.0,15362318000000.0
2217.0,10624049000000.0,15557487000000.0,22396243000000.0,15394323000000.0,18851543000000.0,15370796000000.0
2218.0,10610364000000.0,15535435000000.0,22394287000000.0,15369197000000.0,18824655000000.0,15336716000000.0
2219.0,10517928000000.0,15483275000000.0,22412073000000.0,15354277000000.0,18820048000000.0,15308861000000.0
2220.0,10455884000000.0,15468443000000.0,22471785000000.0,15347366000000.0,18804002000000.0,15281712000000.0
2221.0,10405763000000.0,15511939000000.0,22456947000000.0,15308509000000.0,18797923000000.0,15257800000000.0
2222.0,10343743000000.0,15488779000000.0,22481857000000.0,15314495000000.0,18760925000000.0,15212882000000.0
2223.0,10400379000000.0,15441768000000.0,22456394000000.0,15281091000000.0,18798610000000.0,15211233000000.0
2224.0,10337423000000.0,15399778000000.0,22421036000000.0,15243534000000.0,18754673000000.0,15214073000000.0
2225.0,10324998000000.0,15396880000000.0,22444710000000.0,15183243000000.0,18750005000000.0,15165884000000.0
2226.0,10312871000000.0,15343685000000.0,22462052000000.0,15164950000000.0,18661776000000.0,15136756000000.0
2227.0,10328416000000.0,15304416000000.0,22458715000000.0,15153917000000.0,18630882000000.0,15095219000000.0
2228.0,10303634000000.0,15272680000000.0,22472183000000.0,15164702000000.0,18606224000000.0,15039235000000.0
2229.0,10266308000000.0,15256888000000.0,22474515000000.0,15131684000000.0,18609305000000.0,14999089000000.0
2230.0,10206307000000.0,15263280000000.0,22488304000000.0,15103734000000.0,18602263000000.0,14999779000000.0
2231.0,10188018000000.0,15250163000000.0,22457147000000.0,15088043000000.0,18582117000000.0,15005440000000.0
2232.0,10064864000000.0,15227864000000.0,22471252000000.0,15036829000000.0,18599222000000.0,14968221000000.0
2233.0,10021842000000.0,15176968000000.0,22455360000000.0,14961032000000.0,18587962000000.0,14989432000000.0
2234.0,10015764000000.0,15154335000000.0,22474203000000.0,14926582000000.0,18547342000000.0,14966242000000.0
2235.0,9930382000000.0,15085042000000.0,22462341000000.0,14894779000000.0,18534166000000.0,14991988000000.0
2236.0,9906155000000.0,15055883000000.0,22532757000000.0,14871818000000.0,18536123000000.0,14967198000000.0
2237.0,9793655000000.0,15054021000000.0,22593604000000.0,14891766000000.0,18541565000000.0,14924788000000.0
2238.0,9796814000000.0,15007805000000.0,22597503000000.0,14925342000000.0,18533205000000.0,14927877000000.0
2239.0,9797768000000.0,14999388000000.0,22630380000000.0,14891396000000.0,18504160000000.0,14888915000000.0
2240.0,9811932000000.0,14932275000000.0,22699000000000.0,14851780000000.0,18547490000000.0,14822442000000.0
2241.0,9762943000000.0,14916803000000.0,22717340000000.0,14831057000000.0,18559646000000.0,14780855000000.0
