time,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2184.0,1326969800000.0,2087599600.0,5206427000000.0,2421511400000.0,697168950000.0,786530300000.0
2185.0,1267449700000.0,1726889200.0,5167450700000.0,2344548800000.0,669906300000.0,718057900000.0
2186.0,1207516400000.0,1595625600.0,5153241400000.0,2278802000000.0,624899300000.0,678312500000.0
2187.0,1151537300000.0,1505113200.0,5113330500000.0,2214554500000.0,580713250000.0,628192700000.0
2188.0,1094075300000.0,1371462100.0,5059431600000.0,2146444600000.0,551602400000.0,573332800000.0
2189.0,1037009300000.0,1288767600.0,5038488400000.0,2086608400000.0,513065320000.0,525083050000.0
2190.0,977800200000.0,1136663000.0,5002311000000.0,2019105800000.0,481907930000.0,483424400000.0
2191.0,931475600000.0,1051347650.0,4936297000000.0,1956502000000.0,447762600000.0,443847870000.0
2192.0,891552600000.0,947319800.0,4889333000000.0,1891109600000.0,420060560000.0,399535400000.0
2193.0,851395000000.0,936576700.0,4833366500000.0,1833397400000.0,389911050000.0,369151050000.0
2194.0,802254750000.0,894246700.0,4794431000000.0,1785508100000.0,368969120000.0,339161870000.0
2195.0,747614200000.0,789965250.0,4740308500000.0,1737866200000.0,340707000000.0,317002900000.0
2196.0,709691100000.0,750041900.0,4711314000000.0,1696895600000.0,314584500000.0,295749650000.0
2197.0,658273600000.0,673310660.0,4679623000000.0,1649913400000.0,292306160000.0,267803300000.0
2198.0,610447300000.0,643496700.0,4632057000000.0,1611573900000.0,267220370000.0,247535480000.0
2199.0,549144400000.0,579635600.0,4578646400000.0,1570981300000.0,250812990000.0,227944970000.0
2200.0,482419500000.0,530935000.0,4554998000000.0,1536150600000.0,231753910000.0,209736830000.0
2201.0,410118130000.0,441975230.0,4513981000000.0,1490904200000.0,212119220000.0,192256660000.0
2202.0,349795680000.0,382881020.0,4476871600000.0,1459891700000.0,195629700000.0,171543580000.0
2203.0,296331280000.0,317996480.0,4436422300000.0,1423761200000.0,179353290000.0,151584340000.0
2204.0,254959370000.0,253411120.0,4402171600000.0,1391712900000.0,164639980000.0,130684576000.0
2205.0,215281900000.0,219329500.0,4363715300000.0,1363256400000.0,150632730000.0,115757540000.0
2206.0,181258110000.0,182589550.0,4303099000000.0,1333310300000.0,137754850000.0,101792735000.0
2207.0,153627500000.0,157211260.0,4290123100000.0,1300484000000.0,129657660000.0,88575720000.0
2208.0,130803196000.0,140511600.0,4276877500000.0,1269760400000.0,119073950000.0,79351820000.0
2209.0,113032970000.0,146828130.0,4227829000000.0,1239593100000.0,109843340000.0,68864180000.0
2210.0,98748550000.0,134353950.0,4194478600000.0,1208540300000.0,102468680000.0,61242855000.0
2211.0,83715660000.0,120889550.0,4168104000000.0,1185942200000.0,94009980000.0,54918640000.0
2212.0,75842860000.0,110007810.0,4153905000000.0,1160358900000.0,87890440000.0,48339247000.0
2213.0,65400120000.0,99554136.0,4115725500000.0,1133630300000.0,81001880000.0,42360218000.0
2214.0,53219920000.0,84482330.0,4108137000000.0,1112467700000.0,75987950000.0,36377940000.0
2215.0,46299423000.0,71201250.0,4097478500000.0,1085401500000.0,69165760000.0,30301313000.0
2216.0,39982313000.0,68495060.0,4070696600000.0,1062841750000.0,63799170000.0,25072243000.0
2217.0,33052963000.0,60486464.0,4038627400000.0,1036308840000.0,58583640000.0,19765660000.0
2218.0,28259064000.0,52458644.0,4006800800000.0,1011209900000.0,52815070000.0,15909037000.0
2219.0,22739040000.0,44726824.0,3958258300000.0,991447350000.0,49197450000.0,14188212000.0
2220.0,17703090000.0,40699810.0,3936838700000.0,972049300000.0,44618080000.0,10341836000.0
2221.0,13629117000.0,34284736.0,3927750200000.0,954915300000.0,40303560000.0,8989805000.0
2222.0,10384503000.0,31397524.0,3900931600000.0,933267240000.0,35604060000.0,7694258000.0
2223.0,8590824000.0,27597080.0,3861629000000.0,918447400000.0,31973468000.0,6626766300.0
2224.0,7045291000.0,22758580.0,3848656000000.0,899462140000.0,28631960000.0,5508525000.0
2225.0,5600126500.0,18878460.0,3809608000000.0,886384360000.0,25879702000.0,4483816000.0
2226.0,4411424300.0,16812224.0,3771978700000.0,867560200000.0,22981796000.0,3488938000.0
2227.0,3561040400.0,14080407.0,3742207300000.0,849344460000.0,20535654000.0,2717542700.0
2228.0,2673275100.0,13940930.0,3702109500000.0,834422240000.0,18891342000.0,2161567500.0
2229.0,1822980900.0,13383504.0,3683655600000.0,818453350000.0,17332103000.0,1581013800.0
2230.0,895376640.0,12964220.0,3659875500000.0,804267360000.0,15864436000.0,1267856400.0
2231.0,387147330.0,12962267.0,3637636000000.0,788154700000.0,14761899000.0,900385800.0
2232.0,165343280.0,12857226.0,3614630000000.0,773992400000.0,13992680000.0,788955200.0
2233.0,82707750.0,13023393.0,3573705600000.0,760371800000.0,13288042000.0,707126340.0
2234.0,68670640.0,12889336.0,3547309800000.0,746453500000.0,12186489000.0,648306560.0
2235.0,60829180.0,12827877.0,3523772700000.0,736232800000.0,11196837000.0,594254500.0
2236.0,47148150.0,12388224.0,3505388800000.0,723631100000.0,10388634000.0,533247780.0
2237.0,35373244.0,12121370.0,3493408300000.0,710530200000.0,9250300000.0,483782700.0
2238.0,24948336.0,12051730.0,3459681000000.0,697540900000.0,8355336000.0,447932480.0
2239.0,17660428.0,11731678.0,3439020200000.0,682910900000.0,7589431300.0,413690460.0
2240.0,9593574.0,11464754.0,3403764700000.0,668714660000.0,7005079600.0,368607580.0
2241.0,6792948.0,11719158.0,3392418300000.0,658580640000.0,6600093700.0,329020480.0
2242.0,5511574.0,11537138.0,3369672400000.0,649906400000.0,6146587000.0,276799140.0
2243.0,5436950.0,11107382.0,3335012200000.0,636522000000.0,5652345000.0,237744600.0
2244.0,5227236.5,10593905.0,3314553200000.0,625892200000.0,5244742700.0,209212770.0
2245.0,4886318.0,10254978.0,3295066700000.0,614719100000.0,4732759600.0,193435660.0
2246.0,4705745.5,10146478.0,3278165200000.0,601669200000.0,4243637800.0,169295420.0
2247.0,4658275.0,9941754.0,3246237200000.0,594457100000.0,3662611700.0,157428770.0
2248.0,4586216.0,9140814.0,3220498300000.0,587936900000.0,3220250400.0,147403920.0
2249.0,4659286.0,9051972.0,3192006000000.0,580010000000.0,2764004000.0,155543650.0
2250.0,4648881.5,8805355.0,3167980000000.0,571336160000.0,2315847000.0,221686990.0
2251.0,4646903.0,8425737.0,3143020600000.0,562679250000.0,1934438300.0,179881760.0
2252.0,4678742.0,8202061.0,3125066900000.0,555448600000.0,1496851000.0,145086100.0
2253.0,4697605.0,7663251.0,3094571600000.0,546876000000.0,1055891840.0,137465940.0
2254.0,4679044.0,6683216.0,3069678200000.0,539672700000.0,758700200.0,123292550.0
