time,CESM2-WACCM,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR
2080.0,21618668000000.0,22533542000000.0,21531338000000.0,21786595000000.0
2081.0,21434074000000.0,22354110000000.0,21427816000000.0,21711093000000.0
2082.0,21389443000000.0,22271820000000.0,21335026000000.0,21657276000000.0
2083.0,21256622000000.0,22144533000000.0,21222960000000.0,21582880000000.0
2084.0,21143203000000.0,22053432000000.0,21073452000000.0,21511723000000.0
2085.0,21084636000000.0,21975960000000.0,20984363000000.0,21383017000000.0
2086.0,21093740000000.0,21945955000000.0,20930126000000.0,21270362000000.0
2087.0,21039850000000.0,21949338000000.0,20822847000000.0,21125342000000.0
2088.0,20843327000000.0,21946943000000.0,20773125000000.0,21077116000000.0
2089.0,20743109000000.0,21932133000000.0,20646835000000.0,21053466000000.0
2090.0,20611180000000.0,21916430000000.0,20543300000000.0,20912043000000.0
2091.0,20507502000000.0,21804725000000.0,20436591000000.0,20821328000000.0
2092.0,20474002000000.0,21655271000000.0,20393346000000.0,20754080000000.0
2093.0,20352625000000.0,21609606000000.0,20355624000000.0,20686282000000.0
2094.0,20212468000000.0,21481686000000.0,20244406000000.0,20593630000000.0
2095.0,20019218000000.0,21462065000000.0,20216896000000.0,20554573000000.0
2096.0,19871744000000.0,21431822000000.0,20032370000000.0,20517176000000.0
2097.0,19793200000000.0,21448920000000.0,19954884000000.0,20493946000000.0
2098.0,19626375000000.0,21378372000000.0,19863366000000.0,20387195000000.0
2099.0,19558016000000.0,21318311000000.0,19778654000000.0,20335464000000.0
2100.0,19539964000000.0,21275586000000.0,19647210000000.0,20239606000000.0
2101.0,19446278000000.0,21214238000000.0,19592513000000.0,20130317000000.0
2102.0,19322630000000.0,21215119000000.0,19508228000000.0,20033110000000.0
2103.0,19180768000000.0,21204669000000.0,19460690000000.0,19956073000000.0
2104.0,19075497000000.0,21210495000000.0,19378712000000.0,19891812000000.0
2105.0,19042291000000.0,21232473000000.0,19357350000000.0,19792463000000.0
2106.0,19022758000000.0,21258080000000.0,19203472000000.0,19701407000000.0
2107.0,19015978000000.0,21244097000000.0,19135826000000.0,19558503000000.0
2108.0,18936196000000.0,21176739000000.0,18998069000000.0,19534421000000.0
2109.0,18825026000000.0,21163986000000.0,18964548000000.0,19473850000000.0
2110.0,18769242000000.0,21131750000000.0,18930907000000.0,19452905000000.0
2111.0,18743946000000.0,21138667000000.0,18799823000000.0,19368648000000.0
2112.0,18622288000000.0,21080142000000.0,18760627000000.0,19383345000000.0
2113.0,18542936000000.0,21014205000000.0,18678760000000.0,19319967000000.0
2114.0,18439731000000.0,21006085000000.0,18593560000000.0,19179147000000.0
2115.0,18370660000000.0,20993653000000.0,18495664000000.0,19138162000000.0
2116.0,18251461000000.0,20938947000000.0,18446178000000.0,19029677000000.0
2117.0,18140273000000.0,20912686000000.0,18419586000000.0,19013514000000.0
2118.0,18071018000000.0,20886382000000.0,18396530000000.0,18917347000000.0
2119.0,17951426000000.0,20866587000000.0,18330774000000.0,18856693000000.0
2120.0,17876715000000.0,20793046000000.0,18274467000000.0,18799315000000.0
2121.0,17835215000000.0,20728752000000.0,18191097000000.0,18723415000000.0
2122.0,17807662000000.0,20737123000000.0,18100894000000.0,18674337000000.0
2123.0,17736577000000.0,20649918000000.0,18064238000000.0,18627776000000.0
2124.0,17776085000000.0,20604162000000.0,17984890000000.0,18538165000000.0
2125.0,17747115000000.0,20612624000000.0,17959521000000.0,18492120000000.0
2126.0,17732186000000.0,20596822000000.0,17919417000000.0,18427528000000.0
2127.0,17692160000000.0,20549382000000.0,17831430000000.0,18325490000000.0
2128.0,17604500000000.0,20547717000000.0,17769350000000.0,18268465000000.0
2129.0,17530550000000.0,20540070000000.0,17666590000000.0,18169199000000.0
2130.0,17481377000000.0,20499675000000.0,17598157000000.0,18142267000000.0
2131.0,17396471000000.0,20528885000000.0,17494658000000.0,18122025000000.0
2132.0,17415569000000.0,20537818000000.0,17431808000000.0,18059110000000.0
2133.0,17443137000000.0,20538859000000.0,17394546000000.0,18013558000000.0
2134.0,17377778000000.0,20526391000000.0,17338905000000.0,17977974000000.0
2135.0,17332492000000.0,20517975000000.0,17312899000000.0,17905316000000.0
2136.0,17305177000000.0,20525737000000.0,17228581000000.0,17900673000000.0
2137.0,17228496000000.0,20505803000000.0,17212962000000.0,17890210000000.0
2138.0,17176052000000.0,20488676000000.0,17214378000000.0,17853281000000.0
2139.0,17154155000000.0,20469437000000.0,17152793000000.0,17782968000000.0
2140.0,17084688000000.0,20438930000000.0,17064817000000.0,17725676000000.0
2141.0,17056191000000.0,20433416000000.0,16995646000000.0,17648295000000.0
2142.0,16973124000000.0,20406386000000.0,16963122000000.0,17608143000000.0
2143.0,16909429000000.0,20393704000000.0,16953252000000.0,17604731000000.0
2144.0,16785558000000.0,20414028000000.0,16867210000000.0,17582047000000.0
2145.0,16780592000000.0,20424872000000.0,16786326000000.0,17522677000000.0
2146.0,16752417000000.0,20435210000000.0,16725111000000.0,17490938000000.0
2147.0,16729627000000.0,20438942000000.0,16696121000000.0,17449880000000.0
2148.0,16710325000000.0,20447180000000.0,16652838000000.0,17401660000000.0
2149.0,16667347000000.0,20452523000000.0,16615046000000.0,17362170000000.0
2150.0,16645426000000.0,20446167000000.0,16584841000000.0,17267619000000.0
2151.0,16674884000000.0,20429392000000.0,16552806000000.0,17174418000000.0
2152.0,16678190000000.0,20425971000000.0,16533051000000.0,17105313000000.0
2153.0,16590171000000.0,20420636000000.0,16486464000000.0,17051471000000.0
2154.0,16548151000000.0,20380478000000.0,16419237000000.0,17039507000000.0
2155.0,16465006000000.0,20387264000000.0,16336454000000.0,16994443000000.0
2156.0,16405493000000.0,20385368000000.0,16285942000000.0,16976897000000.0
2157.0,16391905000000.0,20382227000000.0,16270646000000.0,16935105000000.0
2158.0,16275191000000.0,20424681000000.0,16275371000000.0,16930927000000.0
2159.0,16222356000000.0,20433793000000.0,16244870000000.0,16917927000000.0
2160.0,16231394000000.0,20410142000000.0,16190579000000.0,16875378000000.0
2161.0,16217285000000.0,20407208000000.0,16171936000000.0,16890260000000.0
2162.0,16180032000000.0,20393063000000.0,16147521000000.0,16878668000000.0
2163.0,16120456000000.0,20367632000000.0,16094121000000.0,16822559000000.0
2164.0,16146531000000.0,20381618000000.0,16082866000000.0,16761586000000.0
2165.0,16123307000000.0,20355628000000.0,16055951000000.0,16714986000000.0
2166.0,16099341000000.0,20422695000000.0,16027027000000.0,16720954000000.0
2167.0,16061548000000.0,20425080000000.0,16021970000000.0,16672084000000.0
2168.0,16043394000000.0,20417520000000.0,15923867000000.0,16642396000000.0
2169.0,15995274000000.0,20412646000000.0,15892527000000.0,16585768000000.0
2170.0,15941903000000.0,20411420000000.0,15862494000000.0,16497137000000.0
2171.0,15892395000000.0,20368499000000.0,15832741000000.0,16498347000000.0
2172.0,15872712000000.0,20386054000000.0,15828673000000.0,16501585000000.0
2173.0,15863579000000.0,20425176000000.0,15819904000000.0,16473055000000.0
2174.0,15818588000000.0,20440639000000.0,15769893000000.0,16454825000000.0
2175.0,15791743000000.0,20444638000000.0,15697546000000.0,16443367000000.0
2176.0,15684308000000.0,20488095000000.0,15677823000000.0,16398789000000.0
2177.0,15696824000000.0,20514796000000.0,15639252000000.0,16364523000000.0
2178.0,15715151000000.0,20509062000000.0,15610656000000.0,16343823000000.0
2179.0,15662630000000.0,20505935000000.0,15570300000000.0,16279637000000.0
2180.0,15565506000000.0,20502660000000.0,15561436000000.0,16262689000000.0
2181.0,15598522000000.0,20474071000000.0,15546216000000.0,16223832000000.0
2182.0,15551075000000.0,20495830000000.0,15494423000000.0,16249354000000.0
2183.0,15536942000000.0,20485274000000.0,15484268000000.0,16191911000000.0
2184.0,15407411000000.0,20520630000000.0,15435435000000.0,16173940000000.0
2185.0,15386972000000.0,20507026000000.0,15383239000000.0,16139097000000.0
2186.0,15311281000000.0,20474057000000.0,15322142000000.0,16128754000000.0
2187.0,15266798000000.0,20433240000000.0,15242151000000.0,16065909000000.0
2188.0,15218006000000.0,20421397000000.0,15220093000000.0,16068898000000.0
2189.0,15135464000000.0,20415123000000.0,15203719000000.0,16058930000000.0
2190.0,15169806000000.0,20400484000000.0,15196349000000.0,16084418000000.0
2191.0,15147048000000.0,20393811000000.0,15178577000000.0,16058646000000.0
2192.0,15155993000000.0,20438460000000.0,15155521000000.0,16008432000000.0
2193.0,15167767000000.0,20420090000000.0,15117768000000.0,16003563000000.0
2194.0,15171416000000.0,20417417000000.0,15100285000000.0,15994526000000.0
2195.0,15151537000000.0,20478633000000.0,15097440000000.0,15967023000000.0
2196.0,15177518000000.0,20466985000000.0,15087650000000.0,15921633000000.0
2197.0,15164810000000.0,20469653000000.0,15100292000000.0,15876667000000.0
2198.0,15129019000000.0,20475204000000.0,15072395000000.0,15828140000000.0
2199.0,15106190000000.0,20487179000000.0,15037457000000.0,15766639000000.0
2200.0,15060466000000.0,20489546000000.0,15090461000000.0,15755589000000.0
2201.0,15090946000000.0,20484224000000.0,15079254000000.0,15735697000000.0
2202.0,15128778000000.0,20439496000000.0,15009328000000.0,15697050000000.0
2203.0,15074961000000.0,20437128000000.0,14999063000000.0,15686797000000.0
2204.0,15096406000000.0,20487881000000.0,14975368000000.0,15705337000000.0
2205.0,15053261000000.0,20471402000000.0,14947199000000.0,15696056000000.0
2206.0,15020263000000.0,20523682000000.0,14899099000000.0,15678690000000.0
2207.0,15042529000000.0,20583759000000.0,14880128000000.0,15636126000000.0
2208.0,15060550000000.0,20579870000000.0,14871040000000.0,15611381000000.0
2209.0,15049952000000.0,20574076000000.0,14848765000000.0,15546999000000.0
2210.0,15043387000000.0,20545481000000.0,14772453000000.0,15474296000000.0
2211.0,14975774000000.0,20557077000000.0,14749189000000.0,15440912000000.0
2212.0,14898273000000.0,20524493000000.0,14745866000000.0,15444640000000.0
2213.0,14869068000000.0,20477610000000.0,14731721000000.0,15437867000000.0
2214.0,14856138000000.0,20433085000000.0,14701640000000.0,15392170000000.0
2215.0,14822583000000.0,20429213000000.0,14678659000000.0,15423338000000.0
2216.0,14833054000000.0,20427689000000.0,14687562000000.0,15383203000000.0
2217.0,14808193000000.0,20424840000000.0,14677223000000.0,15345393000000.0
2218.0,14733417000000.0,20422192000000.0,14643337000000.0,15304772000000.0
2219.0,14704377000000.0,20406625000000.0,14645855000000.0,15300451000000.0
2220.0,14676537000000.0,20397028000000.0,14625388000000.0,15310766000000.0
2221.0,14595495000000.0,20420361000000.0,14597357000000.0,15280675000000.0
2222.0,14584207000000.0,20420881000000.0,14592055000000.0,15289567000000.0
2223.0,14594323000000.0,20450793000000.0,14557977000000.0,15251354000000.0
2224.0,14505988000000.0,20497840000000.0,14508694000000.0,15195263000000.0
2225.0,14502695000000.0,20501510000000.0,14473607000000.0,15186384000000.0
2226.0,14477048000000.0,20510407000000.0,14442787000000.0,15127846000000.0
2227.0,14477008000000.0,20535973000000.0,14389341000000.0,15086489000000.0
2228.0,14437711000000.0,20540062000000.0,14342267000000.0,15065229000000.0
2229.0,14402464000000.0,20515767000000.0,14298607000000.0,15018770000000.0
2230.0,14317504000000.0,20523940000000.0,14327865000000.0,15013998000000.0
2231.0,14288301000000.0,20518021000000.0,14310483000000.0,14978245000000.0
2232.0,14209905000000.0,20535920000000.0,14323547000000.0,15010240000000.0
2233.0,14230871000000.0,20544276000000.0,14240537000000.0,14976694000000.0
2234.0,14159916000000.0,20577478000000.0,14242112000000.0,14984714000000.0
2235.0,14146092000000.0,20561627000000.0,14229013000000.0,14974710000000.0
2236.0,14097915000000.0,20584235000000.0,14221091000000.0,14948510000000.0
2237.0,14104070000000.0,20530644000000.0,14212833000000.0,14936353000000.0
2238.0,14084181000000.0,20503720000000.0,14204767000000.0,14952834000000.0
2239.0,14073283000000.0,20517816000000.0,14159734000000.0,14911000000000.0
2240.0,14104439000000.0,20490417000000.0,14146406000000.0,14872460000000.0
2241.0,14058328000000.0,20537580000000.0,14149160000000.0,14869723000000.0
2242.0,14028699000000.0,20527637000000.0,14138318000000.0,14825745000000.0
2243.0,13979991000000.0,20565900000000.0,14160189000000.0,14788739000000.0
2244.0,13987032000000.0,20579910000000.0,14160489000000.0,14752533000000.0
2245.0,13901488000000.0,20551226000000.0,14155206000000.0,14760736000000.0
2246.0,13840139000000.0,20571853000000.0,14112274000000.0,14761732000000.0
2247.0,13743715000000.0,20594943000000.0,14076929000000.0,14747744000000.0
2248.0,13685690000000.0,20600968000000.0,14018540000000.0,14696368000000.0
2249.0,13696570000000.0,20602373000000.0,14038866000000.0,14663579000000.0
2250.0,13677278000000.0,20626719000000.0,14000880000000.0,14677281000000.0
2251.0,13680231000000.0,20606718000000.0,13946921000000.0,14645594000000.0
2252.0,13625165000000.0,20608044000000.0,13957578000000.0,14616618000000.0
2253.0,13574173000000.0,20625312000000.0,13968049000000.0,14587714000000.0
2254.0,13554520000000.0,20633247000000.0,13965653000000.0,14565477000000.0
2255.0,13527551000000.0,20644600000000.0,13952159000000.0,14555136000000.0
2256.0,13453902000000.0,20672531000000.0,13922898000000.0,14583657000000.0
2257.0,13452664000000.0,20674156000000.0,13892568000000.0,14559456000000.0
2258.0,13403232000000.0,20677212000000.0,13921172000000.0,14519718000000.0
2259.0,13334582000000.0,20662477000000.0,13897786000000.0,14518817000000.0
2260.0,13318146000000.0,20685626000000.0,13895142000000.0,14518736000000.0
2261.0,13296462000000.0,20706574000000.0,13874753000000.0,14509693000000.0
2262.0,13222802000000.0,20695371000000.0,13829904000000.0,14512778000000.0
2263.0,13194239000000.0,20684936000000.0,13827034000000.0,14508650000000.0
2264.0,13139988000000.0,20669979000000.0,13813497000000.0,14469559000000.0
2265.0,13052063000000.0,20655098000000.0,13826284000000.0,14483576000000.0
2266.0,13015830000000.0,20652363000000.0,13808713000000.0,14483501000000.0
2267.0,13007123000000.0,20627640000000.0,13829151000000.0,14465443000000.0
2268.0,12929752000000.0,20621583000000.0,13781217000000.0,14439698000000.0
2269.0,12865362000000.0,20629250000000.0,13763647000000.0,14446840000000.0
2270.0,12826034000000.0,20631343000000.0,13777541000000.0,14409959000000.0
2271.0,12780606000000.0,20633084000000.0,13748765000000.0,14402477000000.0
2272.0,12739403000000.0,20627803000000.0,13771060000000.0,14382349000000.0
2273.0,12727450000000.0,20653667000000.0,13774580000000.0,14369150000000.0
2274.0,12703116000000.0,20659038000000.0,13768063000000.0,14370013000000.0
2275.0,12670042000000.0,20620612000000.0,13745432000000.0,14346405000000.0
2276.0,12645245000000.0,20640965000000.0,13754184000000.0,14287482000000.0
2277.0,12649600000000.0,20626200000000.0,13739207000000.0,14254723000000.0
2278.0,12625116000000.0,20680192000000.0,13716512000000.0,14267109000000.0
2279.0,12597701000000.0,20688680000000.0,13705515000000.0,14253803000000.0
2280.0,12599125000000.0,20694675000000.0,13705251000000.0,14199609000000.0
2281.0,12544421000000.0,20735697000000.0,13707860000000.0,14153169000000.0
2282.0,12461758000000.0,20747355000000.0,13685491000000.0,14092620000000.0
2283.0,12424923000000.0,20771307000000.0,13641776000000.0,14103340000000.0
2284.0,12401782000000.0,20776627000000.0,13581304000000.0,14112536000000.0
2285.0,12392724000000.0,20770198000000.0,13578290000000.0,14132915000000.0
2286.0,12283640000000.0,20725415000000.0,13569952000000.0,14154216000000.0
2287.0,12221836000000.0,20673005000000.0,13511815000000.0,14128710000000.0
2288.0,12179074000000.0,20679404000000.0,13481717000000.0,14128608000000.0
2289.0,12220193000000.0,20646996000000.0,13490612000000.0,14130926000000.0
2290.0,12207271000000.0,20640308000000.0,13506721000000.0,14140246000000.0
2291.0,12165334000000.0,20629990000000.0,13519791000000.0,14153685000000.0
2292.0,12147266000000.0,20652371000000.0,13508736000000.0,14165419000000.0
2293.0,12127487000000.0,20642892000000.0,13501089000000.0,14148181000000.0
2294.0,12072959000000.0,20642112000000.0,13490021000000.0,14116987000000.0
2295.0,11991088000000.0,20619163000000.0,13485702000000.0,14126384000000.0
2296.0,11939294000000.0,20655758000000.0,13480970000000.0,14130936000000.0
2297.0,11875591000000.0,20678020000000.0,13482374000000.0,14111094000000.0
2298.0,11828631000000.0,20667118000000.0,13485529000000.0,14103668000000.0
2299.0,11807811000000.0,20664478000000.0,13454554000000.0,14084524000000.0
2300.0,11774779000000.0,20647032000000.0,13463879000000.0,14055903000000.0
