time,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM,CANESM5
2080.0,21786595000000.0,22533542000000.0,21618668000000.0,21531338000000.0
2081.0,21711093000000.0,22354110000000.0,21434074000000.0,21427816000000.0
2082.0,21657276000000.0,22271820000000.0,21389443000000.0,21335026000000.0
2083.0,21582880000000.0,22144533000000.0,21256622000000.0,21222960000000.0
2084.0,21511723000000.0,22053432000000.0,21143203000000.0,21073452000000.0
2085.0,21383017000000.0,21975960000000.0,21084636000000.0,20984363000000.0
2086.0,21270362000000.0,21945955000000.0,21093740000000.0,20930126000000.0
2087.0,21125342000000.0,21949338000000.0,21039850000000.0,20822847000000.0
2088.0,21077116000000.0,21946943000000.0,20843327000000.0,20773125000000.0
2089.0,21053466000000.0,21932133000000.0,20743109000000.0,20646835000000.0
2090.0,20912043000000.0,21916430000000.0,20611180000000.0,20543300000000.0
2091.0,20821328000000.0,21804725000000.0,20507502000000.0,20436591000000.0
2092.0,20754080000000.0,21655271000000.0,20474002000000.0,20393346000000.0
2093.0,20686282000000.0,21609606000000.0,20352625000000.0,20355624000000.0
2094.0,20593630000000.0,21481686000000.0,20212468000000.0,20244406000000.0
2095.0,20554573000000.0,21462065000000.0,20019218000000.0,20216896000000.0
2096.0,20517176000000.0,21431822000000.0,19871744000000.0,20032370000000.0
2097.0,20493946000000.0,21448920000000.0,19793200000000.0,19954884000000.0
2098.0,20387195000000.0,21378372000000.0,19626375000000.0,19863366000000.0
2099.0,20335464000000.0,21318311000000.0,19558016000000.0,19778654000000.0
2100.0,20239606000000.0,21275586000000.0,19539964000000.0,19647210000000.0
