time,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4
2085.0,22111690000000.0,24702853000000.0,22429573000000.0,24182587000000.0
2086.0,22081257000000.0,24665318000000.0,22411125000000.0,24155074000000.0
2087.0,22012678000000.0,24596053000000.0,22445803000000.0,24110501000000.0
2088.0,21938141000000.0,24575182000000.0,22396840000000.0,24117776000000.0
2089.0,21867320000000.0,24561595000000.0,22417127000000.0,24159940000000.0
2090.0,21779408000000.0,24514627000000.0,22394677000000.0,24051863000000.0
2091.0,21661242000000.0,24502912000000.0,22341378000000.0,24039760000000.0
2092.0,21602975000000.0,24419305000000.0,22332905000000.0,23989726000000.0
2093.0,21537880000000.0,24372885000000.0,22267591000000.0,23881587000000.0
2094.0,21390060000000.0,24281983000000.0,22216152000000.0,23856499000000.0
2095.0,21301561000000.0,24269981000000.0,22228006000000.0,23841584000000.0
2096.0,21266942000000.0,24303834000000.0,22214007000000.0,23746295000000.0
2097.0,21174266000000.0,24275008000000.0,22173492000000.0,23671666000000.0
2098.0,21048900000000.0,24211626000000.0,22205591000000.0,23663242000000.0
2099.0,20957723000000.0,24218746000000.0,22133653000000.0,23640064000000.0
2100.0,20819552000000.0,24157731000000.0,22071868000000.0,23626795000000.0
