time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2013.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0
2014.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0
2015.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0
2016.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0
2017.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0
2018.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26736120000000.0,26742190000000.0,26830210000000.0,26722313000000.0,26807057000000.0,26744904000000.0,26761406000000.0,26771762000000.0,26764238000000.0,26733428000000.0,26795531000000.0,26760844000000.0,26723278000000.0,26781178000000.0,26836103000000.0,26792744000000.0,26713478000000.0,26755457000000.0,26764733000000.0
2022.0,26719176000000.0,26678910000000.0,26756742000000.0,26615973000000.0,26731434000000.0,26742587000000.0,26702292000000.0,26721934000000.0,26750422000000.0,26630300000000.0,26805623000000.0,26734416000000.0,26673701000000.0,26675423000000.0,26847811000000.0,26754939000000.0,26629022000000.0,26752910000000.0,26767455000000.0
2023.0,26651243000000.0,26634277000000.0,26696281000000.0,26601897000000.0,26659145000000.0,26680380000000.0,26657040000000.0,26685380000000.0,26725698000000.0,26512147000000.0,26755427000000.0,26695390000000.0,26576243000000.0,26595300000000.0,26782365000000.0,26759032000000.0,26571274000000.0,26721733000000.0,26720191000000.0
2024.0,26618184000000.0,26595836000000.0,26619549000000.0,26560350000000.0,26658086000000.0,26669755000000.0,26625125000000.0,26622567000000.0,26653870000000.0,26369063000000.0,26699510000000.0,26649848000000.0,26555210000000.0,26597111000000.0,26738053000000.0,26681120000000.0,26453844000000.0,26708766000000.0,26695136000000.0
2025.0,26584522000000.0,26491564000000.0,26544905000000.0,26488986000000.0,26635374000000.0,26661280000000.0,26494200000000.0,26580364000000.0,26537517000000.0,26280920000000.0,26646663000000.0,26598873000000.0,26523367000000.0,26506520000000.0,26758426000000.0,26632460000000.0,26433190000000.0,26626941000000.0,26678437000000.0
2026.0,26520674000000.0,26451632000000.0,26472564000000.0,26506650000000.0,26551893000000.0,26624102000000.0,26481126000000.0,26561376000000.0,26505965000000.0,26221914000000.0,26590252000000.0,26549790000000.0,26476544000000.0,26419930000000.0,26771085000000.0,26560634000000.0,26347972000000.0,26579321000000.0,26544664000000.0
2027.0,26524634000000.0,26337150000000.0,26380056000000.0,26450610000000.0,26538780000000.0,26550624000000.0,26461560000000.0,26548325000000.0,26479996000000.0,26147086000000.0,26571570000000.0,26447080000000.0,26409322000000.0,26379194000000.0,26740130000000.0,26507890000000.0,26300052000000.0,26574310000000.0,26525710000000.0
2028.0,26498530000000.0,26323257000000.0,26287792000000.0,26404240000000.0,26409639000000.0,26498115000000.0,26351224000000.0,26517032000000.0,26448333000000.0,26116929000000.0,26518609000000.0,26392630000000.0,26348882000000.0,26328280000000.0,26664461000000.0,26441337000000.0,26220853000000.0,26610808000000.0,26478482000000.0
2029.0,26509868000000.0,26286817000000.0,26217309000000.0,26361438000000.0,26335722000000.0,26450852000000.0,26251940000000.0,26442163000000.0,26370738000000.0,25981731000000.0,26460637000000.0,26340602000000.0,26338925000000.0,26281108000000.0,26640927000000.0,26373018000000.0,26113586000000.0,26535447000000.0,26382116000000.0
2030.0,26449866000000.0,26248047000000.0,26157490000000.0,26335928000000.0,26238096000000.0,26376395000000.0,26252763000000.0,26409810000000.0,26301484000000.0,25884453000000.0,26437113000000.0,26288500000000.0,26308590000000.0,26269027000000.0,26554711000000.0,26292259000000.0,25998555000000.0,26517164000000.0,26332560000000.0
2031.0,26429067000000.0,26226532000000.0,26148017000000.0,26311230000000.0,26173070000000.0,26293119000000.0,26204258000000.0,26317922000000.0,26160847000000.0,25797887000000.0,26407210000000.0,26255780000000.0,26267353000000.0,26208876000000.0,26549011000000.0,26235229000000.0,25865746000000.0,26516178000000.0,26270667000000.0
2032.0,26395909000000.0,26182213000000.0,26089036000000.0,26220813000000.0,26088848000000.0,26203250000000.0,26133410000000.0,26199790000000.0,26062482000000.0,25722680000000.0,26398570000000.0,26219230000000.0,26188892000000.0,26143095000000.0,26486004000000.0,26213138000000.0,25686666000000.0,26479772000000.0,26252516000000.0
2033.0,26337765000000.0,26172417000000.0,26035440000000.0,26162233000000.0,26049070000000.0,26186464000000.0,26069726000000.0,26136392000000.0,25892560000000.0,25573621000000.0,26335406000000.0,26164624000000.0,26112840000000.0,26107200000000.0,26502167000000.0,26135648000000.0,25571590000000.0,26391586000000.0,26183640000000.0
2034.0,26319450000000.0,26085578000000.0,25933631000000.0,26136134000000.0,26023222000000.0,26147677000000.0,25977516000000.0,26113800000000.0,25777720000000.0,25487213000000.0,26237886000000.0,26120650000000.0,26059783000000.0,26031120000000.0,26424262000000.0,26052714000000.0,25418920000000.0,26335259000000.0,26138282000000.0
2035.0,26320210000000.0,25981486000000.0,25777830000000.0,26100546000000.0,25953615000000.0,26087151000000.0,25889805000000.0,26075432000000.0,25657750000000.0,25393755000000.0,26213274000000.0,26109993000000.0,26048452000000.0,26018170000000.0,26389250000000.0,26002476000000.0,25194926000000.0,26293580000000.0,26093807000000.0
2036.0,26303600000000.0,25888710000000.0,25676132000000.0,26084207000000.0,25944004000000.0,26039493000000.0,25793017000000.0,26062547000000.0,25572361000000.0,25317549000000.0,26185564000000.0,26091645000000.0,25994438000000.0,25981765000000.0,26384865000000.0,25927474000000.0,25059815000000.0,26266867000000.0,26035108000000.0
2037.0,26290648000000.0,25840460000000.0,25542739000000.0,26036970000000.0,25893370000000.0,25996032000000.0,25754864000000.0,26048488000000.0,25479021000000.0,25286079000000.0,26107538000000.0,26001860000000.0,25972450000000.0,25924270000000.0,26283868000000.0,25894834000000.0,24865540000000.0,26246302000000.0,25961622000000.0
2038.0,26196318000000.0,25782490000000.0,25361260000000.0,26015686000000.0,25830147000000.0,26019000000000.0,25641987000000.0,25968199000000.0,25354647000000.0,25151240000000.0,26052326000000.0,25938004000000.0,25919073000000.0,25864666000000.0,26298817000000.0,25801565000000.0,24636618000000.0,26162795000000.0,25896057000000.0
2039.0,26154208000000.0,25739340000000.0,25262900000000.0,25943500000000.0,25808810000000.0,25981113000000.0,25533890000000.0,25942129000000.0,25297980000000.0,24964570000000.0,25997282000000.0,25880062000000.0,25854225000000.0,25837047000000.0,26236863000000.0,25753238000000.0,24540445000000.0,26061595000000.0,25908157000000.0
2040.0,26057229000000.0,25632360000000.0,25166891000000.0,25939390000000.0,25745573000000.0,25931635000000.0,25471264000000.0,25865954000000.0,25166740000000.0,24887517000000.0,25968415000000.0,25814115000000.0,25848688000000.0,25792570000000.0,26222392000000.0,25584736000000.0,24398400000000.0,25969677000000.0,25921835000000.0
2041.0,26000765000000.0,25613550000000.0,25178264000000.0,25906050000000.0,25704673000000.0,25863951000000.0,25407745000000.0,25796322000000.0,25068212000000.0,24788047000000.0,25947519000000.0,25747582000000.0,25752970000000.0,25719604000000.0,26117830000000.0,25557652000000.0,24170510000000.0,25949272000000.0,25892129000000.0
2042.0,25940873000000.0,25525481000000.0,25154554000000.0,25868357000000.0,25628286000000.0,25828681000000.0,25346949000000.0,25722888000000.0,24923542000000.0,24702000000000.0,25885176000000.0,25693977000000.0,25650753000000.0,25687147000000.0,26024352000000.0,25473954000000.0,23900788000000.0,25794376000000.0,25872598000000.0
2043.0,25950752000000.0,25410113000000.0,24966249000000.0,25811984000000.0,25549936000000.0,25735550000000.0,25284483000000.0,25690307000000.0,24809723000000.0,24586794000000.0,25914256000000.0,25609332000000.0,25586313000000.0,25625222000000.0,25929928000000.0,25374088000000.0,23686573000000.0,25732810000000.0,25829103000000.0
2044.0,25914568000000.0,25318810000000.0,24859296000000.0,25742518000000.0,25518093000000.0,25694778000000.0,25151570000000.0,25602940000000.0,24686891000000.0,24464515000000.0,25868389000000.0,25576667000000.0,25513408000000.0,25566750000000.0,25754186000000.0,25277604000000.0,23470511000000.0,25565854000000.0,25806703000000.0
2045.0,25852860000000.0,25279611000000.0,24772270000000.0,25736136000000.0,25497908000000.0,25577845000000.0,25089347000000.0,25510732000000.0,24599912000000.0,24379012000000.0,25785503000000.0,25498405000000.0,25495496000000.0,25512596000000.0,25629418000000.0,25131672000000.0,23313707000000.0,25515710000000.0,25798900000000.0
2046.0,25860044000000.0,25194077000000.0,24626676000000.0,25661710000000.0,25461478000000.0,25494660000000.0,25052347000000.0,25393204000000.0,24321116000000.0,24247733000000.0,25767950000000.0,25439260000000.0,25458740000000.0,25384100000000.0,25513940000000.0,25014206000000.0,23056680000000.0,25401003000000.0,25762710000000.0
2047.0,25881620000000.0,25098134000000.0,24554966000000.0,25601132000000.0,25341463000000.0,25416840000000.0,24935557000000.0,25306044000000.0,24043426000000.0,24092592000000.0,25614168000000.0,25389500000000.0,25418812000000.0,25307682000000.0,25334846000000.0,24868817000000.0,22796036000000.0,25340440000000.0,25735794000000.0
2048.0,25783119000000.0,24989506000000.0,24365914000000.0,25502040000000.0,25257230000000.0,25261335000000.0,24848537000000.0,25252975000000.0,23872022000000.0,23946622000000.0,25527964000000.0,25327726000000.0,25404975000000.0,25234971000000.0,25082882000000.0,24746350000000.0,22603633000000.0,25340053000000.0,25665684000000.0
2049.0,25735165000000.0,24921007000000.0,24244126000000.0,25458040000000.0,25228967000000.0,25157770000000.0,24742510000000.0,25210055000000.0,23655243000000.0,23766566000000.0,25505605000000.0,25285860000000.0,25388837000000.0,25050753000000.0,25052314000000.0,24691572000000.0,22321285000000.0,25263780000000.0,25641429000000.0
2050.0,25767840000000.0,24805462000000.0,24033276000000.0,25419166000000.0,25175470000000.0,25142015000000.0,24663462000000.0,25097759000000.0,23450790000000.0,23654115000000.0,25500657000000.0,25184235000000.0,25345978000000.0,24939970000000.0,24909898000000.0,24589957000000.0,22006412000000.0,25109700000000.0,25601843000000.0
2051.0,25643897000000.0,24704950000000.0,24006372000000.0,25294172000000.0,25093734000000.0,25016375000000.0,24549295000000.0,25073744000000.0,23230316000000.0,23526042000000.0,25473795000000.0,25104090000000.0,25239518000000.0,24839906000000.0,24714318000000.0,24315725000000.0,21717995000000.0,24920541000000.0,25597925000000.0
