time,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,CESM2-WACCM,CESM2,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,NORESM2-MM,BCC-CSM2-MR,FGOALS-F3-L
2028.0,26337080000000.0,26538810000000.0,26411755000000.0,26319595000000.0,26376258000000.0,26634246000000.0,26059480000000.0,26382466000000.0,26394768000000.0,26602710000000.0,26410085000000.0,26612286000000.0,26344853000000.0
2029.0,26271984000000.0,26547054000000.0,26358959000000.0,26242867000000.0,26342530000000.0,26574787000000.0,25944780000000.0,26343985000000.0,26292810000000.0,26609027000000.0,26346065000000.0,26541730000000.0,26338180000000.0
2030.0,26218454000000.0,26531594000000.0,26274550000000.0,26129168000000.0,26308490000000.0,26545198000000.0,25885342000000.0,26334219000000.0,26251530000000.0,26586716000000.0,26292253000000.0,26488393000000.0,26304594000000.0
2031.0,26169791000000.0,26475288000000.0,26258532000000.0,26036327000000.0,26281838000000.0,26496083000000.0,25782276000000.0,26262051000000.0,26228990000000.0,26513930000000.0,26291512000000.0,26467110000000.0,26277201000000.0
2032.0,26186892000000.0,26456682000000.0,26210009000000.0,25933772000000.0,26283736000000.0,26444925000000.0,25680980000000.0,26192950000000.0,26160302000000.0,26492377000000.0,26266405000000.0,26414177000000.0,26208245000000.0
2033.0,26150040000000.0,26427282000000.0,26042736000000.0,25924769000000.0,26303650000000.0,26398996000000.0,25568026000000.0,26135428000000.0,26087671000000.0,26429224000000.0,26219987000000.0,26374420000000.0,26182427000000.0
2034.0,26098394000000.0,26365940000000.0,25939772000000.0,25840580000000.0,26257083000000.0,26356358000000.0,25561311000000.0,26074580000000.0,26076779000000.0,26423069000000.0,26128377000000.0,26264784000000.0,26113435000000.0
2035.0,26103033000000.0,26288966000000.0,25815530000000.0,25712226000000.0,26190450000000.0,26339360000000.0,25482330000000.0,25979299000000.0,26011652000000.0,26390286000000.0,26103662000000.0,26175842000000.0,26052926000000.0
2036.0,26038646000000.0,26210174000000.0,25713204000000.0,25582732000000.0,26102435000000.0,26313142000000.0,25414051000000.0,25933728000000.0,25965370000000.0,26332478000000.0,26058479000000.0,26128815000000.0,26015850000000.0
2037.0,26041146000000.0,26155105000000.0,25543676000000.0,25473875000000.0,26092983000000.0,26246598000000.0,25269985000000.0,25808024000000.0,25907075000000.0,26367691000000.0,26038982000000.0,25993400000000.0,25996227000000.0
2038.0,26015800000000.0,26072307000000.0,25373406000000.0,25395896000000.0,26020493000000.0,26245587000000.0,25179862000000.0,25754088000000.0,25897405000000.0,26334049000000.0,26041725000000.0,25987144000000.0,25959388000000.0
2039.0,25994224000000.0,26032919000000.0,25241038000000.0,25277118000000.0,26037855000000.0,26210596000000.0,24985916000000.0,25666030000000.0,25860686000000.0,26309963000000.0,25968748000000.0,25968157000000.0,25890205000000.0
2040.0,25963710000000.0,26012987000000.0,25059438000000.0,25167100000000.0,26027382000000.0,26187779000000.0,24953297000000.0,25672246000000.0,25832597000000.0,26193980000000.0,25850024000000.0,25990695000000.0,25898860000000.0
2041.0,25923840000000.0,25965418000000.0,24946963000000.0,25040184000000.0,25969830000000.0,26033563000000.0,24710883000000.0,25628143000000.0,25792019000000.0,26118660000000.0,25729526000000.0,25940151000000.0,25759777000000.0
2042.0,25881228000000.0,25925547000000.0,24876855000000.0,24994736000000.0,25994499000000.0,25942487000000.0,24668216000000.0,25716200000000.0,25753312000000.0,26039240000000.0,25597716000000.0,25796077000000.0,25681736000000.0
2043.0,25804602000000.0,25861405000000.0,24774135000000.0,24923116000000.0,25955586000000.0,25820370000000.0,24603596000000.0,25588770000000.0,25701615000000.0,25942615000000.0,25501356000000.0,25742360000000.0,25646480000000.0
2044.0,25750361000000.0,25787200000000.0,24742514000000.0,24821507000000.0,25902704000000.0,25725258000000.0,24553440000000.0,25381474000000.0,25584114000000.0,25873060000000.0,25467222000000.0,25720078000000.0,25575880000000.0
2045.0,25715496000000.0,25782666000000.0,24588250000000.0,24775530000000.0,25900538000000.0,25662742000000.0,24484665000000.0,25371582000000.0,25565810000000.0,25864423000000.0,25473415000000.0,25718060000000.0,25541021000000.0
2046.0,25664420000000.0,25714230000000.0,24457320000000.0,24706516000000.0,25895553000000.0,25588692000000.0,24358676000000.0,25332975000000.0,25556817000000.0,25819701000000.0,25409849000000.0,25629259000000.0,25482968000000.0
2047.0,25624213000000.0,25675702000000.0,24261352000000.0,24555180000000.0,25860030000000.0,25539444000000.0,24277751000000.0,25244637000000.0,25529657000000.0,25831820000000.0,25338275000000.0,25542806000000.0,25438575000000.0
2048.0,25571682000000.0,25606092000000.0,24050607000000.0,24369728000000.0,25818490000000.0,25447220000000.0,24160556000000.0,25062760000000.0,25460803000000.0,25842090000000.0,25314902000000.0,25469270000000.0,25320407000000.0
2049.0,25506672000000.0,25552200000000.0,23890510000000.0,24162234000000.0,25747893000000.0,25396658000000.0,23955725000000.0,24949561000000.0,25352326000000.0,25775487000000.0,25254950000000.0,25415247000000.0,25254085000000.0
2050.0,25414095000000.0,25538167000000.0,23705034000000.0,24000275000000.0,25685907000000.0,25240262000000.0,23742602000000.0,24982166000000.0,25265634000000.0,25692381000000.0,25150282000000.0,25275216000000.0,25189050000000.0
2051.0,25393355000000.0,25462523000000.0,23511800000000.0,23887304000000.0,25663354000000.0,25144165000000.0,23598010000000.0,24888046000000.0,25232880000000.0,25671412000000.0,25136730000000.0,25139515000000.0,25137636000000.0
2052.0,25331170000000.0,25414766000000.0,23342410000000.0,23706645000000.0,25567282000000.0,25032730000000.0,23490955000000.0,24798540000000.0,25199560000000.0,25632620000000.0,25012980000000.0,25104801000000.0,25035413000000.0
2053.0,25266676000000.0,25369078000000.0,23182593000000.0,23490344000000.0,25539025000000.0,25009340000000.0,23344533000000.0,24632118000000.0,25132460000000.0,25619570000000.0,24953942000000.0,25005824000000.0,24928097000000.0
2054.0,25217844000000.0,25268847000000.0,22998734000000.0,23193211000000.0,25490952000000.0,24976110000000.0,23108585000000.0,24550706000000.0,25080829000000.0,25561393000000.0,24837911000000.0,24896845000000.0,24880039000000.0
2055.0,25161491000000.0,25251761000000.0,22849834000000.0,22932053000000.0,25439876000000.0,24989980000000.0,22851931000000.0,24382831000000.0,25066847000000.0,25492965000000.0,24745769000000.0,24819158000000.0,24756621000000.0
2056.0,25137546000000.0,25193647000000.0,22643865000000.0,22704237000000.0,25421723000000.0,24890220000000.0,22756979000000.0,24224396000000.0,24996945000000.0,25522313000000.0,24736620000000.0,24701242000000.0,24711840000000.0
2057.0,25119445000000.0,25153405000000.0,22443108000000.0,22430379000000.0,25325637000000.0,24784420000000.0,22620513000000.0,24187945000000.0,24854820000000.0,25489656000000.0,24702559000000.0,24665830000000.0,24685100000000.0
2058.0,25063477000000.0,25063955000000.0,22313397000000.0,22227760000000.0,25327810000000.0,24629855000000.0,22441177000000.0,24193263000000.0,24776456000000.0,25433456000000.0,24669476000000.0,24615642000000.0,24647114000000.0
2059.0,24956889000000.0,25022693000000.0,22193503000000.0,22036422000000.0,25316072000000.0,24629263000000.0,22322124000000.0,24102646000000.0,24723614000000.0,25401317000000.0,24597156000000.0,24532465000000.0,24585040000000.0
2060.0,24922780000000.0,24933620000000.0,22019005000000.0,21849130000000.0,25259655000000.0,24583355000000.0,22118178000000.0,24003352000000.0,24677475000000.0,25387717000000.0,24563476000000.0,24415146000000.0,24569186000000.0
