time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,28635624535341.215,28635624535341.215,28635624535341.215,28635624535341.215
2001,28629847407530.656,28627150022811.89,28556463064371.562,28616930905935.152
2002,28609378687108.383,28624353048048.527,28540757386868.484,28594753108960.066
2003,28547201483364.613,28597058587420.875,28503685513316.945,28553131054622.277
2004,28511304871057.6,28555329064780.914,28497988668104.105,28553099284816.996
2005,28505898279504.266,28530632738335.105,28484531282595.652,28520163706084.188
2006,28476831370419.543,28507393612471.58,28434356548072.31,28524592680185.73
2007,28443642751756.438,28483756795652.508,28424037886639.465,28498746771728.395
2008,28392099936532.83,28448509893214.83,28374237779694.227,28445067303525.457
2009,28333277910404.24,28429260279683.652,28321765038553.71,28400929772353.42
2010,28264671759941.414,28384308265851.42,28282106054405.71,28377614442402.82
2011,28203500783539.945,28358577248354.33,28222065580626.31,28342549595895.95
2012,28146124335299.11,28306249364611.688,28189673031206.01,28253434968563.484
2013,28108550600009.445,28279892230827.723,28148458065276.812,28196024147224.08
2014,28061086717426.75,28262068660817.168,28097492100809.742,28154795389983.77
2015,27984546947892.48,28193967666123.605,28037299481122.848,28102017732685.97
2016,27988987747491.934,28156167976884.05,27968141213743.836,28041977648640.35
2017,27960984931813.13,28098261815370.676,27951586053693.125,27958994684039.773
2018,27948643121556.703,28027421386609.35,27925596105757.45,27887138707657.004
2019,27911088209439.227,27919091164313.45,27900853764418.883,27868502081337.754
2020,27866010958669.195,27879863543512.6,27891063162672.48,27851556205818.01
2021,27822653278422.23,27850445326109.2,27859419458603.004,27859221692937.742
2022,27809996839665.367,27784063366815.793,27778282607941.184,27853428011798.85
2023,27777569530794.11,27747743097393.76,27685741589417.418,27788581837150.516
2024,27755762459034.992,27714820773599.723,27672381509013.13,27738988931490.97
2025,27697870008108.426,27585660459548.85,27599117092656.934,27720874602996.83
2026,27656851459626.84,27566254767162.33,27503912442462.605,27707058417603.793
2027,27620564998467.76,27536078071344.055,27457884304998.504,27670910560869.582
2028,27609956695698.35,27450399536030.23,27401211159122.414,27616862431892.426
2029,27527816364137.832,27365249766758.06,27330050758415.62,27576665383140.516
2030,27487902056299.74,27347613761423.375,27297827701601.848,27503739217166.547
2031,27479316267997.883,27322219136874.297,27244918802192.87,27476700948754.83
2032,27441516010992.977,27258370720869.33,27184782247039.977,27404796994170.266
2033,27369439200003.49,27196188493483.84,27141402275185.094,27379587306301.594
2034,27315268166846.49,27129673574827.453,27069380336977.41,27307336090706.59
2035,27258806699996.664,27067263843333.555,27046145225623.25,27273338973001.09
2036,27219667846257.0,27002981428373.707,27011781552059.527,27254372508557.754
2037,27194054184760.75,26962960486699.836,26952159934003.84,27148573943673.734
2038,27116507704368.94,26873560650194.08,26902623972916.836,27120883211985.39
