time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2085.0,2448012300000.0,2103898500000.0,3051982000000.0,1839477200000.0
2086.0,2436874000000.0,2084127800000.0,3057179400000.0,1824007000000.0
2087.0,2430730000000.0,2065379500000.0,3049425000000.0,1805190300000.0
2088.0,2423522900000.0,2050595200000.0,3052503300000.0,1790137500000.0
2089.0,2416065400000.0,2033891400000.0,3036152600000.0,1781712400000.0
2090.0,2405793800000.0,2015485000000.0,3034027700000.0,1770553200000.0
2091.0,2392145800000.0,1989610800000.0,3026740300000.0,1748284200000.0
2092.0,2382852500000.0,1970793100000.0,3015717000000.0,1729832400000.0
2093.0,2373638400000.0,1950688300000.0,3006891800000.0,1714635700000.0
2094.0,2360273300000.0,1935070500000.0,2999626500000.0,1692165900000.0
2095.0,2349316400000.0,1916053600000.0,2991510000000.0,1672893600000.0
2096.0,2342343100000.0,1899047000000.0,2978772200000.0,1660010400000.0
2097.0,2336224700000.0,1882594600000.0,2986699700000.0,1640912300000.0
2098.0,2332387700000.0,1863848000000.0,2992626000000.0,1624195100000.0
2099.0,2325508500000.0,1839709800000.0,2997304000000.0,1603506900000.0
2100.0,2323113000000.0,1824283700000.0,3010694700000.0,1588023800000.0
2101.0,2314190200000.0,1803246600000.0,3012874000000.0,1569689700000.0
2102.0,2306748000000.0,1780478000000.0,3004146000000.0,1555110800000.0
2103.0,2299730600000.0,1759582100000.0,3008090600000.0,1533332700000.0
2104.0,2294250700000.0,1743345500000.0,2989312200000.0,1521592000000.0
2105.0,2280546000000.0,1722796200000.0,2977437600000.0,1505445200000.0
2106.0,2270774700000.0,1705200000000.0,2969390000000.0,1499486900000.0
2107.0,2263908400000.0,1690345700000.0,2974717000000.0,1480653700000.0
2108.0,2252994000000.0,1671548000000.0,2988202500000.0,1469533900000.0
2109.0,2249390300000.0,1657454000000.0,2983527700000.0,1458910700000.0
2110.0,2243626800000.0,1640506900000.0,2975041600000.0,1444231100000.0
2111.0,2236605000000.0,1618278600000.0,2965182000000.0,1435052400000.0
2112.0,2229134400000.0,1603325300000.0,2949847000000.0,1423455700000.0
2113.0,2226948700000.0,1590515000000.0,2941735100000.0,1413544800000.0
2114.0,2220329300000.0,1569557800000.0,2926778300000.0,1399496600000.0
2115.0,2214035700000.0,1562949000000.0,2920376700000.0,1385872100000.0
2116.0,2206388700000.0,1549091600000.0,2912458000000.0,1374442000000.0
2117.0,2203024400000.0,1535820000000.0,2905384000000.0,1364961400000.0
2118.0,2194360000000.0,1518198800000.0,2895144800000.0,1351853700000.0
2119.0,2184636700000.0,1505606000000.0,2882405700000.0,1335796700000.0
2120.0,2177584900000.0,1491517200000.0,2874083400000.0,1321156500000.0
2121.0,2173182400000.0,1470773700000.0,2866332800000.0,1307488700000.0
2122.0,2165494100000.0,1461790000000.0,2868428000000.0,1296383600000.0
2123.0,2163571800000.0,1449280700000.0,2869874000000.0,1283971600000.0
2124.0,2155317400000.0,1435694400000.0,2866547000000.0,1274418200000.0
2125.0,2151280500000.0,1426154500000.0,2851415800000.0,1264220600000.0
2126.0,2146451800000.0,1414209900000.0,2844896300000.0,1256064700000.0
2127.0,2142806900000.0,1401952500000.0,2836303400000.0,1239800900000.0
2128.0,2140855700000.0,1386595900000.0,2834605000000.0,1228996000000.0
2129.0,2133501700000.0,1369644100000.0,2824362500000.0,1213730400000.0
2130.0,2131330000000.0,1357897400000.0,2815515400000.0,1204806600000.0
2131.0,2124526100000.0,1339161300000.0,2801203000000.0,1196966000000.0
2132.0,2117201400000.0,1329414100000.0,2792542400000.0,1181691800000.0
2133.0,2111474900000.0,1314364200000.0,2797381600000.0,1172080800000.0
2134.0,2107381900000.0,1300077200000.0,2786978700000.0,1157307000000.0
2135.0,2098824500000.0,1283302500000.0,2780665500000.0,1144785200000.0
2136.0,2100112100000.0,1273576000000.0,2767491400000.0,1133189400000.0
2137.0,2095922500000.0,1260760300000.0,2760176800000.0,1115694600000.0
2138.0,2095567500000.0,1251231300000.0,2752866700000.0,1103922700000.0
2139.0,2092065800000.0,1244604100000.0,2746141600000.0,1088580160000.0
2140.0,2085999700000.0,1231570500000.0,2739550800000.0,1077103800000.0
2141.0,2079929400000.0,1221500500000.0,2733639700000.0,1064593400000.0
2142.0,2071421500000.0,1213665800000.0,2731363500000.0,1055947500000.0
2143.0,2071980300000.0,1201605800000.0,2722487600000.0,1043790100000.0
2144.0,2067891500000.0,1188234500000.0,2718444600000.0,1029383500000.0
2145.0,2067679300000.0,1180328300000.0,2718350400000.0,1019576700000.0
2146.0,2057864000000.0,1171355500000.0,2710906900000.0,1007734800000.0
2147.0,2055585400000.0,1163017500000.0,2710143500000.0,996399050000.0
2148.0,2053660100000.0,1156325000000.0,2697651000000.0,989363000000.0
2149.0,2047443100000.0,1145929500000.0,2689289200000.0,972008100000.0
2150.0,2041414800000.0,1135496000000.0,2681256800000.0,957248200000.0
2151.0,2035907700000.0,1120721200000.0,2669971500000.0,944882400000.0
2152.0,2034117900000.0,1108361600000.0,2663873500000.0,929956950000.0
2153.0,2032676100000.0,1100845700000.0,2658131000000.0,909732540000.0
2154.0,2025726700000.0,1087235700000.0,2664342000000.0,891509740000.0
2155.0,2021499500000.0,1072319400000.0,2660183000000.0,879065370000.0
2156.0,2017616500000.0,1061279100000.0,2656602700000.0,863356100000.0
2157.0,2013893400000.0,1050972500000.0,2653997800000.0,844537100000.0
2158.0,2016528400000.0,1040214900000.0,2649340000000.0,825990450000.0
2159.0,2014622000000.0,1025598950000.0,2651956000000.0,808619700000.0
2160.0,2014075300000.0,1017859300000.0,2654605400000.0,791351500000.0
2161.0,2012963000000.0,1004720550000.0,2649984000000.0,773096500000.0
2162.0,2010661300000.0,993171600000.0,2642569000000.0,757538900000.0
2163.0,2005749600000.0,981863960000.0,2646225000000.0,740795400000.0
2164.0,2000957300000.0,968685850000.0,2649581000000.0,721855800000.0
2165.0,1992941100000.0,959738940000.0,2639222500000.0,699643600000.0
2166.0,1987841900000.0,949536950000.0,2640814500000.0,683620300000.0
2167.0,1982224700000.0,940084100000.0,2634003500000.0,667799100000.0
2168.0,1977604900000.0,933564200000.0,2632390300000.0,652352500000.0
2169.0,1976771700000.0,925633540000.0,2630143000000.0,634740800000.0
2170.0,1971634000000.0,920368500000.0,2613336000000.0,616248400000.0
2171.0,1971751700000.0,916260650000.0,2607111700000.0,601001600000.0
2172.0,1966574500000.0,906799940000.0,2599790300000.0,588839200000.0
2173.0,1962333700000.0,894138200000.0,2584413700000.0,576877300000.0
2174.0,1954867400000.0,890638960000.0,2565125700000.0,561242000000.0
2175.0,1949582100000.0,882914700000.0,2543393200000.0,547998860000.0
2176.0,1941198900000.0,874751300000.0,2536675200000.0,539242800000.0
2177.0,1943011200000.0,867527300000.0,2526126000000.0,528574840000.0
2178.0,1933605900000.0,858468500000.0,2516955000000.0,519603030000.0
2179.0,1925879800000.0,848634200000.0,2506798100000.0,509214720000.0
2180.0,1922785500000.0,837815500000.0,2505285000000.0,501141930000.0
2181.0,1923017900000.0,830842140000.0,2503222200000.0,491107550000.0
2182.0,1920347000000.0,829112400000.0,2493938000000.0,482694730000.0
2183.0,1915347700000.0,820531950000.0,2487267400000.0,469044900000.0
2184.0,1916724300000.0,813396000000.0,2473159800000.0,458952380000.0
2185.0,1908678900000.0,803957700000.0,2456027000000.0,450419000000.0
2186.0,1902876800000.0,796348250000.0,2444682300000.0,442466500000.0
