time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3446313600000.0,3434723100000.0,3441356400000.0
2022.0,3436034700000.0,3426171200000.0,3428032200000.0
2023.0,3424237600000.0,3408934500000.0,3418074400000.0
2024.0,3415455300000.0,3383977300000.0,3399672700000.0
2025.0,3402867400000.0,3354290800000.0,3380677200000.0
2026.0,3386340500000.0,3326612900000.0,3359935800000.0
2027.0,3374188300000.0,3298868600000.0,3334419800000.0
2028.0,3356350700000.0,3276837200000.0,3324319000000.0
2029.0,3337477200000.0,3250127000000.0,3293169300000.0
2030.0,3318023700000.0,3212832100000.0,3256740700000.0
2031.0,3309033500000.0,3187934500000.0,3241426600000.0
2032.0,3296302200000.0,3161009200000.0,3225385200000.0
2033.0,3284234000000.0,3140536000000.0,3206823000000.0
2034.0,3272324700000.0,3104288800000.0,3176191500000.0
2035.0,3256736500000.0,3078886000000.0,3156973700000.0
2036.0,3239688000000.0,3063436800000.0,3139099200000.0
2037.0,3224240000000.0,3036046000000.0,3122599600000.0
2038.0,3203932400000.0,3012242200000.0,3098533000000.0
2039.0,3177853500000.0,2995321800000.0,3083167000000.0
2040.0,3165689700000.0,2970927000000.0,3055419000000.0
2041.0,3158747000000.0,2946814400000.0,3048459500000.0
2042.0,3143092700000.0,2911795000000.0,3023356300000.0
2043.0,3126555300000.0,2891729900000.0,2998890700000.0
2044.0,3113808300000.0,2878545900000.0,2968059000000.0
2045.0,3104139400000.0,2860316600000.0,2949646400000.0
2046.0,3088696500000.0,2835462800000.0,2929898300000.0
2047.0,3067371000000.0,2810585500000.0,2900010500000.0
2048.0,3057120000000.0,2789485600000.0,2867983000000.0
2049.0,3040324600000.0,2763920000000.0,2847525600000.0
2050.0,3021733000000.0,2737217500000.0,2829925700000.0
2051.0,3008747500000.0,2726511200000.0,2806839000000.0
2052.0,2985323400000.0,2703766600000.0,2783556700000.0
2053.0,2970520600000.0,2685258200000.0,2756277400000.0
2054.0,2953113000000.0,2660725000000.0,2728805000000.0
2055.0,2935758000000.0,2642524800000.0,2695056300000.0
2056.0,2925279800000.0,2617845200000.0,2665824000000.0
2057.0,2909648500000.0,2601253300000.0,2640540600000.0
2058.0,2896701700000.0,2573568800000.0,2623315400000.0
2059.0,2887221500000.0,2550606000000.0,2585457000000.0
2060.0,2877403400000.0,2520063100000.0,2562995800000.0
2061.0,2854117400000.0,2491568000000.0,2535190700000.0
2062.0,2841621300000.0,2467601600000.0,2508080500000.0
2063.0,2827567000000.0,2434995600000.0,2487320600000.0
2064.0,2821518800000.0,2414505400000.0,2456593000000.0
2065.0,2807528700000.0,2395993800000.0,2438938500000.0
2066.0,2801323700000.0,2366588300000.0,2416904200000.0
2067.0,2791118000000.0,2343397000000.0,2399634200000.0
2068.0,2768744200000.0,2317363400000.0,2370882500000.0
2069.0,2753329400000.0,2300530700000.0,2357846600000.0
2070.0,2737655300000.0,2278290600000.0,2351331000000.0
2071.0,2727672300000.0,2254402500000.0,2331529700000.0
2072.0,2721318200000.0,2237097600000.0,2309498000000.0
2073.0,2712091200000.0,2214537500000.0,2292556800000.0
2074.0,2703619000000.0,2188317800000.0,2263743500000.0
2075.0,2690956100000.0,2161088400000.0,2237583300000.0
2076.0,2678365400000.0,2141491200000.0,2219413300000.0
2077.0,2675946800000.0,2123323000000.0,2185932400000.0
2078.0,2674909800000.0,2104752200000.0,2167431500000.0
2079.0,2668180000000.0,2084677400000.0,2140424400000.0
2080.0,2659918000000.0,2060002700000.0,2103916500000.0
2081.0,2649102700000.0,2050045800000.0,2076470800000.0
