time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8075303000000.0,8108072500000.0,8110746000000.0
2022.0,7999138000000.0,8079436400000.0,8060524000000.0
2023.0,7946738000000.0,8037967000000.0,8018577000000.0
2024.0,7892079000000.0,7999638700000.0,7981456400000.0
2025.0,7821708000000.0,7976742600000.0,7935569700000.0
2026.0,7741772000000.0,7950760000000.0,7891908000000.0
2027.0,7690479000000.0,7932347400000.0,7863487400000.0
2028.0,7645487000000.0,7897117000000.0,7822732400000.0
2029.0,7592947000000.0,7846485000000.0,7780111500000.0
2030.0,7531491500000.0,7816442500000.0,7741931000000.0
2031.0,7492686000000.0,7800236300000.0,7699257400000.0
2032.0,7449500700000.0,7754399000000.0,7657480500000.0
2033.0,7369156000000.0,7711356000000.0,7613813600000.0
2034.0,7324354000000.0,7686068400000.0,7574628300000.0
2035.0,7260895000000.0,7642904300000.0,7537161700000.0
2036.0,7189403500000.0,7599046500000.0,7502862000000.0
2037.0,7138076300000.0,7571570000000.0,7473468500000.0
2038.0,7083469600000.0,7535791000000.0,7423417400000.0
2039.0,7025013600000.0,7487171000000.0,7397404300000.0
2040.0,6968473000000.0,7446457000000.0,7352763000000.0
2041.0,6934565000000.0,7412165000000.0,7329389000000.0
2042.0,6881125000000.0,7376025000000.0,7320635000000.0
2043.0,6811802400000.0,7346493000000.0,7282712600000.0
2044.0,6753432000000.0,7307337000000.0,7252860000000.0
2045.0,6691874000000.0,7249939400000.0,7202164700000.0
2046.0,6640583000000.0,7200843000000.0,7166931500000.0
2047.0,6574273000000.0,7167877300000.0,7127406500000.0
2048.0,6515453000000.0,7131943700000.0,7089120300000.0
2049.0,6451287000000.0,7099454600000.0,7063637000000.0
2050.0,6395438600000.0,7056841500000.0,7017931500000.0
2051.0,6328575600000.0,7006791000000.0,6982548300000.0
2052.0,6266430000000.0,6968931000000.0,6945284000000.0
2053.0,6200352600000.0,6914570700000.0,6904949500000.0
2054.0,6116436000000.0,6868531000000.0,6860270000000.0
2055.0,6051500000000.0,6828821000000.0,6812183000000.0
2056.0,5958717700000.0,6780610400000.0,6769855700000.0
2057.0,5877535000000.0,6749232000000.0,6725346000000.0
2058.0,5789584000000.0,6715665000000.0,6683696000000.0
2059.0,5703192300000.0,6676954000000.0,6638330000000.0
2060.0,5628383700000.0,6640186700000.0,6595501000000.0
2061.0,5554522000000.0,6594812700000.0,6561144000000.0
2062.0,5480430700000.0,6550647700000.0,6517449300000.0
2063.0,5399792000000.0,6513915600000.0,6483852400000.0
2064.0,5312614000000.0,6467945000000.0,6446688000000.0
2065.0,5218656300000.0,6431195500000.0,6399916500000.0
2066.0,5143096000000.0,6388970400000.0,6349523500000.0
2067.0,5076980600000.0,6338701700000.0,6309315000000.0
2068.0,5017275000000.0,6292587400000.0,6268740700000.0
2069.0,4950429000000.0,6248691400000.0,6230311000000.0
2070.0,4894446600000.0,6214802500000.0,6171799000000.0
2071.0,4835495600000.0,6179025600000.0,6118507500000.0
2072.0,4758618000000.0,6135728300000.0,6086497700000.0
2073.0,4701421600000.0,6092357600000.0,6044678400000.0
2074.0,4643127600000.0,6047465000000.0,6001140000000.0
2075.0,4590847700000.0,6005503600000.0,5952787000000.0
2076.0,4533229500000.0,5965723700000.0,5911114400000.0
2077.0,4476948700000.0,5930104000000.0,5873642500000.0
2078.0,4409829000000.0,5897435000000.0,5822324700000.0
2079.0,4358447800000.0,5863959400000.0,5776851600000.0
2080.0,4298655000000.0,5823430000000.0,5723809000000.0
2081.0,4234791400000.0,5785297000000.0,5672017600000.0
2082.0,4173815000000.0,5756608300000.0,5635459500000.0
2083.0,4127621000000.0,5720021000000.0,5590361000000.0
2084.0,4068898000000.0,5675613700000.0,5532853000000.0
2085.0,4024163600000.0,5651191000000.0,5477147600000.0
2086.0,3971701500000.0,5597382600000.0,5439050000000.0
2087.0,3922003000000.0,5550311500000.0,5390785000000.0
2088.0,3862250700000.0,5517424000000.0,5328320600000.0
2089.0,3794595200000.0,5492967500000.0,5287976000000.0
