time,CESM1-CAM5,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR
2085.0,2174041500000.0,5361050000000.0,4381579400000.0,5341973000000.0
2086.0,2104181100000.0,5298706000000.0,4308384400000.0,5316024500000.0
2087.0,2043442800000.0,5246010500000.0,4227541500000.0,5272879000000.0
2088.0,1970629000000.0,5194539000000.0,4146501800000.0,5236552400000.0
2089.0,1906486700000.0,5145501000000.0,4070601700000.0,5181985500000.0
2090.0,1848013400000.0,5102211000000.0,4009972000000.0,5134711500000.0
2091.0,1791046000000.0,5048406000000.0,3948583300000.0,5105378700000.0
2092.0,1740705000000.0,5014313000000.0,3876283000000.0,5056974000000.0
2093.0,1685158600000.0,4963573400000.0,3808120000000.0,5013046300000.0
2094.0,1629025600000.0,4913040000000.0,3743572300000.0,4973840600000.0
2095.0,1579388800000.0,4866530000000.0,3682993200000.0,4924862600000.0
2096.0,1534089600000.0,4813865600000.0,3620929000000.0,4873129600000.0
2097.0,1490258000000.0,4778543300000.0,3555916800000.0,4839803700000.0
2098.0,1442644500000.0,4732994700000.0,3486333300000.0,4796741300000.0
2099.0,1393702700000.0,4677371400000.0,3424109200000.0,4748002500000.0
2100.0,1343729600000.0,4637653500000.0,3355371400000.0,4706280700000.0
2101.0,1300999000000.0,4595032000000.0,3287802200000.0,4671871000000.0
2102.0,1255007700000.0,4537970000000.0,3222751000000.0,4629333000000.0
2103.0,1212692800000.0,4488796000000.0,3158596400000.0,4576622700000.0
2104.0,1170239400000.0,4447949000000.0,3091126800000.0,4536870600000.0
2105.0,1127982700000.0,4393282600000.0,3018632200000.0,4498399000000.0
2106.0,1081365560000.0,4349564600000.0,2948044200000.0,4454157000000.0
2107.0,1041351250000.0,4318023400000.0,2880520800000.0,4403236400000.0
2108.0,1005952570000.0,4273061200000.0,2826397500000.0,4365522600000.0
2109.0,971796300000.0,4229992500000.0,2769735600000.0,4316372400000.0
2110.0,931744300000.0,4186766600000.0,2708428300000.0,4271549400000.0
2111.0,899240600000.0,4134253400000.0,2645835600000.0,4228801000000.0
2112.0,867164500000.0,4089490200000.0,2598532500000.0,4189826000000.0
2113.0,830899900000.0,4037871400000.0,2528516000000.0,4146094100000.0
2114.0,792667200000.0,3984626500000.0,2473428000000.0,4100750600000.0
2115.0,756084970000.0,3938107000000.0,2412810900000.0,4065653700000.0
2116.0,726988300000.0,3890461500000.0,2357993100000.0,4022183400000.0
2117.0,698467100000.0,3837947000000.0,2308337600000.0,3989526500000.0
2118.0,674067700000.0,3791118000000.0,2271965600000.0,3941352600000.0
2119.0,648989100000.0,3755193700000.0,2214820300000.0,3897384000000.0
2120.0,620823000000.0,3721994000000.0,2161890600000.0,3864954700000.0
2121.0,598405600000.0,3674288700000.0,2094879700000.0,3818862000000.0
2122.0,574828100000.0,3641608000000.0,2043463300000.0,3776190600000.0
2123.0,548546670000.0,3587870300000.0,1995820000000.0,3720370500000.0
2124.0,525491100000.0,3538974100000.0,1940115200000.0,3681553000000.0
2125.0,501520200000.0,3493322600000.0,1887305500000.0,3634810800000.0
2126.0,478455270000.0,3460254000000.0,1831058700000.0,3593394000000.0
2127.0,457412380000.0,3411157500000.0,1773002200000.0,3550694600000.0
2128.0,436510130000.0,3377172800000.0,1718749900000.0,3499970300000.0
2129.0,417565470000.0,3336918800000.0,1668238300000.0,3453874300000.0
2130.0,398313460000.0,3296246400000.0,1612983000000.0,3414877800000.0
2131.0,377976750000.0,3264707300000.0,1568203200000.0,3364998000000.0
