time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2121.0,19694731000.0,23498650000.0,33851122000.0
2122.0,19739940000.0,23349498000.0,33868974000.0
2123.0,19662256000.0,23690955000.0,34079363000.0
2124.0,19580924000.0,23990921000.0,34170755000.0
2125.0,19619422000.0,23898750000.0,34141198000.0
2126.0,19623970000.0,24106510000.0,34374050000.0
2127.0,19503772000.0,24297753000.0,34571850000.0
2128.0,19448236000.0,24258953000.0,34658836000.0
2129.0,19430834000.0,24147542000.0,34217173000.0
2130.0,19539220000.0,24355144000.0,34135128000.0
2131.0,19371287000.0,24330715000.0,33714799000.0
2132.0,19567073000.0,24287447000.0,33226640000.0
2133.0,19681358000.0,24142051000.0,33213624000.0
2134.0,19567364000.0,24324442000.0,33181422000.0
2135.0,19645905000.0,24233007000.0,33438190000.0
2136.0,20290093000.0,24368520000.0,33375646000.0
2137.0,19972997000.0,24478444000.0,33389484000.0
2138.0,20015690000.0,24353735000.0,33900048000.0
2139.0,20103549000.0,24221260000.0,33948264000.0
2140.0,20484240000.0,24402514000.0,33838220000.0
2141.0,20665266000.0,24172118000.0,34363870000.0
2142.0,20682668000.0,24182448000.0,34199896000.0
2143.0,20765078000.0,24031914000.0,33984942000.0
2144.0,21158046000.0,24075035000.0,34425380000.0
2145.0,21406812000.0,23920415000.0,34399240000.0
2146.0,21656775000.0,23816733000.0,34405523000.0
2147.0,21494278000.0,23366050000.0,34339953000.0
2148.0,21404262000.0,23082322000.0,34874106000.0
2149.0,21576978000.0,22581692000.0,35336890000.0
2150.0,21754577000.0,22653161000.0,35083284000.0
2151.0,21886517000.0,22724405000.0,34909590000.0
2152.0,21870123000.0,22707960000.0,35011500000.0
2153.0,22025290000.0,22878376000.0,35051598000.0
2154.0,22197610000.0,22960337000.0,34896550000.0
2155.0,22467195000.0,22914521000.0,35037020000.0
2156.0,22644250000.0,22931933000.0,35159663000.0
2157.0,22565614000.0,23095738000.0,35707880000.0
2158.0,22668775000.0,23105698000.0,35183330000.0
2159.0,22616820000.0,22943855000.0,34933006000.0
2160.0,22589395000.0,23340335000.0,35385995000.0
2161.0,22683734000.0,23168156000.0,35431215000.0
2162.0,22432420000.0,23161823000.0,35647177000.0
2163.0,22529389000.0,23189606000.0,36150874000.0
2164.0,22336547000.0,23205614000.0,36419370000.0
2165.0,22552550000.0,23287194000.0,36033245000.0
2166.0,22543874000.0,23297320000.0,36323780000.0
2167.0,22492744000.0,23036050000.0,36154850000.0
2168.0,22645540000.0,22923487000.0,36336407000.0
2169.0,22778055000.0,22605965000.0,35983020000.0
2170.0,22633923000.0,22394943000.0,35971680000.0
2171.0,22876439000.0,22081868000.0,36051055000.0
2172.0,22683859000.0,21945838000.0,36672754000.0
2173.0,22662132000.0,22010220000.0,37328753000.0
2174.0,22550299000.0,21983867000.0,37042074000.0
2175.0,22682352000.0,21987890000.0,36868660000.0
2176.0,22433038000.0,21780642000.0,36788730000.0
2177.0,22614096000.0,21829810000.0,36725590000.0
2178.0,22864984000.0,21865255000.0,37060596000.0
2179.0,23053400000.0,21978820000.0,36931510000.0
2180.0,23063943000.0,21901353000.0,37339230000.0
2181.0,23035445000.0,21755124000.0,37159678000.0
2182.0,23179650000.0,21963810000.0,37158556000.0
2183.0,23263640000.0,22024882000.0,36943577000.0
2184.0,23482616000.0,22310883000.0,37346976000.0
2185.0,23745595000.0,22178787000.0,37684777000.0
2186.0,23825123000.0,22109254000.0,38381080000.0
2187.0,23644168000.0,22278707000.0,38277130000.0
2188.0,23890967000.0,22384435000.0,38460932000.0
2189.0,23837650000.0,22285627000.0,38608912000.0
2190.0,23968530000.0,22274968000.0,38853984000.0
2191.0,24366062000.0,22412028000.0,38656483000.0
2192.0,24083962000.0,22470810000.0,38515323000.0
2193.0,24359455000.0,22320900000.0,38711350000.0
2194.0,24371616000.0,22378002000.0,38764360000.0
2195.0,24248666000.0,22300813000.0,38892204000.0
2196.0,24493488000.0,22431700000.0,38927503000.0
2197.0,24721041000.0,22732048000.0,38799237000.0
2198.0,24980732000.0,22569030000.0,38880596000.0
2199.0,25019937000.0,22841868000.0,38633720000.0
2200.0,25159310000.0,22996836000.0,39193936000.0
2201.0,25380809000.0,23086547000.0,39496966000.0
2202.0,25248406000.0,22933766000.0,40312130000.0
2203.0,25139118000.0,22919987000.0,40736236000.0
2204.0,24938496000.0,23209265000.0,40728056000.0
2205.0,25129728000.0,23272686000.0,41064595000.0
2206.0,25331851000.0,23421778000.0,41149280000.0
2207.0,25414224000.0,23330861000.0,41288962000.0
2208.0,25666080000.0,23408693000.0,41395474000.0
2209.0,26171265000.0,23725758000.0,41415463000.0
2210.0,26242712000.0,23741420000.0,42056480000.0
2211.0,26390956000.0,23592628000.0,42095268000.0
2212.0,26700818000.0,23448967000.0,42834813000.0
2213.0,26796850000.0,23435563000.0,43152708000.0
2214.0,26943306000.0,23352960000.0,43101802000.0
2215.0,27122983000.0,23506743000.0,43125494000.0
2216.0,27237070000.0,23634178000.0,43005157000.0
2217.0,27415722000.0,23643976000.0,43470266000.0
2218.0,27700607000.0,23744637000.0,43691114000.0
2219.0,27572036000.0,23773096000.0,43661060000.0
2220.0,27745829000.0,24109634000.0,43631735000.0
2221.0,28013440000.0,23965600000.0,44061045000.0
2222.0,28299035000.0,23975608000.0,43762946000.0
2223.0,28526524000.0,23718572000.0,43710280000.0
2224.0,27968910000.0,23732330000.0,44008567000.0
2225.0,27884485000.0,23879820000.0,43738150000.0
2226.0,27795884000.0,23874855000.0,44025737000.0
2227.0,27573393000.0,23718610000.0,44184658000.0
2228.0,27460575000.0,23566868000.0,44347662000.0
2229.0,27397212000.0,23943030000.0,44453614000.0
2230.0,27597560000.0,24017555000.0,44410016000.0
2231.0,27209902000.0,24154536000.0,44555686000.0
2232.0,27433700000.0,24164246000.0,44734500000.0
2233.0,27631753000.0,24259744000.0,44940796000.0
2234.0,27591682000.0,24573592000.0,44659724000.0
2235.0,27583017000.0,24692236000.0,44570980000.0
2236.0,27687754000.0,24701860000.0,44585560000.0
2237.0,27469253000.0,24808220000.0,44454527000.0
2238.0,27552980000.0,24877222000.0,44591540000.0
2239.0,27915897000.0,24979171000.0,44464840000.0
2240.0,28121145000.0,25149380000.0,44115263000.0
2241.0,28102924000.0,24960135000.0,44060942000.0
2242.0,28170392000.0,24947378000.0,44607422000.0
2243.0,28577770000.0,24768660000.0,44471610000.0
2244.0,28349223000.0,24950944000.0,44801753000.0
2245.0,27997379000.0,25426186000.0,44420354000.0
2246.0,27935248000.0,25559736000.0,43963638000.0
2247.0,27701713000.0,25870375000.0,43857965000.0
2248.0,27844774000.0,25850505000.0,43877655000.0
2249.0,27819039000.0,25939458000.0,44357673000.0
2250.0,28026542000.0,26124628000.0,44167030000.0
2251.0,28256369000.0,26162151000.0,44352016000.0
2252.0,28103811000.0,26342087000.0,44738210000.0
2253.0,27865303000.0,26513084000.0,44501225000.0
2254.0,27938204000.0,26660303000.0,44312520000.0
2255.0,27959335000.0,26690015000.0,44969345000.0
2256.0,27799794000.0,26662222000.0,45045460000.0
2257.0,27959476000.0,26689229000.0,45451430000.0
2258.0,27956451000.0,26536733000.0,45348200000.0
2259.0,27945624000.0,26447426000.0,45085250000.0
2260.0,27978720000.0,26500184000.0,45698530000.0
2261.0,28036964000.0,26554053000.0,46176010000.0
2262.0,28221358000.0,26677615000.0,46164630000.0
2263.0,27987765000.0,26665736000.0,47232668000.0
2264.0,27978377000.0,26757253000.0,47533384000.0
2265.0,28065757000.0,26767290000.0,47555002000.0
2266.0,28059970000.0,26618687000.0,47730020000.0
2267.0,28262812000.0,26548950000.0,48058440000.0
2268.0,28348056000.0,26420842000.0,48444355000.0
2269.0,28158894000.0,26548220000.0,48447627000.0
2270.0,28437240000.0,26258770000.0,48972796000.0
2271.0,28740342000.0,26242290000.0,49406366000.0
2272.0,28671312000.0,26444510000.0,49503154000.0
2273.0,28774040000.0,26398480000.0,49558225000.0
2274.0,29059287000.0,26525220000.0,49487300000.0
2275.0,29233017000.0,26674665000.0,49488945000.0
2276.0,29392840000.0,26737338000.0,49662198000.0
2277.0,29358901000.0,26828059000.0,49166746000.0
2278.0,29390688000.0,26811615000.0,49584250000.0
2279.0,29143138000.0,26809586000.0,49852530000.0
2280.0,29392824000.0,26515243000.0,49453502000.0
2281.0,29416122000.0,26227692000.0,49078080000.0
2282.0,29119898000.0,26425225000.0,49063170000.0
2283.0,29541994000.0,26502654000.0,49449198000.0
2284.0,29702863000.0,26230401000.0,49531175000.0
2285.0,29836240000.0,26232056000.0,49548734000.0
2286.0,29968028000.0,26706300000.0,50281423000.0
2287.0,30063684000.0,26375264000.0,49918317000.0
2288.0,29955344000.0,26047035000.0,50217206000.0
2289.0,30649684000.0,26182615000.0,50612730000.0
2290.0,29964943000.0,26285732000.0,50491400000.0
2291.0,29937906000.0,26198702000.0,50365490000.0
2292.0,29815755000.0,26160712000.0,50724590000.0
2293.0,29984104000.0,26396668000.0,50989550000.0
2294.0,29546465000.0,26738416000.0,51356213000.0
2295.0,29836157000.0,27467547000.0,51654350000.0
2296.0,30094944000.0,27518712000.0,51187438000.0
2297.0,30425924000.0,27254500000.0,51965200000.0
2298.0,29995874000.0,27178580000.0,52337746000.0
2299.0,29944103000.0,27436018000.0,52515856000.0
2300.0,29875282000.0,27324695000.0,52202815000.0
