time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2121.0,3951905300.0,5746257000.0,4432504000.0
2122.0,3892079000.0,5614363000.0,4320365000.0
2123.0,3792664800.0,5511760400.0,4202132500.0
2124.0,3675412200.0,5485269000.0,4147069200.0
2125.0,3578082800.0,5412833000.0,4069112800.0
2126.0,3495494000.0,5387783700.0,3954201600.0
2127.0,3415569200.0,5255857000.0,3766892500.0
2128.0,3362029600.0,5152334000.0,3671871000.0
2129.0,3246459400.0,4998061600.0,3472599000.0
2130.0,3179467800.0,4941245000.0,3412287500.0
2131.0,3130110000.0,4854004000.0,3328402400.0
2132.0,3085866000.0,4686891500.0,3213527600.0
2133.0,3033587200.0,4611372500.0,3116455400.0
2134.0,2969517000.0,4501333500.0,3066319600.0
2135.0,2906727700.0,4389314600.0,3022802700.0
2136.0,2795605800.0,4241574100.0,2881340000.0
2137.0,2741609000.0,4173048600.0,2825700400.0
2138.0,2635623000.0,4075577900.0,2716739300.0
2139.0,2535172900.0,3943090400.0,2607660500.0
2140.0,2501404400.0,3917732900.0,2504511700.0
2141.0,2428613000.0,3745746200.0,2443405600.0
2142.0,2399335000.0,3634287000.0,2386109400.0
2143.0,2322293800.0,3541950700.0,2312757200.0
2144.0,2254965200.0,3514923300.0,2251998200.0
2145.0,2180372200.0,3408663800.0,2197085200.0
2146.0,2116730900.0,3340982500.0,2110909800.0
2147.0,2019762800.0,3239067400.0,2035672200.0
2148.0,1964522500.0,3170779000.0,1948495600.0
2149.0,1890055200.0,3090871000.0,1868116000.0
2150.0,1815965800.0,2968824600.0,1727322100.0
2151.0,1756908000.0,2893590500.0,1638108700.0
2152.0,1721481700.0,2851303400.0,1565362800.0
2153.0,1668898000.0,2797856500.0,1485869400.0
2154.0,1608050000.0,2704320800.0,1395590900.0
2155.0,1549632100.0,2651884800.0,1276634200.0
2156.0,1478002000.0,2625187600.0,1217747700.0
2157.0,1462323600.0,2592237800.0,1158183400.0
2158.0,1390934900.0,2525204500.0,1096164700.0
2159.0,1346562800.0,2465021000.0,1052217400.0
2160.0,1309166600.0,2423914000.0,1004138240.0
2161.0,1289583200.0,2345832200.0,963820350.0
2162.0,1256732900.0,2275388200.0,905511400.0
2163.0,1218613800.0,2203162600.0,856181600.0
2164.0,1193097200.0,2208472000.0,812774660.0
2165.0,1181882900.0,2145742200.0,771478140.0
2166.0,1160183800.0,2044024300.0,726700740.0
2167.0,1134682600.0,1973449100.0,678783000.0
2168.0,1100485500.0,1918068700.0,641888960.0
2169.0,1068199400.0,1815481500.0,617285300.0
2170.0,1048204300.0,1746131000.0,600543300.0
