time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2034.0,637311840000.0,684954200000.0,690434540000.0,690717070000.0,652319460000.0,680972850000.0,708567700000.0,593836640000.0
2035.0,626508900000.0,679715700000.0,687134150000.0,680352550000.0,641793650000.0,666212000000.0,693916660000.0,585642930000.0
2036.0,613594600000.0,670905100000.0,676274500000.0,662784050000.0,625861460000.0,655418600000.0,684195450000.0,566715300000.0
2037.0,604982800000.0,658763150000.0,668655750000.0,654353240000.0,609063670000.0,648872600000.0,683487000000.0,557905700000.0
2038.0,584814360000.0,650701300000.0,654350350000.0,637219440000.0,592178450000.0,637909700000.0,682113700000.0,534386480000.0
2039.0,573705750000.0,648459000000.0,634332600000.0,619405700000.0,581014000000.0,627240400000.0,679104600000.0,521263300000.0
2040.0,566339040000.0,641479300000.0,629844800000.0,597656540000.0,560238360000.0,609304400000.0,668371850000.0,491923500000.0
2041.0,548793480000.0,632023740000.0,620294440000.0,582120050000.0,550395450000.0,596793000000.0,660552700000.0,475173300000.0
2042.0,526612960000.0,620042600000.0,615667340000.0,560540000000.0,535054970000.0,577322800000.0,651374200000.0,460267720000.0
2043.0,512550400000.0,602346160000.0,603095240000.0,553864500000.0,531714180000.0,569455300000.0,636313140000.0,441357200000.0
2044.0,493582970000.0,587119300000.0,591145500000.0,543147500000.0,519729450000.0,552255360000.0,621657850000.0,430272020000.0
2045.0,487756170000.0,573213800000.0,577232440000.0,530482920000.0,501702800000.0,534960440000.0,621270600000.0,412159740000.0
2046.0,476587600000.0,571463800000.0,563705400000.0,518571750000.0,484665500000.0,513366400000.0,607923000000.0,401896440000.0
2047.0,461189200000.0,560493360000.0,550447500000.0,504165070000.0,475093600000.0,494385730000.0,602248050000.0,381643260000.0
2048.0,453677150000.0,547450030000.0,537919780000.0,484994320000.0,460970000000.0,481647230000.0,589617230000.0,370136400000.0
2049.0,441213680000.0,531951600000.0,522392800000.0,474366670000.0,445423420000.0,466531880000.0,577479900000.0,355103080000.0
2050.0,432996450000.0,516890100000.0,502546300000.0,465401970000.0,425014920000.0,438517200000.0,566888000000.0,337363900000.0
2051.0,424586150000.0,505424450000.0,481446200000.0,453739500000.0,411249050000.0,426767750000.0,562176900000.0,328068560000.0
2052.0,407862800000.0,494876230000.0,465516400000.0,438824040000.0,398257720000.0,406118040000.0,554823200000.0,316378020000.0
2053.0,402978640000.0,478363000000.0,457139950000.0,430859100000.0,391340360000.0,397917700000.0,540993550000.0,299071050000.0
2054.0,398580480000.0,471700440000.0,450432300000.0,419063860000.0,380476750000.0,380889600000.0,526372240000.0,285013250000.0
2055.0,392343520000.0,460042140000.0,441773030000.0,410188300000.0,362425650000.0,367069820000.0,509409820000.0,276194100000.0
2056.0,384111500000.0,444232730000.0,432009400000.0,402266360000.0,348751430000.0,355996600000.0,499212350000.0,267653580000.0
