time,CSIRO-MK3-6-0,NORESM1-M,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2065.0,207476380000.0,199491830000.0,286075880000.0,299477500000.0,230795000000.0,121666410000.0,159398080000.0,339445550000.0,131740180000.0,117103305000.0
2066.0,193830930000.0,183087070000.0,270249920000.0,287891260000.0,220386410000.0,114054500000.0,150056340000.0,329625240000.0,123880020000.0,108146080000.0
2067.0,179689800000.0,174872410000.0,256821360000.0,271846520000.0,212522980000.0,106237010000.0,138139550000.0,321984720000.0,112474430000.0,100328100000.0
2068.0,170464100000.0,162490560000.0,238521650000.0,263175550000.0,201502600000.0,99581340000.0,126088370000.0,315760930000.0,104970730000.0,91820300000.0
2069.0,161215870000.0,153198380000.0,229721210000.0,249727530000.0,193999360000.0,93749330000.0,115093970000.0,312089840000.0,97158750000.0,83772070000.0
2070.0,151642670000.0,143690430000.0,217467830000.0,239846050000.0,185499250000.0,85949930000.0,107897720000.0,300528170000.0,88943970000.0,77858365000.0
2071.0,137978950000.0,136721310000.0,208563450000.0,226995720000.0,180018860000.0,79604650000.0,99233010000.0,289850360000.0,80499020000.0,69331370000.0
2072.0,129932650000.0,126125220000.0,204074370000.0,215039030000.0,169703180000.0,75374670000.0,90338230000.0,283502250000.0,73548840000.0,62914790000.0
2073.0,119227064000.0,114042460000.0,187217640000.0,207204350000.0,163005480000.0,71108840000.0,80058940000.0,275669350000.0,65979466000.0,57645486000.0
2074.0,111325210000.0,104278170000.0,169866080000.0,196351590000.0,154539950000.0,63682945000.0,74854760000.0,267850370000.0,58854230000.0,52448166000.0
2075.0,104337030000.0,96178550000.0,157624810000.0,186644760000.0,148282520000.0,57182020000.0,68756455000.0,257941470000.0,52591510000.0,47029350000.0
2076.0,98241810000.0,85868855000.0,147218370000.0,179141300000.0,142089950000.0,52684227000.0,62307676000.0,249236080000.0,47125205000.0,41028063000.0
2077.0,93267320000.0,79420610000.0,138811670000.0,167262980000.0,136163550000.0,47496405000.0,55921775000.0,242292310000.0,42141820000.0,36116763000.0
2078.0,86289285000.0,74779830000.0,131990110000.0,156424830000.0,128377940000.0,42800067000.0,49204236000.0,237667450000.0,37638010000.0,32077101000.0
2079.0,81542240000.0,68315038000.0,124255870000.0,152286090000.0,122055480000.0,37669620000.0,43844956000.0,230774930000.0,32618957000.0,29068554000.0
2080.0,73835440000.0,62882800000.0,114608480000.0,144516870000.0,115041520000.0,33717873000.0,37439760000.0,223969530000.0,29341882000.0,26252163000.0
2081.0,65816870000.0,55797735000.0,104946490000.0,137247330000.0,107550960000.0,30686364000.0,32078606000.0,214197810000.0,25296611000.0,22631455000.0
2082.0,59996262000.0,49020723000.0,97329340000.0,132418950000.0,102779216000.0,27842583000.0,28562050000.0,205060050000.0,22243530000.0,20387121000.0
2083.0,54406930000.0,44958330000.0,87851220000.0,126301020000.0,97598110000.0,24677050000.0,24736168000.0,195807800000.0,19441390000.0,17923062000.0
2084.0,48722747000.0,40175423000.0,81322795000.0,119970570000.0,90826350000.0,22235263000.0,21064245000.0,188965960000.0,17108207000.0,15551571000.0
2085.0,43719078000.0,36447460000.0,74631590000.0,113898865000.0,87238980000.0,19594190000.0,18422542000.0,182100690000.0,15388839000.0,14009369000.0
2086.0,37826900000.0,33138504000.0,68449726000.0,107922480000.0,82118435000.0,17314860000.0,16073228000.0,173494650000.0,13611293000.0,12471799000.0
2087.0,34035388000.0,29467840000.0,61511970000.0,100169695000.0,76329540000.0,15746356000.0,13957942000.0,167751120000.0,12568940000.0,11160094000.0
2088.0,31584698000.0,26184590000.0,56610190000.0,93125120000.0,69770760000.0,13851722000.0,11912369000.0,163317680000.0,10702918000.0,10195579000.0
2089.0,29186589000.0,23017052000.0,52390932000.0,85653390000.0,65748930000.0,12127832000.0,10213102000.0,158285270000.0,9693914000.0,9158164000.0
2090.0,26875257000.0,20982276000.0,47555240000.0,79771030000.0,60702230000.0,10549528000.0,8097946000.0,152963660000.0,8759538000.0,7870140400.0
2091.0,24790925000.0,18938348000.0,42378072000.0,73239480000.0,56483037000.0,9741025000.0,6791996000.0,146801820000.0,7895971000.0,7287243300.0
2092.0,22775493000.0,17000074000.0,37608223000.0,67382043000.0,51378940000.0,8777564000.0,5872006000.0,139037180000.0,7097919000.0,6387254300.0
2093.0,20438364000.0,15453593000.0,33107800000.0,62451950000.0,48194330000.0,7653124600.0,5071569400.0,135233970000.0,6491468300.0,5880933000.0
2094.0,18386661000.0,13759764000.0,30021170000.0,56871055000.0,44680530000.0,7006455300.0,4419065300.0,131944880000.0,6031629000.0,5436180500.0
2095.0,16915783000.0,12410579000.0,27141100000.0,54106290000.0,42042675000.0,6327017500.0,3900827600.0,127724080000.0,5553795000.0,5197085700.0
2096.0,15433189000.0,11385479000.0,24795250000.0,49835426000.0,39713060000.0,5957720000.0,3611900400.0,123024780000.0,5038357000.0,4816377000.0
2097.0,13609910000.0,10011488000.0,22959415000.0,45889536000.0,36510716000.0,5225924600.0,3301502000.0,116642020000.0,4720775000.0,4503035400.0
2098.0,12681687000.0,9306334000.0,21165658000.0,41193700000.0,34291210000.0,4994751000.0,2969490200.0,112947010000.0,4596800000.0,4217137700.0
2099.0,11644562000.0,8499024400.0,18744437000.0,38298227000.0,32246923000.0,4586189300.0,2631334000.0,108996400000.0,4198980600.0,3942461200.0
2100.0,10367620000.0,7667720700.0,17389804000.0,35778150000.0,30819248000.0,4367501300.0,2307996200.0,105100890000.0,3853392600.0,3552558300.0
