time,GFDL-ESM2G,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,IPSL-CM5A-LR,GISS-E2-R,CANESM2,CESM1-CAM5,GFDL-CM3
2028.0,768524800000.0,732108200000.0,749636600000.0,790819240000.0,768227200000.0,752349800000.0,746969800000.0,762046450000.0,740377800000.0,786831050000.0,709782540000.0
2029.0,761883660000.0,724720600000.0,741835400000.0,777991700000.0,752990360000.0,745747000000.0,733429500000.0,750413350000.0,718325300000.0,769408800000.0,688766600000.0
2030.0,740742660000.0,715741100000.0,732542000000.0,763128400000.0,743163500000.0,724173650000.0,717352340000.0,738325040000.0,691987150000.0,751257650000.0,672748300000.0
2031.0,735727100000.0,694794800000.0,723060300000.0,757467400000.0,717042400000.0,717678050000.0,705605100000.0,717770850000.0,666856900000.0,726090400000.0,649419750000.0
2032.0,731933200000.0,683007300000.0,708176900000.0,753863560000.0,709930800000.0,706317500000.0,685684800000.0,708580900000.0,651365000000.0,709994800000.0,620548500000.0
2033.0,727905530000.0,665195300000.0,692054460000.0,742996400000.0,689632200000.0,688887230000.0,669895950000.0,693998800000.0,635126300000.0,705162900000.0,605409640000.0
2034.0,728003300000.0,655390300000.0,667223060000.0,734097500000.0,668898030000.0,672239450000.0,656089700000.0,668508160000.0,613768200000.0,679868760000.0,585483400000.0
2035.0,724981900000.0,640125800000.0,655138700000.0,716132650000.0,652938050000.0,663457100000.0,643302750000.0,655841100000.0,599961600000.0,662467100000.0,571583800000.0
2036.0,715521900000.0,624790340000.0,647929140000.0,696751950000.0,639717100000.0,659239300000.0,621072000000.0,642353700000.0,581872100000.0,647489200000.0,555807900000.0
2037.0,706646440000.0,607985300000.0,634885300000.0,682343800000.0,628537600000.0,642266900000.0,606947050000.0,627983100000.0,560680200000.0,623173100000.0,537021150000.0
2038.0,701595060000.0,595336500000.0,614941500000.0,659365170000.0,595570300000.0,627055800000.0,590566600000.0,616355800000.0,538504360000.0,600781360000.0,516931420000.0
2039.0,690648500000.0,579430250000.0,608666200000.0,653250800000.0,577431400000.0,624911060000.0,570118640000.0,597715700000.0,520393850000.0,591201960000.0,507673670000.0
2040.0,685324760000.0,566405300000.0,590854800000.0,636255860000.0,562510800000.0,618205300000.0,551919000000.0,590216400000.0,511982400000.0,578242740000.0,491086000000.0
2041.0,681661700000.0,557951600000.0,580816670000.0,613078400000.0,548070200000.0,613648100000.0,532703020000.0,575835200000.0,494970960000.0,553526030000.0,472659360000.0
2042.0,682742640000.0,536329000000.0,571784950000.0,594130300000.0,529752400000.0,608055200000.0,512419600000.0,576425900000.0,477277780000.0,544453800000.0,449843920000.0
2043.0,680681540000.0,520961130000.0,564503100000.0,576149850000.0,510600700000.0,601273140000.0,493977040000.0,563815500000.0,462857440000.0,539255670000.0,435391630000.0
2044.0,673213840000.0,508913680000.0,549346400000.0,555757600000.0,495294480000.0,589773300000.0,481762500000.0,560779400000.0,452539780000.0,522783030000.0,418697020000.0
2045.0,660800300000.0,497403530000.0,538576550000.0,539598130000.0,476607100000.0,579806170000.0,461692400000.0,543031200000.0,439002860000.0,508555260000.0,396999750000.0
2046.0,648688900000.0,491108140000.0,531938480000.0,522879200000.0,463102150000.0,566404100000.0,444071200000.0,530959630000.0,416187220000.0,496928260000.0,383982570000.0
2047.0,640472000000.0,481021360000.0,520663860000.0,507287370000.0,458121480000.0,565460200000.0,432271030000.0,522045700000.0,406438770000.0,474371820000.0,362425600000.0
2048.0,618032200000.0,475683300000.0,510774380000.0,489804860000.0,439228430000.0,545334360000.0,412220460000.0,512875950000.0,390821120000.0,457338160000.0,349572800000.0
2049.0,602668600000.0,464073420000.0,508421050000.0,475937280000.0,425927150000.0,530188240000.0,401069440000.0,508538550000.0,373596980000.0,442715930000.0,332363040000.0
2050.0,595602800000.0,450719100000.0,506722000000.0,457174940000.0,400720200000.0,520656520000.0,389258480000.0,498685940000.0,361960700000.0,426050500000.0,315805040000.0
2051.0,579297100000.0,432646200000.0,494943700000.0,436680560000.0,383358660000.0,511988530000.0,372598960000.0,492011500000.0,348194200000.0,407097540000.0,302394300000.0
2052.0,566428800000.0,419991320000.0,483209150000.0,412972840000.0,365005370000.0,501231060000.0,356016780000.0,479392900000.0,336124740000.0,384211030000.0,290640600000.0
2053.0,548504800000.0,413768220000.0,473385300000.0,398591100000.0,350770230000.0,491662540000.0,337401800000.0,466573520000.0,320242400000.0,371566740000.0,275175600000.0
2054.0,522899460000.0,394014650000.0,463470360000.0,381455370000.0,341840660000.0,478462200000.0,327493940000.0,455932870000.0,310659840000.0,354794540000.0,262557530000.0
2055.0,511728650000.0,391302200000.0,455348880000.0,365919800000.0,328830800000.0,472090700000.0,319447730000.0,446823700000.0,299354900000.0,339598250000.0,246073620000.0
2056.0,503658580000.0,379863140000.0,443013370000.0,354720900000.0,316673500000.0,461998460000.0,304789000000.0,437586170000.0,288563270000.0,326166680000.0,232793950000.0
2057.0,479379130000.0,373153700000.0,432079600000.0,344111300000.0,299893330000.0,454763250000.0,289233600000.0,424703620000.0,274789960000.0,319203080000.0,219990950000.0
2058.0,465086580000.0,363612300000.0,422484540000.0,331794600000.0,285325000000.0,447631230000.0,284726920000.0,410082840000.0,260798140000.0,307637060000.0,210865240000.0
2059.0,453021200000.0,347951700000.0,402885440000.0,318818700000.0,275557780000.0,439106140000.0,274625360000.0,401365500000.0,250798200000.0,290831530000.0,203379600000.0
2060.0,446133470000.0,339017430000.0,390855900000.0,300114770000.0,266449420000.0,436344460000.0,266402460000.0,400758440000.0,237505500000.0,276182960000.0,194733300000.0
2061.0,425098940000.0,326886980000.0,377305500000.0,291829800000.0,259823300000.0,419691530000.0,259836480000.0,396244750000.0,229190160000.0,267424450000.0,184445140000.0
2062.0,412330600000.0,318913500000.0,369701060000.0,276383240000.0,251186170000.0,414123950000.0,247699010000.0,384254800000.0,216697830000.0,255317340000.0,178292490000.0
2063.0,406975020000.0,310517270000.0,359782500000.0,259963270000.0,243253100000.0,400909660000.0,234888380000.0,383967330000.0,206687470000.0,248563300000.0,168331870000.0
2064.0,401134620000.0,295875700000.0,348535200000.0,249317210000.0,237167540000.0,388744970000.0,223870100000.0,373868040000.0,200420970000.0,242534450000.0,157598420000.0
2065.0,387104000000.0,281708900000.0,335255340000.0,242143970000.0,227696310000.0,378588730000.0,219108500000.0,367669800000.0,192598150000.0,230450140000.0,149661600000.0
2066.0,377220960000.0,275158430000.0,329766000000.0,233042530000.0,221597970000.0,368631580000.0,211211810000.0,362468000000.0,186871970000.0,218239010000.0,142863070000.0
2067.0,367214300000.0,260684300000.0,323268200000.0,220046620000.0,215104730000.0,358195900000.0,204175200000.0,360296120000.0,180990430000.0,207610430000.0,135757960000.0
2068.0,351476400000.0,252468740000.0,321004040000.0,207629420000.0,210611780000.0,350399500000.0,199111400000.0,354491270000.0,169131970000.0,198271680000.0,129825840000.0
2069.0,338500300000.0,244039040000.0,309840450000.0,197546440000.0,207285760000.0,342729900000.0,194493760000.0,347638820000.0,159255900000.0,189356830000.0,122992910000.0
2070.0,332782860000.0,233127000000.0,297980820000.0,189569400000.0,199591540000.0,332376830000.0,188891330000.0,344449800000.0,151292050000.0,179526630000.0,116675280000.0
2071.0,324947300000.0,226587570000.0,290566000000.0,183510270000.0,194043410000.0,319724450000.0,181968470000.0,340231550000.0,143956400000.0,169711670000.0,110746710000.0
2072.0,314714060000.0,214171620000.0,280986220000.0,171601000000.0,188605090000.0,310210660000.0,173901370000.0,336273080000.0,136864990000.0,166433360000.0,104091980000.0
2073.0,304490500000.0,207172000000.0,282184020000.0,162069170000.0,184251370000.0,300850700000.0,168182660000.0,331233430000.0,129986560000.0,157689220000.0,98574050000.0
2074.0,298327340000.0,202594340000.0,279606560000.0,152376160000.0,180233600000.0,293183130000.0,159481300000.0,321357840000.0,122221306000.0,148123830000.0,91561845000.0
2075.0,296261400000.0,194386430000.0,275830730000.0,143127580000.0,175228930000.0,281952220000.0,153824610000.0,315088670000.0,114143370000.0,141297250000.0,86918050000.0
2076.0,283820560000.0,182554250000.0,277078000000.0,138438670000.0,172399980000.0,270772620000.0,152392630000.0,313066360000.0,108552870000.0,136350170000.0,82537050000.0
2077.0,276431900000.0,173009470000.0,273990390000.0,130879200000.0,167322100000.0,265889680000.0,146182240000.0,307781900000.0,103071250000.0,127781904000.0,77600014000.0
2078.0,268614550000.0,168507460000.0,268357350000.0,124213240000.0,160431960000.0,260474590000.0,139764860000.0,305406050000.0,97430380000.0,120749580000.0,71122575000.0
2079.0,255169220000.0,167735510000.0,264639740000.0,118051740000.0,154016140000.0,252922050000.0,132522730000.0,301973900000.0,91876114000.0,113816480000.0,69019840000.0
2080.0,246859740000.0,162097760000.0,259652730000.0,112451700000.0,145946030000.0,246418980000.0,126844060000.0,295204000000.0,87374000000.0,109700650000.0,64566490000.0
2081.0,238741850000.0,160946490000.0,253911860000.0,109274930000.0,138100770000.0,234087550000.0,120997470000.0,294578360000.0,82443720000.0,104242390000.0,60003336000.0
2082.0,232343000000.0,154792970000.0,250807550000.0,103895250000.0,134300480000.0,228656040000.0,115710350000.0,289849840000.0,77277815000.0,95627970000.0,56122593000.0
2083.0,229290660000.0,151438330000.0,247449620000.0,99888275000.0,131270920000.0,224873970000.0,111642570000.0,282883260000.0,73799390000.0,87694850000.0,52045960000.0
2084.0,226266370000.0,146514180000.0,241205970000.0,94032520000.0,124329935000.0,223911070000.0,107587640000.0,280806950000.0,71144490000.0,83167945000.0,49558532000.0
2085.0,218449800000.0,143710100000.0,234708700000.0,90730004000.0,118889440000.0,216179640000.0,102667010000.0,277564130000.0,65102300000.0,79473345000.0,47524327000.0
2086.0,211561580000.0,141080480000.0,229787780000.0,85995590000.0,114352570000.0,210839490000.0,97826630000.0,272330590000.0,61341712000.0,74029130000.0,44654490000.0
2087.0,207130940000.0,135239670000.0,225350500000.0,81827480000.0,110918390000.0,203541180000.0,93679760000.0,266947250000.0,57092227000.0,69030230000.0,42017227000.0
2088.0,199939470000.0,129574035000.0,220759620000.0,77214880000.0,107514070000.0,198350550000.0,89534720000.0,257538980000.0,54660190000.0,64137363000.0,39834567000.0
2089.0,194988800000.0,124813310000.0,218955060000.0,74236100000.0,104539320000.0,191589450000.0,85633950000.0,248851840000.0,50472063000.0,59416440000.0,38669580000.0
2090.0,188670800000.0,122616630000.0,214780670000.0,71134480000.0,99437860000.0,189477420000.0,82611380000.0,244273000000.0,47723647000.0,54282140000.0,37033790000.0
2091.0,183683970000.0,118501640000.0,210402660000.0,67879002000.0,94083610000.0,183640060000.0,79104860000.0,243297960000.0,43847380000.0,51052188000.0,33893958000.0
2092.0,179958300000.0,114749104000.0,211114970000.0,63261635000.0,91334950000.0,180461550000.0,77124090000.0,241411260000.0,41939784000.0,49273760000.0,32762126000.0
2093.0,176994930000.0,108660210000.0,206161180000.0,59843390000.0,89123990000.0,176350150000.0,74855560000.0,237725910000.0,40446630000.0,47899742000.0,31102941000.0
2094.0,171120660000.0,104617026000.0,204023560000.0,59353035000.0,87214416000.0,173169980000.0,73567460000.0,236785700000.0,38825726000.0,46441110000.0,30206798000.0
2095.0,165993860000.0,102496530000.0,204039010000.0,56231480000.0,82426110000.0,164084530000.0,72835310000.0,235538070000.0,37439807000.0,44423807000.0,28712800000.0
2096.0,161312950000.0,97620170000.0,204151620000.0,54170860000.0,80051495000.0,157634300000.0,69983470000.0,231466910000.0,36280190000.0,42523406000.0,27877075000.0
2097.0,156486630000.0,92600160000.0,201345520000.0,51151983000.0,76402910000.0,151115320000.0,67560366000.0,231291960000.0,35386460000.0,39129543000.0,26198194000.0
2098.0,155056420000.0,90599990000.0,199112850000.0,48377897000.0,72597730000.0,148957100000.0,64569254000.0,226573630000.0,34924470000.0,36825490000.0,24881353000.0
2099.0,149034940000.0,86670950000.0,198835240000.0,47288025000.0,69841854000.0,145921110000.0,62776754000.0,219541910000.0,33667105000.0,35663487000.0,23867552000.0
2100.0,142915490000.0,84332360000.0,193476180000.0,46251864000.0,67189420000.0,139348160000.0,60837640000.0,216619300000.0,32678418000.0,33737654000.0,22646827000.0
