time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2051.0,5914925500000.0,6640865000000.0,6807517000000.0,6085665000000.0,4409664700000.0,5931669700000.0
2052.0,5873299600000.0,6623279000000.0,6771639300000.0,6040252000000.0,4281721200000.0,5841574000000.0
2053.0,5831697000000.0,6614958000000.0,6735308000000.0,5982924600000.0,4156265300000.0,5759643000000.0
2054.0,5774592000000.0,6593964000000.0,6703851500000.0,5930666700000.0,4032677500000.0,5689497000000.0
2055.0,5733681700000.0,6568994700000.0,6658340000000.0,5906714000000.0,3915292300000.0,5641315000000.0
2056.0,5685616600000.0,6529421400000.0,6632568000000.0,5891168000000.0,3811463100000.0,5568616000000.0
2057.0,5635272000000.0,6487633000000.0,6610612000000.0,5836432700000.0,3703684000000.0,5477801000000.0
2058.0,5584934400000.0,6468429400000.0,6590666000000.0,5771429400000.0,3593208900000.0,5397494000000.0
2059.0,5538452600000.0,6439312600000.0,6564143000000.0,5721418000000.0,3489697400000.0,5304715600000.0
2060.0,5510090000000.0,6401751000000.0,6533904000000.0,5682909000000.0,3388273900000.0,5220142000000.0
2061.0,5462714000000.0,6375092000000.0,6506694600000.0,5656220000000.0,3286635000000.0,5145713000000.0
2062.0,5416749600000.0,6335914600000.0,6482846300000.0,5620684600000.0,3188217000000.0,5074082300000.0
2063.0,5357881000000.0,6313168300000.0,6464836000000.0,5566655000000.0,3081187600000.0,5004197400000.0
2064.0,5300095500000.0,6291967700000.0,6441516700000.0,5533485500000.0,2989471300000.0,4913523000000.0
2065.0,5249565000000.0,6269137600000.0,6411954000000.0,5499513000000.0,2915821000000.0,4835247000000.0
2066.0,5193500500000.0,6239872000000.0,6380517300000.0,5448504700000.0,2846597800000.0,4740774600000.0
2067.0,5138536700000.0,6207910000000.0,6324512400000.0,5418245400000.0,2773609300000.0,4655437000000.0
2068.0,5097785000000.0,6174554000000.0,6265349600000.0,5368515700000.0,2694263300000.0,4580545000000.0
2069.0,5025137000000.0,6133127000000.0,6204169000000.0,5342360500000.0,2610272000000.0,4505346000000.0
2070.0,4984569000000.0,6105752000000.0,6125930000000.0,5289536000000.0,2529781000000.0,4419941300000.0
2071.0,4921959600000.0,6091104600000.0,6072560500000.0,5247908000000.0,2458117700000.0,4329891400000.0
2072.0,4865029300000.0,6062149700000.0,5996513600000.0,5183173000000.0,2383818300000.0,4267034300000.0
2073.0,4808065400000.0,6015683700000.0,5930933000000.0,5131937000000.0,2305623900000.0,4175817000000.0
2074.0,4788654700000.0,5968771400000.0,5877048000000.0,5098708000000.0,2250959000000.0,4116355000000.0
2075.0,4734509000000.0,5939634000000.0,5806878600000.0,5052379400000.0,2186969100000.0,4067310700000.0
2076.0,4688266000000.0,5902267600000.0,5745177300000.0,5015690000000.0,2127009300000.0,4007407000000.0
2077.0,4646024000000.0,5882742600000.0,5694814000000.0,4955836500000.0,2063191200000.0,3951817700000.0
2078.0,4595009000000.0,5836632500000.0,5641543400000.0,4922942700000.0,1992703200000.0,3904305600000.0
2079.0,4546709000000.0,5814516400000.0,5586258000000.0,4876334500000.0,1927003200000.0,3831618900000.0
2080.0,4500389600000.0,5787893600000.0,5542366400000.0,4823007600000.0,1865513800000.0,3775290400000.0
2081.0,4443666400000.0,5753208300000.0,5481612000000.0,4783997500000.0,1813401200000.0,3729430400000.0
2082.0,4407326400000.0,5727631000000.0,5421591000000.0,4738614600000.0,1758998600000.0,3683813400000.0
2083.0,4370313000000.0,5683295000000.0,5383019000000.0,4706153000000.0,1705812700000.0,3642710000000.0
2084.0,4318295000000.0,5656262000000.0,5351644600000.0,4666419600000.0,1657452000000.0,3602873300000.0
2085.0,4262278000000.0,5609307000000.0,5320849500000.0,4630200000000.0,1613259500000.0,3567096200000.0
2086.0,4171084300000.0,5575773000000.0,5277884600000.0,4597147500000.0,1562918000000.0,3529026300000.0
