time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2085.0,2868690300000.0,771150700000.0,5506366000000.0,4567318000000.0
2086.0,2816110200000.0,738255900000.0,5480600000000.0,4516974400000.0
2087.0,2760837700000.0,709117100000.0,5430108000000.0,4462264000000.0
2088.0,2720392000000.0,682697750000.0,5414630000000.0,4408825000000.0
2089.0,2675704900000.0,656432230000.0,5364257000000.0,4356047400000.0
2090.0,2633261400000.0,631539400000.0,5341862000000.0,4290705400000.0
2091.0,2595632000000.0,610895600000.0,5308178000000.0,4223984200000.0
2092.0,2547267100000.0,588425800000.0,5293072700000.0,4168118200000.0
2093.0,2507889000000.0,567937700000.0,5281809000000.0,4104661500000.0
2094.0,2472571800000.0,549011000000.0,5258923000000.0,4052509500000.0
2095.0,2427237000000.0,531929400000.0,5238069000000.0,4011481000000.0
2096.0,2401245900000.0,515205270000.0,5208189000000.0,3956379000000.0
2097.0,2359927500000.0,501531400000.0,5159881500000.0,3905597000000.0
2098.0,2317279000000.0,489121450000.0,5131670700000.0,3872996700000.0
2099.0,2290714000000.0,477349050000.0,5096203000000.0,3836078200000.0
2100.0,2256373300000.0,464457140000.0,5065541000000.0,3782223900000.0
2101.0,2231924000000.0,452939550000.0,5047603000000.0,3758004000000.0
2102.0,2216376100000.0,442197640000.0,5016586000000.0,3715937300000.0
2103.0,2190913600000.0,431476300000.0,5006286700000.0,3680484500000.0
2104.0,2165518800000.0,421567400000.0,4972980000000.0,3642782400000.0
2105.0,2149597700000.0,411845500000.0,4931365000000.0,3612665000000.0
2106.0,2124514000000.0,402446220000.0,4905154600000.0,3583622500000.0
2107.0,2107663700000.0,392482900000.0,4896987000000.0,3561479700000.0
2108.0,2088870100000.0,384317800000.0,4881203600000.0,3535379000000.0
2109.0,2079072800000.0,375958930000.0,4869271000000.0,3497032700000.0
2110.0,2060526000000.0,368280670000.0,4859729000000.0,3463890600000.0
2111.0,2044517200000.0,360936730000.0,4839285000000.0,3442310000000.0
2112.0,2025447900000.0,353769260000.0,4813002600000.0,3423606700000.0
2113.0,2020969500000.0,346538080000.0,4791621000000.0,3408653500000.0
2114.0,2007146600000.0,338528270000.0,4771168000000.0,3389465600000.0
2115.0,1996701200000.0,332454170000.0,4757845000000.0,3362421000000.0
2116.0,1986217100000.0,325487500000.0,4748265000000.0,3341372400000.0
2117.0,1981069800000.0,319370460000.0,4740439600000.0,3310297000000.0
2118.0,1976842200000.0,313594700000.0,4726382400000.0,3288374400000.0
2119.0,1966532100000.0,308531820000.0,4731361600000.0,3259282200000.0
2120.0,1962276800000.0,303965370000.0,4727991000000.0,3229644200000.0
2121.0,1951842600000.0,299182720000.0,4715567400000.0,3202028700000.0
2122.0,1947061800000.0,292836970000.0,4696235300000.0,3171358000000.0
2123.0,1942944400000.0,287039620000.0,4683474000000.0,3151860900000.0
2124.0,1945170100000.0,282675540000.0,4659387000000.0,3134594000000.0
2125.0,1936112900000.0,277237660000.0,4660419000000.0,3117497000000.0
2126.0,1924500200000.0,271041530000.0,4652247000000.0,3106860000000.0
2127.0,1927499500000.0,265709570000.0,4640745700000.0,3082857500000.0
2128.0,1927982500000.0,261464460000.0,4631943000000.0,3057092400000.0
2129.0,1927587700000.0,256774910000.0,4624976700000.0,3036314600000.0
2130.0,1922757700000.0,252474200000.0,4612318300000.0,3020529300000.0
2131.0,1911857300000.0,247869900000.0,4589514400000.0,2986579300000.0
2132.0,1908490000000.0,243371250000.0,4566175700000.0,2976008400000.0
2133.0,1907022900000.0,239730660000.0,4547635300000.0,2955602600000.0
2134.0,1905278500000.0,234820940000.0,4535116000000.0,2925811500000.0
2135.0,1907475000000.0,229304710000.0,4525564400000.0,2905058000000.0
2136.0,1909109300000.0,225731890000.0,4493753000000.0,2888355300000.0
2137.0,1914451000000.0,222374200000.0,4483055000000.0,2877002400000.0
2138.0,1915394700000.0,218093130000.0,4477756000000.0,2856033000000.0
2139.0,1912863600000.0,213641020000.0,4472792000000.0,2836631700000.0
2140.0,1909365800000.0,210517360000.0,4457549500000.0,2822231000000.0
2141.0,1912456000000.0,207547610000.0,4438282000000.0,2801517200000.0
2142.0,1914317300000.0,203742350000.0,4443280500000.0,2779247000000.0
2143.0,1916168400000.0,200338180000.0,4427415600000.0,2765141000000.0
2144.0,1908752000000.0,197069520000.0,4421164500000.0,2750215400000.0
2145.0,1902124500000.0,193526660000.0,4409673600000.0,2728667000000.0
2146.0,1903480500000.0,190930420000.0,4398300000000.0,2725046600000.0
2147.0,1907953400000.0,189427800000.0,4381442800000.0,2719425500000.0
