time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2055,26666751224.202644,21238542476.08659,23418876563.94606,22701374035.3737
2056,25602968057.475742,19838191041.308865,22244636651.079758,22083672500.412266
2057,24323988674.275528,19077972193.554527,21216448033.410957,21476053165.281887
2058,22940233791.768574,18117869671.841705,20252030468.661446,20422520266.429623
2059,21516294739.50271,17049079601.279078,19271696211.11819,19761894414.251904
2060,20606853521.877056,16218098703.25639,18423499468.708363,19202270114.279694
2061,19922093933.24536,15537875701.730867,17728852168.322933,18622230773.985256
2062,19396677863.984653,14920697872.719835,16793647414.642456,18248196537.15353
2063,18763389705.815624,14459522700.28703,15998364485.30337,17915143883.068554
2064,17958930331.371334,13888543794.657429,15628279212.626144,17670227806.239513
2065,17511839896.3283,13137587783.224808,14990359784.13272,17167874644.398867
2066,17068831134.85225,12665746432.869036,14451405814.344055,16706460150.637836
2067,16513576052.623882,12216788233.917456,14002898269.651943,16435785027.79381
2068,15975644896.073677,12020646341.680016,13448188225.359333,16254815067.402977
2069,15452294713.780201,11530945308.622131,12752677505.49345,15742713244.246807
2070,14997968020.108635,11146527331.820679,12257895286.582924,15543744822.610315
2071,14547728560.418913,10928804712.501099,11751839930.2863,15220202942.484962
2072,14408612775.268047,10896777972.99603,11496398483.398165,15085864084.450678
2073,14382786623.271872,10592416914.17859,11231485071.97695,14813586316.917215
2074,14094335863.7333,10592310183.297031,11036539312.631226,14697257076.48944
2075,14091866280.905397,10381819394.4444,10870515497.939072,14505846127.464266
2076,13996414306.957893,10340878487.27965,10651866348.431086,14293807492.91786
2077,13788748005.354874,10211949296.593992,10520513581.644104,14148405346.855032
2078,13561393574.872826,10121864276.902134,10445010345.669868,14421125867.123066
2079,13464096530.334442,9865939834.579136,10222781465.667856,14239359565.83329
2080,13480620997.35646,9760680345.374214,10031478795.942362,14156823885.12024
2081,13457379640.624947,9798875539.1464,9812498779.679224,14097747318.676105
2082,13300493929.43308,9800585288.536867,9792173315.386976,14067553483.71361
2083,13174190644.519156,9761769850.596598,9787885070.102627,13997389722.323349
2084,12941257578.226227,9683886534.737114,9862788916.086477,13829302101.476614
2085,12787999056.325096,9559564871.777887,9762939623.431086,13835817093.94386
2086,12727955986.175444,9586498258.379421,9776687616.220314,13806496705.337112
2087,12664772674.435978,9556939007.859392,9831090247.8292,13820926035.880709
2088,12399616945.946636,9516195358.495962,9816180454.954935,13944551566.61615
2089,12300027860.553303,9479057275.821497,9753053133.217783,13960862281.445122
2090,12290488821.822989,9455609136.184258,9731761668.538221,14077234797.302101
2091,12140997699.191715,9307264685.613527,9679456126.375864,14141892041.049889
2092,12045445844.700907,9243546379.775023,9657878955.448397,14193360529.24675
2093,11970611350.107027,9275541731.94769,9628975963.127321,14339010588.921373
2094,11986896956.28434,9382929934.362778,9628972785.48052,14434252094.140194
2095,12082305939.855711,9410033523.814182,9569485132.83669,14677056070.98948
2096,12063519735.604015,9379317266.379148,9641673042.574495,14885121897.732834
2097,12144767296.603327,9370090985.225763,9611446528.613394,15037067736.015028
2098,12139434226.39828,9382730769.046255,9592750328.89008,15199907255.50688
2099,12202844867.841938,9428960401.527609,9603809098.151056,15314362048.596178
2100,12296764416.413002,9417164606.358395,9658387208.14538,15316289927.803804
2101,12466284922.057661,9456732330.30507,9655737831.71842,15595688136.143303
2102,12370060315.238098,9539347600.6585,9649609948.143478,15709988416.944183
2103,12527347185.252518,9548228924.885881,9758642525.847593,15925363877.486876
2104,12720280615.029718,9534332536.877798,9761379281.617662,16022702119.639812
2105,12848465550.704529,9474409348.749237,9844763677.189316,16081273368.540905
2106,12952116311.483269,9520565246.015265,9930634010.39362,16431559882.615726
2107,13037235342.011738,9510234359.031374,9887515707.840675,16331417448.594707
2108,13025304617.284842,9566237264.60431,9830530794.80434,16474054523.872105
2109,13165456217.16757,9552405077.133108,9836043432.16604,16772021494.709179
2110,13198955504.223083,9659897630.564945,9851180929.168295,16953284239.638487
2111,13324065656.787529,9677216391.729567,9911684934.750834,17512947953.393627
2112,13538026356.18361,9698000166.3586,9889612554.781498,17959333825.193245
2113,13735579071.27894,9844094578.83178,9993099264.78793,18103807578.75289
2114,13882024428.022623,9864560062.730783,9981540348.430323,18234553747.653675
2115,13974443183.100843,9913792404.703278,10064612460.642008,18502350530.34147
2116,14233961017.444563,9876101587.768324,10167552824.16706,18458070161.154793
2117,14458351615.52402,9955779301.029022,10110847367.755344,18742610790.82093
2118,14590221878.764698,10058429304.746977,10232293610.476746,19124388892.97329
2119,14613028621.9739,10190158534.436321,10362297218.23667,19183146322.84281
2120,14727199876.037397,10264604591.472063,10429258201.453949,19236417367.330853
2121,14844911900.974474,10312709048.42224,10566781138.821241,19233249325.916195
2122,14851934029.232874,10357482017.6448,10757562237.15011,19248641380.632942
2123,15005547039.777355,10419229647.177479,10905760827.85433,19510585702.570747
2124,15306795171.580265,10454933979.293781,10991050336.353134,19636638913.99688
2125,15560065441.91835,10542493707.755207,11179473976.105309,19620748406.86284
2126,15618958066.725325,10696485229.915747,11357124901.22372,19790747346.042515
2127,15605159850.537966,10745804891.584408,11318097216.395048,20183200095.62263
2128,15938962456.889896,10810335539.434402,11528360630.821764,20403411404.64468
2129,16199465571.383629,11018212274.893631,11537089959.386635,20781496674.50005
2130,16196834830.87286,11086462146.717398,11474971491.073828,20960037835.257717
2131,16331563781.168777,11061641649.288729,11674862726.582722,21299153875.548134
2132,16534514974.647766,11175239664.976927,11765663661.291462,21464565289.04264
2133,16675182159.447893,11084452811.503254,11869951359.036064,21752638348.396996
2134,16734219640.71873,11204952390.43761,11864706360.556402,22228683392.36735
2135,16955969040.15354,11186822820.576075,11869328539.732565,22475449022.784206
2136,17129014890.338455,11212403778.035406,11965147608.670311,22807924813.676243
2137,17446661030.53187,11263025543.394814,11988675816.477806,22843746467.282017
2138,17660890753.558258,11257825165.166594,11971444627.941347,23067095055.424145
2139,17648598792.24042,11381846993.661417,12008883646.998878,23527471689.797783
2140,17857048257.84771,11266016855.928549,12067037379.756773,24242727133.52584
2141,17879740676.708908,11261877319.201166,12158614075.932129,24570964530.775227
2142,18153765388.7688,11301092579.765278,12154858110.296404,24994075490.464874
2143,18363862180.16754,11477317086.530483,12306769982.84206,25000326596.145985
2144,18449283454.96415,11489949303.796991,12396097774.40048,25473831090.670067
2145,18491907919.60978,11575973569.61922,12616434570.504951,25790416699.60276
2146,18829270249.83282,11599995765.20024,12676300215.632761,25921299483.36574
2147,19305332679.84458,11627452945.302267,12650022501.328863,26416719133.317947
2148,19428300685.43137,11680261099.686966,12665447172.808908,26627091408.908726
2149,19624065238.14158,11669568733.567276,12606835508.166162,26954580256.289623
2150,19705971664.58059,11666137881.012346,12670060522.700615,27592089971.023567
2151,19897181222.945118,11737475243.44276,12689924120.504454,28158251184.741253
2152,20057055009.4482,11784882667.275064,12754881722.82928,28513895854.222424
2153,20275833620.86816,11833135858.35119,12858853492.44551,28701745999.789474
2154,20521524394.212254,11822972736.822485,12878953683.142904,28885370834.397026
2155,20805445940.227386,11924861758.381414,12909219924.077831,29606704498.431843
2156,21102810668.322704,12033169869.8957,12872302091.964327,30079290090.931763
2157,21306829577.489597,12185152456.716436,12916364694.855637,30124294587.760014
2158,21466738194.55281,12248311373.654839,12869612563.013737,30109901251.774048
2159,22472495704.581924,12344363165.219559,12924109155.181541,30891939511.16922
2160,22134853849.922005,12333253918.320457,12846031798.829847,31169947568.141434
2161,22505956116.70977,12351132518.616705,12803481143.573694,31482770448.115807
2162,22795904457.83754,12364740220.558453,12949388829.465984,31861773759.494854
2163,23146836868.23743,12540596046.979029,13068946418.419855,31939689939.38789
2164,23428144716.586388,12795533482.323744,13083100652.74759,32184469624.041176
2165,23438342369.039192,12840978291.316126,13103541284.486542,32314966574.83496
2166,23352229312.886066,12886356843.246204,12978435886.055012,32642963551.82997
2167,23533455655.898502,13008098042.884928,13043800501.869427,33686239893.49363
2168,23450830901.076305,13085125012.976656,13030666600.536985,34010428889.779827
2169,23563551731.075855,13110165316.474566,13124225769.207901,34370776983.35918
2170,23599293662.337963,13115505937.4678,13096087372.276222,35019297685.61377
2171,23710786665.878193,13069100266.932617,13201104836.371891,35354345931.274025
2172,23746155770.19877,13198066490.990612,13180017363.707045,35942830692.53673
2173,23937359504.985077,13402702003.483852,13163177575.044302,36446233672.34626
2174,24217412250.093433,13340175932.407564,13117585618.886925,36643403737.86242
2175,24447832486.07372,13421125903.17852,13448279085.141031,37165329066.22972
2176,24444178817.832085,13568307588.374367,13563696356.230263,37570725152.12544
2177,24274365279.72953,13669786419.151447,13776034654.576773,38011384289.796165
2178,24433631069.659443,13667016373.06607,13783489493.171984,38268454009.62157
2179,24368691935.176907,13762927106.6296,13733158888.15099,38295897733.29671
2180,24684918742.03453,13831632193.753752,13808967400.945799,38932675131.94269
2181,24625832989.410534,13874482870.796478,13874867028.45024,39421566040.31649
2182,24678783307.239437,13971167719.913725,13830270078.764748,39584424196.33399
2183,24909153730.8645,14077319106.273031,13930745770.381596,39953494781.66278
2184,24938574396.87919,14157145862.97425,13864528076.940136,40750930061.51787
2185,24961231917.95645,14115830646.255144,13898617584.967304,41103359068.70024
2186,25096830839.56272,13998208400.802326,13978528101.996078,41583165670.721016
2187,24996785163.97914,13992319259.913155,14072934226.083935,42567989686.455444
2188,25132421748.508274,14007365358.732872,14049955672.843872,43201798234.313934
2189,25271542447.14278,13955109365.826984,14046870514.537739,43738621712.56229
2190,25295815006.21573,13880286461.596802,14085516387.245285,44095775123.48054
2191,25425530770.453197,13930635846.556757,14086111012.174643,44802037212.34446
2192,25508023380.35226,13957797278.448353,14029902205.499826,45370580441.10104
2193,25790366876.254433,13992097575.934517,14053072024.484093,46519085634.99764
2194,25783213970.767326,14156268814.695566,14215623239.082825,46885424331.44586
2195,25864697038.11373,14215983379.76868,14323724744.978228,47075235553.903206
2196,25892189277.354145,14439527831.128674,14296442905.176142,47540878447.88443
2197,26075534361.134678,14455539471.28911,14110411940.888678,47785508815.875046
2198,26303032483.581493,14465179114.25899,14288673061.193802,47970123126.445435
2199,26989903479.71911,14480360905.337751,14359944471.780725,48158257702.10926
2200,26944887928.93015,14468022550.40377,14398086727.172888,48008522012.022835
2201,27113847799.57217,14505682626.489016,14518947640.445206,48338771293.34795
2202,27187664977.538067,14537265317.041046,14415508275.77778,48934583321.09587
2203,26900505355.841072,14614615680.99208,14394671585.413637,49001914021.53786
2204,27342458041.41347,14620020049.429516,14365830148.771923,49301478705.74945
2205,27782999976.79713,14674351581.264154,14291214679.308275,49707781286.80225
2206,27639030555.16979,14863641769.778221,14378741675.734873,50140757278.57295
2207,27635095371.020752,14829293005.065199,14412039057.192787,51017221639.218925
2208,27678924230.619907,14792004291.247055,14409365466.404024,51476074819.814384
2209,27542931359.318775,14849128363.157314,14645552359.630123,51791087086.17308
2210,27911981588.638954,14981734815.590895,14765099342.125803,52049142125.671875
2211,27932113422.789333,15062796766.488325,15040384559.567404,52449813014.54649
2212,28032335228.255726,15210238853.997458,14961668482.106451,52763357242.31676
2213,28014590280.01481,15219164473.123304,15050527304.492525,52901496300.28167
2214,27776350671.5294,15218378988.763592,15026718992.282957,53437125410.30049
2215,27740309867.36262,15257192268.736174,15148158971.55513,53815895931.68328
2216,27882026928.873436,15366110964.875702,15510655753.83177,54081347880.088264
2217,27585987742.31335,15317843948.160582,15629013700.641935,54413693778.992355
2218,27788646450.967243,15377737568.958586,15601489548.60048,55161037741.55792
2219,27655268172.663998,15398112252.26144,15529250528.16849,55395423801.3239
2220,27680383883.00119,15483115915.941717,15559330736.119194,55653339171.33107
2221,27707403702.653385,15441293729.725473,15600338323.959444,55780028276.975685
2222,27860220220.929417,15492550067.57082,15719826214.735798,55880303631.780945
2223,27377223739.455097,15520405042.585903,15771020438.918133,55909812067.78152
2224,27206290358.044697,15534812754.097757,15781562854.352282,56112568270.365555
2225,27300018018.191647,15473539933.088892,15711533429.120745,56517380280.0781
