time,CESM2,EC-EARTH3,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,CESM2-WACCM,CAMS-CSM1-0,CMCC-CM2-SR5,MRI-ESM2-0,TAIESM1,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3-VEG,ACCESS-ESM1-5,CANESM5,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14556825000000.0,14523461000000.0,14540521000000.0,14557597000000.0,14507684000000.0,14544989000000.0,14525786000000.0,14562560000000.0,14518027000000.0,14483307000000.0,14529753000000.0,14516251000000.0,14548444000000.0,14549377000000.0,14578152000000.0,14498927000000.0,14566485000000.0,14507835000000.0,14572869000000.0
2022.0,14529453000000.0,14466623000000.0,14495572000000.0,14489629000000.0,14440703000000.0,14483265000000.0,14468799000000.0,14512977000000.0,14469535000000.0,14358562000000.0,14450588000000.0,14458699000000.0,14478353000000.0,14500509000000.0,14520369000000.0,14457334000000.0,14545151000000.0,14433228000000.0,14503881000000.0
2023.0,14465522000000.0,14433967000000.0,14418143000000.0,14431655000000.0,14403470000000.0,14416612000000.0,14395055000000.0,14465413000000.0,14353705000000.0,14309171000000.0,14401352000000.0,14372206000000.0,14430718000000.0,14451534000000.0,14485682000000.0,14381390000000.0,14509005000000.0,14329806000000.0,14463177000000.0
2024.0,14365356000000.0,14343354000000.0,14370138000000.0,14346560000000.0,14357787000000.0,14386534000000.0,14359196000000.0,14401729000000.0,14274465000000.0,14216258000000.0,14319555000000.0,14327947000000.0,14301416000000.0,14414204000000.0,14346581000000.0,14350422000000.0,14406473000000.0,14310046000000.0,14393695000000.0
2025.0,14282678000000.0,14266812000000.0,14321544000000.0,14301311000000.0,14277313000000.0,14276731000000.0,14271250000000.0,14364730000000.0,14198672000000.0,14138676000000.0,14245804000000.0,14301704000000.0,14242042000000.0,14329196000000.0,14231005000000.0,14281216000000.0,14325521000000.0,14259560000000.0,14341848000000.0
2026.0,14203274000000.0,14232711000000.0,14269776000000.0,14232821000000.0,14241812000000.0,14188276000000.0,14174956000000.0,14303861000000.0,14133067000000.0,14061661000000.0,14256984000000.0,14217514000000.0,14137533000000.0,14268349000000.0,14163932000000.0,14184523000000.0,14258047000000.0,14163910000000.0,14310919000000.0
2027.0,14090939000000.0,14100077000000.0,14244086000000.0,14136264000000.0,14202625000000.0,14161638000000.0,14139751000000.0,14224063000000.0,14076140000000.0,13968324000000.0,14179153000000.0,14156960000000.0,14077809000000.0,14198672000000.0,14115518000000.0,14100452000000.0,14222906000000.0,14138007000000.0,14236314000000.0
2028.0,14026258000000.0,14037042000000.0,14183182000000.0,14089803000000.0,14128579000000.0,14096718000000.0,14107202000000.0,14147349000000.0,14029471000000.0,13879900000000.0,14116165000000.0,14095180000000.0,13976733000000.0,14126685000000.0,14021087000000.0,14011715000000.0,14190546000000.0,14095839000000.0,14151061000000.0
2029.0,13956462000000.0,13927074000000.0,14163733000000.0,13993229000000.0,14094268000000.0,14016718000000.0,14044662000000.0,14069136000000.0,13990972000000.0,13748727000000.0,14046559000000.0,13992238000000.0,13843772000000.0,14063184000000.0,13933603000000.0,13952491000000.0,14084256000000.0,14047913000000.0,14097190000000.0
2030.0,13892278000000.0,13814134000000.0,14137561000000.0,13883878000000.0,14021912000000.0,13967946000000.0,13971586000000.0,13970699000000.0,13930631000000.0,13604170000000.0,13956704000000.0,13927068000000.0,13764398000000.0,13976548000000.0,13885036000000.0,13869234000000.0,13983168000000.0,13937390000000.0,14045699000000.0
2031.0,13786175000000.0,13650454000000.0,14060781000000.0,13803972000000.0,13966926000000.0,13893717000000.0,13923165000000.0,13901549000000.0,13855916000000.0,13460980000000.0,13848798000000.0,13873609000000.0,13673628000000.0,13892843000000.0,13824413000000.0,13788177000000.0,13907946000000.0,13890306000000.0,13995450000000.0
2032.0,13703624000000.0,13565438000000.0,13998308000000.0,13729087000000.0,13850512000000.0,13850936000000.0,13897063000000.0,13829774000000.0,13762454000000.0,13341141000000.0,13775870000000.0,13760870000000.0,13616278000000.0,13826524000000.0,13698239000000.0,13698188000000.0,13828115000000.0,13818264000000.0,13918026000000.0
2033.0,13609664000000.0,13460119000000.0,13986287000000.0,13689689000000.0,13760092000000.0,13748057000000.0,13841758000000.0,13717639000000.0,13695728000000.0,13221051000000.0,13719986000000.0,13670168000000.0,13509155000000.0,13761934000000.0,13617553000000.0,13668287000000.0,13723482000000.0,13740794000000.0,13821625000000.0
2034.0,13526782000000.0,13361437000000.0,13965721000000.0,13623668000000.0,13722627000000.0,13655543000000.0,13773462000000.0,13559286000000.0,13604692000000.0,13028487000000.0,13649639000000.0,13596531000000.0,13419442000000.0,13611239000000.0,13519446000000.0,13575282000000.0,13659417000000.0,13675437000000.0,13758720000000.0
2035.0,13443395000000.0,13197407000000.0,13929769000000.0,13563161000000.0,13671452000000.0,13580143000000.0,13696256000000.0,13468106000000.0,13536982000000.0,12867406000000.0,13556527000000.0,13570837000000.0,13303653000000.0,13524889000000.0,13447690000000.0,13513235000000.0,13621938000000.0,13629593000000.0,13664597000000.0
2036.0,13367669000000.0,13090027000000.0,13870206000000.0,13465535000000.0,13584845000000.0,13537165000000.0,13609469000000.0,13353377000000.0,13500263000000.0,12716712000000.0,13494844000000.0,13536491000000.0,13189762000000.0,13482473000000.0,13339537000000.0,13431494000000.0,13597621000000.0,13612242000000.0,13646482000000.0
2037.0,13293202000000.0,12987671000000.0,13784098000000.0,13390736000000.0,13500696000000.0,13481033000000.0,13560730000000.0,13267995000000.0,13424077000000.0,12515078000000.0,13414381000000.0,13465343000000.0,13068540000000.0,13392633000000.0,13249222000000.0,13376660000000.0,13563168000000.0,13535185000000.0,13580652000000.0
2038.0,13187834000000.0,12850544000000.0,13726720000000.0,13311410000000.0,13435296000000.0,13385731000000.0,13458482000000.0,13116011000000.0,13319032000000.0,12373906000000.0,13323964000000.0,13414241000000.0,12972938000000.0,13332064000000.0,13174920000000.0,13286216000000.0,13539877000000.0,13481895000000.0,13548418000000.0
2039.0,13073548000000.0,12751277000000.0,13650031000000.0,13258897000000.0,13359773000000.0,13281107000000.0,13396724000000.0,12980899000000.0,13230027000000.0,12245260000000.0,13235515000000.0,13291524000000.0,12856715000000.0,13255867000000.0,13121392000000.0,13226214000000.0,13452891000000.0,13440090000000.0,13512414000000.0
2040.0,12934673000000.0,12615741000000.0,13573751000000.0,13191526000000.0,13297048000000.0,13136584000000.0,13313609000000.0,12900214000000.0,13180449000000.0,12085062000000.0,13148585000000.0,13255450000000.0,12737899000000.0,13170796000000.0,13032867000000.0,13149268000000.0,13411101000000.0,13390264000000.0,13466138000000.0
2041.0,12811707000000.0,12464407000000.0,13520736000000.0,13098758000000.0,13201835000000.0,13041259000000.0,13233549000000.0,12845031000000.0,13084239000000.0,11886060000000.0,13085710000000.0,13202679000000.0,12608502000000.0,13093771000000.0,12949583000000.0,13076771000000.0,13319527000000.0,13316191000000.0,13430647000000.0
2042.0,12704985000000.0,12280301000000.0,13539154000000.0,12984458000000.0,13137112000000.0,12955461000000.0,13172591000000.0,12748694000000.0,13027218000000.0,11676969000000.0,13003462000000.0,13114163000000.0,12479038000000.0,13050006000000.0,12826202000000.0,13007717000000.0,13245276000000.0,13217356000000.0,13345043000000.0
2043.0,12605615000000.0,12150234000000.0,13500350000000.0,12878357000000.0,13069142000000.0,12853140000000.0,13122164000000.0,12617654000000.0,12911723000000.0,11480148000000.0,12908910000000.0,13006643000000.0,12324039000000.0,13000702000000.0,12786801000000.0,12907280000000.0,13156964000000.0,13136011000000.0,13296915000000.0
2044.0,12493617000000.0,12000424000000.0,13457610000000.0,12764027000000.0,12988537000000.0,12753727000000.0,13057660000000.0,12444403000000.0,12760490000000.0,11357978000000.0,12803292000000.0,12963498000000.0,12146787000000.0,12912129000000.0,12621709000000.0,12795401000000.0,13041528000000.0,13084865000000.0,13215734000000.0
2045.0,12387445000000.0,11854842000000.0,13421649000000.0,12671489000000.0,12910557000000.0,12632524000000.0,12997575000000.0,12342715000000.0,12646943000000.0,11207064000000.0,12694674000000.0,12877495000000.0,12013720000000.0,12821681000000.0,12525596000000.0,12701073000000.0,13000702000000.0,13008931000000.0,13118688000000.0
2046.0,12285225000000.0,11692401000000.0,13401113000000.0,12587884000000.0,12826573000000.0,12497437000000.0,12952725000000.0,12177282000000.0,12525501000000.0,11046650000000.0,12587013000000.0,12767091000000.0,11883982000000.0,12750507000000.0,12387763000000.0,12620749000000.0,12906821000000.0,12956872000000.0,13013271000000.0
2047.0,12176140000000.0,11510057000000.0,13321003000000.0,12480646000000.0,12728187000000.0,12385271000000.0,12902358000000.0,12037781000000.0,12398346000000.0,10836446000000.0,12535849000000.0,12674199000000.0,11751490000000.0,12615906000000.0,12199134000000.0,12521630000000.0,12836508000000.0,12885345000000.0,12955056000000.0
2048.0,12040348000000.0,11375235000000.0,13260953000000.0,12409004000000.0,12671549000000.0,12315334000000.0,12831428000000.0,11876950000000.0,12219907000000.0,10657139000000.0,12432352000000.0,12592591000000.0,11591965000000.0,12532473000000.0,12082264000000.0,12430301000000.0,12788021000000.0,12847546000000.0,12866620000000.0
2049.0,11945036000000.0,11229185000000.0,13184045000000.0,12305095000000.0,12612440000000.0,12202190000000.0,12822678000000.0,11711970000000.0,12073032000000.0,10457695000000.0,12350515000000.0,12460504000000.0,11442743000000.0,12458907000000.0,11907903000000.0,12293700000000.0,12700904000000.0,12780680000000.0,12816590000000.0
2050.0,11818093000000.0,11070694000000.0,13116684000000.0,12201076000000.0,12530632000000.0,12063221000000.0,12773974000000.0,11571514000000.0,11949734000000.0,10210012000000.0,12248773000000.0,12348896000000.0,11312046000000.0,12393757000000.0,11771464000000.0,12190307000000.0,12660420000000.0,12690623000000.0,12736244000000.0
2051.0,11651184000000.0,10894884000000.0,13014115000000.0,12086667000000.0,12447745000000.0,11957563000000.0,12710385000000.0,11456480000000.0,11838558000000.0,9961516000000.0,12143245000000.0,12291256000000.0,11152627000000.0,12318641000000.0,11609796000000.0,12073985000000.0,12628020000000.0,12598607000000.0,12615419000000.0
2052.0,11538591000000.0,10709970000000.0,12934818000000.0,11975429000000.0,12350818000000.0,11845463000000.0,12652691000000.0,11282718000000.0,11724356000000.0,9723632000000.0,12055988000000.0,12194367000000.0,11009353000000.0,12200583000000.0,11415400000000.0,12009596000000.0,12531906000000.0,12555644000000.0,12477224000000.0
2053.0,11389990000000.0,10533281000000.0,12916210000000.0,11853894000000.0,12270092000000.0,11731815000000.0,12611209000000.0,11190981000000.0,11594780000000.0,9498248000000.0,11943040000000.0,12082296000000.0,10853479000000.0,12107248000000.0,11253871000000.0,11900900000000.0,12421702000000.0,12445342000000.0,12384395000000.0
2054.0,11250905000000.0,10366491000000.0,12825744000000.0,11765140000000.0,12162796000000.0,11625080000000.0,12541268000000.0,11028993000000.0,11438180000000.0,9277282000000.0,11848428000000.0,11967420000000.0,10666731000000.0,12021646000000.0,11085026000000.0,11795272000000.0,12372351000000.0,12358063000000.0,12320318000000.0
2055.0,11115285000000.0,10149970000000.0,12738838000000.0,11643936000000.0,12082277000000.0,11480125000000.0,12476366000000.0,10853834000000.0,11267274000000.0,9017381000000.0,11762914000000.0,11813137000000.0,10472728000000.0,11883773000000.0,10901736000000.0,11698275000000.0,12284996000000.0,12255325000000.0,12223519000000.0
2056.0,10956716000000.0,9986831000000.0,12656327000000.0,11538404000000.0,11974424000000.0,11406006000000.0,12372526000000.0,10675738000000.0,11147604000000.0,8786994000000.0,11662103000000.0,11664823000000.0,10276141000000.0,11763838000000.0,10718712000000.0,11610991000000.0,12249085000000.0,12160401000000.0,12110840000000.0
2057.0,10771450000000.0,9819591000000.0,12578615000000.0,11409657000000.0,11866951000000.0,11285753000000.0,12314724000000.0,10534510000000.0,11031376000000.0,8588616500000.0,11527244000000.0,11514858000000.0,10119649000000.0,11638352000000.0,10515479000000.0,11515547000000.0,12127363000000.0,12076863000000.0,12061717000000.0
2058.0,10631908000000.0,9620794000000.0,12530417000000.0,11305695000000.0,11775253000000.0,11186025000000.0,12259746000000.0,10406487000000.0,10873555000000.0,8398281000000.0,11417566000000.0,11387012000000.0,9944985000000.0,11524311000000.0,10350385000000.0,11439786000000.0,12070681000000.0,11989361000000.0,11982355000000.0
2059.0,10483498000000.0,9435128000000.0,12456986000000.0,11159391000000.0,11705169000000.0,11061410000000.0,12167678000000.0,10228119000000.0,10754543000000.0,8186804000000.0,11316731000000.0,11306236000000.0,9765173000000.0,11439803000000.0,10207989000000.0,11332993000000.0,11950695000000.0,11900940000000.0,11907066000000.0
2060.0,10277209000000.0,9283548000000.0,12361443000000.0,11059636000000.0,11639001000000.0,10910305000000.0,12098102000000.0,10080236000000.0,10625860000000.0,7968086600000.0,11205730000000.0,11188558000000.0,9562782000000.0,11331019000000.0,10031223000000.0,11257571000000.0,11832309000000.0,11801171000000.0,11849320000000.0
2061.0,10148881000000.0,9099513000000.0,12266208000000.0,10996341000000.0,11530342000000.0,10764793000000.0,12047325000000.0,9945673000000.0,10447327000000.0,7751914000000.0,11072117000000.0,11058843000000.0,9392194000000.0,11178469000000.0,9873502000000.0,11170504000000.0,11762481000000.0,11677292000000.0,11803234000000.0
2062.0,9962523000000.0,8922307000000.0,12192541000000.0,10943461000000.0,11483859000000.0,10652511000000.0,11975776000000.0,9788634000000.0,10309398000000.0,7532534000000.0,10939206000000.0,10975095000000.0,9229594000000.0,11074764000000.0,9683432000000.0,11082689000000.0,11681891000000.0,11624135000000.0,11705319000000.0
2063.0,9795265000000.0,8744573000000.0,12085961000000.0,10862547000000.0,11421772000000.0,10501499000000.0,11890980000000.0,9598300000000.0,10187283000000.0,7374949000000.0,10807611000000.0,10857124000000.0,9059027000000.0,10946368000000.0,9503878000000.0,10997261000000.0,11566890000000.0,11563328000000.0,11613269000000.0
2064.0,9610896000000.0,8553681000000.0,12011272000000.0,10760535000000.0,11310399000000.0,10374665000000.0,11774962000000.0,9378234000000.0,10031630000000.0,7185541000000.0,10674465000000.0,10712619000000.0,8913657000000.0,10844892000000.0,9341278000000.0,10884057000000.0,11507876000000.0,11483819000000.0,11548130000000.0
2065.0,9433406000000.0,8382969300000.0,11907856000000.0,10628060000000.0,11203980000000.0,10240294000000.0,11705900000000.0,9136379000000.0,9974793000000.0,6984516500000.0,10524069000000.0,10600979000000.0,8717172000000.0,10721995000000.0,9177698000000.0,10799442000000.0,11428076000000.0,11347239000000.0,11469308000000.0
2066.0,9278054000000.0,8228753000000.0,11831695000000.0,10528081000000.0,11117876000000.0,10093357000000.0,11635119000000.0,8933654000000.0,9894953000000.0,6802825000000.0,10443941000000.0,10484529000000.0,8511167700000.0,10629846000000.0,8970056000000.0,10677806000000.0,11302779000000.0,11199468000000.0,11334398000000.0
2067.0,9107635000000.0,8028998000000.0,11740567000000.0,10432636000000.0,11021086000000.0,9963633000000.0,11578891000000.0,8747972300000.0,9756459000000.0,6606261000000.0,10345703000000.0,10393007000000.0,8299621600000.0,10496871000000.0,8858796000000.0,10577184000000.0,11259811000000.0,11049877000000.0,11217189000000.0
2068.0,8965719000000.0,7820707600000.0,11649259000000.0,10329988000000.0,10938708000000.0,9880105000000.0,11521226000000.0,8500831300000.0,9612366000000.0,6442481000000.0,10227703000000.0,10251666000000.0,8102761000000.0,10406330000000.0,8715680400000.0,10426373000000.0,11153224000000.0,10952138000000.0,11142257000000.0
2069.0,8799575000000.0,7631248000000.0,11556317000000.0,10223693000000.0,10889288000000.0,9723461000000.0,11457962000000.0,8233738600000.0,9487060000000.0,6250055000000.0,10086235000000.0,10131835000000.0,7890777000000.0,10328389000000.0,8543347400000.0,10335655000000.0,11059938000000.0,10855157000000.0,11048766000000.0
2070.0,8644859500000.0,7417733000000.0,11506353000000.0,10106345000000.0,10810078000000.0,9567011000000.0,11402905000000.0,8013396000000.0,9363287000000.0,6088141300000.0,9980140000000.0,9996332000000.0,7712542000000.0,10198409000000.0,8380846000000.0,10217362000000.0,10957680000000.0,10740429000000.0,10961409000000.0
2071.0,8487128000000.0,7227820700000.0,11441207000000.0,10004798000000.0,10712628000000.0,9423857000000.0,11329410000000.0,7872982300000.0,9222771000000.0,5905293000000.0,9866579000000.0,9910201000000.0,7533553000000.0,10077537000000.0,8197082000000.0,10076838000000.0,10906719000000.0,10608347000000.0,10884600000000.0
2072.0,8357230400000.0,7050805000000.0,11346102000000.0,9881513000000.0,10606660000000.0,9288391000000.0,11240204000000.0,7685205000000.0,9071975000000.0,5725379600000.0,9714494000000.0,9768700000000.0,7301347000000.0,9975714000000.0,7967822300000.0,9959658000000.0,10819609000000.0,10493654000000.0,10753348000000.0
2073.0,8196934600000.0,6861147300000.0,11288478000000.0,9775607000000.0,10544838000000.0,9136892000000.0,11191052000000.0,7445286500000.0,8933924000000.0,5577066000000.0,9564620000000.0,9711875000000.0,7080820000000.0,9859160000000.0,7814177000000.0,9821430000000.0,10759166000000.0,10364043000000.0,10659268000000.0
2074.0,8065428000000.0,6664362700000.0,11228752000000.0,9662465000000.0,10485894000000.0,8994783000000.0,11104765000000.0,7243197600000.0,8777877000000.0,5398550500000.0,9458854000000.0,9572605000000.0,6883324000000.0,9707472000000.0,7607558300000.0,9705903000000.0,10700188000000.0,10214375000000.0,10502952000000.0
2075.0,7896500000000.0,6454884400000.0,11111081000000.0,9589021000000.0,10372160000000.0,8822788000000.0,11040099000000.0,7033089000000.0,8640186500000.0,5223666400000.0,9317310000000.0,9464836000000.0,6669013000000.0,9580738000000.0,7440152700000.0,9567326000000.0,10604275000000.0,10098333000000.0,10383218000000.0
2076.0,7736274700000.0,6271964500000.0,11001510000000.0,9472050000000.0,10256319000000.0,8662558400000.0,10950635000000.0,6820682300000.0,8507510000000.0,5067610000000.0,9180418000000.0,9356993000000.0,6434219000000.0,9484908000000.0,7207775600000.0,9475736000000.0,10551355000000.0,10028943000000.0,10254965000000.0
2077.0,7574119000000.0,6048958600000.0,10891710000000.0,9381987000000.0,10155375000000.0,8527666500000.0,10882437000000.0,6648499300000.0,8320565400000.0,4900400000000.0,9073652000000.0,9217214000000.0,6204868000000.0,9386578000000.0,6995650300000.0,9345732000000.0,10470127000000.0,9927400000000.0,10128501000000.0
2078.0,7416502600000.0,5851257000000.0,10799544000000.0,9289088000000.0,10079027000000.0,8332092400000.0,10853129000000.0,6393804400000.0,8212829400000.0,4747631300000.0,8925554000000.0,9108333000000.0,5952993500000.0,9284136000000.0,6832971600000.0,9234686000000.0,10411920000000.0,9818812000000.0,10040706000000.0
2079.0,7258075000000.0,5670452600000.0,10726291000000.0,9175451000000.0,9986755000000.0,8155742000000.0,10800685000000.0,6177302000000.0,8037427300000.0,4591180600000.0,8774946400000.0,8984723000000.0,5742773000000.0,9170835000000.0,6624567600000.0,9104352000000.0,10321714000000.0,9666712000000.0,9930880000000.0
2080.0,7100171300000.0,5455865700000.0,10642455000000.0,9106964000000.0,9894651000000.0,7980797000000.0,10690500000000.0,5928463000000.0,7877542000000.0,4423913000000.0,8616134000000.0,8879132000000.0,5522839000000.0,9044603000000.0,6473677000000.0,8953848000000.0,10259059000000.0,9545389000000.0,9799450000000.0
2081.0,6927118500000.0,5248805500000.0,10541359000000.0,9023337000000.0,9828733000000.0,7845514300000.0,10650665000000.0,5724989000000.0,7720770500000.0,4267143000000.0,8488653000000.0,8735489500000.0,5255166700000.0,8943838000000.0,6284445000000.0,8833042000000.0,10151041000000.0,9435271000000.0,9668614000000.0
2082.0,6775882400000.0,5035444000000.0,10465282000000.0,8928186000000.0,9751853000000.0,7666764000000.0,10580185000000.0,5501630300000.0,7554067300000.0,4094306500000.0,8323081000000.0,8595741600000.0,5038412000000.0,8818443000000.0,6094282000000.0,8713464000000.0,10069067000000.0,9310411000000.0,9575674000000.0
2083.0,6619518700000.0,4830365500000.0,10368925000000.0,8829005000000.0,9663087000000.0,7497959600000.0,10506665000000.0,5308659300000.0,7460779000000.0,3931896500000.0,8178140400000.0,8453707300000.0,4818678000000.0,8685325600000.0,5933904000000.0,8577051000000.0,9977577000000.0,9130322000000.0,9417893000000.0
2084.0,6479754600000.0,4579759500000.0,10244165000000.0,8711210300000.0,9549969000000.0,7328927000000.0,10442652000000.0,5108654400000.0,7331419500000.0,3771878900000.0,8021758000000.0,8337313000000.0,4593895300000.0,8563607500000.0,5737547300000.0,8443504600000.0,9848149000000.0,8953784000000.0,9300716000000.0
2085.0,6345540000000.0,4391765300000.0,10170925000000.0,8649647300000.0,9435441000000.0,7189805700000.0,10390959000000.0,4905887000000.0,7191952600000.0,3643495000000.0,7907406000000.0,8239272000000.0,4362611500000.0,8443565400000.0,5567641000000.0,8300825400000.0,9754240000000.0,8832829000000.0,9137050000000.0
