time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18119513000000.0,18253206000000.0,18098241000000.0,17985782000000.0,18066900000000.0
2022.0,18140895000000.0,18194630000000.0,17927416000000.0,17784677000000.0,17978578000000.0
2023.0,18039636000000.0,18178975000000.0,17744860000000.0,17640156000000.0,17918608000000.0
2024.0,17998002000000.0,18113391000000.0,17677402000000.0,17447957000000.0,17855217000000.0
2025.0,17894086000000.0,17975630000000.0,17635945000000.0,17307739000000.0,17729308000000.0
2026.0,17906550000000.0,17804793000000.0,17531104000000.0,17202951000000.0,17627886000000.0
2027.0,17740290000000.0,17766080000000.0,17400265000000.0,17027655000000.0,17459506000000.0
2028.0,17561158000000.0,17769830000000.0,17381481000000.0,16916568000000.0,17411937000000.0
2029.0,17428157000000.0,17679880000000.0,17364186000000.0,16722839000000.0,17296530000000.0
2030.0,17340458000000.0,17632474000000.0,17277303000000.0,16493397000000.0,17219280000000.0
2031.0,17279444000000.0,17653907000000.0,17242742000000.0,16316629000000.0,17160959000000.0
2032.0,17247604000000.0,17558147000000.0,17159725000000.0,16170140000000.0,17083252000000.0
2033.0,17139230000000.0,17529868000000.0,17060478000000.0,16095431000000.0,16953230000000.0
2034.0,17025763000000.0,17414259000000.0,16899548000000.0,15893064000000.0,16848440000000.0
2035.0,16995096000000.0,17251336000000.0,16732622000000.0,15674572000000.0,16655241000000.0
2036.0,16974657000000.0,17093294000000.0,16688338000000.0,15500010000000.0,16470372000000.0
2037.0,16926212000000.0,17019453000000.0,16549982000000.0,15105679000000.0,16317548000000.0
2038.0,16908433000000.0,16850854000000.0,16454633000000.0,14950387000000.0,16084550000000.0
2039.0,16905310000000.0,16701926000000.0,16338116000000.0,14814208000000.0,15984958000000.0
2040.0,16926458000000.0,16506229000000.0,16127922000000.0,14682678000000.0,15783322000000.0
2041.0,16767031000000.0,16444438000000.0,16016045000000.0,14570704000000.0,15583304000000.0
2042.0,16657678000000.0,16325122000000.0,15941630000000.0,14312954000000.0,15432791000000.0
2043.0,16588548000000.0,16074716000000.0,15799619000000.0,13987372000000.0,15265787000000.0
2044.0,16597771000000.0,15999028000000.0,15711150000000.0,13729173000000.0,15121028000000.0
2045.0,16513059000000.0,15827696000000.0,15666621000000.0,13553431000000.0,14899303000000.0
2046.0,16519953000000.0,15618084000000.0,15572269000000.0,13366877000000.0,14723477000000.0
2047.0,16472706000000.0,15563950000000.0,15539646000000.0,13087657000000.0,14563660000000.0
2048.0,16436424000000.0,15295332000000.0,15485100000000.0,12815233000000.0,14415853000000.0
2049.0,16393562000000.0,15144882000000.0,15377589000000.0,12660876000000.0,14314564000000.0
2050.0,16401271000000.0,15060784000000.0,15226648000000.0,12418512000000.0,14244862000000.0
2051.0,16370081000000.0,14886963000000.0,15156443000000.0,12254087000000.0,14085389000000.0
2052.0,16364402000000.0,14863626000000.0,15152818000000.0,12045572000000.0,13985040000000.0
2053.0,16282266000000.0,14743575000000.0,15104340000000.0,11882963000000.0,13901869000000.0
2054.0,16251832000000.0,14668740000000.0,15059246000000.0,11760353000000.0,13780190000000.0
2055.0,16236485000000.0,14611962000000.0,14953846000000.0,11600273000000.0,13705977000000.0
2056.0,16188036000000.0,14508726000000.0,14863593000000.0,11479465000000.0,13599501000000.0
2057.0,16123197000000.0,14385326000000.0,14714945000000.0,11269935000000.0,13497440000000.0
2058.0,16005221000000.0,14230854000000.0,14647090000000.0,11118140000000.0,13421157000000.0
2059.0,15909305000000.0,14090929000000.0,14518970000000.0,10899784000000.0,13366547000000.0
2060.0,15874971000000.0,13933816000000.0,14424096000000.0,10705911000000.0,13274168000000.0
2061.0,15750591000000.0,13892868000000.0,14277738000000.0,10502874000000.0,13173738000000.0
2062.0,15687975000000.0,13718858000000.0,14224131000000.0,10365532000000.0,13107371000000.0
2063.0,15633257000000.0,13638404000000.0,14215195000000.0,10209178000000.0,13056939000000.0
2064.0,15579206000000.0,13433616000000.0,14118765000000.0,10074549000000.0,13113162000000.0
2065.0,15504258000000.0,13282311000000.0,14080459000000.0,9934695000000.0,13018213000000.0
2066.0,15404321000000.0,13157289000000.0,13980151000000.0,9854018000000.0,12913404000000.0
2067.0,15399727000000.0,12970320000000.0,13939890000000.0,9735527000000.0,12882659000000.0
2068.0,15337528000000.0,12829529000000.0,13895646000000.0,9581905000000.0,12813807000000.0
2069.0,15282830000000.0,12733069000000.0,13866124000000.0,9394205000000.0,12665515000000.0
2070.0,15230132000000.0,12552231000000.0,13787295000000.0,9214270000000.0,12552062000000.0
2071.0,15152596000000.0,12398242000000.0,13713714000000.0,9085833000000.0,12497215000000.0
2072.0,15066661000000.0,12334641000000.0,13654023000000.0,8947809000000.0,12522449000000.0
2073.0,15017698000000.0,12292506000000.0,13559127000000.0,8862860000000.0,12558905000000.0
2074.0,14887779000000.0,12219925000000.0,13524338000000.0,8798307000000.0,12481807000000.0
2075.0,14833216000000.0,12190948000000.0,13522296000000.0,8672917000000.0,12466738000000.0
2076.0,14767596000000.0,12024553000000.0,13493423000000.0,8560058000000.0,12486707000000.0
2077.0,14756141000000.0,11898953000000.0,13439894000000.0,8467298000000.0,12476640000000.0
2078.0,14786611000000.0,11829577000000.0,13365133000000.0,8353054000000.0,12433298000000.0
2079.0,14743808000000.0,11680309000000.0,13219206000000.0,8238995600000.0,12393864000000.0
2080.0,14732569000000.0,11541675000000.0,13187084000000.0,8052807000000.0,12281915000000.0
2081.0,14658389000000.0,11385111000000.0,13132265000000.0,7966009300000.0,12189076000000.0
2082.0,14641016000000.0,11297415000000.0,13073634000000.0,7791976000000.0,12212367000000.0
2083.0,14589139000000.0,11136390000000.0,12960810000000.0,7640952300000.0,12145531000000.0
2084.0,14550365000000.0,11070725000000.0,12878191000000.0,7516642600000.0,12048691000000.0
2085.0,14498813000000.0,10998432000000.0,12814726000000.0,7411900400000.0,11943140000000.0
2086.0,14377100000000.0,10981861000000.0,12832453000000.0,7318044400000.0,11889792000000.0
