time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,14985076761586.584,14985076761586.584,14985076761586.584
2001,14938122870349.76,14948900319249.049,14952444494568.475
2002,14897456684262.861,14908812634747.14,14925783187001.81
2003,14808576708202.982,14851582038189.52,14876723847257.48
2004,14749124183001.486,14783370470779.074,14838839121462.98
2005,14687580015436.938,14729356256106.037,14796782340809.156
2006,14643845389014.996,14676370800937.332,14767130243395.334
2007,14608922883935.14,14632707718648.98,14737175897173.76
2008,14569072890138.191,14604921100403.426,14697783426126.629
2009,14552335351705.662,14544802616671.816,14642695063969.865
2010,14517100658175.08,14493946286381.607,14609511004469.47
2011,14456621486909.555,14448649414148.402,14542612797011.63
2012,14399800401672.375,14427408342017.006,14483154604490.809
2013,14351245957828.1,14404277528536.79,14445169807129.676
2014,14309182258959.922,14379612805372.906,14405178396743.025
2015,14284854717776.295,14328992844584.49,14339043924499.004
2016,14255419042128.451,14270293856420.998,14262559426965.084
2017,14242313642951.938,14210852038124.342,14223105306544.145
2018,14204068133229.465,14184545574471.84,14177692181472.785
2019,14141974049902.016,14128196060449.994,14133030613875.62
2020,14098065128750.068,14085444641926.988,14071165405792.795
2021,14072779297498.465,14032163763204.844,13990340131345.9
2022,14038184089086.236,13966480896513.406,13965062868490.482
2023,14018717716070.285,13926138509455.08,13909655038474.432
2024,13978152028858.877,13909990503471.084,13860644141149.049
2025,13927882953968.553,13856150888658.025,13810916148988.066
2026,13881301280039.158,13807194144178.865,13756598309183.545
2027,13841291943744.611,13760617199307.326,13666342462611.764
2028,13795799964739.547,13696464203199.08,13592530716546.95
2029,13759677686506.99,13645657729919.52,13523125614174.887
2030,13719379597755.375,13607117709512.791,13475951093657.373
2031,13690004214488.39,13532544895843.467,13385210110136.672
2032,13657151061791.828,13505606465703.227,13313873933722.244
2033,13581217922151.19,13478816627374.223,13250624598131.705
2034,13569741623341.19,13413860036312.773,13172489850306.021
2035,13521035854895.97,13353643048789.365,13106194603348.822
2036,13485704789933.525,13301877428068.63,13053797745179.246
2037,13408204589374.555,13264752534406.213,13002060468645.785
2038,13351953650033.822,13195033877559.998,12901540687016.1
2039,13309679079927.016,13136673975306.676,12824692745862.63
2040,13255517862465.078,13072028867169.545,12746047168999.047
2041,13216209619462.662,13013085423106.61,12664855310756.703
2042,13171916871468.262,12961120570733.568,12578311099372.9
2043,13110414266523.951,12903364696448.416,12518240043490.35
2044,13044442455525.969,12853521160671.371,12377969861257.543
2045,12974861304660.232,12708138338161.182,12289545323654.13
2046,12925942301273.262,12646616554429.295,12199702355428.688
2047,12841393677253.658,12607998206328.219,12114100285725.195
2048,12726589127448.746,12534886244222.328,12025577961575.57
2049,12634867712169.73,12475729265968.494,11908375217095.45
2050,12581641955933.055,12426758954300.016,11816333997987.781
2051,12532155877766.656,12375409652538.34,11713949971122.62
2052,12442287407937.28,12341665754900.16,11639852189203.28
2053,12370589761436.748,12273468889974.805,11539677631093.52
2054,12303990974956.805,12183343626969.9,11453562028710.707
2055,12242698168860.275,12152891312567.402,11387183931605.639
2056,12176194868665.086,12100978636674.148,11276431358768.229
2057,12099554122886.525,12046727935367.068,11156909671641.424
2058,12028669001289.812,11975075985755.238,11061901629734.27
2059,11946363514161.37,11913331879874.775,10976806452348.932
2060,11852329105781.48,11863176996079.16,10902382189089.791
2061,11765049991913.275,11817611104557.35,10816254631671.408
2062,11636824014057.48,11758095868689.963,10687993975325.672
2063,11545737470855.658,11691986156918.65,10571969557657.828
2064,11449015530740.736,11639029175938.59,10477321474687.674
2065,11331984334137.07,11582746393069.57,10371884996415.516
2066,11240102821360.408,11529623128438.256,10267928690578.479
2067,11164559208781.875,11452347875983.512,10169154459763.945
2068,11026670600713.334,11389156874961.264,10057106100267.096
2069,10898576579967.02,11295509883870.896,9948734058738.945
2070,10808414080409.506,11224058480053.043,9843861409430.861
2071,10680557675198.646,11127777825619.104,9724876658447.156
2072,10552699490179.904,11036388036456.53,9607330375636.527
2073,10417599996911.365,10959125059337.951,9495251771451.21
2074,10319467343907.285,10835303354834.367,9362704687230.684
2075,10242864375614.297,10768403958301.854,9233625413080.46
2076,10117738901904.375,10679650693762.07,9113292238850.697
2077,10025133100730.059,10600184024590.19,9002752305246.084
2078,9922259030595.719,10563523186745.203,8886907428509.922
2079,9799313818918.832,10439107831628.775,8766257980697.194
2080,9653724181590.164,10313491935028.12,8662942916046.006
2081,9563248629265.504,10251072911367.096,8543970416221.283
2082,9458131012354.672,10130032400463.512,8417103978631.115
2083,9355412991546.338,10056413836840.7,8324671110698.557
2084,9278828806543.32,9921225545426.76,8201664570448.801
2085,9189330281195.44,9814066736396.648,8062144978528.797
2086,9116164493622.94,9731068106998.13,7950572613661.73
2087,8970552904889.346,9670899074990.156,7828930793069.002
2088,8835965561642.754,9612388291321.86,7699992290328.062
2089,8728479270922.159,9507690129392.045,7586927318547.204
2090,8631050290206.853,9380065609044.004,7471681962530.247
2091,8486941382154.823,9214164543815.27,7371655606712.902
2092,8398967799171.097,9081806671604.488,7248184264271.373
2093,8301424801245.945,8982305589435.973,7142280949113.293
