time,CANESM2,NORESM1-M,CCSM4,CESM1-CAM5,GFDL-CM3,CSIRO-MK3-6-0,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,70323990000.0,71951426000.0,72956950000.0,68963630000.0,69301770000.0,72689130000.0,69131890000.0,70465890000.0,72279210000.0,71342290000.0,73517700000.0
2022.0,69401930000.0,71497830000.0,70325010000.0,67169330000.0,64944583000.0,68998660000.0,67856200000.0,68447350000.0,72006000000.0,71849296000.0,73008750000.0
2023.0,66580420000.0,70181080000.0,69626810000.0,66393120000.0,59710857000.0,62195327000.0,67698000000.0,66326770000.0,70021600000.0,68918530000.0,70683420000.0
2024.0,63258145000.0,68458780000.0,70424764000.0,64640827000.0,56777654000.0,55612183000.0,66081133000.0,65242510000.0,67423326000.0,63832736000.0,68110324000.0
2025.0,62753354000.0,67908840000.0,68529280000.0,61570950000.0,55132557000.0,52052226000.0,65057630000.0,64203977000.0,67011330000.0,61479090000.0,65790110000.0
2026.0,62305268000.0,66712826000.0,65272476000.0,57700400000.0,52181316000.0,50206155000.0,66477820000.0,65226920000.0,64810713000.0,59570078000.0,63374840000.0
2027.0,60225122000.0,66524787000.0,64947966000.0,57125160000.0,49476096000.0,49045370000.0,64243050000.0,63060590000.0,65587470000.0,57657938000.0,63059290000.0
2028.0,58139296000.0,63906206000.0,65570120000.0,57276830000.0,45038264000.0,47044977000.0,62888473000.0,61901720000.0,64053910000.0,54733066000.0,60793545000.0
2029.0,54823985000.0,60375204000.0,65880240000.0,54526345000.0,45319960000.0,46604222000.0,59799100000.0,60443353000.0,61863985000.0,52995002000.0,60310650000.0
2030.0,51266020000.0,60264910000.0,63487440000.0,49557946000.0,42855555000.0,47563604000.0,58936926000.0,60245205000.0,59779318000.0,51475440000.0,60378880000.0
2031.0,50237630000.0,58369765000.0,61215540000.0,49560138000.0,39187250000.0,48991105000.0,55672450000.0,57835282000.0,59831673000.0,50978193000.0,60357517000.0
2032.0,50939200000.0,56749510000.0,61652898000.0,49653570000.0,37771506000.0,46233883000.0,50156376000.0,54987080000.0,59434730000.0,49051780000.0,59737084000.0
2033.0,50001998000.0,55469600000.0,61855007000.0,47955747000.0,35049206000.0,43423070000.0,49010954000.0,55033500000.0,58196853000.0,46763990000.0,57152680000.0
2034.0,46686958000.0,53139010000.0,62616740000.0,45860192000.0,33006550000.0,38476500000.0,50752270000.0,52582970000.0,58074817000.0,43612733000.0,55670338000.0
2035.0,42822525000.0,53030250000.0,62102510000.0,44619990000.0,32549286000.0,36951660000.0,50712000000.0,51522510000.0,58487510000.0,42898400000.0,55202144000.0
2036.0,41173967000.0,51435364000.0,60261530000.0,44526740000.0,31064623000.0,35935453000.0,49642234000.0,50776326000.0,57490610000.0,43173614000.0,55312683000.0
2037.0,39978360000.0,51001532000.0,56825336000.0,44473480000.0,27787920000.0,35308184000.0,47046107000.0,48679410000.0,57434570000.0,44057973000.0,54783070000.0
2038.0,38176120000.0,51737723000.0,56647670000.0,43280683000.0,27063720000.0,33734440000.0,44876333000.0,48214490000.0,56441520000.0,45586735000.0,55627436000.0
2039.0,37404340000.0,52385903000.0,57268056000.0,41549005000.0,26304737000.0,31028400000.0,42716240000.0,46713430000.0,55315060000.0,43427410000.0,54935327000.0
2040.0,37553550000.0,53252620000.0,55326860000.0,39134417000.0,25996425000.0,29327348000.0,41912013000.0,45338776000.0,54919647000.0,39719645000.0,54138210000.0
2041.0,36166406000.0,53268670000.0,52806975000.0,39315610000.0,25107716000.0,27829778000.0,41695527000.0,43558830000.0,54079496000.0,37669155000.0,54149160000.0
2042.0,34781032000.0,51080806000.0,53766083000.0,39131955000.0,23587074000.0,27118844000.0,42045120000.0,42013037000.0,52390180000.0,37827576000.0,52022944000.0
2043.0,34305573000.0,49774408000.0,54369464000.0,39026758000.0,23205920000.0,26151258000.0,41136970000.0,40711463000.0,53280580000.0,36198690000.0,51676240000.0
2044.0,31416398000.0,48439160000.0,54860116000.0,38262520000.0,23111526000.0,24480987000.0,36939792000.0,38226040000.0,53859720000.0,35797238000.0,50660210000.0
2045.0,30301970000.0,46120088000.0,54794998000.0,38271300000.0,23118020000.0,22999124000.0,32002105000.0,38501380000.0,53863612000.0,34649768000.0,49763783000.0
2046.0,31163191000.0,46918330000.0,53730652000.0,38601130000.0,22452363000.0,22443303000.0,33188114000.0,37747010000.0,53981730000.0,35173480000.0,49710883000.0
2047.0,30487280000.0,46845890000.0,52330580000.0,38879970000.0,21028649000.0,22148927000.0,33181866000.0,36042998000.0,52448166000.0,33922243000.0,48822747000.0
2048.0,29931325000.0,45866700000.0,50060743000.0,37838414000.0,19796130000.0,22686427000.0,32329670000.0,35351134000.0,51090600000.0,34201567000.0,48691266000.0
2049.0,29801202000.0,46173078000.0,50299760000.0,35455780000.0,20043387000.0,23147358000.0,32773233000.0,34806796000.0,51016780000.0,33967573000.0,49410105000.0
2050.0,27946654000.0,46875943000.0,49953374000.0,35907486000.0,20188040000.0,21768434000.0,32719544000.0,34653990000.0,51557950000.0,33617260000.0,49154507000.0
2051.0,25121421000.0,47500670000.0,48455280000.0,36783473000.0,20354968000.0,21438026000.0,33037940000.0,33799055000.0,50213286000.0,33782227000.0,50012310000.0
2052.0,25371961000.0,46405517000.0,49582990000.0,35867402000.0,20304701000.0,20380744000.0,33678664000.0,34258616000.0,49592540000.0,34488440000.0,50444820000.0
2053.0,26115901000.0,43774940000.0,50126897000.0,32747920000.0,18980350000.0,21085006000.0,34640536000.0,33591423000.0,49185040000.0,34082560000.0,50822780000.0
2054.0,25407010000.0,42908414000.0,48998613000.0,32447439000.0,19522445000.0,21461527000.0,34941100000.0,32239555000.0,48559040000.0,33080347000.0,49443365000.0
2055.0,25242503000.0,44080280000.0,48555060000.0,33127924000.0,19453172000.0,21362248000.0,35030630000.0,32227312000.0,48464105000.0,31422534000.0,48570503000.0
2056.0,25191008000.0,44511597000.0,48778637000.0,32670503000.0,19714388000.0,20677513000.0,35304428000.0,31924079000.0,48461582000.0,30547233000.0,48806380000.0
2057.0,25508628000.0,44353450000.0,47504990000.0,31142218000.0,19382372000.0,20413665000.0,36061010000.0,31295848000.0,48663912000.0,30329426000.0,49330110000.0
2058.0,25769333000.0,44817190000.0,47540048000.0,30763438000.0,18937752000.0,20548290000.0,36799090000.0,31472445000.0,47673352000.0,30272385000.0,48995238000.0
2059.0,24469684000.0,43263373000.0,48590310000.0,29425193000.0,19219190000.0,19468413000.0,37782598000.0,30684025000.0,46225780000.0,31831157000.0,48600003000.0
2060.0,24001520000.0,41774160000.0,48771027000.0,28040538000.0,19082494000.0,19262181000.0,37430530000.0,30496598000.0,46585962000.0,33942987000.0,47850512000.0
2061.0,23980792000.0,39707984000.0,48236708000.0,27609194000.0,18167124000.0,19605094000.0,36013730000.0,30643356000.0,47171023000.0,35034006000.0,47723434000.0
2062.0,23741368000.0,40605704000.0,47902904000.0,26811126000.0,18240164000.0,20298100000.0,33947660000.0,30141299000.0,48053846000.0,33871587000.0,47235190000.0
2063.0,24219443000.0,41773203000.0,47042520000.0,24999645000.0,17154701000.0,19963730000.0,32273555000.0,30306420000.0,48374542000.0,31849601000.0,47133856000.0
2064.0,23927489000.0,41515980000.0,47351726000.0,25926087000.0,16375118000.0,18638790000.0,31579335000.0,30025680000.0,49142755000.0,32894294000.0,46745092000.0
2065.0,24082174000.0,41665573000.0,47778160000.0,26898710000.0,17201572000.0,17474513000.0,32276148000.0,30043046000.0,50597210000.0,32149318000.0,47107617000.0
2066.0,23937278000.0,41923810000.0,46961308000.0,26193746000.0,17072418000.0,17273674000.0,32078576000.0,29533456000.0,50915670000.0,30415043000.0,47844380000.0
2067.0,22505703000.0,42652123000.0,47250526000.0,25492318000.0,16532256000.0,17114549000.0,31950782000.0,28895710000.0,50505550000.0,29206942000.0,49071317000.0
2068.0,21679456000.0,43230670000.0,48606780000.0,25679240000.0,16015598000.0,16405814000.0,29924887000.0,28855388000.0,52309193000.0,27564860000.0,48957220000.0
2069.0,22404837000.0,42397600000.0,48212087000.0,25765163000.0,15281073000.0,16440516000.0,28470766000.0,29810930000.0,53487313000.0,27422515000.0,49127703000.0
2070.0,23185762000.0,40842473000.0,48176333000.0,24631534000.0,15337240000.0,16343011000.0,29833312000.0,30513002000.0,54409662000.0,26714892000.0,49933988000.0
2071.0,23145410000.0,41284346000.0,48976597000.0,24069159000.0,15053520000.0,15817805000.0,31808367000.0,31112364000.0,54828850000.0,26487022000.0,49427976000.0
2072.0,23291415000.0,41923023000.0,48711774000.0,23156990000.0,14538635000.0,16107633000.0,33408215000.0,30398620000.0,56506900000.0,26830991000.0,49055183000.0
2073.0,23308323000.0,41367417000.0,48411644000.0,24123769000.0,14937755000.0,17021537000.0,34038560000.0,29662220000.0,56916400000.0,26821970000.0,49325593000.0
2074.0,23170417000.0,42749354000.0,49864724000.0,24458488000.0,15022489000.0,16970144000.0,33707268000.0,29283385000.0,57262410000.0,25613767000.0,49370948000.0
2075.0,23898663000.0,43550163000.0,48711676000.0,23962368000.0,15033570000.0,15371572000.0,32731850000.0,29063797000.0,59320545000.0,27122356000.0,48672520000.0
2076.0,24222919000.0,43741410000.0,47532210000.0,22499099000.0,15532278000.0,14968816000.0,33335353000.0,28984797000.0,60973117000.0,27752122000.0,48532470000.0
2077.0,23955665000.0,42712752000.0,48916720000.0,23405089000.0,15268976000.0,15493708000.0,34097326000.0,29383836000.0,59367797000.0,27460567000.0,49640790000.0
2078.0,24425249000.0,42208625000.0,48174014000.0,24232243000.0,14823013000.0,15201034000.0,34939453000.0,29283080000.0,60140425000.0,28241467000.0,49316560000.0
2079.0,24574657000.0,42883686000.0,46412743000.0,23462420000.0,14974435000.0,14795311000.0,34656100000.0,28074400000.0,61127510000.0,28525767000.0,50106864000.0
2080.0,24082477000.0,43611505000.0,47795667000.0,22060214000.0,14670461000.0,15103086000.0,33216740000.0,27695794000.0,62129394000.0,29237817000.0,51092180000.0
2081.0,24077430000.0,43803247000.0,48955910000.0,22211744000.0,14114547000.0,15020961000.0,32131170000.0,28251130000.0,61976230000.0,29639148000.0,50774710000.0
2082.0,25045486000.0,44480025000.0,49193832000.0,23278650000.0,14170076000.0,14817470000.0,31159947000.0,28434420000.0,62693306000.0,30118117000.0,50706850000.0
2083.0,24703631000.0,42291114000.0,48234320000.0,23972198000.0,14181279000.0,14086560000.0,32495567000.0,28159033000.0,61393720000.0,29463091000.0,51373273000.0
2084.0,24150538000.0,40929677000.0,48524250000.0,23384189000.0,14081129000.0,13627377000.0,34244022000.0,29095707000.0,63043875000.0,27728265000.0,51589580000.0
2085.0,24604135000.0,41197388000.0,48793750000.0,23723610000.0,13756192000.0,14273854000.0,36601336000.0,29234014000.0,63210330000.0,27037893000.0,51683734000.0
2086.0,24593736000.0,40826446000.0,48606945000.0,24275225000.0,13022501000.0,14589178000.0,37733470000.0,29502005000.0,61939487000.0,28175250000.0,52086550000.0
2087.0,24130693000.0,40591356000.0,48901788000.0,23900130000.0,13373028000.0,13515255000.0,38130643000.0,29488867000.0,59837768000.0,28475611000.0,51962420000.0
2088.0,24334545000.0,41539370000.0,48612446000.0,22922537000.0,13876977000.0,12295014000.0,37064696000.0,29658320000.0,60296110000.0,27783406000.0,52776698000.0
2089.0,24016486000.0,41540714000.0,47195960000.0,23604914000.0,13990937000.0,12401455000.0,36864573000.0,30220636000.0,63823135000.0,27451105000.0,54026363000.0
2090.0,23093182000.0,41203257000.0,48265556000.0,23905802000.0,13442863000.0,12390077000.0,37448200000.0,30523048000.0,65069814000.0,27563764000.0,54415176000.0
2091.0,21997871000.0,42378256000.0,50619482000.0,22947508000.0,12893766000.0,12577823000.0,38054270000.0,30205446000.0,64169000000.0,27761478000.0,53810758000.0
2092.0,22721706000.0,42406015000.0,50295970000.0,22371060000.0,12985597000.0,12480119000.0,38074462000.0,30050957000.0,62943633000.0,27751516000.0,53788713000.0
2093.0,23470090000.0,41265455000.0,48762660000.0,23036744000.0,12671141000.0,12409848000.0,37193273000.0,29774326000.0,62837875000.0,26150732000.0,53408480000.0
2094.0,23694514000.0,41767305000.0,48581263000.0,23347022000.0,12054404000.0,12980355000.0,37924250000.0,29847235000.0,64212218000.0,26783078000.0,53199417000.0
2095.0,22990373000.0,42026467000.0,47182713000.0,22829185000.0,11973364000.0,13722765000.0,38419020000.0,30117288000.0,65077170000.0,26228337000.0,54055657000.0
2096.0,22401320000.0,41828510000.0,45875630000.0,23628710000.0,11984466000.0,13563213000.0,38962872000.0,29397576000.0,64738673000.0,25924786000.0,55136645000.0
2097.0,22604499000.0,41201025000.0,46977286000.0,24186194000.0,12167877000.0,12890425000.0,39147467000.0,28555612000.0,65299360000.0,26739765000.0,54772322000.0
2098.0,21992493000.0,40932130000.0,47472374000.0,23700560000.0,11836861000.0,12114095000.0,37913480000.0,28643332000.0,64293523000.0,26064998000.0,54234220000.0
2099.0,21501667000.0,40922050000.0,48287236000.0,23168434000.0,11789660000.0,12220507000.0,36518680000.0,28983986000.0,64260220000.0,26418457000.0,54320194000.0
2100.0,21723498000.0,40485343000.0,50134204000.0,23657673000.0,11937026000.0,12894681000.0,37657936000.0,29557215000.0,62848233000.0,26767327000.0,54587867000.0
