time,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,CANESM5,FGOALS-F3-L,BCC-CSM2-MR,ACCESS-ESM1-5,NORESM2-MM,CESM2,EC-EARTH3-VEG,EC-EARTH3,IPSL-CM6A-LR,ACCESS-CM2,INM-CM5-0,INM-CM4-8
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55739190000.0,53457590000.0,54538457000.0,54109802000.0,53886026000.0,54982423000.0,54043490000.0,55544332000.0,55010968000.0,56010990000.0,55011070000.0,56332997000.0,56185170000.0,53924733000.0,53408002000.0,54601413000.0,55030910000.0
2022.0,56473612000.0,52058620000.0,56463560000.0,52212707000.0,53273297000.0,52736730000.0,52418187000.0,55030514000.0,56353133000.0,56651764000.0,53805785000.0,56743563000.0,55703880000.0,52174852000.0,53671244000.0,53765976000.0,54469448000.0
2023.0,56210067000.0,52110295000.0,55571472000.0,53308150000.0,51562467000.0,50020434000.0,50831360000.0,54453015000.0,55009563000.0,57052370000.0,53074883000.0,56662286000.0,54015910000.0,51430105000.0,53546240000.0,53564568000.0,53681520000.0
2024.0,56414233000.0,50645350000.0,53422680000.0,51715660000.0,49980604000.0,49265332000.0,50462040000.0,52523560000.0,52125057000.0,56378536000.0,52081066000.0,56283240000.0,54157790000.0,50499318000.0,52288283000.0,53525762000.0,54131892000.0
2025.0,56785760000.0,50060750000.0,52469658000.0,51528335000.0,48927867000.0,49302454000.0,48552444000.0,51145368000.0,49518674000.0,56724316000.0,51396223000.0,55024353000.0,53413740000.0,51221512000.0,51572666000.0,53320372000.0,54986125000.0
2026.0,56227110000.0,49419166000.0,52186770000.0,51461894000.0,47911420000.0,48187550000.0,46936908000.0,52221583000.0,47670284000.0,56077955000.0,50508160000.0,54755217000.0,52720652000.0,51331367000.0,50134045000.0,52355453000.0,55896474000.0
2027.0,55582798000.0,47290155000.0,52132655000.0,50273202000.0,46970980000.0,47075963000.0,45641420000.0,53340357000.0,45037388000.0,55556977000.0,50486440000.0,55045317000.0,52575662000.0,49552140000.0,47852740000.0,52208534000.0,55886074000.0
2028.0,53585908000.0,44100293000.0,51724698000.0,48945320000.0,47036027000.0,46154210000.0,44244693000.0,53161107000.0,44448220000.0,55566350000.0,49267057000.0,55399137000.0,52981590000.0,47818040000.0,46743392000.0,52606670000.0,55597445000.0
2029.0,52562560000.0,42518530000.0,52277750000.0,47363838000.0,47486550000.0,44308890000.0,41899340000.0,54661837000.0,43875095000.0,54731470000.0,48288907000.0,55373010000.0,51009140000.0,47053324000.0,46140203000.0,51478483000.0,55733490000.0
2030.0,51976030000.0,40441670000.0,51962100000.0,46157520000.0,48154590000.0,42452197000.0,40912278000.0,54621192000.0,43044330000.0,53437338000.0,47754605000.0,56875094000.0,48919912000.0,45331685000.0,45411897000.0,49491145000.0,54913184000.0
2031.0,51491700000.0,38464303000.0,51519320000.0,46698440000.0,48125116000.0,41683415000.0,40211750000.0,53692113000.0,41900270000.0,53322093000.0,47203850000.0,57102828000.0,47819112000.0,44780143000.0,44858065000.0,47612584000.0,54314780000.0
2032.0,50866446000.0,35803020000.0,52261310000.0,45090537000.0,49367240000.0,40596337000.0,39027724000.0,54174085000.0,42366276000.0,53274370000.0,46297125000.0,56150774000.0,46443580000.0,44284633000.0,44057137000.0,46063895000.0,53944975000.0
2033.0,51265730000.0,35265230000.0,51789720000.0,43405386000.0,48921092000.0,39965454000.0,39235256000.0,54170880000.0,43551460000.0,53207830000.0,46115095000.0,55593173000.0,47187345000.0,44578705000.0,43445756000.0,45139948000.0,53037654000.0
2034.0,51512648000.0,34054597000.0,52129776000.0,42653100000.0,50386160000.0,38942212000.0,39163548000.0,53579444000.0,43773645000.0,51974420000.0,46225613000.0,53687247000.0,46110790000.0,44731486000.0,42913686000.0,44279153000.0,51139748000.0
2035.0,52653076000.0,33631580000.0,51842933000.0,42892157000.0,49917923000.0,38245245000.0,38628065000.0,50894246000.0,43811930000.0,51322577000.0,45107440000.0,52955636000.0,45167860000.0,44302705000.0,41479406000.0,43554783000.0,50789687000.0
2036.0,52431385000.0,32616620000.0,51675400000.0,42284730000.0,48390470000.0,36557136000.0,38483640000.0,49751773000.0,44489085000.0,50379470000.0,43960730000.0,53575850000.0,43941065000.0,43214610000.0,38969364000.0,43489540000.0,50196480000.0
2037.0,53490320000.0,30491963000.0,52767863000.0,41203773000.0,47115923000.0,34759324000.0,36587893000.0,48966906000.0,43780670000.0,49706725000.0,42209518000.0,53888262000.0,45867770000.0,41748275000.0,37300355000.0,43399213000.0,50056835000.0
2038.0,54208012000.0,30247184000.0,53973213000.0,39928635000.0,46804520000.0,34249630000.0,35506446000.0,47402942000.0,44623884000.0,50283230000.0,41457220000.0,52797604000.0,47518490000.0,41317870000.0,36254106000.0,43900240000.0,49741496000.0
2039.0,53403275000.0,29925770000.0,54319490000.0,39978148000.0,45892800000.0,34287567000.0,34755543000.0,46142930000.0,44168483000.0,49796900000.0,40759333000.0,51963680000.0,47163530000.0,40670630000.0,34256134000.0,43024280000.0,47957033000.0
2040.0,53906950000.0,30106649000.0,54304900000.0,39092208000.0,46652363000.0,34783350000.0,34129619000.0,44822217000.0,44389780000.0,48678420000.0,38619550000.0,52232240000.0,46001490000.0,41135970000.0,33138950000.0,42371305000.0,47011762000.0
2041.0,53022294000.0,30040865000.0,54525140000.0,39030866000.0,47488463000.0,34189801000.0,33899411000.0,43949195000.0,44261460000.0,48779215000.0,37253964000.0,50985370000.0,46789812000.0,39921960000.0,31995374000.0,42275840000.0,46567450000.0
2042.0,52777350000.0,29090652000.0,53952754000.0,40688470000.0,47320960000.0,33953735000.0,33148054000.0,42710655000.0,44119224000.0,50223110000.0,36595090000.0,51233040000.0,46103884000.0,38740574000.0,31398803000.0,41570590000.0,46389400000.0
2043.0,52407157000.0,28614690000.0,53383100000.0,39714886000.0,46950945000.0,33706877000.0,32589310000.0,42735423000.0,44029796000.0,49973973000.0,35621736000.0,51315800000.0,44496160000.0,38868770000.0,30144760000.0,40633230000.0,46193943000.0
2044.0,52800754000.0,27524403000.0,52934400000.0,39999780000.0,46554006000.0,34489176000.0,31852521000.0,42332738000.0,44305973000.0,51854692000.0,34078173000.0,50527707000.0,44814810000.0,38062182000.0,29796640000.0,40210936000.0,45345800000.0
2045.0,53841690000.0,27146519000.0,51981853000.0,39792013000.0,46756553000.0,33747118000.0,31568589000.0,40835908000.0,45466935000.0,51563737000.0,33289940000.0,49023115000.0,45342327000.0,38003802000.0,29477427000.0,40834330000.0,45087023000.0
2046.0,54560800000.0,27202220000.0,52899740000.0,38627990000.0,46380093000.0,33647640000.0,31529392000.0,39047270000.0,45116640000.0,50217520000.0,32602501000.0,48655385000.0,45577732000.0,37504508000.0,29438972000.0,40611594000.0,44645110000.0
2047.0,53560730000.0,27315763000.0,53114260000.0,39157047000.0,46651847000.0,32611140000.0,30316409000.0,38511645000.0,44471747000.0,50482106000.0,32960752000.0,47395185000.0,46289870000.0,38247498000.0,29134137000.0,40284643000.0,44223970000.0
2048.0,52936466000.0,26397207000.0,53326030000.0,38567936000.0,45498030000.0,31812422000.0,30354057000.0,38202310000.0,44213297000.0,51332026000.0,32775944000.0,45640720000.0,46507192000.0,37787360000.0,29627083000.0,39877313000.0,43716702000.0
2049.0,52292612000.0,25861147000.0,52380176000.0,38384734000.0,45279190000.0,30951969000.0,30024688000.0,37257245000.0,43429106000.0,52698950000.0,32488192000.0,44341000000.0,46745300000.0,36548194000.0,29258072000.0,39758440000.0,44693990000.0
2050.0,51806760000.0,26247225000.0,51626254000.0,37573860000.0,44886032000.0,30856944000.0,29476336000.0,35950264000.0,43747880000.0,52649070000.0,31574847000.0,44319530000.0,48882545000.0,36255110000.0,28620972000.0,39728906000.0,44469285000.0
2051.0,50036494000.0,25792692000.0,50652344000.0,37953413000.0,45152140000.0,30336238000.0,29011272000.0,34803690000.0,43978854000.0,52301670000.0,31663501000.0,43383470000.0,48461672000.0,35836480000.0,28601606000.0,39455740000.0,43974790000.0
2052.0,50360300000.0,25720044000.0,51127540000.0,37967303000.0,43563737000.0,29726106000.0,29239353000.0,34378000000.0,44243620000.0,51899224000.0,32014486000.0,43185144000.0,48279446000.0,36192715000.0,28475206000.0,38720524000.0,42989298000.0
2053.0,50795577000.0,26722644000.0,50933105000.0,37468560000.0,42429465000.0,29579717000.0,28482020000.0,33512096000.0,43227427000.0,50990900000.0,31608068000.0,42299660000.0,47347053000.0,35386647000.0,28877849000.0,38909923000.0,42536464000.0
2054.0,51240320000.0,27735904000.0,50435600000.0,37756510000.0,42590120000.0,29778584000.0,28622190000.0,32770867000.0,42654040000.0,50561560000.0,31002100000.0,41706643000.0,47017890000.0,34765830000.0,28848226000.0,39341400000.0,41980710000.0
2055.0,50561880000.0,28298887000.0,50583015000.0,37657952000.0,42122093000.0,29096786000.0,28699937000.0,31455650000.0,42610483000.0,49275277000.0,30221550000.0,41145274000.0,46490825000.0,33498300000.0,28332356000.0,39617143000.0,42071050000.0
2056.0,51383177000.0,27827974000.0,51046620000.0,37719503000.0,41465238000.0,28675949000.0,28677951000.0,30572450000.0,42940930000.0,49981346000.0,29123506000.0,40184013000.0,45208970000.0,32760404000.0,28651778000.0,39823622000.0,41157410000.0
2057.0,50877723000.0,27973080000.0,50537770000.0,36918220000.0,41652535000.0,29419518000.0,28408540000.0,29984492000.0,42904273000.0,49738170000.0,27930606000.0,40728175000.0,45983450000.0,32169613000.0,28508705000.0,39612070000.0,40965652000.0
2058.0,49186333000.0,28264374000.0,50775910000.0,36197765000.0,41193394000.0,29364353000.0,27807320000.0,29208370000.0,42658720000.0,48427640000.0,27882418000.0,40460476000.0,45178350000.0,31888091000.0,27416041000.0,38655580000.0,40407300000.0
2059.0,47278610000.0,28158693000.0,50929922000.0,36135800000.0,41008656000.0,29544116000.0,27549944000.0,29172630000.0,43547566000.0,48467040000.0,27281720000.0,39965100000.0,44616340000.0,31246377000.0,26748637000.0,38089290000.0,40267653000.0
2060.0,45196490000.0,27989768000.0,51191775000.0,35939824000.0,41630036000.0,29753577000.0,27661967000.0,29607657000.0,42529935000.0,48429466000.0,26529532000.0,40330270000.0,45598020000.0,30145745000.0,26953250000.0,38305235000.0,39735150000.0
2061.0,44494370000.0,27948063000.0,51103666000.0,35228234000.0,42398350000.0,29707735000.0,27316967000.0,29126240000.0,41214640000.0,47869743000.0,26248137000.0,40752763000.0,46180463000.0,29721356000.0,27069008000.0,37570010000.0,40600550000.0
2062.0,43605967000.0,27281310000.0,50623810000.0,35014935000.0,41991650000.0,29585180000.0,26008953000.0,29518799000.0,41009484000.0,47813624000.0,25663770000.0,40317470000.0,43555463000.0,29169783000.0,26893370000.0,37141803000.0,41228124000.0
2063.0,42380990000.0,26963532000.0,51066868000.0,34316702000.0,41657876000.0,28937020000.0,25896735000.0,29672112000.0,40002440000.0,47441936000.0,25601985000.0,40437453000.0,42245400000.0,29417020000.0,26816522000.0,37044490000.0,40766763000.0
2064.0,41427080000.0,28413508000.0,50081632000.0,33768083000.0,41169453000.0,28723847000.0,25743950000.0,30371027000.0,40311132000.0,47521750000.0,25540534000.0,40092828000.0,42552795000.0,29020406000.0,27125098000.0,37191516000.0,40502276000.0
2065.0,41508030000.0,28517337000.0,49462866000.0,34196191000.0,42380136000.0,28490615000.0,25719302000.0,30580038000.0,39717253000.0,47121986000.0,25860110000.0,40708590000.0,41530573000.0,28642128000.0,27094130000.0,37828215000.0,40605307000.0
2066.0,41648407000.0,27985607000.0,49268830000.0,34298931000.0,42759340000.0,27839031000.0,25830228000.0,29963547000.0,38002217000.0,46488310000.0,25668778000.0,40887710000.0,40882580000.0,28522471000.0,27038700000.0,37546775000.0,40470864000.0
2067.0,40413913000.0,27322590000.0,49702924000.0,33640729000.0,42500157000.0,26539870000.0,26403467000.0,29065400000.0,38196343000.0,45200570000.0,25388906000.0,40148496000.0,40684920000.0,27968470000.0,26625990000.0,37368586000.0,40812860000.0
2068.0,40260616000.0,28069075000.0,49354637000.0,33328250000.0,42351165000.0,26038760000.0,25809383000.0,28839465000.0,38401720000.0,45298934000.0,25092690000.0,39312690000.0,40021760000.0,27663720000.0,26159845000.0,37624670000.0,42123395000.0
2069.0,40360948000.0,28355955000.0,49915840000.0,33446683000.0,43738200000.0,25453324000.0,25414107000.0,28745222000.0,37893034000.0,44285575000.0,25211025000.0,39253123000.0,40061080000.0,26918365000.0,25956389000.0,37496283000.0,42198606000.0
2070.0,40868266000.0,28150594000.0,49892560000.0,34574213000.0,43718610000.0,25395900000.0,25736735000.0,28688476000.0,37727523000.0,44651220000.0,24732596000.0,39523990000.0,40150655000.0,26509662000.0,25528558000.0,37583938000.0,42503918000.0
2071.0,39946890000.0,28641407000.0,50377208000.0,34440760000.0,44025283000.0,25546932000.0,25505829000.0,28298172000.0,37327720000.0,44154536000.0,24330697000.0,39900398000.0,39548023000.0,25872062000.0,24753197000.0,37624857000.0,42152636000.0
2072.0,39275670000.0,28901247000.0,49877280000.0,33840670000.0,44870130000.0,24442784000.0,25106500000.0,28616765000.0,37655753000.0,43852630000.0,24480754000.0,41023017000.0,38181980000.0,24917200000.0,24188582000.0,37424850000.0,42710020000.0
2073.0,39919964000.0,29435822000.0,49136640000.0,33012560000.0,43657605000.0,23670997000.0,24872014000.0,27951280000.0,37026170000.0,44164440000.0,24723610000.0,40545570000.0,37366096000.0,25115075000.0,23601695000.0,36918206000.0,43038675000.0
2074.0,40214733000.0,29401027000.0,48431202000.0,31192275000.0,44486865000.0,23219868000.0,24377176000.0,27332874000.0,37591167000.0,43096056000.0,24575281000.0,40809644000.0,37035532000.0,24822620000.0,23312423000.0,36702530000.0,43245138000.0
2075.0,40213307000.0,29515457000.0,48561010000.0,30756141000.0,44222906000.0,22830426000.0,23944808000.0,27524868000.0,37314486000.0,42168070000.0,24593090000.0,39240780000.0,36917510000.0,24354580000.0,23146904000.0,36697793000.0,43264614000.0
2076.0,40430363000.0,30123966000.0,48564417000.0,30090060000.0,43052384000.0,22178329000.0,23411640000.0,27109351000.0,36970877000.0,41312338000.0,25038297000.0,39337360000.0,37187166000.0,24309582000.0,22541058000.0,36264595000.0,43290714000.0
2077.0,40157970000.0,30095178000.0,48717150000.0,29751181000.0,43877384000.0,21617450000.0,23114703000.0,26297715000.0,36082516000.0,40512400000.0,24897475000.0,38410230000.0,36884853000.0,24083182000.0,22162575000.0,36188283000.0,43627045000.0
2078.0,39582822000.0,29785375000.0,48813507000.0,28853912000.0,44145824000.0,21653948000.0,23107574000.0,26556305000.0,35520602000.0,39353230000.0,25205334000.0,39417420000.0,35534606000.0,23725250000.0,22450369000.0,36192830000.0,43259790000.0
2079.0,38452425000.0,29783120000.0,47972400000.0,28166273000.0,43218833000.0,21997754000.0,22722970000.0,26570590000.0,35377250000.0,38624854000.0,25677937000.0,38998553000.0,35335905000.0,23285168000.0,22396924000.0,36426050000.0,43288277000.0
2080.0,37154040000.0,29260083000.0,47762620000.0,27679894000.0,44199280000.0,21663610000.0,22486989000.0,27216265000.0,35394760000.0,39242120000.0,26053370000.0,38250650000.0,35171254000.0,23721226000.0,22656449000.0,36344734000.0,44015420000.0
2081.0,36830100000.0,29381282000.0,48199710000.0,27843793000.0,43368590000.0,21697057000.0,21985057000.0,27518100000.0,34870470000.0,38768108000.0,26423181000.0,38704970000.0,34538426000.0,23988716000.0,22459159000.0,36412480000.0,44724280000.0
2082.0,35776094000.0,28887302000.0,50038550000.0,27446303000.0,44526460000.0,21706500000.0,21442857000.0,27134018000.0,34063145000.0,38318346000.0,26678747000.0,38521260000.0,35004633000.0,24091130000.0,22505100000.0,36309713000.0,44927144000.0
2083.0,34522055000.0,28551592000.0,49035796000.0,26718370000.0,44060580000.0,21981911000.0,21417402000.0,26891272000.0,33083857000.0,36613534000.0,26762852000.0,38702596000.0,36429510000.0,25394230000.0,22475110000.0,36060550000.0,44454752000.0
2084.0,33827127000.0,28616245000.0,49628344000.0,26239100000.0,43694133000.0,22282177000.0,21229734000.0,27475935000.0,32654856000.0,36884550000.0,26543567000.0,38587916000.0,37463482000.0,25950763000.0,22576794000.0,36509070000.0,44518250000.0
2085.0,34269680000.0,28990310000.0,48692900000.0,25702767000.0,41886884000.0,21808190000.0,21482643000.0,27784333000.0,32293175000.0,37220190000.0,26393092000.0,37335536000.0,37299237000.0,26056729000.0,22713586000.0,36161610000.0,44772520000.0
2086.0,34745220000.0,29362799000.0,49157570000.0,25333811000.0,41491972000.0,21602980000.0,21647860000.0,28118114000.0,32272683000.0,38378377000.0,26247498000.0,36614107000.0,36001200000.0,25930047000.0,23339727000.0,35454600000.0,44699525000.0
2087.0,35037524000.0,29053598000.0,49393394000.0,24679973000.0,41647900000.0,21775012000.0,21424278000.0,28793532000.0,33147286000.0,40224174000.0,25315455000.0,35238662000.0,34680930000.0,25525590000.0,23573651000.0,35669225000.0,44754550000.0
2088.0,34832180000.0,28307704000.0,47727555000.0,24399202000.0,40952435000.0,21491737000.0,21398295000.0,28976079000.0,32509798000.0,39511503000.0,25028526000.0,35085060000.0,35337390000.0,26267296000.0,22995313000.0,36120280000.0,44640227000.0
2089.0,34625987000.0,28210260000.0,46674612000.0,24380213000.0,41289404000.0,21684455000.0,21631293000.0,28687618000.0,32865632000.0,39077663000.0,25308314000.0,35639124000.0,34788760000.0,27262708000.0,22966692000.0,35501760000.0,44615176000.0
2090.0,35278262000.0,28026417000.0,46472940000.0,24318159000.0,40070377000.0,21991846000.0,21663687000.0,28254851000.0,32561986000.0,38831178000.0,24920699000.0,36412850000.0,34531040000.0,27534135000.0,23218192000.0,35069325000.0,44658692000.0
2091.0,34644533000.0,28235346000.0,46861582000.0,23999080000.0,39414075000.0,21989607000.0,21880494000.0,28278483000.0,32150050000.0,38286740000.0,24577407000.0,36154225000.0,34632106000.0,27786080000.0,23660438000.0,35088114000.0,43956834000.0
2092.0,34595960000.0,28084488000.0,46306034000.0,23699485000.0,38433726000.0,21616112000.0,21570080000.0,28532845000.0,31768070000.0,37942596000.0,23919399000.0,36956934000.0,35902226000.0,27726733000.0,23098978000.0,35442745000.0,44108590000.0
2093.0,34885906000.0,27667170000.0,46817620000.0,23645532000.0,37539176000.0,21645855000.0,21825903000.0,28780874000.0,31864795000.0,36745798000.0,24047057000.0,36867543000.0,36156220000.0,27924877000.0,23308808000.0,35485954000.0,44882203000.0
2094.0,34243328000.0,27665215000.0,47690424000.0,23514327000.0,37708726000.0,21879626000.0,22153837000.0,28420469000.0,31503772000.0,36477338000.0,23539274000.0,36082500000.0,36649677000.0,28507181000.0,23503841000.0,36106570000.0,45063823000.0
2095.0,35042222000.0,27316242000.0,46970733000.0,23217172000.0,37376827000.0,21800362000.0,22167760000.0,28611082000.0,31910480000.0,35894493000.0,23238617000.0,35280355000.0,36699950000.0,28630331000.0,23643714000.0,36641220000.0,44426117000.0
2096.0,35604730000.0,27272473000.0,47161962000.0,23275096000.0,37666420000.0,22349246000.0,22637370000.0,29231240000.0,32393010000.0,35873587000.0,23063276000.0,35272580000.0,37076390000.0,27860738000.0,23991992000.0,37563515000.0,43162370000.0
2097.0,36614193000.0,27712651000.0,46647005000.0,23060644000.0,37455827000.0,22223020000.0,22637507000.0,29438171000.0,32528284000.0,35770032000.0,22731098000.0,35971970000.0,36159340000.0,28197022000.0,23440837000.0,37907500000.0,42996500000.0
2098.0,36161600000.0,27175870000.0,46612464000.0,22674303000.0,37733280000.0,21977924000.0,22377940000.0,29558047000.0,32293399000.0,35786730000.0,22807196000.0,35351155000.0,35804420000.0,28822671000.0,23509510000.0,38737020000.0,43433767000.0
2099.0,36016140000.0,27497576000.0,46535890000.0,21588537000.0,37854750000.0,22773205000.0,22622716000.0,29513224000.0,32103205000.0,37862842000.0,22699790000.0,34995090000.0,36284690000.0,29333811000.0,23563024000.0,38235890000.0,43450200000.0
2100.0,36182300000.0,26856993000.0,46422890000.0,21556961000.0,38179914000.0,23102630000.0,23133014000.0,29954742000.0,32631392000.0,37361287000.0,22293295000.0,34808615000.0,37116854000.0,29832240000.0,23494566000.0,38303994000.0,43383870000.0
