time,EC-EARTH3,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,CESM2,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,52923896000.0,55268876000.0,55191663000.0,56540455000.0,54020354000.0,55973163000.0,55294628000.0,55141093000.0,54833996000.0,55648330000.0,54554882000.0,55601540000.0,53655114000.0,53906690000.0
2022.0,51935945000.0,54189980000.0,53887270000.0,58381533000.0,53027525000.0,54537570000.0,54076146000.0,55488870000.0,54948917000.0,56151330000.0,53558395000.0,56125660000.0,53882696000.0,52507110000.0
2023.0,52826108000.0,53750040000.0,52455494000.0,56509645000.0,53288120000.0,53751300000.0,53510906000.0,54569394000.0,55903834000.0,54413443000.0,54603264000.0,55308874000.0,53693900000.0,52175856000.0
2024.0,51818738000.0,53594817000.0,53458700000.0,54602027000.0,53272790000.0,52349590000.0,52092010000.0,52845257000.0,56218400000.0,53218250000.0,55425815000.0,54047500000.0,52303466000.0,52718895000.0
2025.0,51178340000.0,53965373000.0,54115357000.0,53102035000.0,51685392000.0,52967342000.0,51521870000.0,53352750000.0,55527645000.0,53880414000.0,53561720000.0,53837455000.0,52127183000.0,51350712000.0
2026.0,51613830000.0,54226690000.0,54525555000.0,51863482000.0,50563440000.0,50163600000.0,50858700000.0,53090456000.0,53977160000.0,53140260000.0,52348998000.0,51970666000.0,51098264000.0,51495006000.0
2027.0,51222864000.0,53674720000.0,53312990000.0,51867615000.0,48902767000.0,49043760000.0,49294844000.0,52610950000.0,54188384000.0,51557003000.0,50987440000.0,51441720000.0,50040463000.0,52217870000.0
2028.0,50944057000.0,53723914000.0,52639170000.0,50084620000.0,47130860000.0,48812570000.0,47561028000.0,52567080000.0,54048800000.0,48856230000.0,50351935000.0,50419597000.0,49318412000.0,51935527000.0
2029.0,49652654000.0,53479710000.0,51861574000.0,49344950000.0,45710995000.0,47468460000.0,47764270000.0,51524980000.0,52829614000.0,47988700000.0,49848672000.0,51098750000.0,50085994000.0,51093754000.0
2030.0,48311845000.0,52046020000.0,49925206000.0,48552677000.0,44133016000.0,46148760000.0,46127920000.0,50207494000.0,52438330000.0,47590187000.0,48651182000.0,50729206000.0,51707703000.0,50749380000.0
2031.0,46560973000.0,51448504000.0,49627742000.0,48517743000.0,42638193000.0,45057760000.0,46013500000.0,48703710000.0,52087538000.0,46975377000.0,48067883000.0,51584147000.0,50615325000.0,50494857000.0
2032.0,46424277000.0,50596807000.0,48049844000.0,47618703000.0,42051777000.0,43929735000.0,44438184000.0,48414904000.0,51108960000.0,45721768000.0,46595547000.0,51979575000.0,49703436000.0,50105810000.0
2033.0,46815633000.0,50090420000.0,46592836000.0,46390360000.0,40793300000.0,42827430000.0,43586904000.0,47319155000.0,50468930000.0,44570595000.0,45513980000.0,51965510000.0,48325014000.0,49927967000.0
2034.0,45962564000.0,49590247000.0,45890670000.0,44816175000.0,39991160000.0,41867084000.0,44411826000.0,46117544000.0,49337127000.0,43127177000.0,45158180000.0,52607218000.0,46715273000.0,49690020000.0
2035.0,44417438000.0,48677257000.0,45133470000.0,43575992000.0,38754240000.0,40081007000.0,44325800000.0,45672460000.0,49489445000.0,43491197000.0,45110755000.0,52835870000.0,46885250000.0,49307850000.0
2036.0,45777457000.0,48853692000.0,45224755000.0,43171766000.0,37592670000.0,39868813000.0,42749764000.0,44538946000.0,48707084000.0,42928013000.0,43946960000.0,52506202000.0,46752590000.0,49580716000.0
2037.0,44922114000.0,48753762000.0,44649920000.0,42374420000.0,36893995000.0,39721890000.0,40385110000.0,43626852000.0,47721878000.0,43165897000.0,43115258000.0,51818058000.0,45743190000.0,50399646000.0
2038.0,43553014000.0,49205674000.0,44226204000.0,42964267000.0,35646337000.0,39877060000.0,38892085000.0,42461620000.0,49522620000.0,42528952000.0,42919657000.0,49989255000.0,45138326000.0,50444470000.0
2039.0,43385934000.0,49494954000.0,43510200000.0,42259608000.0,35367416000.0,40705400000.0,37409755000.0,41243886000.0,49467760000.0,42402595000.0,42162995000.0,48438112000.0,44520070000.0,50882445000.0
2040.0,42384974000.0,49454770000.0,42011365000.0,41368773000.0,35443760000.0,39803750000.0,36772614000.0,40004334000.0,49318064000.0,41518273000.0,41656566000.0,45968660000.0,43015786000.0,50588430000.0
2041.0,41262735000.0,48443170000.0,41949240000.0,40518435000.0,34662930000.0,39629943000.0,36533146000.0,38470586000.0,48912925000.0,40226337000.0,41501030000.0,45322840000.0,42633040000.0,50659610000.0
2042.0,41171595000.0,48467400000.0,42003317000.0,39239557000.0,34819207000.0,38954500000.0,35466646000.0,37616513000.0,48505405000.0,39741813000.0,41504887000.0,43972500000.0,42121470000.0,49305860000.0
2043.0,41604202000.0,48380120000.0,41878840000.0,38770090000.0,34223098000.0,38164660000.0,34283356000.0,36701884000.0,48452180000.0,38188827000.0,40250870000.0,42913018000.0,41862226000.0,48518648000.0
2044.0,39626842000.0,48181998000.0,41764020000.0,37080330000.0,33728220000.0,39197390000.0,33741734000.0,36544330000.0,48140624000.0,35764474000.0,39779885000.0,42440806000.0,40849080000.0,47984970000.0
2045.0,37944070000.0,47211487000.0,41648250000.0,37020700000.0,32992913000.0,38363783000.0,34442346000.0,36072820000.0,47578616000.0,33473272000.0,39653564000.0,41091658000.0,40416580000.0,46684443000.0
2046.0,36982395000.0,46324040000.0,40902353000.0,36204510000.0,32258707000.0,38179060000.0,33613670000.0,35162730000.0,48016270000.0,32502258000.0,38769897000.0,39984853000.0,39699735000.0,44916953000.0
2047.0,36553130000.0,44288995000.0,41575600000.0,37147850000.0,31502653000.0,37596030000.0,32582690000.0,33526100000.0,48473866000.0,31778744000.0,38011930000.0,40171840000.0,39321375000.0,44346315000.0
2048.0,35867230000.0,43236938000.0,41272246000.0,37113780000.0,30463988000.0,37393830000.0,32006160000.0,31794055000.0,46525383000.0,31059053000.0,36238963000.0,39535340000.0,39876490000.0,44696880000.0
2049.0,34677050000.0,42925800000.0,40941970000.0,36387380000.0,29852580000.0,37567160000.0,32347097000.0,30306310000.0,46506226000.0,30500592000.0,35371385000.0,39293030000.0,39665676000.0,42925203000.0
2050.0,33838954000.0,42870112000.0,39994278000.0,35773790000.0,29174139000.0,37611926000.0,31489452000.0,30505183000.0,45662278000.0,29978247000.0,34024479000.0,38238982000.0,38618444000.0,42473206000.0
2051.0,35094122000.0,42417406000.0,39423246000.0,34675550000.0,27999472000.0,36709315000.0,31122719000.0,29571305000.0,45076505000.0,30367844000.0,33216662000.0,37425160000.0,37658490000.0,41955897000.0
2052.0,34426896000.0,41502437000.0,38750130000.0,34140455000.0,27692229000.0,36224460000.0,30710880000.0,28770585000.0,44499270000.0,30479018000.0,32104350000.0,37400560000.0,36380283000.0,41798390000.0
2053.0,33661137000.0,40448074000.0,38366800000.0,34206458000.0,27518850000.0,36793860000.0,30615112000.0,27955548000.0,43427360000.0,30361156000.0,31331506000.0,37681385000.0,35383513000.0,41158644000.0
2054.0,33627636000.0,40731060000.0,37869236000.0,34011744000.0,26692116000.0,37523083000.0,30810962000.0,27130739000.0,43290410000.0,29403247000.0,29960372000.0,36153156000.0,34679120000.0,41770852000.0
2055.0,33797513000.0,41010930000.0,37140152000.0,33492873000.0,25968927000.0,37490004000.0,30835905000.0,26575544000.0,42563670000.0,29416550000.0,28473311000.0,34973233000.0,34514543000.0,41245884000.0
2056.0,32522440000.0,40766005000.0,37819265000.0,32260844000.0,25597290000.0,37350625000.0,30302093000.0,25592769000.0,41731252000.0,28230160000.0,28039242000.0,34217249000.0,33915464000.0,41517195000.0
2057.0,32319103000.0,40544707000.0,37203194000.0,31762543000.0,24773526000.0,36341486000.0,30100326000.0,24606282000.0,41038995000.0,27261782000.0,27244340000.0,33418717000.0,32968370000.0,42433585000.0
2058.0,31615672000.0,39535837000.0,37141238000.0,31763786000.0,23951008000.0,35588985000.0,29473882000.0,24828844000.0,40626890000.0,26654888000.0,26191366000.0,32959984000.0,31711728000.0,42614563000.0
2059.0,30950304000.0,38130780000.0,36968900000.0,31131562000.0,23443880000.0,34317937000.0,29671467000.0,24255058000.0,39923982000.0,25923609000.0,25846313000.0,32561089000.0,30718788000.0,42448260000.0
2060.0,31038818000.0,36874770000.0,36571423000.0,30897310000.0,22795063000.0,34206444000.0,29620584000.0,23853928000.0,39895183000.0,26429424000.0,25856390000.0,32404595000.0,29966870000.0,43116940000.0
2061.0,31112544000.0,36434370000.0,37429980000.0,30266714000.0,22182734000.0,33578125000.0,30026486000.0,23055466000.0,39531647000.0,26502207000.0,25162865000.0,31038136000.0,28843715000.0,43763474000.0
2062.0,31244570000.0,36310020000.0,36907410000.0,29653006000.0,22023039000.0,33440385000.0,30130188000.0,22345750000.0,39223595000.0,25321755000.0,24260903000.0,30286938000.0,27786207000.0,43589964000.0
2063.0,30777549000.0,35347780000.0,36356665000.0,29137195000.0,21551182000.0,33105211000.0,30068353000.0,22262060000.0,39550730000.0,24479603000.0,22991670000.0,30017898000.0,26464152000.0,42952696000.0
2064.0,31518870000.0,34595148000.0,36244170000.0,28897575000.0,21510300000.0,32731455000.0,29831326000.0,21162970000.0,38927910000.0,24257804000.0,22524846000.0,29981886000.0,25492810000.0,42266018000.0
2065.0,30863760000.0,34073477000.0,34976550000.0,28912482000.0,21508560000.0,32207286000.0,30195233000.0,20710177000.0,39521020000.0,23796840000.0,22372688000.0,29444470000.0,24675078000.0,42657903000.0
2066.0,29976248000.0,33411058000.0,34319538000.0,28342675000.0,21098955000.0,32231348000.0,30461503000.0,20412422000.0,40100647000.0,24095828000.0,22023762000.0,29553285000.0,24107426000.0,42050810000.0
2067.0,29960972000.0,32801898000.0,34228770000.0,28441762000.0,20605997000.0,32464420000.0,30466898000.0,20364954000.0,39365325000.0,24251767000.0,21907016000.0,28786758000.0,23169694000.0,41984470000.0
2068.0,29483063000.0,32012882000.0,35115303000.0,27926168000.0,19913040000.0,32194531000.0,29705159000.0,19931886000.0,38929150000.0,23678075000.0,21476956000.0,28570227000.0,22485551000.0,42010940000.0
2069.0,28720916000.0,31373509000.0,34176946000.0,28122409000.0,19979460000.0,31012006000.0,29127110000.0,19352877000.0,39354610000.0,22846850000.0,21267546000.0,28968337000.0,22926807000.0,41365940000.0
2070.0,28022049000.0,31169178000.0,33973078000.0,27984050000.0,19530465000.0,30440792000.0,29108060000.0,19119348000.0,39213978000.0,22521682000.0,20607218000.0,28853426000.0,22435200000.0,40319110000.0
2071.0,27838770000.0,30634002000.0,33135910000.0,27625316000.0,18826097000.0,30479524000.0,28741218000.0,18187598000.0,38556440000.0,21978647000.0,20098753000.0,29184800000.0,22346215000.0,39774593000.0
2072.0,28034652000.0,29877873000.0,32477897000.0,27649757000.0,18803304000.0,29602656000.0,28186706000.0,18084344000.0,37950083000.0,21321705000.0,20101052000.0,28624780000.0,22533984000.0,39943885000.0
2073.0,28015165000.0,29369450000.0,32044737000.0,27051565000.0,18592874000.0,28665516000.0,27832770000.0,18363054000.0,37722080000.0,20710690000.0,19629610000.0,28998052000.0,22844610000.0,39194060000.0
2074.0,27137528000.0,29979884000.0,31343610000.0,27470254000.0,18154396000.0,28184392000.0,27411575000.0,17916314000.0,37337047000.0,20178577000.0,19136060000.0,28754018000.0,22704590000.0,37969860000.0
2075.0,27502680000.0,29717236000.0,30711962000.0,26824544000.0,17805580000.0,27599274000.0,26675134000.0,17686634000.0,37027970000.0,19706229000.0,18996208000.0,28593440000.0,22321183000.0,37056987000.0
2076.0,27468110000.0,29085950000.0,30459343000.0,26523496000.0,17569300000.0,26929699000.0,25858079000.0,16892593000.0,36500103000.0,20038130000.0,19012882000.0,28548018000.0,22036484000.0,36814750000.0
2077.0,27710925000.0,28955478000.0,29587560000.0,26581516000.0,17175916000.0,25871702000.0,25954656000.0,16770045000.0,36020924000.0,19686535000.0,18752162000.0,28582853000.0,21591160000.0,36727312000.0
2078.0,26428844000.0,28709310000.0,29391624000.0,26202360000.0,16878646000.0,25236640000.0,25452524000.0,16490494000.0,34090350000.0,19338902000.0,18339908000.0,28619567000.0,20964293000.0,36923085000.0
2079.0,25945944000.0,28897954000.0,29142639000.0,26024990000.0,16431772000.0,25326220000.0,24969118000.0,16119124000.0,33016418000.0,19235555000.0,18013950000.0,28089272000.0,20885637000.0,36120850000.0
2080.0,24891790000.0,28871240000.0,28924310000.0,25771180000.0,16008791000.0,24805593000.0,24358840000.0,15997574000.0,32611604000.0,18628241000.0,18077450000.0,27899850000.0,20629848000.0,36413040000.0
2081.0,25184627000.0,28886178000.0,28263018000.0,25061126000.0,15300453000.0,24010640000.0,23535536000.0,15692242000.0,31996514000.0,19152600000.0,18222885000.0,27765620000.0,20885630000.0,36566920000.0
2082.0,24971780000.0,29007167000.0,28036186000.0,24844770000.0,15176039000.0,23656432000.0,22547393000.0,15702731000.0,31291458000.0,19260332000.0,18305454000.0,27975180000.0,20545915000.0,36238336000.0
2083.0,24200862000.0,29108484000.0,27512766000.0,24253415000.0,15757263000.0,23339237000.0,21920209000.0,15782957000.0,30466693000.0,19187788000.0,18688756000.0,28669784000.0,20463202000.0,35820810000.0
2084.0,23768742000.0,28795484000.0,27553004000.0,24168319000.0,15462113000.0,23009270000.0,21185458000.0,15688129000.0,29436873000.0,19036314000.0,18827794000.0,28836454000.0,20279837000.0,34975056000.0
2085.0,23595497000.0,28831960000.0,27092257000.0,23431938000.0,15425519000.0,22876807000.0,21298702000.0,15428072000.0,29828840000.0,18681820000.0,18725655000.0,29714560000.0,20163449000.0,33950804000.0
2086.0,22811714000.0,28471507000.0,26788330000.0,23641608000.0,15320097000.0,22956510000.0,21091303000.0,15079918000.0,30049550000.0,18583937000.0,18487433000.0,29093646000.0,19571808000.0,32915057000.0
2087.0,22832187000.0,28536834000.0,26415974000.0,23596010000.0,15277257000.0,23536718000.0,20805650000.0,14855095000.0,29969844000.0,18460733000.0,18418244000.0,28815090000.0,20120179000.0,32291110000.0
2088.0,22483708000.0,28235223000.0,26162733000.0,23501700000.0,14980755000.0,23496436000.0,20978700000.0,14564563000.0,30030182000.0,18306642000.0,18326170000.0,29006483000.0,19670784000.0,31049658000.0
2089.0,22138278000.0,28791407000.0,25905158000.0,23687762000.0,14660796000.0,23416801000.0,20881002000.0,14398821000.0,29750628000.0,18253513000.0,18414170000.0,29010661000.0,19117318000.0,30400475000.0
2090.0,21754479000.0,28398608000.0,25896954000.0,23462205000.0,14524285000.0,23707374000.0,20321194000.0,13949407000.0,29483070000.0,18353777000.0,18024376000.0,29150253000.0,19043086000.0,29578224000.0
2091.0,21412448000.0,28583944000.0,26413605000.0,24502360000.0,14779006000.0,23140246000.0,20319111000.0,13591865000.0,28651303000.0,18208557000.0,18167454000.0,28902918000.0,19090035000.0,29085560000.0
2092.0,21431874000.0,28229327000.0,26987616000.0,24584389000.0,14542777000.0,23304374000.0,20857338000.0,13388640000.0,28074488000.0,18092628000.0,17820035000.0,28903377000.0,18846210000.0,28333100000.0
2093.0,21258144000.0,27940153000.0,27205562000.0,24226834000.0,14142295000.0,22962504000.0,20823075000.0,13160804000.0,27660564000.0,17712430000.0,17373954000.0,28631194000.0,18395292000.0,27803361000.0
2094.0,21486928000.0,27522791000.0,27580940000.0,23783506000.0,13873656000.0,22554601000.0,20541254000.0,12783429000.0,27012323000.0,17502462000.0,16864027000.0,28579700000.0,17968527000.0,27122053000.0
2095.0,20901747000.0,27202722000.0,27147788000.0,23827433000.0,13987081000.0,22881348000.0,21453466000.0,12832837000.0,26642158000.0,17132986000.0,17091882000.0,30033205000.0,17379152000.0,26520291000.0
2096.0,20541650000.0,27370870000.0,27449567000.0,23789832000.0,14072850000.0,22394438000.0,21328892000.0,12459017000.0,25538075000.0,17168987000.0,16555191000.0,29438818000.0,16861703000.0,26579198000.0
2097.0,20365210000.0,26757663000.0,27734925000.0,23893223000.0,14125562000.0,22051471000.0,21060473000.0,12272226000.0,26035600000.0,17087612000.0,16308965000.0,29235452000.0,16227602000.0,25591930000.0
2098.0,19997168000.0,26654697000.0,27986780000.0,24321722000.0,14136522000.0,21816773000.0,21482777000.0,12133829000.0,25565417000.0,17425932000.0,16007484000.0,29191772000.0,15587966000.0,25116580000.0
2099.0,19993053000.0,26163360000.0,28341037000.0,24618803000.0,14002200000.0,21638111000.0,20979210000.0,11800033000.0,24872030000.0,17602556000.0,15889792000.0,28588632000.0,14832346000.0,24910742000.0
2100.0,19571988000.0,26017227000.0,27693588000.0,24236952000.0,14061175000.0,20851636000.0,20345203000.0,11699459000.0,24347083000.0,17787654000.0,15423569000.0,28469664000.0,14886517000.0,25250017000.0
