time,INM-CM5-0,INM-CM4-8,EC-EARTH3,CESM2,EC-EARTH3-VEG,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,MRI-ESM2-0
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,53736047000.0,54686085000.0,55078785000.0,54770770000.0,55169286000.0,54540075000.0,55295865000.0,55649546000.0,54577380000.0,53620003000.0,55767126000.0,53988950000.0,53349560000.0
2022.0,52758716000.0,54039840000.0,55209330000.0,54528900000.0,55573025000.0,53394055000.0,54439346000.0,53477605000.0,54636724000.0,52897415000.0,55189570000.0,50965970000.0,52379330000.0
2023.0,53032194000.0,54152150000.0,55845536000.0,54398067000.0,54892806000.0,51704200000.0,53034082000.0,51753300000.0,54306680000.0,52632306000.0,55446307000.0,49909010000.0,52018390000.0
2024.0,53181895000.0,53432530000.0,56669487000.0,53334160000.0,54515737000.0,51380097000.0,53729310000.0,50424770000.0,53676380000.0,51146400000.0,54686450000.0,48818295000.0,52445725000.0
2025.0,52663484000.0,52797993000.0,54296300000.0,53368410000.0,53165600000.0,51717480000.0,51971990000.0,49317150000.0,53148210000.0,49967500000.0,54101086000.0,47628366000.0,52421583000.0
2026.0,51237437000.0,52358402000.0,53128393000.0,52649620000.0,52512965000.0,51990954000.0,50531090000.0,48751903000.0,53361656000.0,49925673000.0,52263477000.0,47594164000.0,52366164000.0
2027.0,50029850000.0,51970470000.0,52555630000.0,52722913000.0,50994580000.0,52552540000.0,50368090000.0,49172750000.0,52029830000.0,49222484000.0,51870097000.0,48141246000.0,53618233000.0
2028.0,49501950000.0,52019655000.0,51391280000.0,51530105000.0,49105633000.0,54457774000.0,49997800000.0,48771390000.0,51322986000.0,48701040000.0,51514995000.0,47308520000.0,53966254000.0
2029.0,46972050000.0,51478110000.0,48931330000.0,50374435000.0,48637235000.0,54971752000.0,48088830000.0,47249300000.0,50296283000.0,48559420000.0,53559566000.0,46694855000.0,53592867000.0
2030.0,46039175000.0,49807135000.0,48611394000.0,49698226000.0,48420190000.0,54496055000.0,46707100000.0,46803878000.0,50992493000.0,46411493000.0,54658978000.0,45715386000.0,54444397000.0
2031.0,45249618000.0,50197156000.0,47436790000.0,48082665000.0,47105303000.0,53265960000.0,46053065000.0,47618097000.0,51499856000.0,45741994000.0,57104384000.0,45809470000.0,54010995000.0
2032.0,43622180000.0,49802535000.0,46276243000.0,45902758000.0,47394950000.0,54172080000.0,43109794000.0,48503020000.0,51058037000.0,45373833000.0,56194626000.0,44822440000.0,54701200000.0
2033.0,42273510000.0,49087220000.0,46133404000.0,45368914000.0,47470014000.0,54580916000.0,41692746000.0,49365647000.0,50367150000.0,44395463000.0,54879998000.0,43979410000.0,55536267000.0
2034.0,41336603000.0,48718180000.0,45872590000.0,45191557000.0,47364518000.0,54116008000.0,41291317000.0,48899820000.0,50042438000.0,44468707000.0,54085110000.0,42966460000.0,54326870000.0
2035.0,40546804000.0,48100520000.0,43931288000.0,44947436000.0,46833150000.0,54028845000.0,39343145000.0,47879733000.0,49785250000.0,44684740000.0,54493065000.0,41181580000.0,52725658000.0
2036.0,39764940000.0,47576355000.0,40553656000.0,43654940000.0,45740280000.0,53637992000.0,39201083000.0,47462450000.0,48984170000.0,43640670000.0,53397025000.0,40658895000.0,52851687000.0
2037.0,38862580000.0,46245940000.0,39165944000.0,41911095000.0,45606543000.0,53038000000.0,37622346000.0,46256316000.0,47778796000.0,43789410000.0,51927780000.0,39395870000.0,52825743000.0
2038.0,38220427000.0,45566857000.0,38596882000.0,41148960000.0,45048070000.0,53483750000.0,35456210000.0,45028176000.0,48019790000.0,43867370000.0,50001113000.0,40191440000.0,52455030000.0
2039.0,37736366000.0,44661395000.0,38734127000.0,40212673000.0,43775152000.0,52641497000.0,35567546000.0,42601443000.0,48573227000.0,42695754000.0,49238356000.0,39741157000.0,51104660000.0
2040.0,37044515000.0,44013253000.0,38547014000.0,39011040000.0,42551603000.0,51681030000.0,33762853000.0,42108396000.0,47752580000.0,41851105000.0,47733047000.0,39833203000.0,50279080000.0
2041.0,36771650000.0,44190160000.0,37080710000.0,38285623000.0,40852860000.0,51101450000.0,32784462000.0,41467453000.0,47041724000.0,42688170000.0,46181708000.0,39802080000.0,49409570000.0
2042.0,35735690000.0,43935390000.0,35316820000.0,37945970000.0,39596143000.0,50572990000.0,31553587000.0,40265585000.0,47962096000.0,42212990000.0,45773783000.0,38232773000.0,50140398000.0
2043.0,34869280000.0,43151393000.0,34349940000.0,37053370000.0,38938657000.0,49608840000.0,30863372000.0,41065680000.0,47067144000.0,42201160000.0,44706310000.0,37595046000.0,49549574000.0
2044.0,34685530000.0,43525690000.0,34612085000.0,36410745000.0,38603670000.0,47175184000.0,29020109000.0,39334070000.0,46480335000.0,41421038000.0,44949594000.0,36410372000.0,47043400000.0
2045.0,34415730000.0,42164396000.0,33064722000.0,34579493000.0,37154288000.0,45815366000.0,28015024000.0,38653415000.0,46483063000.0,40865510000.0,44448362000.0,36474024000.0,43651340000.0
2046.0,33880420000.0,41331370000.0,32499775000.0,33593057000.0,37353517000.0,44384070000.0,27905250000.0,37313580000.0,46552420000.0,39920620000.0,43754040000.0,35186050000.0,41054278000.0
2047.0,33344051000.0,41086177000.0,32918102000.0,33031731000.0,36895210000.0,43103460000.0,27153285000.0,36468703000.0,45797286000.0,39424160000.0,42623738000.0,35169190000.0,40039300000.0
2048.0,32809670000.0,40458060000.0,32787233000.0,32018393000.0,37148635000.0,43931365000.0,26100870000.0,36461500000.0,46731473000.0,37657956000.0,41313116000.0,34596635000.0,39366988000.0
2049.0,31487945000.0,39534390000.0,31653958000.0,31558457000.0,37362692000.0,43195154000.0,26146212000.0,37225153000.0,46105305000.0,36624884000.0,40169870000.0,32986606000.0,39140266000.0
2050.0,31611689000.0,39031970000.0,31964969000.0,31287945000.0,37083427000.0,41615065000.0,25499054000.0,36337414000.0,45662530000.0,36018713000.0,39048990000.0,32106625000.0,37878792000.0
2051.0,31491109000.0,38373626000.0,32046916000.0,30525614000.0,35962480000.0,41708920000.0,24906748000.0,35587300000.0,44797665000.0,34037514000.0,38307190000.0,31093869000.0,37124714000.0
2052.0,31231482000.0,38029165000.0,30937190000.0,28848173000.0,34990776000.0,42169434000.0,23987070000.0,34862520000.0,45081104000.0,33574865000.0,38626590000.0,30801426000.0,37214510000.0
2053.0,30158445000.0,37687366000.0,30516998000.0,28084718000.0,33536442000.0,40811260000.0,23588530000.0,33747724000.0,43350643000.0,33713803000.0,37648330000.0,30815318000.0,37123174000.0
2054.0,29795492000.0,36188877000.0,30795078000.0,27615201000.0,33144482000.0,40969146000.0,23155874000.0,32191613000.0,43164350000.0,32854413000.0,36854292000.0,29781043000.0,36832290000.0
2055.0,28652734000.0,35696927000.0,29472800000.0,26747000000.0,32265345000.0,39318897000.0,22735350000.0,31275719000.0,43154653000.0,31236137000.0,36744557000.0,28931772000.0,37175520000.0
2056.0,27795421000.0,34981700000.0,28863814000.0,26279193000.0,31892940000.0,39883567000.0,22105563000.0,29965294000.0,42752060000.0,30233860000.0,36520020000.0,27835445000.0,35819490000.0
2057.0,27375053000.0,34297640000.0,28348860000.0,25417091000.0,31217359000.0,39451046000.0,21044025000.0,29211032000.0,41480077000.0,29060950000.0,35139500000.0,27064041000.0,36076225000.0
2058.0,27922475000.0,34356180000.0,28234020000.0,24613550000.0,30251547000.0,39923280000.0,20083798000.0,28847411000.0,41227903000.0,27631650000.0,34394087000.0,26200666000.0,36794225000.0
2059.0,27616698000.0,33807335000.0,28156090000.0,24150854000.0,29361385000.0,39740383000.0,19846623000.0,27927486000.0,40357863000.0,27307745000.0,34039446000.0,25324175000.0,36423078000.0
2060.0,27986803000.0,33396374000.0,27010961000.0,23965114000.0,28700357000.0,38836744000.0,19107650000.0,27481612000.0,38286094000.0,26734635000.0,33388677000.0,24244724000.0,35589590000.0
2061.0,28607360000.0,32601666000.0,26157548000.0,23157010000.0,28829727000.0,37696635000.0,18488842000.0,27652927000.0,37021270000.0,25390072000.0,33711858000.0,23067177000.0,34724200000.0
2062.0,28482763000.0,32324071000.0,25691742000.0,22928620000.0,28023796000.0,38341276000.0,17985634000.0,27843512000.0,36547617000.0,24372620000.0,33073857000.0,21667566000.0,33494987000.0
2063.0,28119159000.0,31592385000.0,25844255000.0,22467668000.0,27674935000.0,37179843000.0,17573913000.0,27456926000.0,35618943000.0,22985961000.0,32568334000.0,20897884000.0,32361910000.0
2064.0,28339501000.0,30643091000.0,25301635000.0,21214325000.0,27778972000.0,35877270000.0,17348219000.0,26672247000.0,34484720000.0,21467396000.0,30807550000.0,20687540000.0,30938276000.0
2065.0,27908334000.0,29541106000.0,25209102000.0,20142883000.0,27438220000.0,35477730000.0,16613947000.0,25460020000.0,34382370000.0,20500294000.0,29648234000.0,19270554000.0,30130590000.0
2066.0,27845409000.0,28966300000.0,24956230000.0,19811006000.0,27610284000.0,36239910000.0,16302292000.0,24499366000.0,33759103000.0,20109218000.0,28833935000.0,18722454000.0,28932647000.0
2067.0,27255177000.0,27937985000.0,24703290000.0,19329663000.0,27287376000.0,35792073000.0,15879057000.0,23635001000.0,32935305000.0,19480285000.0,27592086000.0,17852187000.0,27306250000.0
2068.0,26476163000.0,27181750000.0,24431456000.0,18712408000.0,26737226000.0,34321496000.0,15281234000.0,22551691000.0,31795642000.0,19016833000.0,27727946000.0,17928456000.0,27601412000.0
2069.0,26403330000.0,26828718000.0,23610317000.0,18477960000.0,26810767000.0,32745679000.0,14457735000.0,21492087000.0,31995070000.0,18190880000.0,28350310000.0,17530386000.0,26681758000.0
2070.0,26537030000.0,26296510000.0,24089962000.0,18086142000.0,26115800000.0,31505816000.0,14206388000.0,20741925000.0,31457995000.0,18185062000.0,27727956000.0,16818774000.0,26278099000.0
2071.0,25989394000.0,25676910000.0,23843557000.0,17458252000.0,25293898000.0,30566111000.0,13558624000.0,20460340000.0,30599176000.0,17790999000.0,26785800000.0,15982728000.0,25877580000.0
2072.0,26088950000.0,25546881000.0,24438768000.0,16535972000.0,24634577000.0,29060895000.0,13377919000.0,19980855000.0,29275634000.0,17556488000.0,26291397000.0,15626321000.0,24776850000.0
2073.0,25543660000.0,25459372000.0,23378272000.0,15808122000.0,24955294000.0,28679190000.0,13213880000.0,19562662000.0,29130246000.0,16620023000.0,26770326000.0,14889494000.0,24562205000.0
2074.0,25479692000.0,24789965000.0,23239983000.0,15176478000.0,24572551000.0,28694581000.0,12821213000.0,19102734000.0,29073345000.0,16459250000.0,27242519000.0,14094787000.0,22738182000.0
2075.0,25565864000.0,24769716000.0,23286573000.0,14514298000.0,23986455000.0,27441971000.0,12493781000.0,18616010000.0,28859180000.0,16302642000.0,27883356000.0,13652370000.0,23505570000.0
2076.0,25392216000.0,24681343000.0,23371766000.0,14122592000.0,23971502000.0,27059945000.0,12446984000.0,18307660000.0,28013267000.0,16067326000.0,27246498000.0,13079276000.0,22839736000.0
2077.0,24983464000.0,24098607000.0,22996478000.0,13976957000.0,24436206000.0,26995243000.0,12419884000.0,17696178000.0,26686964000.0,15694986000.0,26421010000.0,12687293000.0,21888154000.0
2078.0,24488872000.0,23965460000.0,22099114000.0,13372778000.0,23344878000.0,26865224000.0,11914272000.0,16878106000.0,26005973000.0,15714881000.0,26162893000.0,12259740000.0,21078940000.0
2079.0,23965730000.0,23899902000.0,21575168000.0,12781500000.0,22559797000.0,25590514000.0,11484591000.0,16111597000.0,24800627000.0,15810603000.0,25412071000.0,11865288000.0,20988822000.0
2080.0,23688413000.0,24115340000.0,21256595000.0,12344449000.0,21695300000.0,25011935000.0,11256081000.0,15282831000.0,23970100000.0,15192187000.0,25544130000.0,11770584000.0,20288023000.0
2081.0,22489803000.0,24108941000.0,19966663000.0,11834059000.0,21884051000.0,24374020000.0,11088007000.0,14778126000.0,22669232000.0,14969778000.0,25087597000.0,11178513000.0,19789631000.0
2082.0,22029943000.0,23719400000.0,19201567000.0,11771473000.0,20701002000.0,23862235000.0,10792221000.0,14156775000.0,21987100000.0,14980979000.0,24243874000.0,10997558000.0,18936648000.0
2083.0,21393177000.0,24038179000.0,18774712000.0,11330844000.0,19678271000.0,23692562000.0,10255776000.0,13750444000.0,21018632000.0,14511604000.0,23831255000.0,10644223000.0,19083643000.0
2084.0,21051370000.0,24102955000.0,19054369000.0,11166837000.0,18667729000.0,23389932000.0,10038509000.0,13493732000.0,20259246000.0,13967687000.0,23484670000.0,10681811000.0,18613408000.0
2085.0,20529504000.0,24147528000.0,18546751000.0,10825131000.0,17707192000.0,23158880000.0,9888837000.0,13247055000.0,19427797000.0,13615031000.0,22199196000.0,10291291000.0,18297725000.0
2086.0,20130902000.0,24424440000.0,17488589000.0,10459836000.0,16606051000.0,22494507000.0,9648449000.0,12626264000.0,19197907000.0,12756482000.0,21374347000.0,9750470000.0,17790222000.0
2087.0,19670415000.0,23603833000.0,16820153000.0,9982766000.0,15699361000.0,22594350000.0,9762621000.0,12075665000.0,18631006000.0,12106962000.0,21119814000.0,9058831000.0,16994633000.0
2088.0,19260617000.0,23356365000.0,16118002000.0,9814152000.0,14906629000.0,22018898000.0,9577550000.0,11593359000.0,17859736000.0,11445186000.0,20778533000.0,8394955000.0,16580337000.0
2089.0,18873483000.0,22812938000.0,15497601000.0,9603610000.0,15155541000.0,22210513000.0,9276091000.0,11589979000.0,17779005000.0,11345795000.0,20382382000.0,8295088000.0,15859018000.0
2090.0,18385408000.0,22164370000.0,15038746000.0,9250691000.0,14804036000.0,22021753000.0,9013333000.0,11695539000.0,17278648000.0,10899846000.0,19406200000.0,7981991400.0,15823699000.0
2091.0,18030225000.0,21739969000.0,14469500000.0,9092806000.0,14723885000.0,20832831000.0,8739675000.0,11137822000.0,16437785000.0,10615800000.0,18599301000.0,7571034000.0,15394101000.0
2092.0,17749768000.0,21122515000.0,13855916000.0,8746122000.0,13668902000.0,20463362000.0,8517421000.0,10488541000.0,15793914000.0,10386218000.0,18490280000.0,7204607500.0,15212262000.0
2093.0,17098031000.0,20708220000.0,13402599000.0,8327567000.0,12955761000.0,20634468000.0,8283906000.0,9979533000.0,15137371000.0,9866372000.0,18062164000.0,6983585300.0,14646447000.0
2094.0,16981973000.0,20062726000.0,13138341000.0,7639614000.0,12394406000.0,20301902000.0,8091461000.0,9813210000.0,14813038000.0,9516811000.0,17938334000.0,6638897700.0,14059355000.0
2095.0,16506498000.0,19377740000.0,12690477000.0,7118761500.0,11993065000.0,19839000000.0,8044756000.0,9644557000.0,14522682000.0,9188847000.0,18041233000.0,6542518000.0,13698761000.0
2096.0,16183334000.0,18532925000.0,12064312000.0,6805348000.0,11700173000.0,19812070000.0,7825386000.0,9485808000.0,13698782000.0,8627875000.0,17647403000.0,6892137000.0,13663267000.0
2097.0,16013947000.0,17679268000.0,11287287000.0,6208519000.0,11220874000.0,19154426000.0,7443883500.0,9317444000.0,13128460000.0,8198507000.0,17378234000.0,6957553000.0,12670000000.0
2098.0,15771265000.0,16853635000.0,10756281000.0,5773976600.0,11119498000.0,19057498000.0,7215117000.0,9140393000.0,12511413000.0,7877581000.0,17218523000.0,6947680000.0,12439785000.0
2099.0,15637862000.0,16533066000.0,10513399000.0,5641226000.0,10658823000.0,19050520000.0,7160201000.0,8969261000.0,12092219000.0,8151092700.0,16613136000.0,6812486000.0,11456338000.0
2100.0,15277918000.0,16356662000.0,9854061000.0,5301198000.0,10195055000.0,19099417000.0,7101553700.0,9074997000.0,11958919000.0,7606122500.0,16130993000.0,6584497700.0,11064527000.0
