time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2086.0,463153730000.0,908595040000.0,1047774300000.0,1181811200000.0
2087.0,460798430000.0,895832300000.0,1039707600000.0,1177678400000.0
2088.0,460825900000.0,885517060000.0,1042243260000.0,1174772800000.0
2089.0,459625700000.0,874297750000.0,1040937600000.0,1174163200000.0
2090.0,455062600000.0,867310960000.0,1037391300000.0,1171369800000.0
2091.0,449681460000.0,860815360000.0,1033167000000.0,1167260400000.0
2092.0,447594820000.0,853440660000.0,1032250460000.0,1163954200000.0
2093.0,444355350000.0,843016400000.0,1028535900000.0,1164108400000.0
2094.0,440624700000.0,837638000000.0,1026574700000.0,1161935800000.0
2095.0,438421230000.0,829447140000.0,1028248200000.0,1160283400000.0
2096.0,435974370000.0,823546300000.0,1028694340000.0,1154545200000.0
2097.0,434012000000.0,814839040000.0,1016826400000.0,1148887600000.0
2098.0,433873350000.0,811715600000.0,1014971700000.0,1135722200000.0
2099.0,434483820000.0,809026400000.0,1015042300000.0,1129890700000.0
2100.0,434081530000.0,807360660000.0,1020207240000.0,1128202000000.0
