time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3066180000000.0,3069949800000.0,3062728500000.0,3077813300000.0,3061405200000.0,3069337000000.0,3085088300000.0,3044472300000.0,3082956800000.0,3047793000000.0,3055691200000.0,3047257800000.0,3055113200000.0,3061620000000.0,3085086500000.0,3055100600000.0,3071718500000.0
2022.0,3036599000000.0,3051693500000.0,3044699000000.0,3052711200000.0,3018961200000.0,3054455200000.0,3077491700000.0,3011719200000.0,3062246700000.0,3017776000000.0,3036716000000.0,3018191000000.0,3031699300000.0,3039416000000.0,3052513800000.0,3042476000000.0,3049027000000.0
2023.0,3001588600000.0,3027014000000.0,3036148100000.0,3012065800000.0,2997939900000.0,3039979000000.0,3065752000000.0,2951879000000.0,3031440000000.0,3006170100000.0,2998489600000.0,2976225700000.0,2998517600000.0,3015719000000.0,3035355000000.0,3016310000000.0,3022630000000.0
2024.0,2960027800000.0,3001062300000.0,3012250000000.0,2985380300000.0,2960857500000.0,2999212600000.0,3040268500000.0,2912583400000.0,2996592000000.0,2962268600000.0,2969070700000.0,2938254400000.0,2957936400000.0,2987108900000.0,3023787300000.0,2973349000000.0,2987452500000.0
2025.0,2934086300000.0,2963425500000.0,2994839700000.0,2957334800000.0,2943551300000.0,2981333000000.0,3014163200000.0,2854583800000.0,2957666400000.0,2940152300000.0,2939587100000.0,2905089800000.0,2922483000000.0,2964319400000.0,2995807800000.0,2957583600000.0,2979881300000.0
2026.0,2910404000000.0,2909508200000.0,2976898000000.0,2928261700000.0,2913245300000.0,2974274300000.0,3007537000000.0,2803215600000.0,2935605700000.0,2910959200000.0,2897012300000.0,2870375600000.0,2905007500000.0,2915042900000.0,2963678700000.0,2925288000000.0,2946074000000.0
2027.0,2861990200000.0,2870828300000.0,2956414700000.0,2887436700000.0,2892583100000.0,2956908000000.0,2988956000000.0,2759928300000.0,2907455400000.0,2875195700000.0,2869318000000.0,2831636500000.0,2873063400000.0,2875163700000.0,2927872000000.0,2892622000000.0,2922209600000.0
2028.0,2830662000000.0,2830778000000.0,2932668600000.0,2859633500000.0,2876329200000.0,2936857400000.0,2972922200000.0,2720850500000.0,2879922400000.0,2841352900000.0,2831542000000.0,2783895000000.0,2846504500000.0,2818096200000.0,2914177800000.0,2862004800000.0,2897268400000.0
2029.0,2784387000000.0,2813092400000.0,2907829000000.0,2836416200000.0,2862829500000.0,2917210300000.0,2965627700000.0,2666619000000.0,2850522400000.0,2812789400000.0,2788085500000.0,2744346700000.0,2800299500000.0,2779200600000.0,2927905000000.0,2827556700000.0,2875208500000.0
2030.0,2756200600000.0,2774209400000.0,2870303500000.0,2797761500000.0,2845231800000.0,2894345500000.0,2948541200000.0,2623278400000.0,2812568000000.0,2795904000000.0,2743418500000.0,2687654200000.0,2767605700000.0,2740504200000.0,2938182300000.0,2803267300000.0,2852489300000.0
2031.0,2719073000000.0,2737923700000.0,2849158200000.0,2784175800000.0,2819672800000.0,2869560900000.0,2918829500000.0,2574752000000.0,2777001500000.0,2786913400000.0,2698806600000.0,2636155200000.0,2724173200000.0,2698754700000.0,2917115400000.0,2782441200000.0,2821175400000.0
2032.0,2673844700000.0,2690614600000.0,2815150000000.0,2762827400000.0,2783167400000.0,2846751700000.0,2888385200000.0,2539971400000.0,2768738200000.0,2759869300000.0,2660199600000.0,2591722000000.0,2703678500000.0,2652568600000.0,2894850000000.0,2723027600000.0,2800964300000.0
2033.0,2636780700000.0,2654706900000.0,2783062800000.0,2729291300000.0,2758219400000.0,2824812400000.0,2856437200000.0,2482345300000.0,2749322500000.0,2757213300000.0,2612381400000.0,2553622000000.0,2674802800000.0,2607151800000.0,2871602200000.0,2706032800000.0,2783070700000.0
2034.0,2604662800000.0,2616370400000.0,2752094000000.0,2713581000000.0,2742712000000.0,2801190300000.0,2826657900000.0,2430934000000.0,2716644100000.0,2736263500000.0,2596064500000.0,2517180600000.0,2647524000000.0,2559255200000.0,2839535400000.0,2665128000000.0,2773348000000.0
2035.0,2565711000000.0,2583233000000.0,2729602200000.0,2677616100000.0,2709668200000.0,2766948800000.0,2782960500000.0,2379167300000.0,2683982300000.0,2717564800000.0,2578250000000.0,2469470700000.0,2609612300000.0,2517327200000.0,2818072600000.0,2637056400000.0,2761405500000.0
