time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2085.0,2219506400000.0,1916319700000.0,2014744400000.0,1533788300000.0
2086.0,2211736700000.0,1904520700000.0,2011433900000.0,1536654300000.0
2087.0,2209456800000.0,1900030200000.0,2008684300000.0,1528446500000.0
2088.0,2214084200000.0,1897826500000.0,2009534700000.0,1524966100000.0
2089.0,2208658600000.0,1888671400000.0,2016346500000.0,1523271500000.0
2090.0,2230010800000.0,1878642700000.0,2016273000000.0,1515797700000.0
2091.0,2224754500000.0,1872473000000.0,2016008900000.0,1517481500000.0
2092.0,2220739800000.0,1872729500000.0,2017446500000.0,1520088900000.0
2093.0,2210121600000.0,1862814700000.0,2007232700000.0,1515172700000.0
2094.0,2215384400000.0,1846646900000.0,1997639000000.0,1513521500000.0
2095.0,2223434400000.0,1846077400000.0,2002920100000.0,1506427700000.0
2096.0,2215458600000.0,1854776300000.0,1995863500000.0,1512548100000.0
2097.0,2206928000000.0,1849172000000.0,1990520500000.0,1512377300000.0
2098.0,2191344000000.0,1846482700000.0,1986661600000.0,1515857500000.0
2099.0,2192418100000.0,1838629900000.0,1992551800000.0,1517074500000.0
2100.0,2212239200000.0,1820657600000.0,1982074200000.0,1519664600000.0
