time,ACCESS-ESM1-5,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0,ACCESS-CM2,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
