time,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM,CESM2,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,NORESM2-MM
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,104808050000.0,103224010000.0,103449710000.0,104287410000.0,102799830000.0,104224930000.0,103398064000.0,103531990000.0,103437900000.0,106177780000.0,102292010000.0,103326440000.0,103225480000.0
2022.0,103429800000.0,101969590000.0,102793820000.0,101899970000.0,100161960000.0,102283990000.0,103133086000.0,102132760000.0,102484435000.0,104771050000.0,100364970000.0,100030915000.0,102103654000.0
2023.0,100704660000.0,100483050000.0,100181480000.0,100471380000.0,97536230000.0,100576200000.0,101166500000.0,100436990000.0,102197960000.0,103546410000.0,98575030000.0,98325560000.0,101126320000.0
2024.0,98322530000.0,99717040000.0,97393510000.0,97047540000.0,96789225000.0,99982705000.0,98475910000.0,97978340000.0,101216540000.0,101348400000.0,96470860000.0,94994710000.0,99392560000.0
2025.0,97351680000.0,98360050000.0,95847600000.0,95348490000.0,94651550000.0,99105686000.0,96789860000.0,95623230000.0,100015800000.0,100153205000.0,94216210000.0,91392840000.0,97609520000.0
2026.0,96418370000.0,96361460000.0,93556010000.0,91925940000.0,92546580000.0,97023010000.0,94280410000.0,93635290000.0,98647010000.0,99273810000.0,92740550000.0,88038556000.0,96589850000.0
2027.0,94736564000.0,94271110000.0,92155140000.0,90831390000.0,88779160000.0,96029650000.0,92802240000.0,91016180000.0,96359290000.0,97960040000.0,91127185000.0,84154420000.0,94266410000.0
2028.0,93013540000.0,92161730000.0,90293944000.0,88179530000.0,87992770000.0,94771450000.0,92729970000.0,88407380000.0,93780550000.0,95993220000.0,88898590000.0,81639040000.0,92513040000.0
2029.0,92244610000.0,90994410000.0,89158920000.0,85550080000.0,85799944000.0,94300350000.0,90337630000.0,85978660000.0,92306700000.0,93687240000.0,86683930000.0,77498630000.0,90074370000.0
2030.0,90376544000.0,89217745000.0,87733215000.0,82275600000.0,83541870000.0,93923970000.0,88000300000.0,83769730000.0,91166335000.0,92581210000.0,84774040000.0,72720155000.0,88802970000.0
2031.0,88194380000.0,87425155000.0,85382960000.0,80668615000.0,81280840000.0,91782340000.0,85933290000.0,81679210000.0,89675820000.0,90578270000.0,81714760000.0,68962350000.0,86973990000.0
2032.0,86049350000.0,85717450000.0,82507300000.0,77197590000.0,80112570000.0,89858920000.0,83966100000.0,79242430000.0,88066245000.0,89005200000.0,79064070000.0,66026066000.0,85419670000.0
2033.0,84853150000.0,83825885000.0,80753980000.0,75582740000.0,77919290000.0,86456710000.0,81703590000.0,77553030000.0,87297000000.0,86803690000.0,77388820000.0,63386624000.0,84012500000.0
2034.0,83493340000.0,82338250000.0,78338540000.0,73177965000.0,76267800000.0,85459450000.0,80017550000.0,75705950000.0,85267480000.0,84804640000.0,76545370000.0,59252120000.0,81781080000.0
