time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,103810740000.0,103708600000.0,102791684000.0,104440500000.0
2022.0,101069750000.0,99467880000.0,99054380000.0,103685090000.0
2023.0,99919900000.0,97809860000.0,96012460000.0,102746260000.0
2024.0,97998730000.0,96343230000.0,93316800000.0,101231034000.0
2025.0,96915520000.0,93212950000.0,90750980000.0,100707260000.0
2026.0,94858790000.0,90913290000.0,87994590000.0,100675160000.0
2027.0,94146690000.0,88800166000.0,85087300000.0,99093170000.0
2028.0,92133770000.0,85143050000.0,82782340000.0,99686010000.0
2029.0,89593274000.0,82853950000.0,79679414000.0,98555765000.0
2030.0,87879870000.0,78840900000.0,78281040000.0,97044010000.0
2031.0,86641690000.0,76769165000.0,76908210000.0,97389650000.0
2032.0,84116290000.0,73570710000.0,75372085000.0,94900560000.0
2033.0,81554290000.0,69914360000.0,72266965000.0,92707010000.0
2034.0,79706790000.0,67065840000.0,69561640000.0,90874780000.0
2035.0,77844700000.0,65862357000.0,65419500000.0,90213335000.0
2036.0,74743185000.0,62496104000.0,62419153000.0,89521150000.0
2037.0,73637570000.0,59239470000.0,59689697000.0,87401330000.0
2038.0,72116110000.0,57612250000.0,57106180000.0,87343290000.0
2039.0,70625190000.0,55635900000.0,54408260000.0,86811410000.0
2040.0,69712920000.0,53836018000.0,52741464000.0,87051450000.0
2041.0,68857490000.0,52282237000.0,50991130000.0,86167994000.0
2042.0,67760620000.0,50705690000.0,48369095000.0,85764650000.0
2043.0,66732163000.0,49022860000.0,46467310000.0,85694350000.0
2044.0,64733810000.0,47270820000.0,44685206000.0,83644570000.0
2045.0,63673740000.0,45986440000.0,43102970000.0,83033420000.0
2046.0,62415622000.0,43908403000.0,42155557000.0,82472526000.0
2047.0,61139743000.0,42223165000.0,41569130000.0,81722880000.0
2048.0,59285844000.0,41199120000.0,40886174000.0,80739430000.0
2049.0,57981194000.0,39851876000.0,39215980000.0,79620220000.0
2050.0,56539877000.0,38962463000.0,38616297000.0,78963240000.0
