time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2109.0,3356682600000.0,5050934500000.0,4985182000000.0
2110.0,3327767300000.0,5037568300000.0,4962953700000.0
2111.0,3283601300000.0,5026120000000.0,4926022000000.0
2112.0,3245664600000.0,5013821000000.0,4900414600000.0
2113.0,3199030500000.0,4982290000000.0,4889577500000.0
2114.0,3164143000000.0,4951971000000.0,4860633700000.0
2115.0,3123693200000.0,4944535500000.0,4851209600000.0
2116.0,3077233200000.0,4905497000000.0,4822911700000.0
2117.0,3051152000000.0,4888889000000.0,4803167500000.0
2118.0,3014945100000.0,4872370000000.0,4779315000000.0
2119.0,2987154000000.0,4863371000000.0,4758079000000.0
2120.0,2939744000000.0,4829077000000.0,4745660500000.0
2121.0,2906581000000.0,4821663400000.0,4721949000000.0
2122.0,2869369200000.0,4790774400000.0,4696267300000.0
2123.0,2828079500000.0,4763122400000.0,4679468000000.0
2124.0,2786127000000.0,4744453000000.0,4653890000000.0
2125.0,2744467800000.0,4722047600000.0,4628036500000.0
2126.0,2702145000000.0,4698290500000.0,4610757000000.0
2127.0,2663476000000.0,4687871300000.0,4585387000000.0
2128.0,2636150200000.0,4671386000000.0,4562466400000.0
2129.0,2613956800000.0,4640028000000.0,4555877000000.0
2130.0,2587172000000.0,4632634500000.0,4529373000000.0
2131.0,2558814600000.0,4616427700000.0,4510822400000.0
2132.0,2540568000000.0,4580997000000.0,4493713300000.0
2133.0,2513311600000.0,4570063000000.0,4476909400000.0
2134.0,2482721300000.0,4567768500000.0,4473068000000.0
2135.0,2453162200000.0,4566348700000.0,4467270000000.0
2136.0,2418200300000.0,4541262600000.0,4442435000000.0
2137.0,2389348200000.0,4514923000000.0,4417076000000.0
2138.0,2367088000000.0,4495213000000.0,4394691300000.0
2139.0,2347106800000.0,4477782000000.0,4364303600000.0
2140.0,2321946500000.0,4463483400000.0,4346362700000.0
2141.0,2308976400000.0,4458025000000.0,4327180600000.0
2142.0,2289079200000.0,4447736400000.0,4306175500000.0
2143.0,2262106400000.0,4440825300000.0,4293688800000.0
2144.0,2236907800000.0,4433843300000.0,4266989000000.0
2145.0,2214766800000.0,4409342000000.0,4254831500000.0
2146.0,2189463000000.0,4393054000000.0,4242138200000.0
2147.0,2164163000000.0,4382150400000.0,4222090700000.0
2148.0,2138934200000.0,4363087800000.0,4198279700000.0
2149.0,2119362200000.0,4355595000000.0,4184098700000.0
2150.0,2095537000000.0,4342902400000.0,4167096300000.0
2151.0,2070525400000.0,4337443300000.0,4144660000000.0
2152.0,2047399000000.0,4323086400000.0,4126603500000.0
2153.0,2032887300000.0,4305327000000.0,4110024200000.0
2154.0,1995849200000.0,4295013400000.0,4091137800000.0
2155.0,1970456200000.0,4292971300000.0,4075281400000.0
2156.0,1947506400000.0,4282499200000.0,4066505000000.0
2157.0,1927395900000.0,4274943700000.0,4057434200000.0
2158.0,1906295200000.0,4269482700000.0,4045651600000.0
2159.0,1886343800000.0,4269761000000.0,4022785300000.0
2160.0,1855782000000.0,4267810500000.0,4011626300000.0
2161.0,1835058300000.0,4250346000000.0,4002147700000.0
2162.0,1809545800000.0,4242452000000.0,3989034000000.0
2163.0,1791584500000.0,4235642300000.0,3964021200000.0
2164.0,1778773800000.0,4224778800000.0,3939942300000.0
2165.0,1759627600000.0,4210088200000.0,3920293800000.0
2166.0,1748092000000.0,4206832000000.0,3906863600000.0
2167.0,1732015400000.0,4209650700000.0,3888991200000.0
2168.0,1717031100000.0,4202003200000.0,3878687600000.0
2169.0,1701791900000.0,4195336600000.0,3862432800000.0
2170.0,1686650200000.0,4184216200000.0,3841888600000.0
2171.0,1678176700000.0,4182341800000.0,3813813000000.0
2172.0,1663791800000.0,4178565400000.0,3799584600000.0
2173.0,1656351500000.0,4165230100000.0,3792041400000.0
2174.0,1647973200000.0,4161915800000.0,3783348500000.0
2175.0,1635168300000.0,4163886400000.0,3757092000000.0
2176.0,1620054600000.0,4167489000000.0,3744175800000.0
2177.0,1607935600000.0,4165669500000.0,3731004900000.0
2178.0,1587081800000.0,4166775500000.0,3715449200000.0
2179.0,1573161700000.0,4160799400000.0,3703378000000.0
2180.0,1562986500000.0,4157209300000.0,3683435700000.0
2181.0,1550117100000.0,4153270900000.0,3666773000000.0
2182.0,1544967600000.0,4171934000000.0,3666909300000.0
2183.0,1529805500000.0,4152729300000.0,3669388200000.0
2184.0,1518830700000.0,4147270400000.0,3655994000000.0
2185.0,1504922200000.0,4134474600000.0,3637557900000.0
2186.0,1487336000000.0,4133997800000.0,3627378300000.0
2187.0,1475469400000.0,4131456800000.0,3615261200000.0
2188.0,1460042100000.0,4130134600000.0,3607987000000.0
2189.0,1450721100000.0,4119458000000.0,3594399800000.0
2190.0,1440211400000.0,4112161700000.0,3579866500000.0
2191.0,1429093700000.0,4104512300000.0,3574826000000.0
2192.0,1415862800000.0,4112767300000.0,3567071300000.0
2193.0,1400422500000.0,4102421500000.0,3548730000000.0
2194.0,1382131600000.0,4103520400000.0,3541150500000.0
2195.0,1370238100000.0,4093449900000.0,3531854600000.0
2196.0,1361150000000.0,4092811500000.0,3519838200000.0
2197.0,1347154700000.0,4082639300000.0,3514114800000.0
2198.0,1328404900000.0,4071503700000.0,3505618400000.0
2199.0,1317225400000.0,4059513200000.0,3499963700000.0
2200.0,1304404700000.0,4053305700000.0,3489907900000.0
2201.0,1297846800000.0,4045671800000.0,3480384400000.0
2202.0,1294311900000.0,4041629500000.0,3472475800000.0
2203.0,1282063900000.0,4030491300000.0,3471362800000.0
2204.0,1270384300000.0,4031757200000.0,3466226600000.0
2205.0,1259293600000.0,4021101000000.0,3455162800000.0
2206.0,1248572700000.0,4010884500000.0,3443845500000.0
2207.0,1244350600000.0,4014650700000.0,3432977000000.0
2208.0,1234317200000.0,4014346300000.0,3430487700000.0
2209.0,1224264900000.0,4010381000000.0,3425837300000.0
2210.0,1214379500000.0,4005271000000.0,3410752000000.0
2211.0,1210889900000.0,3991614000000.0,3398938000000.0
2212.0,1200174900000.0,3977943400000.0,3385976200000.0
2213.0,1194988400000.0,3976568000000.0,3380129600000.0
2214.0,1186955800000.0,3973655300000.0,3369018300000.0
2215.0,1181893000000.0,3971376700000.0,3359994800000.0
2216.0,1173684100000.0,3961232300000.0,3355289600000.0
2217.0,1170062300000.0,3945897700000.0,3346463700000.0
2218.0,1160362900000.0,3946974000000.0,3332068000000.0
2219.0,1154669100000.0,3949376600000.0,3318116300000.0
2220.0,1148402000000.0,3951342400000.0,3309933200000.0
2221.0,1146467900000.0,3949371300000.0,3300491000000.0
2222.0,1144715500000.0,3959015000000.0,3303790000000.0
2223.0,1137426200000.0,3954844600000.0,3299007800000.0
2224.0,1133394800000.0,3965991300000.0,3287059800000.0
2225.0,1127596800000.0,3974123000000.0,3281796200000.0
2226.0,1124405600000.0,3976628500000.0,3275523400000.0
2227.0,1117515400000.0,3976210200000.0,3281093100000.0
2228.0,1111002300000.0,3978154200000.0,3272115500000.0
2229.0,1103064900000.0,3985686100000.0,3266493300000.0
2230.0,1098688300000.0,3995448600000.0,3265973500000.0
2231.0,1095935660000.0,4002976600000.0,3263998000000.0
2232.0,1089017150000.0,4010051600000.0,3270108300000.0
2233.0,1082723300000.0,4009376600000.0,3261767400000.0
2234.0,1078605800000.0,4013305400000.0,3268113300000.0
2235.0,1074037850000.0,4019638800000.0,3265109000000.0
2236.0,1070335900000.0,4015315200000.0,3258945600000.0
2237.0,1063180700000.0,4013354400000.0,3259878000000.0
2238.0,1061622000000.0,4003464200000.0,3259617000000.0
2239.0,1057604400000.0,4002592800000.0,3246569300000.0
2240.0,1050390800000.0,4004165500000.0,3248604600000.0
2241.0,1044024700000.0,4008322300000.0,3249661800000.0
2242.0,1040064100000.0,4013511000000.0,3241095000000.0
2243.0,1037728200000.0,4009302400000.0,3238900500000.0
2244.0,1036187300000.0,4012311600000.0,3237316700000.0
2245.0,1027475440000.0,4015488500000.0,3229017700000.0
2246.0,1025658600000.0,4016991600000.0,3227964000000.0
2247.0,1024023900000.0,4016782200000.0,3233685000000.0
2248.0,1024023130000.0,4005149800000.0,3227341300000.0
2249.0,1021033700000.0,3999442400000.0,3221293400000.0
2250.0,1018127600000.0,4000689400000.0,3215225300000.0
2251.0,1014683500000.0,4008000000000.0,3212725000000.0
2252.0,1011970200000.0,4001957400000.0,3202802300000.0
2253.0,1012864500000.0,4002052300000.0,3204015000000.0
2254.0,1011059850000.0,4016630000000.0,3199351000000.0
2255.0,1008640460000.0,4016980000000.0,3196926800000.0
2256.0,1004234340000.0,4019673400000.0,3193616000000.0
