time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7265759300000.0,7251160000000.0,7272097000000.0
2022.0,7243752300000.0,7244007600000.0,7248592000000.0
2023.0,7222493400000.0,7224798000000.0,7236765600000.0
2024.0,7204003000000.0,7187184000000.0,7199832700000.0
2025.0,7176097000000.0,7167054700000.0,7169251000000.0
2026.0,7154685700000.0,7122438300000.0,7148925000000.0
2027.0,7145839000000.0,7099788000000.0,7130838500000.0
2028.0,7124483000000.0,7076736000000.0,7121728400000.0
2029.0,7101735000000.0,7051486400000.0,7099312500000.0
2030.0,7067700600000.0,7016006000000.0,7081366700000.0
2031.0,7045369000000.0,6990033600000.0,7061166400000.0
2032.0,7033440000000.0,6980651000000.0,7027640000000.0
2033.0,7019012000000.0,6957625000000.0,7009230400000.0
2034.0,6998543300000.0,6926542000000.0,6993361000000.0
2035.0,6989787000000.0,6889155300000.0,6970000000000.0
2036.0,6958004000000.0,6870834600000.0,6928620000000.0
2037.0,6927938000000.0,6837774000000.0,6913016000000.0
2038.0,6918903400000.0,6798077600000.0,6896293000000.0
2039.0,6886310000000.0,6771603000000.0,6865682000000.0
2040.0,6859415600000.0,6719864300000.0,6862134000000.0
2041.0,6817283000000.0,6677901300000.0,6849828500000.0
2042.0,6795074500000.0,6631860000000.0,6835888700000.0
2043.0,6777491000000.0,6591332500000.0,6807863000000.0
2044.0,6751495000000.0,6534593500000.0,6778274700000.0
2045.0,6711636000000.0,6493923400000.0,6757079000000.0
2046.0,6688093500000.0,6454998000000.0,6731330000000.0
2047.0,6641382000000.0,6417828300000.0,6709839400000.0
2048.0,6584726000000.0,6385777000000.0,6666209000000.0
2049.0,6554068700000.0,6349628400000.0,6634042600000.0
2050.0,6513822300000.0,6283815600000.0,6617305000000.0
2051.0,6480479000000.0,6219593400000.0,6583380600000.0
2052.0,6437282500000.0,6177287000000.0,6509985500000.0
2053.0,6382642000000.0,6139890000000.0,6480559300000.0
2054.0,6348973000000.0,6089558000000.0,6418942000000.0
2055.0,6318070000000.0,6043033700000.0,6374994000000.0
2056.0,6283017000000.0,5977622000000.0,6355400000000.0
2057.0,6250634000000.0,5917231300000.0,6300087000000.0
2058.0,6206585300000.0,5872586600000.0,6237582300000.0
2059.0,6175989400000.0,5824466400000.0,6175800700000.0
2060.0,6128062700000.0,5778725400000.0,6114089000000.0
2061.0,6092757700000.0,5726037600000.0,6080210400000.0
2062.0,6007434500000.0,5661765000000.0,6035126000000.0
2063.0,5973278000000.0,5610287400000.0,5988659000000.0
2064.0,5922393400000.0,5555461600000.0,5930859600000.0
2065.0,5867454000000.0,5501457300000.0,5876852700000.0
2066.0,5790272000000.0,5449750400000.0,5817950000000.0
2067.0,5740912700000.0,5399240500000.0,5748920000000.0
2068.0,5685121600000.0,5353100000000.0,5686323000000.0
2069.0,5601890400000.0,5298382700000.0,5586490500000.0
2070.0,5544278500000.0,5234427000000.0,5494659400000.0
2071.0,5479832500000.0,5188931000000.0,5429731500000.0
2072.0,5355600300000.0,5137977300000.0,5377917700000.0
2073.0,5281545000000.0,5097459000000.0,5305695000000.0
2074.0,5129977700000.0,5030430600000.0,5234418000000.0
2075.0,5041157600000.0,4966559000000.0,5149184000000.0
2076.0,4915795000000.0,4910106500000.0,5067557600000.0
2077.0,4827983000000.0,4859090000000.0,4976892000000.0
2078.0,4741416400000.0,4795091000000.0,4889465000000.0
2079.0,4635985700000.0,4739985000000.0,4751369400000.0
2080.0,4532906000000.0,4692620300000.0,4595107500000.0
2081.0,4422405500000.0,4627948400000.0,4475213300000.0
2082.0,4343306400000.0,4577079000000.0,4347145700000.0
2083.0,4245376500000.0,4519848600000.0,4223552700000.0
2084.0,4127835800000.0,4456493600000.0,4116189000000.0
2085.0,4041287000000.0,4390341800000.0,4018946700000.0
2086.0,3917954200000.0,4330626700000.0,3938946600000.0
2087.0,3811688300000.0,4278751600000.0,3787428500000.0
2088.0,3725501400000.0,4229394300000.0,3639579800000.0
2089.0,3645402800000.0,4178992200000.0,3511297000000.0
2090.0,3535595600000.0,4117329300000.0,3392986200000.0
2091.0,3440919700000.0,4069511000000.0,3276049000000.0
2092.0,3311918000000.0,4010710700000.0,3154770400000.0
2093.0,3196617500000.0,3950540800000.0,3014146400000.0
2094.0,3101030400000.0,3888525000000.0,2902705600000.0
2095.0,3002579800000.0,3831683000000.0,2823144000000.0
2096.0,2902922600000.0,3773071600000.0,2713737800000.0
2097.0,2815318300000.0,3724590000000.0,2600329800000.0
2098.0,2734134000000.0,3665844200000.0,2507950000000.0
2099.0,2638832000000.0,3602653400000.0,2390453600000.0
2100.0,2539495400000.0,3549365300000.0,2278873400000.0
2101.0,2469153000000.0,3491797100000.0,2184406000000.0
2102.0,2360424300000.0,3437598900000.0,2119032000000.0
2103.0,2263766800000.0,3384120200000.0,2035781100000.0
2104.0,2149347600000.0,3330189800000.0,1955257300000.0
2105.0,2042319900000.0,3279028500000.0,1880137700000.0
2106.0,1947133300000.0,3224403400000.0,1788279900000.0
2107.0,1864620700000.0,3175905200000.0,1721776700000.0
2108.0,1782718900000.0,3123234200000.0,1650922500000.0
2109.0,1672830900000.0,3075049500000.0,1575203200000.0
2110.0,1576058000000.0,3025461600000.0,1507204400000.0
2111.0,1460939400000.0,2965895400000.0,1444230600000.0
2112.0,1342718700000.0,2910023600000.0,1365905900000.0
2113.0,1251805200000.0,2855163100000.0,1305356100000.0
2114.0,1158464800000.0,2801053500000.0,1239294500000.0
2115.0,1077672800000.0,2748268200000.0,1173731700000.0
2116.0,987080160000.0,2701484400000.0,1108451000000.0
2117.0,902617960000.0,2655978800000.0,1066241160000.0
2118.0,808737000000.0,2607978400000.0,1014794900000.0
2119.0,723527400000.0,2556381000000.0,964433740000.0
