time,CESM1-CAM5,CCSM4
2152.0,369710730000.0,1321240400000.0
2153.0,356083760000.0,1300780500000.0
2154.0,340531800000.0,1274878500000.0
2155.0,331057660000.0,1235720100000.0
2156.0,322630580000.0,1210931000000.0
2157.0,311664900000.0,1184386800000.0
2158.0,296961840000.0,1151921000000.0
2159.0,284266040000.0,1124253200000.0
2160.0,273567330000.0,1104664200000.0
2161.0,261866540000.0,1086572660000.0
2162.0,250205720000.0,1059213200000.0
2163.0,239386540000.0,1025952500000.0
2164.0,227849030000.0,1006569800000.0
2165.0,218332610000.0,981350700000.0
2166.0,206533480000.0,966129000000.0
2167.0,195284420000.0,952940170000.0
2168.0,185346360000.0,939509550000.0
2169.0,174880770000.0,920724900000.0
2170.0,164688200000.0,902468900000.0
2171.0,154559990000.0,881403170000.0
2172.0,145676400000.0,864853950000.0
2173.0,136944210000.0,844759240000.0
2174.0,129938870000.0,826485000000.0
2175.0,122674440000.0,809276740000.0
2176.0,113637230000.0,796670200000.0
2177.0,105922190000.0,780570900000.0
2178.0,98905090000.0,767847900000.0
2179.0,92353520000.0,753535200000.0
2180.0,86577070000.0,738165700000.0
2181.0,82320610000.0,720931900000.0
2182.0,77507950000.0,709496700000.0
2183.0,71367550000.0,694826100000.0
2184.0,66716836000.0,686039500000.0
2185.0,62587400000.0,675694300000.0
2186.0,58786615000.0,668205700000.0
2187.0,55856742000.0,657503600000.0
2188.0,53389136000.0,644282700000.0
2189.0,50978234000.0,632041440000.0
2190.0,48905740000.0,620241500000.0
2191.0,46974562000.0,609665740000.0
2192.0,44372066000.0,601651900000.0
2193.0,42095740000.0,593712000000.0
2194.0,40056310000.0,588258340000.0
2195.0,38572126000.0,582093440000.0
2196.0,36714787000.0,578496560000.0
2197.0,34823758000.0,570040000000.0
2198.0,32837181000.0,557661600000.0
2199.0,30618776000.0,542973700000.0
2200.0,28388788000.0,534983540000.0
2201.0,26574710000.0,526593160000.0
2202.0,25132900000.0,517174660000.0
2203.0,23295009000.0,509965040000.0
2204.0,21640114000.0,501250060000.0
2205.0,20215951000.0,493812550000.0
2206.0,18620780000.0,481900400000.0
2207.0,17238490000.0,474401770000.0
2208.0,15733668000.0,464509800000.0
2209.0,14551709000.0,456388300000.0
2210.0,13344259000.0,449202850000.0
2211.0,12238192000.0,440348600000.0
2212.0,11156714000.0,429864650000.0
2213.0,10248660000.0,422559500000.0
2214.0,9352311000.0,417631930000.0
2215.0,8587515400.0,412064680000.0
2216.0,7824947700.0,403166000000.0
2217.0,6991261000.0,395858400000.0
2218.0,6272957000.0,388696800000.0
2219.0,5699947500.0,379291530000.0
2220.0,5240938000.0,369529200000.0
2221.0,4850311700.0,360380370000.0
2222.0,4390641700.0,351882020000.0
2223.0,3925406700.0,343311200000.0
2224.0,3524393200.0,334857100000.0
2225.0,3201291000.0,327074600000.0
2226.0,2914841300.0,316086750000.0
2227.0,2683103500.0,304731800000.0
2228.0,2506167800.0,294773700000.0
2229.0,2304077800.0,283944000000.0
2230.0,2134630100.0,276669830000.0
2231.0,1946148000.0,271120170000.0
2232.0,1776913900.0,264447030000.0
2233.0,1619383800.0,259025900000.0
2234.0,1467161300.0,252625390000.0
2235.0,1315602600.0,245653490000.0
2236.0,1183477000.0,238221480000.0
2237.0,1045562500.0,233795450000.0
2238.0,925391740.0,227655860000.0
2239.0,804289600.0,223377980000.0
2240.0,699331200.0,220096800000.0
2241.0,621287800.0,216906710000.0
2242.0,591231100.0,213077260000.0
2243.0,560474000.0,208680710000.0
2244.0,532885500.0,206305760000.0
2245.0,505011200.0,202742740000.0
2246.0,479632420.0,199216460000.0
2247.0,462702800.0,196429820000.0
2248.0,441063400.0,192989330000.0
2249.0,438559940.0,188852160000.0
2250.0,423408540.0,186200080000.0
2251.0,413698530.0,182329020000.0
2252.0,405229500.0,179000570000.0
2253.0,397542240.0,175696000000.0
2254.0,394322850.0,173600850000.0
2255.0,387629820.0,171195660000.0
2256.0,381434400.0,168216950000.0
2257.0,378575940.0,165638030000.0
2258.0,373673730.0,163417050000.0
2259.0,377044900.0,161815180000.0
2260.0,380209440.0,159867040000.0
2261.0,376663400.0,158880480000.0
2262.0,380874460.0,156083320000.0
2263.0,374149950.0,153418200000.0
2264.0,368188100.0,151711450000.0
2265.0,364893760.0,149596620000.0
2266.0,355988800.0,148550450000.0
2267.0,343487300.0,146432640000.0
2268.0,341371680.0,143802270000.0
2269.0,343656600.0,140996770000.0
2270.0,347736130.0,138669440000.0
2271.0,343911000.0,137318605000.0
2272.0,338960800.0,135134265000.0
2273.0,331659300.0,131380750000.0
2274.0,325470460.0,130293260000.0
2275.0,324830600.0,129005355000.0
2276.0,321705700.0,126691385000.0
2277.0,316786750.0,124050915000.0
2278.0,309217000.0,120124220000.0
2279.0,303203840.0,118798750000.0
2280.0,303421200.0,116522430000.0
2281.0,302101700.0,114030970000.0
2282.0,301942620.0,110913044000.0
2283.0,296318400.0,108228350000.0
2284.0,293277600.0,106764570000.0
2285.0,291186340.0,105533200000.0
2286.0,288362050.0,104293610000.0
2287.0,282597380.0,102486730000.0
2288.0,277078720.0,101106280000.0
2289.0,271813900.0,99374100000.0
2290.0,275909820.0,97496840000.0
2291.0,275979040.0,96198240000.0
2292.0,269772640.0,93531320000.0
2293.0,273467330.0,92351620000.0
2294.0,269411230.0,90902240000.0
2295.0,263006740.0,89677005000.0
2296.0,259173250.0,87844315000.0
2297.0,259653060.0,86530580000.0
2298.0,253746580.0,85050515000.0
2299.0,248111230.0,83589580000.0
2300.0,251008580.0,82095460000.0
