time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2085.0,85548911857000.0,96632054523000.0,96749741124000.0,93703883708700.0
2086.0,84893546259000.0,96137463704000.0,96048669364600.0,93184691596000.0
2087.0,84216924075100.0,95783737138000.0,95302776415300.0,92510882698000.0
2088.0,83476913556300.0,95397108928000.0,94758465724500.0,91732290768000.0
2089.0,82724104197600.0,94997719977000.0,94182649455600.0,90991101176000.0
2090.0,82011992629900.0,94473708090000.0,93402906040000.0,90274964383000.0
2091.0,81342549295700.0,94045739979000.0,92780825311000.0,89449669366000.0
2092.0,80815784963700.0,93440903964000.0,92147279150600.0,88851941414000.0
2093.0,80227262294000.0,92998138560000.0,91462896568300.0,88290929670000.0
2094.0,79474892032600.0,92385249070000.0,90897849475300.0,87557011585500.0
2095.0,78780606685700.0,91973606376000.0,90284125260000.0,86822801066600.0
2096.0,77956185308500.0,91616779673000.0,89738918834400.0,86065649681600.0
2097.0,77321429440300.0,91285040047000.0,89251718767000.0,85400557409000.0
2098.0,76789528781000.0,90898877584000.0,88658260777500.0,84735660705600.0
2099.0,76213781326000.0,90559215451000.0,88173926692500.0,84190643199000.0
2100.0,75502784734700.0,90147218007000.0,87650093041700.0,83559716325000.0
