time,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,MRI-ESM2-0,EC-EARTH3,CESM2,CESM2-WACCM,CAMS-CSM1-0
2041.0,140042922995000.0,140856355799000.0,140240440337000.0,135513602849000.0,137271383814000.0,139760553046000.0,139401999352000.0,136510263622000.0,137417779777000.0,133315796894000.0,136196626098000.0,138987158443000.0,140704197461000.0
2042.0,139375864689000.0,140287521905000.0,139722877722000.0,134502235115000.0,136496688565000.0,139245572568000.0,138831940803000.0,135746559224000.0,136818705658000.0,132588998222000.0,135498952190000.0,138183054838000.0,140250705942000.0
2043.0,138751443322000.0,139582562017000.0,139146888905000.0,133532796114000.0,135630512167000.0,138807177613000.0,138271303606000.0,134961760456000.0,136001127469000.0,131591327510000.0,134768674838000.0,137314012415000.0,139732926653000.0
2044.0,138116584180000.0,139022991554000.0,138687954947000.0,132775397195000.0,134769875191000.0,138173751587000.0,137808397449000.0,134217101908000.0,135198326168000.0,130551769474000.0,134200406687000.0,136600084530000.0,139261893791000.0
2045.0,137786707802000.0,138548894906000.0,138251433494000.0,131945063092000.0,134030784254000.0,137626495324000.0,137265432207000.0,133163865027000.0,134590573915000.0,129786494610000.0,133366743545000.0,135854568399000.0,138862597285000.0
2046.0,137217462998000.0,138056479722000.0,137521339592000.0,130994813700000.0,133459943428000.0,137091341401000.0,136569030969000.0,132294153632000.0,134006737324000.0,128927634874000.0,132533668975000.0,135122326326000.0,138495480863000.0
2047.0,136527229214000.0,137458569201000.0,136932213665000.0,130040337773000.0,132671631766000.0,136408622802000.0,135919078721000.0,131131588502000.0,133279024872000.0,127745992178000.0,131690095619000.0,134387976755000.0,138015928929000.0
2048.0,135937516220000.0,136855042906000.0,136329103488000.0,129055386855000.0,131958275221000.0,135809209330000.0,135220409564000.0,130021662265000.0,132227642796000.0,126627016526000.0,130792828044000.0,133516336814000.0,137574018948000.0
2049.0,135205986505000.0,136111260058000.0,135878606559000.0,128136079095000.0,131161211592000.0,135251892881000.0,134533717735000.0,128958862398000.0,131456318402000.0,125398038726000.0,129974330226000.0,132790340710000.0,137053953875000.0
2050.0,134599272817000.0,135398385828000.0,135243427217000.0,127120492398000.0,130237370688000.0,134598143251000.0,133980094249000.0,127817066752000.0,130832642543000.0,124246063637000.0,129105928600000.0,131798450944000.0,136572972821000.0
2051.0,134040111752000.0,134761646041000.0,134693076257000.0,126225579981000.0,129680914689000.0,133973533640000.0,133440979442000.0,126694595156000.0,129957759933000.0,123235777668000.0,128316751109000.0,130799206761000.0,136060352524000.0
2052.0,133265789298000.0,134196190541000.0,134069034476000.0,125359940333000.0,128757229987000.0,133352819515000.0,132889476552000.0,125659079094000.0,128969638404000.0,122150935244000.0,127580314764000.0,129974623192000.0,135397439669000.0
2053.0,132598425638000.0,133513371494000.0,133394659329000.0,124515344168000.0,127950254931000.0,132750246862000.0,132310818516000.0,124450112517000.0,127831153795000.0,121090666903000.0,126659460932000.0,129211457396000.0,134968140791000.0
2054.0,131822614893000.0,132781296290000.0,132638458678000.0,123469188314000.0,127321386143000.0,132079802814000.0,131658091132000.0,123033195504000.0,127000182359000.0,119767086175000.0,125605945393000.0,128529064359000.0,134475033165000.0
2055.0,131091379520000.0,132096346072000.0,131905371634000.0,122446818424000.0,126428843222000.0,131553764562000.0,131019138964000.0,121678796765000.0,125885611779000.0,118318456757000.0,124592239792000.0,127819134846000.0,133822115212000.0
2056.0,130534432165000.0,131351365350000.0,131506116232000.0,121377055031000.0,125509426350000.0,130916593280000.0,130575534073000.0,120469440645000.0,124839924956000.0,117056257477000.0,123798226236000.0,126752631537000.0,133250011964000.0
2057.0,129840407790000.0,130608144870000.0,131022805802000.0,120374184332000.0,124855521826000.0,130294832218000.0,130004665184000.0,119317252452000.0,123811780257000.0,115730477909000.0,122889061020000.0,125800318676000.0,132642901683000.0
2058.0,129059636487000.0,129852193093000.0,130354174833000.0,119187313953000.0,124087238741000.0,129594775747000.0,129366938325000.0,118118252748000.0,122744743910000.0,114568577593000.0,122050488844000.0,124677503987000.0,132117749615000.0
2059.0,128360694382000.0,129131874547000.0,129662763888000.0,118053423042000.0,123227391619000.0,128828137194000.0,128708968273000.0,116940324666000.0,121642175179000.0,113187355505000.0,121223603108000.0,123886270991000.0,131550663655000.0
2060.0,127707465700000.0,128318273613000.0,129118303231000.0,116805335587000.0,122455979997000.0,128275830229000.0,128061747252000.0,115788845748000.0,120932423064000.0,111910514982000.0,120260848689000.0,123010458595000.0,130974203595000.0
2061.0,126916123287000.0,127558740518000.0,128290805264000.0,115646777085000.0,121494389068000.0,127692648742000.0,127407319577000.0,114388541738000.0,119937976385000.0,110550978484700.0,119219663693000.0,121996271421000.0,130461487312000.0
2062.0,126217766345000.0,126960376724000.0,127613205148000.0,114544635127000.0,120417092275000.0,127010150396000.0,126653706530000.0,113096547337000.0,119127282958000.0,109228682893000.0,118299876840000.0,120969057586000.0,129946083617000.0
2063.0,125411720327000.0,126363967672000.0,126774200098000.0,113411488375000.0,119393028612000.0,126295861240000.0,125994331961000.0,111612778600000.0,118097481559000.0,107673544626000.0,117065659481000.0,119843059538000.0,129321379836000.0
2064.0,124693588163000.0,125805796447000.0,126102965008000.0,112464057538000.0,118472581052000.0,125635682144000.0,125197660025000.0,110114865116000.0,117207420753000.0,106415496351700.0,115961365135000.0,118683091959000.0,128744966158000.0
2065.0,123803615714000.0,125110219011000.0,125421708099000.0,111550771501000.0,117609883381000.0,124856585524000.0,124494959142000.0,108691259986000.0,116204535325000.0,105072264990500.0,114942917122000.0,117692669390000.0,128241327571000.0
2066.0,122745056168700.0,124431938969000.0,124598997183000.0,110500260824000.0,116762387207000.0,124169509328000.0,124005686231000.0,107238858012000.0,115303442874000.0,103611284249400.0,113689572568000.0,116757696407000.0,127927067642000.0
2067.0,121812856349000.0,123837217880000.0,123849844479000.0,109545821092000.0,116080746598000.0,123378848615000.0,123378655545000.0,105815093482000.0,114310389817000.0,102177336135700.0,112442639703000.0,115627165433000.0,127371584718000.0
2068.0,121073957924000.0,123214924789000.0,123207808509000.0,108436536571000.0,115252298617000.0,122531744847000.0,122766298139000.0,104408940003000.0,113070810523000.0,100745486035300.0,111367381997000.0,114313422060000.0,126694233305000.0
2069.0,120243085667700.0,122519380017000.0,122401515915000.0,107347461335000.0,114124627458000.0,121768384459000.0,122200504873000.0,102878444226000.0,112143083205000.0,99345237949000.0,110196074832700.0,113312724817000.0,126163128300000.0
2070.0,119291613083700.0,121757076662000.0,121608843715000.0,106348919978000.0,113178673371000.0,120947254159000.0,121590231818000.0,101386384333000.0,110954240735000.0,98037584090000.0,108745225234500.0,111893638016000.0,125612495835000.0
2071.0,118491816120000.0,120893815718000.0,120832402455400.0,105211504882500.0,112204754874000.0,120065636264000.0,120977111130000.0,99769067091000.0,109617991387000.0,96611667918800.0,107552193027000.0,110714024371600.0,125111175195000.0
2072.0,117484071000000.0,120065174932000.0,120018253546000.0,104422698238000.0,111106265479000.0,119332628744000.0,120475916309000.0,98182467393000.0,108385551886000.0,95276577147800.0,106468099937300.0,109617864222400.0,124551651603000.0
2073.0,116462096889700.0,119332242284000.0,119217152453000.0,103311446905400.0,110159963629000.0,118507957495000.0,119881073229000.0,96477387543300.0,107423164156000.0,93688101114700.0,105281291467000.0,108268315415500.0,123960438035000.0
2074.0,115484718557700.0,118599321580000.0,118193594106000.0,102264097989700.0,109132895529000.0,117544292278000.0,119225924784000.0,94794725271700.0,106279516811000.0,92411073451500.0,103990283065000.0,107072704492500.0,123378405996000.0
2075.0,114670784687600.0,117877117031000.0,117252750408600.0,101119852624900.0,108020760404000.0,116652175823000.0,118736286238000.0,93339280489000.0,105081336865600.0,91067774830200.0,102861807544300.0,105962713448000.0,122690395936000.0
2076.0,113578240013000.0,117127754863000.0,116536576687000.0,100112221358100.0,106928030491000.0,115874639941000.0,118142586927300.0,91570410496700.0,103912206300700.0,89570625561800.0,101680956018700.0,104641873349500.0,122157490617000.0
2077.0,112600682744300.0,116386389300000.0,115632659666000.0,99123203267400.0,105890611960700.0,115106097648000.0,117425096525500.0,89770044699300.0,102847461098000.0,87975818891700.0,100156090792000.0,103444217029400.0,121578035271000.0
2078.0,111780407321000.0,115670409546000.0,114901235319500.0,98164731395800.0,104972610250300.0,114355703395000.0,116787634738600.0,88222694827300.0,101620502949000.0,86227495261400.0,99134751224000.0,102147612565300.0,121109360262000.0
2079.0,110983242163400.0,114788672218000.0,114164730355000.0,97193904881900.0,104109561618200.0,113568031075600.0,116260307375000.0,86525488002600.0,100445062662500.0,84524434185300.0,97553413155900.0,100951607817400.0,120654479351000.0
2080.0,110196379684800.0,114103056827000.0,113325432746000.0,96133038424400.0,103247559630800.0,112765627924600.0,115606976816000.0,85041056225500.0,99261000804900.0,82861267761800.0,95993749400700.0,99727801251000.0,120071445608000.0
2081.0,109391653627800.0,113445357355000.0,112491451761300.0,95057942690700.0,102304559258600.0,111899937745700.0,114988468769000.0,83280587669700.0,98053254344000.0,81237822822300.0,94676129251000.0,98557734131100.0,119501650362000.0
2082.0,108502266580900.0,112870899828000.0,111571684485500.0,94012816312400.0,101171147976300.0,111212996356600.0,114334626549000.0,81441495915900.0,96966738374000.0,79710741889000.0,93246605573700.0,97354177020300.0,119068575201000.0
2083.0,107601637218100.0,112125329072000.0,110799484158300.0,92907354117900.0,100028928036000.0,110387500685300.0,113621289037400.0,79674961316300.0,95780941253100.0,78201583290800.0,91672335454900.0,96208605735800.0,118498251615000.0
2084.0,106692958854200.0,111447639903000.0,109964241028000.0,91787762780000.0,99123103867000.0,109579416795500.0,112915697583000.0,78027236790100.0,94833439379000.0,76684116870700.0,90243542291100.0,94822869074900.0,117837359253000.0
2085.0,105693988854500.0,110796075345300.0,109098674177000.0,90655002975300.0,98303916101700.0,108819679081300.0,112209406979000.0,76277085244700.0,93680270904400.0,75181450178900.0,88845778391800.0,93483668618800.0,117281774120000.0
2086.0,104719508642600.0,110165637443000.0,108311366614600.0,89533370902000.0,97116297727700.0,108077828878100.0,111323168489000.0,74514179278600.0,92513675080600.0,73566415730200.0,87486824554400.0,91866294110500.0,116869010409000.0
2087.0,103706214991800.0,109339277496600.0,107446330580000.0,88598846756300.0,96119123464100.0,107368481264200.0,110346064492100.0,72970959958700.0,91338086976000.0,72090284415000.0,86085154695200.0,90417781317600.0,116326091675000.0
2088.0,102746696761600.0,108634918629400.0,106588692216500.0,87475718208500.0,95214626684600.0,106602939494500.0,109693932781700.0,71379261419700.0,90278448781900.0,70663508939000.0,84706972333800.0,89104589100300.0,115756171210000.0
2089.0,101792519469500.0,107867816062000.0,105804138872600.0,86390795514100.0,94287457526100.0,105838819661700.0,109032190994000.0,69708274117400.0,89316553939300.0,69089202431900.0,83176630416400.0,87567286390000.0,115154673454000.0
