time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2085.0,122015186118000.0,107695044212000.0,112111552793000.0,126710541312000.0
2086.0,121761856601000.0,107185599144000.0,111798764818000.0,126478185308000.0
2087.0,121588380133000.0,106672029162000.0,111514852587000.0,126226935374000.0
2088.0,121425850583000.0,106290799825000.0,111233291894000.0,126094038635000.0
2089.0,121279762482000.0,105835192784000.0,111130109883000.0,125814888361000.0
2090.0,121001140142000.0,105355144235000.0,110820886185000.0,125575698199000.0
2091.0,120797663011000.0,104810468196000.0,110495793118000.0,125266033460000.0
2092.0,120576240761000.0,104404712306000.0,110166447219000.0,124978933499000.0
2093.0,120236805385000.0,103838415643000.0,109878793212000.0,124668743569000.0
2094.0,119939691763000.0,103247846959000.0,109431585642000.0,124323534822000.0
2095.0,119792465812000.0,102701476975000.0,109119211237000.0,124184873684000.0
2096.0,119538782981000.0,102200220270000.0,108773464665000.0,123981793133000.0
2097.0,119271578591000.0,101664067306000.0,108502287433000.0,123652477217000.0
2098.0,119107973610000.0,101067667912000.0,108157017103000.0,123437901567000.0
2099.0,118897610560000.0,100470829521000.0,107889574815000.0,123325445574000.0
2100.0,118667042154000.0,99897303205000.0,107715503872000.0,123166002822000.0
