time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2059.0,1724897000000.0,2643011300000.0,2630828400000.0,2286800000000.0,2507162800000.0,2849242000000.0
2060.0,1667674000000.0,2610839000000.0,2603366700000.0,2262487300000.0,2468381000000.0,2819597500000.0
2061.0,1609177600000.0,2578868900000.0,2569685700000.0,2230149700000.0,2432976000000.0,2798034600000.0
2062.0,1555088500000.0,2552610200000.0,2543228000000.0,2205880400000.0,2394935500000.0,2769620600000.0
2063.0,1508118000000.0,2536918700000.0,2510046600000.0,2181840200000.0,2364385000000.0,2743592300000.0
2064.0,1454203000000.0,2517356000000.0,2480325800000.0,2153202300000.0,2337112300000.0,2734255000000.0
2065.0,1401474900000.0,2503220100000.0,2452786800000.0,2135628800000.0,2308606500000.0,2726327700000.0
2066.0,1353306600000.0,2477689000000.0,2426262000000.0,2115780200000.0,2280207400000.0,2719793300000.0
2067.0,1309183300000.0,2459436800000.0,2399689500000.0,2099866100000.0,2246486500000.0,2701022500000.0
2068.0,1262143700000.0,2438593200000.0,2373659100000.0,2089895700000.0,2198989000000.0,2690519100000.0
2069.0,1206233200000.0,2416674600000.0,2349804300000.0,2069272000000.0,2161777700000.0,2679963600000.0
2070.0,1157345800000.0,2401102500000.0,2320738800000.0,2049272200000.0,2128529900000.0,2651169000000.0
2071.0,1108024000000.0,2385408700000.0,2291672500000.0,2024979200000.0,2080995100000.0,2622038000000.0
2072.0,1065466600000.0,2369602000000.0,2266746000000.0,2005032100000.0,2038794000000.0,2607582000000.0
2073.0,1021220000000.0,2346218700000.0,2237535600000.0,1992339900000.0,1999867500000.0,2597259600000.0
2074.0,975066200000.0,2327304200000.0,2200769000000.0,1973752600000.0,1969144200000.0,2574697600000.0
2075.0,925206300000.0,2309969100000.0,2169905000000.0,1957053900000.0,1926920000000.0,2549915600000.0
2076.0,880442900000.0,2287229000000.0,2131234400000.0,1934321900000.0,1883043100000.0,2520832500000.0
