time,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,ACCESS-ESM1-5,ACCESS-CM2
2026.0,3343318500000.0,3307920700000.0,3390131700000.0,3248923600000.0,3375837700000.0,3351578400000.0
2027.0,3322988000000.0,3276948400000.0,3382910400000.0,3208674800000.0,3367803300000.0,3335450300000.0
2028.0,3307458500000.0,3249731300000.0,3368829600000.0,3175246200000.0,3359549400000.0,3322483000000.0
2029.0,3292707200000.0,3224733500000.0,3359382000000.0,3135533200000.0,3346371200000.0,3310149000000.0
2030.0,3275085300000.0,3206840000000.0,3349972000000.0,3100479000000.0,3342902000000.0,3285633200000.0
2031.0,3256817000000.0,3185792500000.0,3335497400000.0,3051940700000.0,3329510600000.0,3257682400000.0
2032.0,3232417000000.0,3148751600000.0,3310541000000.0,2993369400000.0,3330482400000.0,3232035800000.0
2033.0,3220793700000.0,3128027500000.0,3283842000000.0,2945655200000.0,3321166000000.0,3212216000000.0
2034.0,3213784000000.0,3103707600000.0,3275388000000.0,2898364500000.0,3314438400000.0,3202928000000.0
2035.0,3193919200000.0,3071781000000.0,3257411600000.0,2862593600000.0,3304446000000.0,3190751500000.0
2036.0,3180651600000.0,3047521500000.0,3233605000000.0,2829307300000.0,3305157000000.0,3174440400000.0
2037.0,3155549000000.0,3026872700000.0,3218489200000.0,2779469000000.0,3303496200000.0,3156649700000.0
2038.0,3139445200000.0,3002769600000.0,3201461400000.0,2731115800000.0,3297307500000.0,3136270400000.0
2039.0,3115692300000.0,2981225600000.0,3189562000000.0,2695208000000.0,3306239800000.0,3127058000000.0
2040.0,3089548000000.0,2951984700000.0,3170882600000.0,2663013200000.0,3296767500000.0,3092741400000.0
2041.0,3059706800000.0,2912398900000.0,3162664900000.0,2616452700000.0,3299683300000.0,3062273400000.0
2042.0,3040156000000.0,2886295600000.0,3149357600000.0,2584518900000.0,3284035700000.0,3039179800000.0
2043.0,3019013000000.0,2863791300000.0,3139652300000.0,2542508000000.0,3282385500000.0,3012504600000.0
2044.0,2991585800000.0,2842433200000.0,3135261400000.0,2498234700000.0,3262966100000.0,2984954600000.0
2045.0,2969695700000.0,2823960100000.0,3125415000000.0,2452809600000.0,3255407500000.0,2959707500000.0
2046.0,2946094600000.0,2791352800000.0,3106151600000.0,2396877500000.0,3244483400000.0,2926530500000.0
2047.0,2918351400000.0,2766875400000.0,3092125600000.0,2351489400000.0,3230894700000.0,2896573000000.0
2048.0,2882260200000.0,2738893000000.0,3066228600000.0,2297958500000.0,3223491200000.0,2857479200000.0
2049.0,2867056300000.0,2721434000000.0,3052322400000.0,2247853300000.0,3222980800000.0,2819736700000.0
2050.0,2842782600000.0,2696207700000.0,3039257400000.0,2206972000000.0,3227452400000.0,2782652800000.0
2051.0,2832656000000.0,2680931200000.0,3022664000000.0,2162545800000.0,3222141700000.0,2744550200000.0
2052.0,2820375300000.0,2662066800000.0,3005051800000.0,2132415300000.0,3225255000000.0,2712316000000.0
2053.0,2804675500000.0,2639934000000.0,2983841200000.0,2095822300000.0,3208949000000.0,2681190200000.0
2054.0,2796606200000.0,2617902000000.0,2969467400000.0,2056684800000.0,3199884900000.0,2644340400000.0
2055.0,2791304600000.0,2600267000000.0,2957151600000.0,2012164100000.0,3193775800000.0,2621105000000.0
2056.0,2778621300000.0,2586957300000.0,2944207200000.0,1970129500000.0,3194181600000.0,2596227000000.0
2057.0,2767784800000.0,2569738600000.0,2921592300000.0,1929915900000.0,3207769000000.0,2566502200000.0
2058.0,2758475300000.0,2549561400000.0,2911110000000.0,1888583700000.0,3224448300000.0,2543841200000.0
2059.0,2747967700000.0,2533357500000.0,2893127600000.0,1847150600000.0,3233070200000.0,2519829600000.0
2060.0,2745447000000.0,2526162000000.0,2877631200000.0,1803512300000.0,3240298000000.0,2492557700000.0
2061.0,2745064800000.0,2505074800000.0,2861992000000.0,1773597600000.0,3242132000000.0,2468174600000.0
2062.0,2734785600000.0,2486136500000.0,2845774700000.0,1739989000000.0,3255271400000.0,2445226500000.0
2063.0,2731062900000.0,2468535600000.0,2828603000000.0,1704509400000.0,3267648600000.0,2425043600000.0
2064.0,2730904800000.0,2452743500000.0,2804190300000.0,1669977000000.0,3285561400000.0,2383580200000.0
2065.0,2727008300000.0,2443677000000.0,2791364600000.0,1635682400000.0,3295508200000.0,2355090200000.0
2066.0,2715543700000.0,2435129300000.0,2771361700000.0,1605913000000.0,3304483000000.0,2329205300000.0
2067.0,2717155900000.0,2423549900000.0,2756309200000.0,1573826500000.0,3303422300000.0,2307625000000.0
2068.0,2712283400000.0,2414423800000.0,2741514000000.0,1541050500000.0,3280500400000.0,2284436600000.0
2069.0,2711052600000.0,2401862200000.0,2729627400000.0,1511172900000.0,3271935000000.0,2260261700000.0
2070.0,2716072700000.0,2388271600000.0,2718692800000.0,1479661600000.0,3257380400000.0,2241765300000.0
2071.0,2722054500000.0,2381319500000.0,2704748300000.0,1440656000000.0,3247524000000.0,2210761300000.0
2072.0,2719114600000.0,2371126800000.0,2687051800000.0,1405065900000.0,3239242000000.0,2179112000000.0
2073.0,2719254600000.0,2361720600000.0,2666311500000.0,1377179900000.0,3228740400000.0,2165391000000.0
2074.0,2715393000000.0,2349400600000.0,2660780700000.0,1348246000000.0,3226734000000.0,2147639400000.0
2075.0,2713452000000.0,2341362000000.0,2650984700000.0,1316329800000.0,3216980000000.0,2131889600000.0
2076.0,2714195000000.0,2339175100000.0,2635591600000.0,1280520600000.0,3207862700000.0,2117076900000.0
2077.0,2715770400000.0,2332739200000.0,2622044500000.0,1246890800000.0,3198320400000.0,2100441500000.0
2078.0,2708105900000.0,2329107500000.0,2611073500000.0,1208668700000.0,3190267600000.0,2082530800000.0
2079.0,2710580500000.0,2322997000000.0,2601683500000.0,1169513000000.0,3168933200000.0,2064483000000.0
2080.0,2712768000000.0,2323651000000.0,2587915000000.0,1139616300000.0,3166217400000.0,2049174700000.0
2081.0,2717563500000.0,2316263500000.0,2576428600000.0,1110947300000.0,3159101800000.0,2032178300000.0
2082.0,2730916300000.0,2315808000000.0,2559371400000.0,1087562500000.0,3150516800000.0,2020818400000.0
2083.0,2729746400000.0,2309094600000.0,2544158600000.0,1053827000000.0,3134693600000.0,1999753700000.0
2084.0,2728654300000.0,2309479000000.0,2529793400000.0,1026411860000.0,3130833800000.0,1983316100000.0
2085.0,2728619000000.0,2311199000000.0,2511698000000.0,996866900000.0,3134342600000.0,1961479600000.0
2086.0,2730316500000.0,2320565800000.0,2498203500000.0,972412900000.0,3128599800000.0,1939807700000.0
2087.0,2732262000000.0,2321588700000.0,2492523300000.0,945829200000.0,3130179200000.0,1921486000000.0
2088.0,2734308000000.0,2310885300000.0,2484754400000.0,923483770000.0,3120627200000.0,1891316800000.0
2089.0,2743893800000.0,2309953200000.0,2468763400000.0,897969900000.0,3115471600000.0,1880901400000.0
2090.0,2744465000000.0,2302879200000.0,2455723600000.0,873289350000.0,3110130700000.0,1862732600000.0
2091.0,2748429000000.0,2301276000000.0,2442239700000.0,851374100000.0,3105864000000.0,1847333400000.0
2092.0,2752921500000.0,2302821800000.0,2425732000000.0,824307800000.0,3105801600000.0,1824329700000.0
2093.0,2752096800000.0,2306144000000.0,2416583600000.0,806110900000.0,3098499600000.0,1801686900000.0
2094.0,2756704200000.0,2301240300000.0,2401159000000.0,785489700000.0,3098569600000.0,1780370400000.0
2095.0,2759999000000.0,2296107200000.0,2394547800000.0,767119100000.0,3104063400000.0,1750248300000.0
2096.0,2765370200000.0,2299380600000.0,2384993500000.0,746458600000.0,3106849000000.0,1728675700000.0
2097.0,2775762600000.0,2301540700000.0,2378787500000.0,720216100000.0,3101366000000.0,1706356400000.0
2098.0,2781000500000.0,2308598100000.0,2374695600000.0,702730400000.0,3102293400000.0,1690926700000.0
2099.0,2788805300000.0,2300592000000.0,2362304600000.0,682060600000.0,3104891500000.0,1672426700000.0
2100.0,2792749300000.0,2295691700000.0,2352123000000.0,660920500000.0,3098581400000.0,1658858400000.0
2101.0,2806225800000.0,2301336700000.0,2339271000000.0,641921650000.0,3093794700000.0,1641313900000.0
2102.0,2812371500000.0,2306387200000.0,2333023000000.0,624126800000.0,3089663300000.0,1623881800000.0
2103.0,2807900000000.0,2312497000000.0,2327347200000.0,610955360000.0,3094477800000.0,1606846100000.0
2104.0,2805664300000.0,2322361700000.0,2320092600000.0,594413160000.0,3096805000000.0,1595071800000.0
2105.0,2806584700000.0,2321221700000.0,2313144000000.0,580404900000.0,3094892000000.0,1581485000000.0
2106.0,2812627600000.0,2327697000000.0,2305537300000.0,564003600000.0,3094416700000.0,1565024300000.0
2107.0,2810249000000.0,2327649000000.0,2297070000000.0,547804280000.0,3082258500000.0,1544295000000.0
2108.0,2816943000000.0,2335491200000.0,2286440000000.0,535973270000.0,3084165600000.0,1525437600000.0
2109.0,2817605200000.0,2342390600000.0,2279555000000.0,526881130000.0,3073946000000.0,1509413900000.0
2110.0,2818690000000.0,2346288400000.0,2270806000000.0,515184460000.0,3064961000000.0,1494538500000.0
2111.0,2822873500000.0,2352931400000.0,2263143200000.0,507263160000.0,3049309000000.0,1472498600000.0
2112.0,2822327000000.0,2358531600000.0,2257833400000.0,493161350000.0,3036204500000.0,1449301900000.0
2113.0,2817302500000.0,2362617000000.0,2253835000000.0,484666050000.0,3020353000000.0,1433527600000.0
2114.0,2819062800000.0,2369677000000.0,2243481000000.0,475285260000.0,3013881400000.0,1413142400000.0
2115.0,2827162700000.0,2381884700000.0,2235086000000.0,464286900000.0,3008091400000.0,1393679000000.0
2116.0,2830075000000.0,2384192900000.0,2226020400000.0,455863370000.0,3007442000000.0,1375963300000.0
2117.0,2826465200000.0,2393984500000.0,2216495000000.0,449314780000.0,3006333700000.0,1359940200000.0
2118.0,2829912600000.0,2404732600000.0,2206722200000.0,438873720000.0,2987879600000.0,1348471200000.0
2119.0,2831478200000.0,2411746300000.0,2196955900000.0,431659780000.0,2969266800000.0,1337416400000.0
2120.0,2835699200000.0,2415958000000.0,2190877500000.0,426698080000.0,2957738000000.0,1330121100000.0
2121.0,2839183400000.0,2423249000000.0,2191977200000.0,419034660000.0,2949215200000.0,1314260000000.0
2122.0,2830320500000.0,2428213700000.0,2185039000000.0,410426800000.0,2939198000000.0,1297676800000.0
2123.0,2830023500000.0,2437940200000.0,2176472000000.0,402954620000.0,2929072300000.0,1284872000000.0
2124.0,2834027000000.0,2449997300000.0,2167682100000.0,393804120000.0,2914704400000.0,1268793600000.0
2125.0,2830338600000.0,2461600600000.0,2161817800000.0,384708250000.0,2897438800000.0,1256765800000.0
2126.0,2826134000000.0,2482820600000.0,2154993500000.0,379313420000.0,2882731000000.0,1235245000000.0
2127.0,2829288000000.0,2491659600000.0,2142520900000.0,371650530000.0,2873923200000.0,1218401700000.0
2128.0,2832911600000.0,2506497500000.0,2134066600000.0,364799920000.0,2871743200000.0,1204359100000.0
2129.0,2838932800000.0,2513635600000.0,2124517100000.0,357257600000.0,2866513400000.0,1195546800000.0
2130.0,2842512000000.0,2520781700000.0,2120087400000.0,351482480000.0,2862600700000.0,1182263400000.0
2131.0,2842480300000.0,2536048700000.0,2107683000000.0,342181400000.0,2859352000000.0,1168670700000.0
2132.0,2858280800000.0,2547802000000.0,2102093400000.0,332990000000.0,2850640400000.0,1152433300000.0
2133.0,2865124300000.0,2554605000000.0,2089475900000.0,324231760000.0,2836127300000.0,1142215400000.0
2134.0,2865023000000.0,2574693200000.0,2079798500000.0,317722820000.0,2818720400000.0,1131943800000.0
2135.0,2866469000000.0,2590135000000.0,2075634700000.0,309721330000.0,2818194500000.0,1120097700000.0
2136.0,2870074000000.0,2609296700000.0,2069004700000.0,303722230000.0,2813551700000.0,1107200600000.0
2137.0,2875496900000.0,2625307400000.0,2067539000000.0,299422060000.0,2799729000000.0,1092033840000.0
2138.0,2888537200000.0,2643241500000.0,2060418400000.0,291774170000.0,2782247300000.0,1080445500000.0
2139.0,2903060300000.0,2663121700000.0,2049406100000.0,286189550000.0,2769241500000.0,1069005400000.0
2140.0,2910289400000.0,2682483400000.0,2040568000000.0,279102900000.0,2762855400000.0,1059084960000.0
2141.0,2919605500000.0,2697441800000.0,2030621000000.0,271770660000.0,2748000000000.0,1046834200000.0
2142.0,2930503300000.0,2713136700000.0,2029295600000.0,263965970000.0,2748190800000.0,1037508500000.0
2143.0,2930357300000.0,2727128300000.0,2027384500000.0,257061420000.0,2746826400000.0,1034360600000.0
2144.0,2936156500000.0,2745500700000.0,2017088800000.0,250399490000.0,2746533300000.0,1030228930000.0
2145.0,2934760300000.0,2761740500000.0,2012984500000.0,244110360000.0,2753410000000.0,1021476600000.0
2146.0,2939690200000.0,2777720000000.0,2008428800000.0,237236360000.0,2758459300000.0,1008493100000.0
2147.0,2950382500000.0,2792969200000.0,2007059400000.0,231496060000.0,2755772300000.0,1001606900000.0
2148.0,2961014500000.0,2802862000000.0,2002425900000.0,223938410000.0,2759250100000.0,992705400000.0
2149.0,2973218000000.0,2819910800000.0,1997918300000.0,216698400000.0,2757971700000.0,981523760000.0
2150.0,2982845300000.0,2835026300000.0,1994820000000.0,210330190000.0,2762771500000.0,973904400000.0
2151.0,2989655300000.0,2845997000000.0,1985831000000.0,204121830000.0,2757729200000.0,971701160000.0
2152.0,2999377000000.0,2861324000000.0,1975949100000.0,199515180000.0,2751402300000.0,963048050000.0
2153.0,3008451300000.0,2877647000000.0,1976898200000.0,195355080000.0,2748552800000.0,953089500000.0
2154.0,3008235000000.0,2892866800000.0,1970555700000.0,191166740000.0,2757365300000.0,946170100000.0
2155.0,3017555300000.0,2911553000000.0,1964858500000.0,187373520000.0,2757729200000.0,931463600000.0
2156.0,3023614000000.0,2932739000000.0,1959654900000.0,180914730000.0,2763181800000.0,926359900000.0
2157.0,3036164700000.0,2948391000000.0,1956019600000.0,175130440000.0,2770755000000.0,915077330000.0
2158.0,3046280300000.0,2968970900000.0,1952339900000.0,170568000000.0,2772092800000.0,908292100000.0
2159.0,3054170000000.0,2984576000000.0,1951502700000.0,165263080000.0,2772305200000.0,902666800000.0
2160.0,3054505600000.0,3005655300000.0,1950742300000.0,158549360000.0,2774855800000.0,897470560000.0
2161.0,3053429000000.0,3021816700000.0,1946979000000.0,154816180000.0,2779311200000.0,891112500000.0
2162.0,3058537300000.0,3034894300000.0,1943965100000.0,152444350000.0,2774324700000.0,882265000000.0
2163.0,3062133700000.0,3044690000000.0,1941206000000.0,146986660000.0,2772624200000.0,870696000000.0
2164.0,3062809800000.0,3062039300000.0,1938683100000.0,143903820000.0,2761488000000.0,859626600000.0
2165.0,3069851200000.0,3075180900000.0,1935524800000.0,139584540000.0,2771837500000.0,851787640000.0
2166.0,3079141900000.0,3097162400000.0,1933598900000.0,136637190000.0,2771153800000.0,844306060000.0
2167.0,3092192700000.0,3119304100000.0,1927198100000.0,134354220000.0,2765533500000.0,840811350000.0
2168.0,3100263600000.0,3144200700000.0,1922612200000.0,132870950000.0,2765476000000.0,830164600000.0
2169.0,3102214500000.0,3159347200000.0,1919696200000.0,131182070000.0,2760867300000.0,820489550000.0
2170.0,3106483500000.0,3177734000000.0,1914532300000.0,128017680000.0,2747964300000.0,810665500000.0
2171.0,3111267000000.0,3203070200000.0,1908978000000.0,125517070000.0,2756438400000.0,801733350000.0
2172.0,3112536000000.0,3223729200000.0,1905908800000.0,122889270000.0,2756174700000.0,797619900000.0
2173.0,3114559600000.0,3236908500000.0,1904293000000.0,121237340000.0,2755122700000.0,789064800000.0
2174.0,3130476200000.0,3255325700000.0,1903672400000.0,120032920000.0,2750587000000.0,783829570000.0
2175.0,3135412400000.0,3279957800000.0,1898903900000.0,118638380000.0,2739211300000.0,772417100000.0
2176.0,3146348800000.0,3305145600000.0,1897044600000.0,117414740000.0,2729331400000.0,765472000000.0
2177.0,3155938200000.0,3324831600000.0,1898402500000.0,115311436000.0,2723790500000.0,757307600000.0
2178.0,3166319400000.0,3344282400000.0,1896342000000.0,114547016000.0,2717637000000.0,751560560000.0
2179.0,3176108700000.0,3369727400000.0,1900001200000.0,113922840000.0,2706720700000.0,747245340000.0
2180.0,3189618500000.0,3390988600000.0,1898894600000.0,113543586000.0,2696858300000.0,742990740000.0
2181.0,3200077000000.0,3407849000000.0,1895472300000.0,112081370000.0,2685253200000.0,740439200000.0
2182.0,3217318000000.0,3424529200000.0,1890304100000.0,110238730000.0,2675560200000.0,738073000000.0
2183.0,3226506600000.0,3450720500000.0,1888066100000.0,109326830000.0,2670970800000.0,732044260000.0
2184.0,3232605400000.0,3466537200000.0,1880399500000.0,108806700000.0,2665579300000.0,726863300000.0
2185.0,3240370000000.0,3490216700000.0,1881754300000.0,107649730000.0,2660178600000.0,721970900000.0
2186.0,3240313500000.0,3511247200000.0,1877300700000.0,107030450000.0,2659452000000.0,718593200000.0
2187.0,3251818500000.0,3532810000000.0,1875646900000.0,106307420000.0,2650533000000.0,717473700000.0
2188.0,3264152600000.0,3543730000000.0,1874917300000.0,106652250000.0,2641074000000.0,713806840000.0
2189.0,3277800300000.0,3556199600000.0,1873515200000.0,104996270000.0,2626165700000.0,712259700000.0
2190.0,3294348200000.0,3577432500000.0,1873253800000.0,103355560000.0,2602724200000.0,711887360000.0
2191.0,3308704800000.0,3595928600000.0,1864564100000.0,103215776000.0,2582542000000.0,708004150000.0
2192.0,3321158200000.0,3617913000000.0,1861538800000.0,102144520000.0,2570528800000.0,709023000000.0
2193.0,3337333000000.0,3637802200000.0,1861480200000.0,101377710000.0,2558645000000.0,704113930000.0
2194.0,3351919000000.0,3660670300000.0,1856601200000.0,100273090000.0,2555610000000.0,698402140000.0
2195.0,3365690000000.0,3683294600000.0,1856987300000.0,99213080000.0,2551248000000.0,693302850000.0
2196.0,3378702000000.0,3712296200000.0,1850016400000.0,98163110000.0,2554587500000.0,686890300000.0
2197.0,3400843400000.0,3743618400000.0,1843030800000.0,97502620000.0,2563738400000.0,677940100000.0
2198.0,3420761400000.0,3766596400000.0,1839006100000.0,96796700000.0,2569661600000.0,669338440000.0
2199.0,3438276800000.0,3793881400000.0,1832414500000.0,95687050000.0,2564182800000.0,661453000000.0
2200.0,3458026200000.0,3822448800000.0,1828918100000.0,95084250000.0,2560010200000.0,657082600000.0
2201.0,3474195000000.0,3840758800000.0,1828050600000.0,94122010000.0,2556575400000.0,649485000000.0
2202.0,3480341700000.0,3860330200000.0,1823858200000.0,93092330000.0,2550844600000.0,644063700000.0
2203.0,3498786000000.0,3887145000000.0,1823923800000.0,90863930000.0,2549901400000.0,637664700000.0
2204.0,3511104800000.0,3912275300000.0,1824178800000.0,89295585000.0,2527983300000.0,630743600000.0
2205.0,3524615200000.0,3938933800000.0,1821565900000.0,88317510000.0,2518559000000.0,622733400000.0
2206.0,3542107800000.0,3962230500000.0,1817741100000.0,87528190000.0,2514725000000.0,614873760000.0
2207.0,3557152500000.0,3994313300000.0,1813681800000.0,86615620000.0,2503471000000.0,610508870000.0
2208.0,3573189700000.0,4020214400000.0,1803407200000.0,86412980000.0,2502563700000.0,606865400000.0
2209.0,3592815000000.0,4043832300000.0,1799444800000.0,85700540000.0,2494211000000.0,603796300000.0
2210.0,3603131800000.0,4072778800000.0,1799043500000.0,84573850000.0,2487430400000.0,602577500000.0
2211.0,3612827200000.0,4095014600000.0,1796602500000.0,83982475000.0,2489791300000.0,597631600000.0
2212.0,3625603800000.0,4116832300000.0,1794636000000.0,83016010000.0,2487115300000.0,588499260000.0
2213.0,3644557600000.0,4143862500000.0,1792820200000.0,82197496000.0,2486760600000.0,583612200000.0
2214.0,3661404600000.0,4167302400000.0,1788978700000.0,81225970000.0,2478317200000.0,578857860000.0
2215.0,3677699200000.0,4187813600000.0,1784831900000.0,79780500000.0,2469193800000.0,575034100000.0
2216.0,3689248700000.0,4219212000000.0,1778742000000.0,78307410000.0,2468525600000.0,569837200000.0
2217.0,3700650400000.0,4241638300000.0,1782285100000.0,76923830000.0,2473512100000.0,566540040000.0
2218.0,3715357200000.0,4264549700000.0,1779716700000.0,75342880000.0,2481579600000.0,561140500000.0
2219.0,3732260500000.0,4289866000000.0,1775326000000.0,73953150000.0,2483588000000.0,557094140000.0
2220.0,3742870300000.0,4320058100000.0,1774778000000.0,72520160000.0,2477392400000.0,558013600000.0
2221.0,3755930300000.0,4339852000000.0,1773065600000.0,71391764000.0,2477745500000.0,554731700000.0
2222.0,3770352700000.0,4368757000000.0,1769039100000.0,70158090000.0,2478984400000.0,552232350000.0
2223.0,3773163600000.0,4402083500000.0,1760967000000.0,69114810000.0,2483065700000.0,549072240000.0
2224.0,3779519800000.0,4431613000000.0,1757779000000.0,67619440000.0,2487091000000.0,545747240000.0
2225.0,3796166800000.0,4458526300000.0,1756596400000.0,66625800000.0,2483314500000.0,543362060000.0
2226.0,3803817000000.0,4477494500000.0,1755758200000.0,65217577000.0,2478089200000.0,540285240000.0
2227.0,3819984700000.0,4501033500000.0,1749221200000.0,63718326000.0,2477860000000.0,535255120000.0
2228.0,3835004700000.0,4528010000000.0,1750912500000.0,62041838000.0,2469914200000.0,535081980000.0
2229.0,3849706300000.0,4560453000000.0,1750500800000.0,60069024000.0,2468515400000.0,532155200000.0
2230.0,3860724000000.0,4588188000000.0,1749503300000.0,58965280000.0,2472821400000.0,528801860000.0
2231.0,3867146700000.0,4614136000000.0,1749113600000.0,57921080000.0,2479815700000.0,525988800000.0
2232.0,3885716700000.0,4637241400000.0,1746534700000.0,56576490000.0,2478345000000.0,523845900000.0
2233.0,3899903200000.0,4651615000000.0,1741264900000.0,55280108000.0,2488831000000.0,520455780000.0
2234.0,3910475200000.0,4676500600000.0,1741481600000.0,54626873000.0,2496254000000.0,516582600000.0
2235.0,3931741000000.0,4699090600000.0,1741468700000.0,53588955000.0,2504054000000.0,511956000000.0
2236.0,3941439400000.0,4713724500000.0,1738520000000.0,52559820000.0,2509323400000.0,506328000000.0
2237.0,3948192700000.0,4738741000000.0,1736901300000.0,50966420000.0,2508986300000.0,500214170000.0
2238.0,3966245800000.0,4770971000000.0,1733884400000.0,50386370000.0,2510753600000.0,496790200000.0
2239.0,3976611500000.0,4796864000000.0,1729164100000.0,50115043000.0,2517551000000.0,492869200000.0
2240.0,3995840800000.0,4821337000000.0,1721733000000.0,49437670000.0,2520945500000.0,488470250000.0
2241.0,4014972600000.0,4845061000000.0,1723165200000.0,48461240000.0,2531862800000.0,482992060000.0
2242.0,4028166300000.0,4875965400000.0,1720916500000.0,47734456000.0,2528333800000.0,477197430000.0
2243.0,4045199400000.0,4896216600000.0,1717428300000.0,48014000000.0,2528288200000.0,472583400000.0
2244.0,4058802300000.0,4922132700000.0,1717451600000.0,47676070000.0,2530107700000.0,471266070000.0
2245.0,4073323500000.0,4946361000000.0,1714879500000.0,47231590000.0,2528641500000.0,469897670000.0
2246.0,4080834200000.0,4971074000000.0,1715262500000.0,46812266000.0,2510325800000.0,466946950000.0
2247.0,4092762500000.0,4994377400000.0,1717422100000.0,46142660000.0,2494288600000.0,465484580000.0
2248.0,4107498000000.0,5022740000000.0,1715328800000.0,45783460000.0,2486921300000.0,465879800000.0
2249.0,4125035600000.0,5045694000000.0,1718509000000.0,45376086000.0,2479689000000.0,464498300000.0
2250.0,4152028600000.0,5061705000000.0,1717011100000.0,45198020000.0,2485035700000.0,464220100000.0
2251.0,4171610000000.0,5096652400000.0,1721867800000.0,44431757000.0,2480472600000.0,464582020000.0
2252.0,4189412700000.0,5126318000000.0,1719114400000.0,44260766000.0,2472674600000.0,464048420000.0
2253.0,4207040000000.0,5152800000000.0,1715744800000.0,44129894000.0,2469998600000.0,463028620000.0
2254.0,4227232200000.0,5178173400000.0,1714296700000.0,43842800000.0,2466671800000.0,460664700000.0
2255.0,4252742500000.0,5202188000000.0,1712095400000.0,44126573000.0,2475277200000.0,457865700000.0
2256.0,4263862600000.0,5225825400000.0,1709280200000.0,44241210000.0,2480118200000.0,455973400000.0
2257.0,4287099600000.0,5255458700000.0,1707532700000.0,44253463000.0,2484804800000.0,455345440000.0
2258.0,4303865000000.0,5285499400000.0,1705661400000.0,44294377000.0,2488926500000.0,450924120000.0
2259.0,4313040800000.0,5315549000000.0,1706386700000.0,44377440000.0,2495127700000.0,448119960000.0
2260.0,4340478000000.0,5349156000000.0,1709595300000.0,44094300000.0,2499601800000.0,445858700000.0
2261.0,4367106700000.0,5376030300000.0,1706928600000.0,43562160000.0,2489387300000.0,443229200000.0
2262.0,4393547600000.0,5402316500000.0,1704627900000.0,43029455000.0,2490269700000.0,438642380000.0
2263.0,4402259700000.0,5430558000000.0,1702727600000.0,42510725000.0,2492775300000.0,432999760000.0
2264.0,4417844000000.0,5460652500000.0,1702969000000.0,41966080000.0,2481309400000.0,427510960000.0
2265.0,4436030000000.0,5486372500000.0,1704532100000.0,42033340000.0,2479294500000.0,425333950000.0
2266.0,4445001000000.0,5524405400000.0,1702188700000.0,41881040000.0,2468100000000.0,423679360000.0
