time,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,MRI-ESM2-0,EC-EARTH3,CESM2,CESM2-WACCM,CAMS-CSM1-0,GFDL-ESM4,EC-EARTH3-VEG,NORESM2-MM
2081.0,177980920000.0,144813110000.0,144402500000.0,227487480000.0,227720350000.0,140030050000.0,132655440000.0,132920010000.0,142487240000.0,241853510000.0,153311400000.0,150078870000.0,164750360000.0
2082.0,173090770000.0,143826980000.0,136116430000.0,222299460000.0,221756100000.0,136110770000.0,130127660000.0,129091190000.0,142968570000.0,233740100000.0,146119950000.0,146658690000.0,158290000000.0
2083.0,170450340000.0,140102320000.0,131688350000.0,216254890000.0,220465070000.0,130039570000.0,127754280000.0,124798960000.0,139268180000.0,233961830000.0,139557470000.0,142912600000.0,151322640000.0
2084.0,168448200000.0,138945820000.0,128145640000.0,210801440000.0,212833090000.0,125868890000.0,127653390000.0,119266500000.0,134433400000.0,225904510000.0,136289700000.0,137008190000.0,146116540000.0
2085.0,166386370000.0,133254275000.0,125125030000.0,208955950000.0,212476000000.0,125070580000.0,124456480000.0,115925320000.0,130463924000.0,220714300000.0,129592550000.0,132367840000.0,144437130000.0
2086.0,160469420000.0,126732330000.0,125386860000.0,205677510000.0,208870980000.0,122168260000.0,121416290000.0,112260350000.0,124309310000.0,214134240000.0,127826936000.0,126429405000.0,140154680000.0
2087.0,151910630000.0,118146950000.0,122133225000.0,204755480000.0,200425700000.0,120312050000.0,116876010000.0,106828890000.0,120955810000.0,207967300000.0,122307780000.0,120124980000.0,138113530000.0
2088.0,148477820000.0,115007136000.0,120984820000.0,202750700000.0,196611310000.0,117025280000.0,113899480000.0,103034135000.0,116560820000.0,200655470000.0,119538530000.0,116531270000.0,136482450000.0
2089.0,146714030000.0,112291370000.0,119662920000.0,199252700000.0,192814020000.0,111947360000.0,110621745000.0,97327160000.0,112924720000.0,194544190000.0,115438750000.0,109859760000.0,132146470000.0
2090.0,146869730000.0,111160386000.0,111375150000.0,196922110000.0,187987510000.0,107777340000.0,106286270000.0,91606910000.0,111525690000.0,196018490000.0,112059840000.0,105158110000.0,130911620000.0
2091.0,145713510000.0,107057700000.0,109931766000.0,195903910000.0,183842850000.0,106545280000.0,105245560000.0,90358030000.0,108415730000.0,187052050000.0,111578620000.0,101485880000.0,126846690000.0
2092.0,143290240000.0,102211120000.0,111821490000.0,192432110000.0,181762080000.0,103960764000.0,103599020000.0,88947350000.0,107014185000.0,180413300000.0,109522680000.0,95316700000.0,123692515000.0
2093.0,141265670000.0,100346020000.0,110982940000.0,188776870000.0,178957760000.0,101464900000.0,100346495000.0,85991950000.0,102275916000.0,173364380000.0,108410520000.0,91906610000.0,120004310000.0
2094.0,137765400000.0,96874600000.0,107416710000.0,183534530000.0,177203450000.0,97885570000.0,95922815000.0,82252900000.0,99856830000.0,168044460000.0,107782130000.0,88327910000.0,119561000000.0
2095.0,135205560000.0,93461725000.0,106510655000.0,181384600000.0,172484100000.0,98053770000.0,93310950000.0,80574095000.0,96542410000.0,164885200000.0,104779980000.0,84498280000.0,115101590000.0
2096.0,130708150000.0,90070240000.0,105666040000.0,177568740000.0,168320580000.0,96901260000.0,89969280000.0,77733270000.0,94819220000.0,161456340000.0,102343900000.0,80266910000.0,112129610000.0
2097.0,128429195000.0,87812540000.0,101855080000.0,174120710000.0,167035940000.0,95706710000.0,86307550000.0,76061794000.0,91988070000.0,161760000000.0,99398640000.0,77459870000.0,112133600000.0
2098.0,125855100000.0,84935770000.0,101633730000.0,168144800000.0,163834480000.0,93375730000.0,82196250000.0,73415630000.0,88825905000.0,155104280000.0,96594490000.0,74288290000.0,111975645000.0
2099.0,122473550000.0,83082470000.0,98501480000.0,165265390000.0,161321550000.0,89633900000.0,79439260000.0,70011320000.0,88021800000.0,151550790000.0,94745690000.0,71069610000.0,108562450000.0
2100.0,119343284000.0,79325440000.0,94935870000.0,162286040000.0,157669000000.0,90748990000.0,76877170000.0,68282946000.0,84618640000.0,148568970000.0,91252785000.0,68824290000.0,105703640000.0
