time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,EC-EARTH3,MRI-ESM2-0,INM-CM5-0,INM-CM4-8,CMCC-CM2-SR5,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,CESM2-WACCM,CESM2,NORESM2-MM
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,724891860000.0,724365800000.0,718337300000.0,722298670000.0,720193300000.0,731791600000.0,722431300000.0,730691900000.0,719620540000.0,723045840000.0,723182300000.0,722390160000.0,716664600000.0,719114140000.0
2022.0,711665200000.0,708354100000.0,706889000000.0,704963900000.0,703420040000.0,722305200000.0,711320500000.0,724666550000.0,704947100000.0,709616400000.0,710799700000.0,702181930000.0,704175200000.0,706967440000.0
2023.0,708844300000.0,693888500000.0,688217800000.0,693148200000.0,694665700000.0,706304540000.0,703286940000.0,716317070000.0,692106360000.0,702451700000.0,705623000000.0,693664600000.0,696784060000.0,690182000000.0
2024.0,696303350000.0,675985000000.0,670160400000.0,680316400000.0,681116200000.0,696150300000.0,697476600000.0,706618060000.0,679669700000.0,695665800000.0,701574100000.0,680633200000.0,682280000000.0,678968560000.0
2025.0,690202740000.0,671575970000.0,662238130000.0,659951060000.0,666670660000.0,689859900000.0,678484600000.0,705897300000.0,670039800000.0,675065600000.0,683295400000.0,663283760000.0,675462700000.0,674888900000.0
2026.0,672918900000.0,664901500000.0,649362800000.0,644027450000.0,656065360000.0,684374750000.0,666343440000.0,694250050000.0,662376000000.0,658729800000.0,677625300000.0,649761700000.0,663207500000.0,665691500000.0
2027.0,660606700000.0,652901200000.0,636901200000.0,627822600000.0,636004300000.0,675381300000.0,656992300000.0,679375600000.0,647078200000.0,647994740000.0,676122600000.0,637115560000.0,654238150000.0,660272250000.0
2028.0,646926500000.0,643996200000.0,632730600000.0,609956270000.0,626220340000.0,666334500000.0,649764340000.0,663516150000.0,634526600000.0,642817800000.0,660155500000.0,630855960000.0,642089900000.0,646469500000.0
2029.0,622765740000.0,621032100000.0,621290400000.0,594797500000.0,620156750000.0,649898000000.0,634289700000.0,644868200000.0,628269100000.0,625952400000.0,655687160000.0,621975630000.0,626829100000.0,629685400000.0
2030.0,606100100000.0,608609200000.0,611297200000.0,580284650000.0,610030200000.0,633333300000.0,620732550000.0,632631200000.0,622540160000.0,622315200000.0,644159600000.0,608509800000.0,605170430000.0,615717800000.0
2031.0,580716200000.0,596234340000.0,600183500000.0,567529440000.0,596470200000.0,626609160000.0,615669100000.0,627116930000.0,616841500000.0,615667300000.0,641634660000.0,590062200000.0,590288650000.0,594519800000.0
2032.0,571979140000.0,574600250000.0,591141600000.0,556953440000.0,586729800000.0,615392900000.0,606587600000.0,616616760000.0,614759140000.0,602043400000.0,637346200000.0,574187770000.0,584383460000.0,597998700000.0
2033.0,563159960000.0,561392500000.0,584413940000.0,548300880000.0,573754300000.0,595081900000.0,589442800000.0,609592600000.0,609164300000.0,586451850000.0,629484550000.0,560919700000.0,573477800000.0,580119560000.0
2034.0,545206960000.0,552516200000.0,575983400000.0,536893720000.0,561622160000.0,585306340000.0,581294160000.0,596828160000.0,606580300000.0,574566300000.0,623416600000.0,546433800000.0,561667100000.0,570659770000.0
2035.0,532594260000.0,545813700000.0,558800200000.0,529572430000.0,545209970000.0,576512500000.0,571371160000.0,581871900000.0,588373160000.0,566319600000.0,624139040000.0,546907300000.0,548634460000.0,561073400000.0
2036.0,508333850000.0,540081750000.0,542361700000.0,520269040000.0,532674600000.0,574884940000.0,559551500000.0,562884000000.0,573679300000.0,559735500000.0,620503500000.0,533187360000.0,536788600000.0,554581200000.0
2037.0,502373740000.0,531264340000.0,531669120000.0,509124100000.0,520853700000.0,561359900000.0,557154570000.0,550321900000.0,562997360000.0,546618540000.0,616974600000.0,520942780000.0,527324250000.0,540837740000.0
2038.0,494397750000.0,515147140000.0,517209330000.0,503070650000.0,504705740000.0,552118400000.0,551540900000.0,533970100000.0,549484500000.0,536279880000.0,607539000000.0,507491350000.0,513321440000.0,530696600000.0
2039.0,477003300000.0,506252360000.0,503450470000.0,491454300000.0,489009220000.0,536848400000.0,540549450000.0,521252240000.0,542871950000.0,526076440000.0,595090740000.0,495910880000.0,506142330000.0,515113550000.0
2040.0,467453100000.0,496414900000.0,493285380000.0,480355500000.0,469763900000.0,526037420000.0,540911700000.0,514038730000.0,538279440000.0,508200980000.0,594992900000.0,479112800000.0,502761160000.0,497149440000.0
2041.0,461364200000.0,485159200000.0,486024050000.0,480891570000.0,451858070000.0,520421770000.0,538524400000.0,509858250000.0,528618600000.0,495776200000.0,579407840000.0,467914500000.0,490346120000.0,486970900000.0
2042.0,459596430000.0,466654360000.0,476722360000.0,469737280000.0,437594800000.0,506992600000.0,529204300000.0,499559270000.0,519108800000.0,483318530000.0,582423500000.0,460543980000.0,474706800000.0,476411400000.0
2043.0,440490920000.0,455840070000.0,473799720000.0,463284860000.0,424773780000.0,502990140000.0,517696800000.0,492370260000.0,510233740000.0,473284180000.0,578262100000.0,452114600000.0,465633600000.0,462121000000.0
2044.0,432467100000.0,447090820000.0,463349800000.0,454440200000.0,411097330000.0,499971260000.0,509768600000.0,479219120000.0,503095600000.0,463496280000.0,563201840000.0,437496020000.0,456517750000.0,454587500000.0
2045.0,417612800000.0,437368000000.0,454520540000.0,444050900000.0,401209460000.0,492360200000.0,501669920000.0,465549300000.0,489992500000.0,455019170000.0,559077400000.0,424885620000.0,442793230000.0,444915970000.0
2046.0,414034760000.0,420514860000.0,450098460000.0,436556230000.0,385350470000.0,481226560000.0,492404970000.0,455082400000.0,477257530000.0,443289470000.0,556296400000.0,410530870000.0,433559080000.0,429968560000.0
2047.0,403123770000.0,408270960000.0,440261150000.0,429656670000.0,369889100000.0,474846600000.0,493766250000.0,441964900000.0,467472220000.0,438801100000.0,547818800000.0,401446040000.0,423620280000.0,409662980000.0
2048.0,388242900000.0,403105680000.0,430964180000.0,421087020000.0,358957780000.0,471313940000.0,486135820000.0,428489400000.0,464129300000.0,430283650000.0,538060000000.0,388871850000.0,415004820000.0,397549000000.0
2049.0,374836460000.0,395541400000.0,411580300000.0,414975900000.0,343886230000.0,468136500000.0,470899230000.0,419760900000.0,459477120000.0,425117000000.0,523279830000.0,376719800000.0,401940680000.0,384292900000.0
2050.0,357322160000.0,389399870000.0,407026960000.0,406415050000.0,338014570000.0,461537350000.0,461851900000.0,408751960000.0,447254200000.0,415435700000.0,509664030000.0,362516640000.0,390943670000.0,376518570000.0
2051.0,354055230000.0,380909600000.0,398409170000.0,399520800000.0,329520000000.0,458477570000.0,453897550000.0,399894680000.0,437255100000.0,405505570000.0,496712700000.0,348357900000.0,382525960000.0,364529980000.0
2052.0,339802550000.0,369038400000.0,392764160000.0,390890880000.0,320954700000.0,446482780000.0,446057700000.0,390212400000.0,426350020000.0,398796320000.0,485135900000.0,338224350000.0,373872950000.0,349823370000.0
2053.0,328786480000.0,359493600000.0,385626300000.0,385190500000.0,309167230000.0,442209500000.0,440825020000.0,374077330000.0,419630380000.0,393210800000.0,471220260000.0,327543980000.0,362827450000.0,334383580000.0
2054.0,323963800000.0,355651300000.0,379964060000.0,376755450000.0,304847800000.0,435941440000.0,432242000000.0,364592000000.0,405979900000.0,383922200000.0,458425400000.0,316933540000.0,351985470000.0,324499440000.0
2055.0,314423540000.0,350098360000.0,374216850000.0,364677960000.0,300247220000.0,430947500000.0,423008240000.0,355087420000.0,398491600000.0,378156900000.0,444550220000.0,305343530000.0,345755030000.0,318057800000.0
2056.0,306944640000.0,345150800000.0,369745600000.0,357281140000.0,294325550000.0,426298000000.0,416506400000.0,341272530000.0,392773470000.0,372347040000.0,433092760000.0,293155930000.0,340132950000.0,308083920000.0
2057.0,299154280000.0,339052430000.0,369545200000.0,347716450000.0,291035480000.0,419556130000.0,415293080000.0,331810600000.0,382517580000.0,362851070000.0,427418500000.0,283977320000.0,335331160000.0,299941360000.0
2058.0,297168470000.0,324639750000.0,365912880000.0,335061300000.0,286083020000.0,415354220000.0,413774450000.0,318504370000.0,374522840000.0,357776300000.0,415910430000.0,276941900000.0,325669980000.0,292968330000.0
2059.0,288043170000.0,324752770000.0,360020200000.0,328660250000.0,280659950000.0,412981760000.0,413549040000.0,316143040000.0,367733740000.0,355458320000.0,416897430000.0,265569730000.0,313656500000.0,287776370000.0
2060.0,285415670000.0,318294980000.0,351608470000.0,319496060000.0,275313260000.0,409959830000.0,409436100000.0,313801830000.0,355843080000.0,350099700000.0,408307100000.0,261581200000.0,307089740000.0,280221250000.0
2061.0,275001500000.0,313607550000.0,344832250000.0,311456460000.0,266798870000.0,406706950000.0,409524960000.0,309486060000.0,349086150000.0,344118200000.0,395739800000.0,250379700000.0,298283270000.0,275035160000.0
2062.0,276721470000.0,302722740000.0,335810900000.0,305467880000.0,259102000000.0,402594140000.0,402936430000.0,296992200000.0,345426820000.0,335586100000.0,384937130000.0,245203700000.0,288013250000.0,270492960000.0
2063.0,273469650000.0,293426460000.0,333806530000.0,299367270000.0,253893020000.0,394082680000.0,396075760000.0,288068100000.0,340535970000.0,329940730000.0,376496550000.0,235253000000.0,279852020000.0,261576300000.0
2064.0,263560090000.0,291610900000.0,323901060000.0,292712900000.0,250691370000.0,385098250000.0,388819700000.0,277549000000.0,330204250000.0,319483900000.0,368611030000.0,230366220000.0,268312080000.0,257167850000.0
2065.0,256343930000.0,292162170000.0,321887730000.0,285274200000.0,240642100000.0,380336240000.0,383275860000.0,270115130000.0,318192100000.0,311777800000.0,359047700000.0,222364190000.0,260639590000.0,256539080000.0
2066.0,249424630000.0,290883100000.0,323826120000.0,277549120000.0,230931300000.0,372396200000.0,374030070000.0,264258500000.0,315350160000.0,305045140000.0,360864680000.0,221175730000.0,254022100000.0,253260550000.0
2067.0,248971660000.0,289016840000.0,315419800000.0,274251990000.0,225307130000.0,365582420000.0,366318450000.0,258898820000.0,309621650000.0,300948300000.0,353424240000.0,217992050000.0,246941840000.0,254535320000.0
2068.0,244745140000.0,288310620000.0,312533840000.0,266743020000.0,217488460000.0,363350950000.0,360535750000.0,254263920000.0,307156780000.0,293564300000.0,343757500000.0,213853910000.0,240267130000.0,256115560000.0
2069.0,236682310000.0,281635300000.0,305675240000.0,257553530000.0,212798520000.0,359257700000.0,360277900000.0,250021230000.0,297613520000.0,289683000000.0,340328350000.0,215568880000.0,232319830000.0,256737200000.0
2070.0,229852510000.0,274741460000.0,299057200000.0,252317100000.0,203781570000.0,358123440000.0,356236700000.0,244022660000.0,293270450000.0,279289760000.0,336988050000.0,211210940000.0,225504000000.0,248263720000.0
2071.0,230053100000.0,275104960000.0,291465360000.0,248096240000.0,199188120000.0,358999820000.0,354959850000.0,236770120000.0,287100470000.0,272418590000.0,326434100000.0,207901840000.0,220877420000.0,244117420000.0
2072.0,227838540000.0,264464550000.0,283676400000.0,247143760000.0,195160720000.0,357551800000.0,347692400000.0,230124370000.0,282129200000.0,266038760000.0,323427300000.0,209801790000.0,218748810000.0,240254160000.0
2073.0,230672060000.0,262248120000.0,276981120000.0,241789000000.0,189825960000.0,352232050000.0,347774940000.0,226682880000.0,274225400000.0,257310180000.0,317280620000.0,206521660000.0,216481600000.0,233307400000.0
2074.0,227380660000.0,256873270000.0,268086620000.0,235699500000.0,188907450000.0,343325700000.0,342867900000.0,219557900000.0,259772270000.0,249523880000.0,307258030000.0,199189430000.0,211628540000.0,224572340000.0
2075.0,222318610000.0,251748480000.0,263388870000.0,231072800000.0,184581130000.0,336658040000.0,338660500000.0,215452900000.0,253212050000.0,246827040000.0,302278870000.0,196526880000.0,205143280000.0,219710010000.0
2076.0,220976990000.0,244462390000.0,257012680000.0,225837810000.0,180477360000.0,334359040000.0,331636870000.0,208791270000.0,246866310000.0,243728420000.0,292908100000.0,191236690000.0,199536980000.0,218851740000.0
2077.0,217963450000.0,240009250000.0,250896880000.0,221054930000.0,175902470000.0,329291200000.0,329451670000.0,203115940000.0,239565420000.0,236566900000.0,283342200000.0,190988580000.0,196466820000.0,216527000000.0
2078.0,217968150000.0,234367250000.0,242023200000.0,213997450000.0,173063400000.0,330366500000.0,324120940000.0,199179550000.0,236124440000.0,230042660000.0,276939570000.0,186854130000.0,194485060000.0,215921050000.0
2079.0,215348630000.0,231195360000.0,238573450000.0,208991420000.0,170719310000.0,329793500000.0,316907780000.0,197783930000.0,232643580000.0,224546370000.0,275712200000.0,182972890000.0,191216140000.0,211990270000.0
2080.0,209930760000.0,227076260000.0,234204740000.0,204175470000.0,169758670000.0,330277200000.0,315385900000.0,191635720000.0,224510570000.0,221835130000.0,273580300000.0,178898700000.0,186881920000.0,208308930000.0
2081.0,214642180000.0,221967240000.0,231043270000.0,196177670000.0,167602700000.0,323945040000.0,312653000000.0,185072250000.0,217031210000.0,216800510000.0,270762800000.0,175321600000.0,185403880000.0,201593650000.0
2082.0,206793460000.0,218603200000.0,228343150000.0,188506030000.0,164027560000.0,319249650000.0,311105000000.0,178638680000.0,213736370000.0,210911600000.0,270341540000.0,172669100000.0,184821900000.0,198994790000.0
2083.0,200766180000.0,217602280000.0,222097130000.0,181417850000.0,161082340000.0,320404030000.0,307239940000.0,174628000000.0,207326360000.0,204443040000.0,265770600000.0,169721220000.0,182877540000.0,193624150000.0
2084.0,199246940000.0,211789680000.0,216091440000.0,178962370000.0,162490380000.0,319180400000.0,303330750000.0,170996040000.0,204118820000.0,196473520000.0,263688980000.0,165176890000.0,179556610000.0,191268140000.0
2085.0,195507010000.0,206891530000.0,213694330000.0,175289930000.0,161105500000.0,314672220000.0,301895220000.0,168662020000.0,198011830000.0,191217220000.0,263405080000.0,166882690000.0,182952900000.0,188486840000.0
2086.0,191932650000.0,204193990000.0,211633230000.0,171489950000.0,156882440000.0,309726120000.0,300653400000.0,169570420000.0,195529750000.0,189558310000.0,265938570000.0,163043980000.0,179837780000.0,185547920000.0
2087.0,190883900000.0,203553420000.0,212113390000.0,169049570000.0,153379800000.0,309808730000.0,300782300000.0,169868600000.0,191898350000.0,185624950000.0,263380430000.0,162083450000.0,179453360000.0,181421740000.0
2088.0,188064630000.0,199408390000.0,210092200000.0,165299590000.0,152541050000.0,304352330000.0,299916820000.0,168810050000.0,186298000000.0,187492750000.0,254253510000.0,160695100000.0,177520380000.0,177859100000.0
2089.0,179860700000.0,199797880000.0,206542080000.0,164076900000.0,150737370000.0,301796900000.0,297243540000.0,166375640000.0,185390070000.0,187706160000.0,260874580000.0,160483690000.0,174048250000.0,175627670000.0
2090.0,173389230000.0,198110430000.0,202748440000.0,163243670000.0,149069350000.0,302857950000.0,292626500000.0,164183490000.0,183144900000.0,186371130000.0,262784880000.0,156346190000.0,169997650000.0,174895330000.0
2091.0,170886090000.0,194031040000.0,199375300000.0,164540240000.0,146082960000.0,298353030000.0,288503730000.0,161305280000.0,177731860000.0,181792230000.0,265841700000.0,156485300000.0,167725580000.0,172909200000.0
2092.0,166163970000.0,190195600000.0,194668350000.0,160453970000.0,144315290000.0,296427750000.0,284700970000.0,156353250000.0,174517140000.0,180155510000.0,265081200000.0,152537680000.0,164668010000.0,170411970000.0
2093.0,167116050000.0,186460110000.0,194607530000.0,157618650000.0,145448630000.0,293707350000.0,285598600000.0,154591040000.0,176265670000.0,178913590000.0,267499470000.0,154671760000.0,160975850000.0,166787940000.0
2094.0,164206300000.0,184786140000.0,193289720000.0,156974400000.0,140612780000.0,291493600000.0,282129070000.0,153396940000.0,173963660000.0,177710350000.0,266467360000.0,153420140000.0,158292310000.0,166390960000.0
2095.0,161762620000.0,183602090000.0,189902110000.0,154722340000.0,138929030000.0,288268880000.0,280301860000.0,149749200000.0,170785130000.0,176988820000.0,266003530000.0,150177460000.0,159372500000.0,165091900000.0
2096.0,156880800000.0,181563790000.0,188808480000.0,154001360000.0,137705650000.0,289289440000.0,275847120000.0,146450840000.0,167574160000.0,173810290000.0,262107000000.0,150754950000.0,157021910000.0,164326500000.0
2097.0,153779160000.0,183525460000.0,186015200000.0,153169690000.0,138091170000.0,290760030000.0,272558620000.0,143453960000.0,163225860000.0,177235210000.0,261421880000.0,149470690000.0,155681540000.0,164964520000.0
2098.0,152890640000.0,183078000000.0,184641810000.0,151296160000.0,140583240000.0,287448370000.0,271609900000.0,141988720000.0,160839220000.0,176279670000.0,257812940000.0,145856360000.0,154964980000.0,165678970000.0
2099.0,158794610000.0,185454130000.0,182302970000.0,151290560000.0,140413850000.0,286848420000.0,274102090000.0,139342180000.0,159741660000.0,174044920000.0,256311770000.0,141895500000.0,154027920000.0,165322240000.0
2100.0,159609140000.0,184795920000.0,184058770000.0,150690760000.0,139023760000.0,281397260000.0,275771620000.0,135522530000.0,156949460000.0,172312180000.0,256854570000.0,140234740000.0,152944050000.0,167830420000.0
