time,ACCESS-ESM1-5,EC-EARTH3-VEG,IPSL-CM6A-LR,GFDL-ESM4,CAMS-CSM1-0,CESM2-WACCM,CESM2,ACCESS-CM2,NORESM2-MM,TAIESM1,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,EC-EARTH3,CANESM5,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,CMCC-CM2-SR5
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,716382400000.0,722195300000.0,718167930000.0,721489400000.0,721029600000.0,719142000000.0,724883000000.0,718455440000.0,719130700000.0,722812700000.0,734985600000.0,720250800000.0,716257400000.0,721387300000.0,720865460000.0,714807440000.0,729821200000.0,717544900000.0,717555040000.0
2022.0,707115700000.0,708447900000.0,710090300000.0,711037550000.0,706269700000.0,698258750000.0,710241000000.0,711256900000.0,708162500000.0,711450400000.0,718830800000.0,703431400000.0,712420600000.0,707512960000.0,752497460000.0,697995200000.0,719802700000.0,705065840000.0,702038600000.0
2023.0,689527060000.0,701048400000.0,701327900000.0,699161840000.0,697728200000.0,675287660000.0,691524140000.0,706030200000.0,696390450000.0,699459100000.0,705270900000.0,695105700000.0,702304200000.0,692772700000.0,730548300000.0,684195840000.0,710429300000.0,698508640000.0,681035760000.0
2024.0,673015800000.0,694751900000.0,684103240000.0,674466300000.0,695656400000.0,657737060000.0,674765800000.0,691622800000.0,685847900000.0,689423200000.0,696303300000.0,684117200000.0,689269200000.0,683413100000.0,703426000000.0,666810800000.0,699069700000.0,684333200000.0,669835300000.0
2025.0,656637950000.0,680492860000.0,668466500000.0,660954350000.0,693881100000.0,637307260000.0,656733900000.0,689147700000.0,670569100000.0,671955800000.0,689846550000.0,671635730000.0,675908100000.0,665311300000.0,703628800000.0,653096850000.0,686516340000.0,672078100000.0,653789760000.0
2026.0,637658330000.0,670254040000.0,655190260000.0,640784300000.0,682188600000.0,619624900000.0,640164600000.0,680543600000.0,651649300000.0,662704500000.0,675016700000.0,660513700000.0,662098350000.0,656887700000.0,684347200000.0,631277900000.0,674002600000.0,665437400000.0,648934900000.0
2027.0,613689900000.0,656361300000.0,641043100000.0,634645050000.0,679355740000.0,606622840000.0,623298600000.0,675564100000.0,631411600000.0,641874700000.0,666505800000.0,651651400000.0,644740500000.0,641427050000.0,666369900000.0,616416940000.0,664925040000.0,652064500000.0,634083930000.0
2028.0,594395500000.0,639305700000.0,623501840000.0,618585650000.0,662743000000.0,589965200000.0,607104300000.0,665341460000.0,628832600000.0,624797350000.0,649598660000.0,637566450000.0,643996650000.0,631076100000.0,647919200000.0,597997000000.0,650508400000.0,636012100000.0,621181900000.0
2029.0,582444100000.0,622694560000.0,605374300000.0,617549900000.0,661531260000.0,571300640000.0,600274040000.0,642947800000.0,620309050000.0,608749600000.0,631769140000.0,623394700000.0,628789300000.0,616940630000.0,628041400000.0,584578600000.0,639333400000.0,620090900000.0,604932600000.0
2030.0,571022970000.0,606323500000.0,600173840000.0,599382300000.0,642208560000.0,557824600000.0,592764000000.0,628377200000.0,619243300000.0,590359360000.0,615448900000.0,605733500000.0,613427050000.0,604917100000.0,622671500000.0,562011640000.0,624483800000.0,607117250000.0,593868950000.0
2031.0,555736240000.0,589859800000.0,586261400000.0,592260300000.0,635618300000.0,545083820000.0,570491500000.0,621283500000.0,595076100000.0,572430200000.0,608136270000.0,598567000000.0,598709500000.0,595400800000.0,599953800000.0,542189600000.0,616782600000.0,597662000000.0,577577600000.0
2032.0,538370900000.0,582596200000.0,572869100000.0,584475400000.0,613792150000.0,530794700000.0,552857040000.0,618984960000.0,585647460000.0,548534000000.0,591864500000.0,594706700000.0,587047760000.0,579851060000.0,582252900000.0,526637100000.0,610310400000.0,585792400000.0,562179540000.0
2033.0,520230040000.0,574822200000.0,562103800000.0,573137400000.0,599669500000.0,514563400000.0,537389200000.0,611323500000.0,573218800000.0,526971200000.0,564696800000.0,581286360000.0,572334740000.0,561704340000.0,560818000000.0,511529000000.0,602670240000.0,578328700000.0,557088600000.0
2034.0,500652200000.0,568898750000.0,546958000000.0,557323000000.0,590813800000.0,503917180000.0,521594340000.0,588872400000.0,553468400000.0,506767250000.0,555357300000.0,560981150000.0,560693600000.0,539678000000.0,547250570000.0,491348900000.0,586856860000.0,566582050000.0,553897360000.0
2035.0,482325860000.0,554782700000.0,542366630000.0,544857030000.0,572931830000.0,502694100000.0,505924160000.0,561924400000.0,538187070000.0,495797270000.0,549310230000.0,551316800000.0,556689060000.0,520049980000.0,524408980000.0,472500960000.0,573998600000.0,562037700000.0,551120900000.0
2036.0,472116700000.0,542902680000.0,536462980000.0,534847520000.0,561796200000.0,498143400000.0,495969700000.0,544858960000.0,530582180000.0,479506600000.0,534283420000.0,535141100000.0,544569950000.0,502515200000.0,512062900000.0,453195500000.0,562480700000.0,550611650000.0,534786380000.0
2037.0,453863930000.0,538176320000.0,527437660000.0,516755700000.0,557714800000.0,483936600000.0,479219550000.0,527994100000.0,519731280000.0,459884400000.0,514414940000.0,523734300000.0,534665300000.0,489101660000.0,504724650000.0,441852500000.0,554049670000.0,537535600000.0,519237470000.0
2038.0,439927080000.0,522907900000.0,518599200000.0,507788100000.0,545184740000.0,470826800000.0,464189000000.0,513490030000.0,509639600000.0,434728860000.0,505049650000.0,512287080000.0,527976800000.0,475813740000.0,481559100000.0,430665140000.0,546769500000.0,524454230000.0,501565600000.0
2039.0,432296100000.0,513339200000.0,511651550000.0,503409600000.0,532899200000.0,459071700000.0,450430270000.0,492332580000.0,494834680000.0,414166120000.0,492761120000.0,500815860000.0,510955520000.0,459558260000.0,461385630000.0,413582330000.0,534649080000.0,507388920000.0,483363520000.0
2040.0,419523950000.0,499051200000.0,504560680000.0,492142900000.0,529332900000.0,450657580000.0,437571900000.0,465118270000.0,482890870000.0,390078370000.0,490161180000.0,489272020000.0,498251600000.0,440745600000.0,454437700000.0,396922780000.0,518041860000.0,497943250000.0,471393240000.0
2041.0,409617600000.0,486766940000.0,489526300000.0,488887320000.0,522301180000.0,442412560000.0,425031000000.0,443352400000.0,461374000000.0,380613100000.0,488576220000.0,483733400000.0,493486770000.0,425255700000.0,448251430000.0,376051370000.0,509104100000.0,493722730000.0,459775050000.0
2042.0,394458040000.0,472000170000.0,473283560000.0,480620380000.0,512253800000.0,433271730000.0,411295320000.0,423255280000.0,437846700000.0,367113540000.0,479752980000.0,467393770000.0,481322700000.0,407141580000.0,435058640000.0,362075720000.0,500145620000.0,484456700000.0,443343140000.0
2043.0,378151930000.0,458848600000.0,458031040000.0,468875400000.0,504006970000.0,420143070000.0,399345880000.0,404356530000.0,428268880000.0,350332520000.0,475388770000.0,452645360000.0,470814850000.0,392340930000.0,407554130000.0,348272720000.0,490240770000.0,472162900000.0,425463680000.0
2044.0,363930680000.0,453204600000.0,446000660000.0,454752270000.0,489790930000.0,407567140000.0,382557750000.0,384376730000.0,414803430000.0,331567330000.0,465783400000.0,440722360000.0,459841860000.0,380202940000.0,387350660000.0,330478780000.0,481583900000.0,458196120000.0,409873500000.0
